,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_HEK293
68,69,18PG,0,1,9.3028,3,10,36,1,12,200,60,100,164.5333333,-4.233333333,11.208
69,70,18PG,0,1,9.3028,3,10,36,1,4,200,80,100,415.6,-2.0,8.416
70,71,18PG,0,1,9.3028,3,10,36,1,8,200,80,100,420.6,-2.613333333,10.519
71,72,18PG,0,1,9.3028,3,10,36,1,12,200,80,100,725.6666667,-0.015666667,12.319
72,73,18PG,0,1,9.3028,3,10,36,1,4,100,20,100,613.1333333,-2.063333333,8.725
73,74,18PG,0,1,9.3028,3,10,36,1,8,100,20,100,187.7333333,-1.543333333,7.148
74,75,18PG,0,1,9.3028,3,10,36,1,12,100,20,100,99.15666667,-1.906666667,8.766
75,76,18PG,0,1,9.3028,3,10,36,1,4,100,40,100,118.2,-1.441,9.07
76,77,18PG,0,1,9.3028,3,10,36,1,8,100,40,100,170.9666667,-1.497333333,9.798
77,78,18PG,0,1,9.3028,3,10,36,1,12,100,40,100,215.6333333,-4.113333333,10.032
78,79,18PG,0,1,9.3028,3,10,36,1,4,100,60,100,182.2,-3.46,10.357
79,80,18PG,0,1,9.3028,3,10,36,1,8,100,60,100,207.7333333,-5.52,10.134
80,81,18PG,0,1,9.3028,3,10,36,1,12,100,60,100,348.7,-2.886666667,11.444
81,82,18PG,0,1,9.3028,3,10,36,1,4,100,80,100,379.2666667,-2.153333333,8.579
82,83,18PG,0,1,9.3028,3,10,36,1,8,100,80,100,430.7333333,-1.356666667,6.127
83,84,18PG,0,1,9.3028,3,10,36,1,12,100,80,100,255.0166667,0.867666667,12.586
84,85,18PG,0,1,9.3028,3,10,36,1,4,50,20,100,738.2666667,-1.916666667,8.454
85,86,18PG,0,1,9.3028,3,10,36,1,8,50,20,100,190.2,-0.810333333,7.951
86,87,18PG,0,1,9.3028,3,10,36,1,12,50,20,100,210.8,-2.876666667,8.79
87,88,18PG,0,1,9.3028,3,10,36,1,4,50,40,100,263.4666667,-2.14,9.014
88,89,18PG,0,1,9.3028,3,10,36,1,8,50,40,100,162.0,-0.342,9.952
89,90,18PG,0,1,9.3028,3,10,36,1,12,50,40,100,203.3333333,-2.2,10.517
90,91,18PG,0,1,9.3028,3,10,36,1,4,50,60,100,194.0,-3.503333333,10.551
91,92,18PG,0,1,9.3028,3,10,36,1,8,50,60,100,235.7333333,-2.013333333,11.074
92,93,18PG,0,1,9.3028,3,10,36,1,12,50,60,100,183.1666667,-3.336666667,11.66
93,94,18PG,0,1,9.3028,3,10,36,1,4,50,80,100,2155.333333,-6.496666667,10.835
94,95,18PG,0,1,9.3028,3,10,36,1,8,50,80,100,410.2,0.9383,11.636
95,96,18PG,0,1,9.3028,3,10,36,1,12,50,80,100,363.8,0.4627,12.662
96,97,18PG,0,1,9.3028,3,10,36,1,4,10,20,100,457.7666667,-20.96666667,5.745
97,98,18PG,0,1,9.3028,3,10,36,1,8,10,20,100,170.4666667,-1.013333333,8.332
98,99,18PG,0,1,9.3028,3,10,36,1,12,10,20,100,205.1333333,-0.812553333,8.183
99,100,18PG,0,1,9.3028,3,10,36,1,4,10,40,100,153.8666667,-1.636666667,8.525
100,101,18PG,0,1,9.3028,3,10,36,1,8,10,40,100,202.0333333,-0.022666667,8.45
101,102,18PG,0,1,9.3028,3,10,36,1,12,10,40,100,192.2666667,-3.43,9.234
102,103,18PG,0,1,9.3028,3,10,36,1,4,10,60,100,176.8,-13.4,11.024
103,104,18PG,0,1,9.3028,3,10,36,1,8,10,60,100,293.4666667,-1.985333333,8.867
104,105,18PG,0,1,9.3028,3,10,36,1,12,10,60,100,281.8333333,-3.243333333,10.038
105,106,18PG,0,1,9.3028,3,10,36,1,4,10,80,100,496.8666667,-1.304,5.541
106,107,18PG,0,1,9.3028,3,10,36,1,8,10,80,100,526.7333333,-0.888,10.398
107,108,18PG,0,1,9.3028,3,10,36,1,12,10,80,100,501.1333333,-0.417666667,10.646
108,109,18PG,0,1,9.3028,3,10,36,1,4,1,20,100,237.7333333,-6.72,3.773
109,110,18PG,0,1,9.3028,3,10,36,1,8,1,20,100,154.0666667,-5.936666667,4.828
110,111,18PG,0,1,9.3028,3,10,36,1,12,1,20,100,185.1,-3.736666667,3.0
111,112,18PG,0,1,9.3028,3,10,36,1,4,1,40,100,196.1666667,-7.57,3.178
112,113,18PG,0,1,9.3028,3,10,36,1,8,1,40,100,298.0333333,-4.593333333,3.0
113,114,18PG,0,1,9.3028,3,10,36,1,12,1,40,100,189.2333333,-1.266666667,3.0
114,115,18PG,0,1,9.3028,3,10,36,1,4,1,60,100,241.5,-16.4,8.939
115,116,18PG,0,1,9.3028,3,10,36,1,8,1,60,100,249.8,-1.483333333,4.078
116,117,18PG,0,1,9.3028,3,10,36,1,12,1,60,100,346.5,-0.622,3.0
117,118,18PG,0,1,9.3028,3,10,36,1,4,1,80,100,364.1333333,-8.473333333,3.0
118,119,18PG,0,1,9.3028,3,10,36,1,8,1,80,100,812.3666667,-5.833333333,3.0
119,120,18PG,0,1,9.3028,3,10,36,1,12,1,80,100,409.6,-6.46,3.0
120,121,18PG,0,1,9.3028,3,10,36,1,4,200,20,10,113.3,-1.485333333,3.97
121,122,18PG,0,1,9.3028,3,10,36,1,8,200,20,10,179.0666667,-0.415666667,4.543
122,123,18PG,0,1,9.3028,3,10,36,1,12,200,20,10,1512.333333,-2.8,3.676
123,124,18PG,0,1,9.3028,3,10,36,1,4,200,40,10,108.3166667,-1.42,4.585
124,125,18PG,0,1,9.3028,3,10,36,1,8,200,40,10,153.9,-0.845333333,7.272
125,126,18PG,0,1,9.3028,3,10,36,1,12,200,40,10,120.1,-1.69,7.583
126,127,18PG,0,1,9.3028,3,10,36,1,4,200,60,10,166.4,-3.313333333,4.212
127,128,18PG,0,1,9.3028,3,10,36,1,8,200,60,10,192.9,-1.398,7.668
128,129,18PG,0,1,9.3028,3,10,36,1,12,200,60,10,260.3666667,-0.940666667,6.919
129,130,18PG,0,1,9.3028,3,10,36,1,4,200,80,10,230.6333333,8.696666667,4.758
130,131,18PG,0,1,9.3028,3,10,36,1,8,200,80,10,237.4,-0.939,6.624
131,132,18PG,0,1,9.3028,3,10,36,1,12,200,80,10,208.8333333,-0.976,3.738
132,133,18PG,0,1,9.3028,3,10,36,1,4,100,20,10,129.5333333,-1.733333333,3.664
133,134,18PG,0,1,9.3028,3,10,36,1,8,100,20,10,247.0333333,-1.54,3.98
134,135,18PG,0,1,9.3028,3,10,36,1,12,100,20,10,1955.333333,-1.195666667,3.902
135,136,18PG,0,1,9.3028,3,10,36,1,4,100,40,10,181.4666667,-1.7,4.407
136,137,18PG,0,1,9.3028,3,10,36,1,8,100,40,10,144.4,-0.988333333,7.049
137,138,18PG,0,1,9.3028,3,10,36,1,12,100,40,10,123.8,-2.643333333,5.715
138,139,18PG,0,1,9.3028,3,10,36,1,4,100,60,10,253.1333333,-0.603333333,4.723
139,140,18PG,0,1,9.3028,3,10,36,1,8,100,60,10,212.9666667,-0.511666667,8.706
140,141,18PG,0,1,9.3028,3,10,36,1,12,100,60,10,219.6333333,-1.116666667,9.002
141,142,18PG,0,1,9.3028,3,10,36,1,4,100,80,10,243.4333333,2.933333333,6.114
142,143,18PG,0,1,9.3028,3,10,36,1,8,100,80,10,226.2666667,0.520333333,7.602
143,144,18PG,0,1,9.3028,3,10,36,1,12,100,80,10,262.2333333,-2.67,8.837
144,145,18PG,0,1,9.3028,3,10,36,1,4,50,20,10,135.9333333,-1.596666667,4.241
145,146,18PG,0,1,9.3028,3,10,36,1,8,50,20,10,967.0333333,-1.566666667,4.454
146,147,18PG,0,1,9.3028,3,10,36,1,12,50,20,10,1599.666667,-2.373333333,4.714
147,148,18PG,0,1,9.3028,3,10,36,1,4,50,40,10,113.75,-1.247666667,6.707
148,149,18PG,0,1,9.3028,3,10,36,1,8,50,40,10,142.2666667,-1.014,6.335
149,150,18PG,0,1,9.3028,3,10,36,1,12,50,40,10,142.3333333,-3.99,6.452
150,151,18PG,0,1,9.3028,3,10,36,1,4,50,60,10,256.9666667,-10.79333333,5.034
151,152,18PG,0,1,9.3028,3,10,36,1,8,50,60,10,205.9333333,-1.503333333,8.742
152,153,18PG,0,1,9.3028,3,10,36,1,12,50,60,10,184.7,-1.180333333,8.485
153,154,18PG,0,1,9.3028,3,10,36,1,4,50,80,10,244.4333333,1.269666667,6.387
154,155,18PG,0,1,9.3028,3,10,36,1,8,50,80,10,247.3666667,-1.149666667,7.715
155,156,18PG,0,1,9.3028,3,10,36,1,12,50,80,10,250.6333333,-1.219666667,8.171
156,157,18PG,0,1,9.3028,3,10,36,1,4,10,20,10,636.7,-2.273333333,3.701
157,158,18PG,0,1,9.3028,3,10,36,1,8,10,20,10,691.7,-1.220666667,3.871
158,159,18PG,0,1,9.3028,3,10,36,1,12,10,20,10,1708.333333,-1.876666667,5.617
159,160,18PG,0,1,9.3028,3,10,36,1,4,10,40,10,111.6666667,-1.019766667,4.736
160,161,18PG,0,1,9.3028,3,10,36,1,8,10,40,10,148.1333333,-1.61,6.261
161,162,18PG,0,1,9.3028,3,10,36,1,12,10,40,10,118.0,-1.693333333,6.118
162,163,18PG,0,1,9.3028,3,10,36,1,4,10,60,10,233.5,-0.879,5.781
163,164,18PG,0,1,9.3028,3,10,36,1,8,10,60,10,264.6666667,-0.790333333,8.81
164,165,18PG,0,1,9.3028,3,10,36,1,12,10,60,10,220.9,-1.506666667,7.845
165,166,18PG,0,1,9.3028,3,10,36,1,4,10,80,10,256.1,0.606333333,8.0
166,167,18PG,0,1,9.3028,3,10,36,1,8,10,80,10,278.3,-1.317,9.616
167,168,18PG,0,1,9.3028,3,10,36,1,12,10,80,10,265.9,-0.951333333,9.782
168,169,18PG,0,1,9.3028,3,10,36,1,4,1,20,10,675.8333333,-3.106666667,3.0
169,170,18PG,0,1,9.3028,3,10,36,1,8,1,20,10,682.8333333,-31.73333333,4.902
170,171,18PG,0,1,9.3028,3,10,36,1,12,1,20,10,464.0,-2.386666667,3.0
171,172,18PG,0,1,9.3028,3,10,36,1,4,1,40,10,163.5666667,-1.746666667,3.676
172,173,18PG,0,1,9.3028,3,10,36,1,8,1,40,10,459.9666667,-1.683333333,5.46
173,174,18PG,0,1,9.3028,3,10,36,1,12,1,40,10,753.9666667,-1.856666667,6.318
174,175,18PG,0,1,9.3028,3,10,36,1,4,1,60,10,194.8666667,-1.74,6.304
175,176,18PG,0,1,9.3028,3,10,36,1,8,1,60,10,934.6333333,-1.833333333,7.738
176,177,18PG,0,1,9.3028,3,10,36,1,12,1,60,10,1021.5,-1.422666667,4.771
177,178,18PG,0,1,9.3028,3,10,36,1,4,1,80,10,201.0,-1.713333333,3.418
178,179,18PG,0,1,9.3028,3,10,36,1,8,1,80,10,456.4,-2.203333333,6.364
179,180,18PG,0,1,9.3028,3,10,36,1,12,1,80,10,398.5,-1.184333333,3.951
180,181,DOPE,1,1,9.784,2,9,36,2,4,200,20,500,288.9666667,-7.436666667,6.382
181,182,DOPE,1,1,9.784,2,9,36,2,8,200,20,500,533.7,-3.523333333,7.404
182,183,DOPE,1,1,9.784,2,9,36,2,12,200,20,500,342.3333333,-3.396666667,9.651
183,184,DOPE,1,1,9.784,2,9,36,2,4,200,40,500,237.1333333,-4.23,3.0
184,185,DOPE,1,1,9.784,2,9,36,2,8,200,40,500,185.1333333,-1.803333333,6.968
185,186,DOPE,1,1,9.784,2,9,36,2,12,200,40,500,267.7333333,-2.356666667,8.02
186,187,DOPE,1,1,9.784,2,9,36,2,4,200,60,500,206.6,-5.31,3.829
187,188,DOPE,1,1,9.784,2,9,36,2,8,200,60,500,173.1333333,0.721666667,6.341
188,189,DOPE,1,1,9.784,2,9,36,2,12,200,60,500,183.6666667,-0.501666667,10.645
189,190,DOPE,1,1,9.784,2,9,36,2,4,200,80,500,166.6333333,-24.63333333,3.314
190,191,DOPE,1,1,9.784,2,9,36,2,8,200,80,500,137.6333333,-6.11,5.816
191,192,DOPE,1,1,9.784,2,9,36,2,12,200,80,500,158.8,-0.955,5.981
192,193,DOPE,1,1,9.784,2,9,36,2,4,100,20,500,577.6666667,-11.77666667,8.361
193,194,DOPE,1,1,9.784,2,9,36,2,8,100,20,500,562.7666667,-3.553333333,8.831
194,195,DOPE,1,1,9.784,2,9,36,2,12,100,20,500,288.1666667,-1.593,8.008
195,196,DOPE,1,1,9.784,2,9,36,2,4,100,40,500,240.3,-3.686666667,3.0
196,197,DOPE,1,1,9.784,2,9,36,2,8,100,40,500,191.7333333,0.269333333,7.994
197,198,DOPE,1,1,9.784,2,9,36,2,12,100,40,500,189.9666667,-2.24,10.284
198,199,DOPE,1,1,9.784,2,9,36,2,4,100,60,500,192.8,-3.663333333,8.146
199,200,DOPE,1,1,9.784,2,9,36,2,8,100,60,500,170.3,0.073,6.336
200,201,DOPE,1,1,9.784,2,9,36,2,12,100,60,500,181.6333333,-1.161666667,10.81
201,202,DOPE,1,1,9.784,2,9,36,2,4,100,80,500,172.9333333,-26.66666667,4.388
202,203,DOPE,1,1,9.784,2,9,36,2,8,100,80,500,148.0,-6.033333333,7.105
203,204,DOPE,1,1,9.784,2,9,36,2,12,100,80,500,162.5333333,-0.325333333,8.201
204,205,DOPE,1,1,9.784,2,9,36,2,4,50,20,500,650.7333333,-11.36666667,8.28
205,206,DOPE,1,1,9.784,2,9,36,2,8,50,20,500,403.2666667,-4.096666667,8.337
206,207,DOPE,1,1,9.784,2,9,36,2,12,50,20,500,475.3333333,-3.116666667,9.564
207,208,DOPE,1,1,9.784,2,9,36,2,4,50,40,500,191.8,-0.756333333,3.0
208,209,DOPE,1,1,9.784,2,9,36,2,8,50,40,500,170.0,0.3774,8.257
209,210,DOPE,1,1,9.784,2,9,36,2,12,50,40,500,307.4666667,-3.04,10.436
210,211,DOPE,1,1,9.784,2,9,36,2,4,50,60,500,189.0333333,-2.12,6.433
211,212,DOPE,1,1,9.784,2,9,36,2,8,50,60,500,155.4333333,1.195666667,6.296
212,213,DOPE,1,1,9.784,2,9,36,2,12,50,60,500,256.8,0.16,10.999
213,214,DOPE,1,1,9.784,2,9,36,2,4,50,80,500,202.3,-29.4,3.761
214,215,DOPE,1,1,9.784,2,9,36,2,8,50,80,500,135.8666667,-10.41,7.61
215,216,DOPE,1,1,9.784,2,9,36,2,12,50,80,500,163.5333333,-0.4925,11.412
216,217,DOPE,1,1,9.784,2,9,36,2,4,10,20,500,431.8,-9.42,8.692
217,218,DOPE,1,1,9.784,2,9,36,2,8,10,20,500,465.9333333,-1.686666667,9.601
218,219,DOPE,1,1,9.784,2,9,36,2,12,10,20,500,599.5333333,-0.166206667,9.45
219,220,DOPE,1,1,9.784,2,9,36,2,4,10,40,500,197.5666667,-2.53,4.311
220,221,DOPE,1,1,9.784,2,9,36,2,8,10,40,500,199.4,2.476666667,9.355
221,222,DOPE,1,1,9.784,2,9,36,2,12,10,40,500,208.5,1.541666667,9.103
222,223,DOPE,1,1,9.784,2,9,36,2,4,10,60,500,193.9,-1.64,10.343
223,224,DOPE,1,1,9.784,2,9,36,2,8,10,60,500,159.3,2.77,11.127
224,225,DOPE,1,1,9.784,2,9,36,2,12,10,60,500,190.9666667,2.354,11.116
225,226,DOPE,1,1,9.784,2,9,36,2,4,10,80,500,166.8666667,-26.83333333,5.938
226,227,DOPE,1,1,9.784,2,9,36,2,8,10,80,500,146.8666667,5.42,8.322
227,228,DOPE,1,1,9.784,2,9,36,2,12,10,80,500,167.8,7.203333333,11.211
228,229,DOPE,1,1,9.784,2,9,36,2,4,1,20,500,287.7333333,2.916666667,10.31
229,230,DOPE,1,1,9.784,2,9,36,2,8,1,20,500,306.5333333,3.96,10.555
230,231,DOPE,1,1,9.784,2,9,36,2,12,1,20,500,473.2,5.006666667,9.917
231,232,DOPE,1,1,9.784,2,9,36,2,4,1,40,500,261.7,4.206666667,4.135
232,233,DOPE,1,1,9.784,2,9,36,2,8,1,40,500,205.1,4.25,11.156
233,234,DOPE,1,1,9.784,2,9,36,2,12,1,40,500,177.9333333,2.72,10.878
234,235,DOPE,1,1,9.784,2,9,36,2,4,1,60,500,224.5,4.343333333,12.159
235,236,DOPE,1,1,9.784,2,9,36,2,8,1,60,500,195.0333333,5.876666667,11.252
236,237,DOPE,1,1,9.784,2,9,36,2,12,1,60,500,179.0333333,6.29,11.954
237,238,DOPE,1,1,9.784,2,9,36,2,4,1,80,500,237.6333333,6.303333333,11.362
238,239,DOPE,1,1,9.784,2,9,36,2,8,1,80,500,164.9666667,11.93333333,11.657
239,240,DOPE,1,1,9.784,2,9,36,2,12,1,80,500,171.5333333,8.72,10.701
240,241,DOPE,1,1,9.784,2,9,36,2,4,200,20,100,177.0333333,-4.186666667,8.327
241,242,DOPE,1,1,9.784,2,9,36,2,8,200,20,100,223.4,-2.646666667,8.342
242,243,DOPE,1,1,9.784,2,9,36,2,12,200,20,100,169.1333333,-2.373333333,8.745
243,244,DOPE,1,1,9.784,2,9,36,2,4,200,40,100,193.5,-1.616666667,3.0
244,245,DOPE,1,1,9.784,2,9,36,2,8,200,40,100,139.0,-1.976666667,7.671
245,246,DOPE,1,1,9.784,2,9,36,2,12,200,40,100,159.2333333,-2.136666667,9.016
246,247,DOPE,1,1,9.784,2,9,36,2,4,200,60,100,171.7,-0.094333333,10.272
247,248,DOPE,1,1,9.784,2,9,36,2,8,200,60,100,150.1333333,-1.95,9.371
248,249,DOPE,1,1,9.784,2,9,36,2,12,200,60,100,177.5333333,-2.43,10.169
249,250,DOPE,1,1,9.784,2,9,36,2,4,200,80,100,219.6333333,-15.26666667,7.535
250,251,DOPE,1,1,9.784,2,9,36,2,8,200,80,100,141.4666667,-3.21,8.034
251,252,DOPE,1,1,9.784,2,9,36,2,12,200,80,100,160.0333333,-4.51,10.437
252,253,DOPE,1,1,9.784,2,9,36,2,4,100,20,100,176.9333333,-4.66,8.611
253,254,DOPE,1,1,9.784,2,9,36,2,8,100,20,100,263.8333333,-6.34,8.749
254,255,DOPE,1,1,9.784,2,9,36,2,12,100,20,100,303.3666667,-2.326666667,8.481
255,256,DOPE,1,1,9.784,2,9,36,2,4,100,40,100,174.6666667,-3.043333333,8.733
256,257,DOPE,1,1,9.784,2,9,36,2,8,100,40,100,148.9333333,-0.049066667,8.276
257,258,DOPE,1,1,9.784,2,9,36,2,12,100,40,100,152.4666667,-1.993333333,8.518
258,259,DOPE,1,1,9.784,2,9,36,2,4,100,60,100,164.2,-2.476666667,10.306
259,260,DOPE,1,1,9.784,2,9,36,2,8,100,60,100,150.2666667,1.32,9.555
260,261,DOPE,1,1,9.784,2,9,36,2,12,100,60,100,191.8,-1.426666667,10.889
261,262,DOPE,1,1,9.784,2,9,36,2,4,100,80,100,241.5333333,-15.93333333,7.253
262,263,DOPE,1,1,9.784,2,9,36,2,8,100,80,100,148.0333333,-3.53,9.418
263,264,DOPE,1,1,9.784,2,9,36,2,12,100,80,100,155.5666667,-3.316666667,10.485
264,265,DOPE,1,1,9.784,2,9,36,2,4,50,20,100,153.8666667,-3.213333333,8.071
265,266,DOPE,1,1,9.784,2,9,36,2,8,50,20,100,203.9333333,-2.766666667,8.489
266,267,DOPE,1,1,9.784,2,9,36,2,12,50,20,100,263.9333333,-1.060666667,9.017
267,268,DOPE,1,1,9.784,2,9,36,2,4,50,40,100,170.0666667,-3.176666667,8.507
268,269,DOPE,1,1,9.784,2,9,36,2,8,50,40,100,158.3666667,-1.57,8.201
269,270,DOPE,1,1,9.784,2,9,36,2,12,50,40,100,130.9333333,0.963666667,10.186
270,271,DOPE,1,1,9.784,2,9,36,2,4,50,60,100,160.7333333,-3.816666667,9.977
271,272,DOPE,1,1,9.784,2,9,36,2,8,50,60,100,138.7333333,0.242266667,10.071
272,273,DOPE,1,1,9.784,2,9,36,2,12,50,60,100,152.2333333,-1.88,11.058
273,274,DOPE,1,1,9.784,2,9,36,2,4,50,80,100,189.0,-15.9,7.607
274,275,DOPE,1,1,9.784,2,9,36,2,8,50,80,100,147.2,-5.523333333,10.174
275,276,DOPE,1,1,9.784,2,9,36,2,12,50,80,100,148.5333333,-2.94,3.296
276,277,DOPE,1,1,9.784,2,9,36,2,4,10,20,100,154.9,-5.373333333,9.239
277,278,DOPE,1,1,9.784,2,9,36,2,8,10,20,100,230.9333333,-2.173333333,10.091
278,279,DOPE,1,1,9.784,2,9,36,2,12,10,20,100,168.1666667,-0.284166667,10.078
279,280,DOPE,1,1,9.784,2,9,36,2,4,10,40,100,164.0666667,-0.60825,10.443
280,281,DOPE,1,1,9.784,2,9,36,2,8,10,40,100,478.0,-3.73,9.919
281,282,DOPE,1,1,9.784,2,9,36,2,12,10,40,100,161.1333333,0.813333333,10.377
