,HepG2,HEK293,B16,PC3,N2a,ARPE19
RF,0.8631153822045488,0.7887426436318556,0.8958083405228762,0.8894557642247318,0.8469925814538909,0.7969405284817092
MLR,0.4617181453803033,0.3761967747296736,0.6001394663131426,0.5767782105828556,0.43861465238951025,0.4587423421465311
lasso,0.25772766594586694,0.20428182604440592,0.16130967074977381,0.20937422415368911,0.5154641688361901,0.43543331283346265
PLS,[0.42853581832468485],[0.404877087994797],[0.6192985078515917],[0.5742029646272578],[0.43863822723866847],[0.4587915779385025]
kNN,0.27783237983788156,0.4947823036040644,0.6199397886353923,0.6415704371902256,0.6620289088655773,0.5880153697682335
LGBM,0.8604709472884275,0.7990205859055072,0.8823098945806775,0.8360580390362988,0.9053608851604429,0.787209206404134
XGB,0.8747690201355875,0.7999883805285879,0.90716942715304,0.8861867355821904,0.8717593463101814,0.8216890023673593
DT,0.7543256571278245,0.5993378631920244,0.8606705009637401,0.8252269924668115,0.8632437707627941,0.7390067739589443
