,HepG2,HEK293,B16,PC3,N2a,ARPE19
RF,0.6400280710442624,0.803196211488125,0.8398761932303134,0.5771229269042097,0.8626562277638394,0.7790737566127051
MLR,0.5005563867571665,0.39230408791059657,0.632362603981567,0.5381201159395818,0.40573755034513426,0.4665031533102347
lasso,0.2817126784837881,0.21222033616094144,0.15669220257391345,0.26351167750024335,0.566009980412187,0.4584791565181913
PLS,0.4680790596920252,0.43767448758755184,0.6276381503803029,0.5264039235077507,0.40676553675179666,0.46649260929342523
kNN,0.389421727462194,0.5095506474326246,0.6119150320087304,0.5410424116271962,0.7177058733856023,0.6164666022878638
LGBM,0.5772543363383388,0.8011039790076654,0.8203254124116934,0.6361201878287874,0.8896852947958275,0.7841612054488111
XGB,0.6024952271276264,0.7971672360132619,0.8468986045974214,0.6362186544748732,0.8629320934703776,0.7836882669741592
DT,0.6125652445454859,0.6121643320872941,0.8081099714657864,0.6863510522577622,0.816103389080268,0.7979190728323633
