,Cell_Type,Model,Test Score
5,HepG2,DT,0.04295260003152136
14,PC3,LGBM,0.043283671966260207
9,B16,XGB,0.04894839638277481
13,N2a,LGBM,0.0736755907526311
10,HEK293,XGB,0.10455937189983176
6,ARPE19,XGB,0.10817221585782916
