,Feature,N2a_Norm_Feature_Value
0,P_charged_centers,1.0
1,N_charged_centers,0.0
2,cLogP,0.5729476153244722
3,Hbond_D,0.6666666666666666
4,Hbond_A,0.8333333333333334
5,Double_bonds,1.0
6,NP_ratio,0.0
7,Dlin-MC3_Helper lipid_ratio,0.0
8,Dlin-MC3+Helper lipid percentage,0.6666666666666666
9,Chol_DMG-PEG_ratio,1.0
10,Size,0.2777777777777778
11,PDI,0.037151702809381855
12,Zeta,0.0555555555555555
