,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
55,236,DOPE,1,1,9.784,134,2,9,36,2,8,1,60,500,4.159
,,,,,,,,,,,,,,,
56,237,DOPE,1,1,9.784,134,2,9,36,2,12,1,60,500,5.807
,,,,,,,,,,,,,,,
57,238,DOPE,1,1,9.784,134,2,9,36,2,4,1,80,500,6.222
,,,,,,,,,,,,,,,
58,239,DOPE,1,1,9.784,134,2,9,36,2,8,1,80,500,6.708
,,,,,,,,,,,,,,,
59,240,DOPE,1,1,9.784,134,2,9,36,2,12,1,80,500,6.424
,,,,,,,,,,,,,,,
60,241,DOPE,1,1,9.784,134,2,9,36,2,4,200,20,100,1.253
,,,,,,,,,,,,,,,
61,242,DOPE,1,1,9.784,134,2,9,36,2,8,200,20,100,1.253
,,,,,,,,,,,,,,,
62,243,DOPE,1,1,9.784,134,2,9,36,2,12,200,20,100,0.916
,,,,,,,,,,,,,,,
63,244,DOPE,1,1,9.784,134,2,9,36,2,4,200,40,100,1.099
,,,,,,,,,,,,,,,
64,245,DOPE,1,1,9.784,134,2,9,36,2,8,200,40,100,0.693
,,,,,,,,,,,,,,,
65,246,DOPE,1,1,9.784,134,2,9,36,2,12,200,40,100,1.504
,,,,,,,,,,,,,,,
66,247,DOPE,1,1,9.784,134,2,9,36,2,4,200,60,100,0.693
,,,,,,,,,,,,,,,
67,248,DOPE,1,1,9.784,134,2,9,36,2,8,200,60,100,0.405
,,,,,,,,,,,,,,,
68,249,DOPE,1,1,9.784,134,2,9,36,2,12,200,60,100,1.792
,,,,,,,,,,,,,,,
69,250,DOPE,1,1,9.784,134,2,9,36,2,4,200,80,100,0.693
,,,,,,,,,,,,,,,
70,251,DOPE,1,1,9.784,134,2,9,36,2,8,200,80,100,0.405
,,,,,,,,,,,,,,,
71,252,DOPE,1,1,9.784,134,2,9,36,2,12,200,80,100,5.226
,,,,,,,,,,,,,,,
72,253,DOPE,1,1,9.784,134,2,9,36,2,4,100,20,100,1.253
,,,,,,,,,,,,,,,
73,254,DOPE,1,1,9.784,134,2,9,36,2,8,100,20,100,1.099
,,,,,,,,,,,,,,,
74,255,DOPE,1,1,9.784,134,2,9,36,2,12,100,20,100,1.253
,,,,,,,,,,,,,,,
75,256,DOPE,1,1,9.784,134,2,9,36,2,4,100,40,100,0.693
,,,,,,,,,,,,,,,
76,257,DOPE,1,1,9.784,134,2,9,36,2,8,100,40,100,1.386
,,,,,,,,,,,,,,,
77,258,DOPE,1,1,9.784,134,2,9,36,2,12,100,40,100,1.099
,,,,,,,,,,,,,,,
78,259,DOPE,1,1,9.784,134,2,9,36,2,4,100,60,100,0.916
,,,,,,,,,,,,,,,
79,260,DOPE,1,1,9.784,134,2,9,36,2,8,100,60,100,1.099
,,,,,,,,,,,,,,,
80,261,DOPE,1,1,9.784,134,2,9,36,2,12,100,60,100,1.504
,,,,,,,,,,,,,,,
81,262,DOPE,1,1,9.784,134,2,9,36,2,4,100,80,100,0.405
,,,,,,,,,,,,,,,
82,263,DOPE,1,1,9.784,134,2,9,36,2,8,100,80,100,0.405
,,,,,,,,,,,,,,,
83,264,DOPE,1,1,9.784,134,2,9,36,2,12,100,80,100,3.989
,,,,,,,,,,,,,,,
84,265,DOPE,1,1,9.784,134,2,9,36,2,4,50,20,100,1.099
,,,,,,,,,,,,,,,
85,266,DOPE,1,1,9.784,134,2,9,36,2,8,50,20,100,0.916
,,,,,,,,,,,,,,,
86,267,DOPE,1,1,9.784,134,2,9,36,2,12,50,20,100,1.386
,,,,,,,,,,,,,,,
87,268,DOPE,1,1,9.784,134,2,9,36,2,4,50,40,100,2.015
,,,,,,,,,,,,,,,
88,269,DOPE,1,1,9.784,134,2,9,36,2,8,50,40,100,1.609
,,,,,,,,,,,,,,,
89,270,DOPE,1,1,9.784,134,2,9,36,2,12,50,40,100,4.304
,,,,,,,,,,,,,,,
90,271,DOPE,1,1,9.784,134,2,9,36,2,4,50,60,100,2.398
,,,,,,,,,,,,,,,
91,272,DOPE,1,1,9.784,134,2,9,36,2,8,50,60,100,1.099
,,,,,,,,,,,,,,,
92,273,DOPE,1,1,9.784,134,2,9,36,2,12,50,60,100,1.872
,,,,,,,,,,,,,,,
93,274,DOPE,1,1,9.784,134,2,9,36,2,4,50,80,100,1.872
,,,,,,,,,,,,,,,
94,275,DOPE,1,1,9.784,134,2,9,36,2,8,50,80,100,1.946
,,,,,,,,,,,,,,,
95,276,DOPE,1,1,9.784,134,2,9,36,2,12,50,80,100,4.483
,,,,,,,,,,,,,,,
96,277,DOPE,1,1,9.784,134,2,9,36,2,4,10,20,100,2.197
,,,,,,,,,,,,,,,
97,278,DOPE,1,1,9.784,134,2,9,36,2,8,10,20,100,2.079
,,,,,,,,,,,,,,,
98,279,DOPE,1,1,9.784,134,2,9,36,2,12,10,20,100,2.251
,,,,,,,,,,,,,,,
99,280,DOPE,1,1,9.784,134,2,9,36,2,4,10,40,100,1.946
,,,,,,,,,,,,,,,
100,281,DOPE,1,1,9.784,134,2,9,36,2,8,10,40,100,1.872
,,,,,,,,,,,,,,,
101,282,DOPE,1,1,9.784,134,2,9,36,2,12,10,40,100,3.02
,,,,,,,,,,,,,,,
102,283,DOPE,1,1,9.784,134,2,9,36,2,4,10,60,100,1.792
,,,,,,,,,,,,,,,
103,284,DOPE,1,1,9.784,134,2,9,36,2,8,10,60,100,1.705
,,,,,,,,,,,,,,,
104,285,DOPE,1,1,9.784,134,2,9,36,2,12,10,60,100,4.363
,,,,,,,,,,,,,,,
105,286,DOPE,1,1,9.784,134,2,9,36,2,4,10,80,100,2.89
,,,,,,,,,,,,,,,
106,287,DOPE,1,1,9.784,134,2,9,36,2,8,10,80,100,3.526
,,,,,,,,,,,,,,,
107,288,DOPE,1,1,9.784,134,2,9,36,2,12,10,80,100,5.844
,,,,,,,,,,,,,,,
108,289,DOPE,1,1,9.784,134,2,9,36,2,4,1,20,100,5.816
,,,,,,,,,,,,,,,
109,290,DOPE,1,1,9.784,134,2,9,36,2,8,1,20,100,3.296
,,,,,,,,,,,,,,,
110,291,DOPE,1,1,9.784,134,2,9,36,2,12,1,20,100,4.311
,,,,,,,,,,,,,,,
111,292,DOPE,1,1,9.784,134,2,9,36,2,4,1,40,100,6.029
,,,,,,,,,,,,,,,
112,293,DOPE,1,1,9.784,134,2,9,36,2,8,1,40,100,6.372
,,,,,,,,,,,,,,,
113,294,DOPE,1,1,9.784,134,2,9,36,2,12,1,40,100,6.458
,,,,,,,,,,,,,,,
114,295,DOPE,1,1,9.784,134,2,9,36,2,4,1,60,100,6.006
,,,,,,,,,,,,,,,
115,296,DOPE,1,1,9.784,134,2,9,36,2,8,1,60,100,6.537
,,,,,,,,,,,,,,,
116,297,DOPE,1,1,9.784,134,2,9,36,2,12,1,60,100,7.636
,,,,,,,,,,,,,,,
117,298,DOPE,1,1,9.784,134,2,9,36,2,4,1,80,100,7.84
,,,,,,,,,,,,,,,
118,299,DOPE,1,1,9.784,134,2,9,36,2,8,1,80,100,8.234
,,,,,,,,,,,,,,,
119,300,DOPE,1,1,9.784,134,2,9,36,2,12,1,80,100,8.221
,,,,,,,,,,,,,,,
120,301,DOPE,1,1,9.784,134,2,9,36,2,4,200,20,10,1.099
,,,,,,,,,,,,,,,
121,302,DOPE,1,1,9.784,134,2,9,36,2,8,200,20,10,0.916
,,,,,,,,,,,,,,,
122,303,DOPE,1,1,9.784,134,2,9,36,2,12,200,20,10,0.405
,,,,,,,,,,,,,,,
123,304,DOPE,1,1,9.784,134,2,9,36,2,4,200,40,10,0.916
,,,,,,,,,,,,,,,
124,305,DOPE,1,1,9.784,134,2,9,36,2,8,200,40,10,0.693
,,,,,,,,,,,,,,,
125,306,DOPE,1,1,9.784,134,2,9,36,2,12,200,40,10,1.386
,,,,,,,,,,,,,,,
126,307,DOPE,1,1,9.784,134,2,9,36,2,4,200,60,10,1.099
,,,,,,,,,,,,,,,
127,308,DOPE,1,1,9.784,134,2,9,36,2,8,200,60,10,0.916
,,,,,,,,,,,,,,,
128,309,DOPE,1,1,9.784,134,2,9,36,2,12,200,60,10,1.386
,,,,,,,,,,,,,,,
129,310,DOPE,1,1,9.784,134,2,9,36,2,4,200,80,10,1.872
,,,,,,,,,,,,,,,
130,311,DOPE,1,1,9.784,134,2,9,36,2,8,200,80,10,1.099
,,,,,,,,,,,,,,,
131,312,DOPE,1,1,9.784,134,2,9,36,2,12,200,80,10,3.597
,,,,,,,,,,,,,,,
132,313,DOPE,1,1,9.784,134,2,9,36,2,4,100,20,10,0.916
,,,,,,,,,,,,,,,
133,314,DOPE,1,1,9.784,134,2,9,36,2,8,100,20,10,1
,,,,,,,,,,,,,,,
134,315,DOPE,1,1,9.784,134,2,9,36,2,12,100,20,10,0.693
,,,,,,,,,,,,,,,
135,316,DOPE,1,1,9.784,134,2,9,36,2,4,100,40,10,1.386
,,,,,,,,,,,,,,,
136,317,DOPE,1,1,9.784,134,2,9,36,2,8,100,40,10,0.693
,,,,,,,,,,,,,,,
137,318,DOPE,1,1,9.784,134,2,9,36,2,12,100,40,10,1
,,,,,,,,,,,,,,,
138,319,DOPE,1,1,9.784,134,2,9,36,2,4,100,60,10,0.405
,,,,,,,,,,,,,,,
139,320,DOPE,1,1,9.784,134,2,9,36,2,8,100,60,10,1.099
,,,,,,,,,,,,,,,
140,321,DOPE,1,1,9.784,134,2,9,36,2,12,100,60,10,1.504
,,,,,,,,,,,,,,,
141,322,DOPE,1,1,9.784,134,2,9,36,2,4,100,80,10,1.253
,,,,,,,,,,,,,,,
142,323,DOPE,1,1,9.784,134,2,9,36,2,8,100,80,10,1.386
,,,,,,,,,,,,,,,
143,324,DOPE,1,1,9.784,134,2,9,36,2,12,100,80,10,2.079
,,,,,,,,,,,,,,,
144,325,DOPE,1,1,9.784,134,2,9,36,2,4,50,20,10,1.253
,,,,,,,,,,,,,,,
145,326,DOPE,1,1,9.784,134,2,9,36,2,8,50,20,10,0.916
,,,,,,,,,,,,,,,
146,327,DOPE,1,1,9.784,134,2,9,36,2,12,50,20,10,0.916
,,,,,,,,,,,,,,,
147,328,DOPE,1,1,9.784,134,2,9,36,2,4,50,40,10,0.405
,,,,,,,,,,,,,,,
148,329,DOPE,1,1,9.784,134,2,9,36,2,8,50,40,10,0.916
,,,,,,,,,,,,,,,
149,330,DOPE,1,1,9.784,134,2,9,36,2,12,50,40,10,1.099
,,,,,,,,,,,,,,,
150,331,DOPE,1,1,9.784,134,2,9,36,2,4,50,60,10,0.693
,,,,,,,,,,,,,,,
151,332,DOPE,1,1,9.784,134,2,9,36,2,8,50,60,10,1.253
,,,,,,,,,,,,,,,
152,333,DOPE,1,1,9.784,134,2,9,36,2,12,50,60,10,0.405
,,,,,,,,,,,,,,,
153,334,DOPE,1,1,9.784,134,2,9,36,2,4,50,80,10,1.253
,,,,,,,,,,,,,,,
154,335,DOPE,1,1,9.784,134,2,9,36,2,8,50,80,10,1.386
,,,,,,,,,,,,,,,
155,336,DOPE,1,1,9.784,134,2,9,36,2,12,50,80,10,2.803
,,,,,,,,,,,,,,,
156,337,DOPE,1,1,9.784,134,2,9,36,2,4,10,20,10,0.693
,,,,,,,,,,,,,,,
157,338,DOPE,1,1,9.784,134,2,9,36,2,8,10,20,10,0.693
,,,,,,,,,,,,,,,
158,339,DOPE,1,1,9.784,134,2,9,36,2,12,10,20,10,0.405
,,,,,,,,,,,,,,,
159,340,DOPE,1,1,9.784,134,2,9,36,2,4,10,40,10,1.099
,,,,,,,,,,,,,,,
160,341,DOPE,1,1,9.784,134,2,9,36,2,8,10,40,10,0.916
,,,,,,,,,,,,,,,
161,342,DOPE,1,1,9.784,134,2,9,36,2,12,10,40,10,0.916
,,,,,,,,,,,,,,,
