,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
,,,,,,,,,,,,,,,
238,419,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,500,5.239
,,,,,,,,,,,,,,,
239,420,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,80,500,6.284
,,,,,,,,,,,,,,,
240,421,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,100,2.14
,,,,,,,,,,,,,,,
241,422,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,100,0.405
,,,,,,,,,,,,,,,
242,423,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,100,0.693
,,,,,,,,,,,,,,,
243,429,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,100,0.916
,,,,,,,,,,,,,,,
244,430,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,100,1.099
,,,,,,,,,,,,,,,
245,431,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,100,1
,,,,,,,,,,,,,,,
246,432,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,100,1.253
,,,,,,,,,,,,,,,
247,433,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,100,1.705
,,,,,,,,,,,,,,,
248,434,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,100,0.693
,,,,,,,,,,,,,,,
249,435,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,100,1.253
,,,,,,,,,,,,,,,
250,441,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,100,0.405
,,,,,,,,,,,,,,,
251,442,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,100,0.916
,,,,,,,,,,,,,,,
252,443,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,100,1
,,,,,,,,,,,,,,,
253,444,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,100,1.099
,,,,,,,,,,,,,,,
254,445,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,100,0.916
,,,,,,,,,,,,,,,
255,446,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,100,1.099
,,,,,,,,,,,,,,,
256,447,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,100,0.693
,,,,,,,,,,,,,,,
257,453,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,100,2.015
,,,,,,,,,,,,,,,
258,454,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,100,1.099
,,,,,,,,,,,,,,,
259,455,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,100,1.253
,,,,,,,,,,,,,,,
260,456,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,100,1.253
,,,,,,,,,,,,,,,
261,457,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,100,5.489
,,,,,,,,,,,,,,,
262,458,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,100,4.668
,,,,,,,,,,,,,,,
263,459,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,100,5.885
,,,,,,,,,,,,,,,
264,465,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,100,5.717
,,,,,,,,,,,,,,,
265,466,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,100,3.481
,,,,,,,,,,,,,,,
266,467,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,100,3.784
,,,,,,,,,,,,,,,
267,468,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,100,2.398
,,,,,,,,,,,,,,,
268,469,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,100,7.643
,,,,,,,,,,,,,,,
269,470,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,100,8.974
,,,,,,,,,,,,,,,
270,471,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,100,8.962
,,,,,,,,,,,,,,,
271,477,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,100,8.674
,,,,,,,,,,,,,,,
272,478,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,100,5.807
,,,,,,,,,,,,,,,
273,479,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,100,7.031
,,,,,,,,,,,,,,,
274,480,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,80,100,6.692
,,,,,,,,,,,,,,,
275,481,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,10,1.253
,,,,,,,,,,,,,,,
276,482,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,10,1.386
,,,,,,,,,,,,,,,
277,483,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,10,1.872
,,,,,,,,,,,,,,,
278,484,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,10,1.504
,,,,,,,,,,,,,,,
279,489,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,10,2.079
,,,,,,,,,,,,,,,
280,490,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,10,0.693
,,,,,,,,,,,,,,,
281,491,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,10,1.386
,,,,,,,,,,,,,,,
282,492,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,10,0.693
,,,,,,,,,,,,,,,
283,493,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,10,1.099
,,,,,,,,,,,,,,,
284,494,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,10,0.916
,,,,,,,,,,,,,,,
285,495,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,10,1.099
,,,,,,,,,,,,,,,
286,496,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,10,1.386
,,,,,,,,,,,,,,,
287,501,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,10,2.14
,,,,,,,,,,,,,,,
288,502,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,10,0.405
,,,,,,,,,,,,,,,
289,503,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,10,0.916
,,,,,,,,,,,,,,,
290,504,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,10,0.916
,,,,,,,,,,,,,,,
291,505,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,10,2.079
,,,,,,,,,,,,,,,
292,506,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,10,1.253
,,,,,,,,,,,,,,,
293,507,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,10,1
,,,,,,,,,,,,,,,
294,508,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,10,0.693
,,,,,,,,,,,,,,,
295,513,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,10,1.872
,,,,,,,,,,,,,,,
296,514,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,10,1.099
,,,,,,,,,,,,,,,
297,515,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,10,0.693
,,,,,,,,,,,,,,,
298,516,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,10,1.386
,,,,,,,,,,,,,,,
299,517,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,10,0.916
,,,,,,,,,,,,,,,
300,518,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,10,0.916
,,,,,,,,,,,,,,,
301,519,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,10,1.099
,,,,,,,,,,,,,,,
302,520,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,10,2.079
,,,,,,,,,,,,,,,
303,525,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,10,3.829
,,,,,,,,,,,,,,,
304,526,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,10,0.693
,,,,,,,,,,,,,,,
305,527,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,10,1.705
,,,,,,,,,,,,,,,
306,528,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,10,1.253
,,,,,,,,,,,,,,,
307,529,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,10,4.363
,,,,,,,,,,,,,,,
308,530,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,10,4.443
,,,,,,,,,,,,,,,
309,531,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,10,4.103
,,,,,,,,,,,,,,,
310,532,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,40,10,5.503
,,,,,,,,,,,,,,,
311,537,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,10,5.476
,,,,,,,,,,,,,,,
312,538,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,10,5.472
,,,,,,,,,,,,,,,
313,539,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,10,5.984
,,,,,,,,,,,,,,,
314,540,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,80,10,5.709
,,,,,,,,,,,,,,,
315,541,DSPC,1,1,6.12,111,0,8,36,0,4,200,20,500,1.792
,,,,,,,,,,,,,,,
316,542,DSPC,1,1,6.12,111,0,8,36,0,8,200,20,500,1.792
,,,,,,,,,,,,,,,
317,543,DSPC,1,1,6.12,111,0,8,36,0,12,200,20,500,1.386
,,,,,,,,,,,,,,,
318,544,DSPC,1,1,6.12,111,0,8,36,0,4,200,40,500,1.386
,,,,,,,,,,,,,,,
319,545,DSPC,1,1,6.12,111,0,8,36,0,8,200,40,500,1.609
,,,,,,,,,,,,,,,
320,546,DSPC,1,1,6.12,111,0,8,36,0,12,200,40,500,1.099
,,,,,,,,,,,,,,,
321,547,DSPC,1,1,6.12,111,0,8,36,0,4,200,60,500,1.099
,,,,,,,,,,,,,,,
322,548,DSPC,1,1,6.12,111,0,8,36,0,8,200,60,500,1.386
,,,,,,,,,,,,,,,
323,549,DSPC,1,1,6.12,111,0,8,36,0,12,200,60,500,1.386
,,,,,,,,,,,,,,,
324,550,DSPC,1,1,6.12,111,0,8,36,0,4,200,80,500,1.099
,,,,,,,,,,,,,,,
325,551,DSPC,1,1,6.12,111,0,8,36,0,8,200,80,500,0.693
,,,,,,,,,,,,,,,
326,552,DSPC,1,1,6.12,111,0,8,36,0,12,200,80,500,1.609
,,,,,,,,,,,,,,,
327,553,DSPC,1,1,6.12,111,0,8,36,0,4,100,20,500,1.099
,,,,,,,,,,,,,,,
328,554,DSPC,1,1,6.12,111,0,8,36,0,8,100,20,500,0.693
,,,,,,,,,,,,,,,
329,555,DSPC,1,1,6.12,111,0,8,36,0,12,100,20,500,1.386
,,,,,,,,,,,,,,,
330,556,DSPC,1,1,6.12,111,0,8,36,0,4,100,40,500,1
,,,,,,,,,,,,,,,
331,557,DSPC,1,1,6.12,111,0,8,36,0,8,100,40,500,1
,,,,,,,,,,,,,,,
332,558,DSPC,1,1,6.12,111,0,8,36,0,12,100,40,500,1.386
,,,,,,,,,,,,,,,
333,559,DSPC,1,1,6.12,111,0,8,36,0,4,100,60,500,0.693
,,,,,,,,,,,,,,,
334,560,DSPC,1,1,6.12,111,0,8,36,0,8,100,60,500,1.609
,,,,,,,,,,,,,,,
335,561,DSPC,1,1,6.12,111,0,8,36,0,12,100,60,500,1.099
,,,,,,,,,,,,,,,
336,562,DSPC,1,1,6.12,111,0,8,36,0,4,100,80,500,1.946
,,,,,,,,,,,,,,,
337,563,DSPC,1,1,6.12,111,0,8,36,0,8,100,80,500,1.099
,,,,,,,,,,,,,,,
338,564,DSPC,1,1,6.12,111,0,8,36,0,12,100,80,500,1.099
,,,,,,,,,,,,,,,
339,565,DSPC,1,1,6.12,111,0,8,36,0,4,50,20,500,0.693
,,,,,,,,,,,,,,,
340,566,DSPC,1,1,6.12,111,0,8,36,0,8,50,20,500,1.099
,,,,,,,,,,,,,,,
341,567,DSPC,1,1,6.12,111,0,8,36,0,12,50,20,500,1.609
,,,,,,,,,,,,,,,
342,568,DSPC,1,1,6.12,111,0,8,36,0,4,50,40,500,1.099
,,,,,,,,,,,,,,,
343,569,DSPC,1,1,6.12,111,0,8,36,0,8,50,40,500,1.792
,,,,,,,,,,,,,,,
344,570,DSPC,1,1,6.12,111,0,8,36,0,12,50,40,500,1.386
,,,,,,,,,,,,,,,
345,571,DSPC,1,1,6.12,111,0,8,36,0,4,50,60,500,1
,,,,,,,,,,,,,,,
346,572,DSPC,1,1,6.12,111,0,8,36,0,8,50,60,500,0.693
,,,,,,,,,,,,,,,
347,573,DSPC,1,1,6.12,111,0,8,36,0,12,50,60,500,1.099
,,,,,,,,,,,,,,,
348,574,DSPC,1,1,6.12,111,0,8,36,0,4,50,80,500,0.693
,,,,,,,,,,,,,,,
349,575,DSPC,1,1,6.12,111,0,8,36,0,8,50,80,500,1.099
,,,,,,,,,,,,,,,
350,576,DSPC,1,1,6.12,111,0,8,36,0,12,50,80,500,1.099
,,,,,,,,,,,,,,,
351,577,DSPC,1,1,6.12,111,0,8,36,0,4,10,20,500,2.773
,,,,,,,,,,,,,,,
352,578,DSPC,1,1,6.12,111,0,8,36,0,8,10,20,500,1.099
,,,,,,,,,,,,,,,
353,579,DSPC,1,1,6.12,111,0,8,36,0,12,10,20,500,1.792
,,,,,,,,,,,,,,,
354,580,DSPC,1,1,6.12,111,0,8,36,0,4,10,40,500,2.944
,,,,,,,,,,,,,,,
355,581,DSPC,1,1,6.12,111,0,8,36,0,8,10,40,500,2.197
,,,,,,,,,,,,,,,
356,582,DSPC,1,1,6.12,111,0,8,36,0,12,10,40,500,1.946
,,,,,,,,,,,,,,,
357,583,DSPC,1,1,6.12,111,0,8,36,0,4,10,60,500,2.773
,,,,,,,,,,,,,,,
358,584,DSPC,1,1,6.12,111,0,8,36,0,8,10,60,500,1.792
,,,,,,,,,,,,,,,
359,585,DSPC,1,1,6.12,111,0,8,36,0,12,10,60,500,1.946
,,,,,,,,,,,,,,,
360,586,DSPC,1,1,6.12,111,0,8,36,0,4,10,80,500,3.091
,,,,,,,,,,,,,,,
361,587,DSPC,1,1,6.12,111,0,8,36,0,8,10,80,500,2.197
,,,,,,,,,,,,,,,
362,588,DSPC,1,1,6.12,111,0,8,36,0,12,10,80,500,3.829
,,,,,,,,,,,,,,,
363,589,DSPC,1,1,6.12,111,0,8,36,0,4,1,20,500,0.693
,,,,,,,,,,,,,,,
364,590,DSPC,1,1,6.12,111,0,8,36,0,8,1,20,500,1.099
,,,,,,,,,,,,,,,
365,591,DSPC,1,1,6.12,111,0,8,36,0,12,1,20,500,1.099
,,,,,,,,,,,,,,,
366,592,DSPC,1,1,6.12,111,0,8,36,0,4,1,40,500,0.693
,,,,,,,,,,,,,,,
367,593,DSPC,1,1,6.12,111,0,8,36,0,8,1,40,500,2.485
,,,,,,,,,,,,,,,
368,594,DSPC,1,1,6.12,111,0,8,36,0,12,1,40,500,2.708
,,,,,,,,,,,,,,,
369,595,DSPC,1,1,6.12,111,0,8,36,0,4,1,60,500,0.693
,,,,,,,,,,,,,,,
370,596,DSPC,1,1,6.12,111,0,8,36,0,8,1,60,500,1
,,,,,,,,,,,,,,,
371,597,DSPC,1,1,6.12,111,0,8,36,0,12,1,60,500,0.693
,,,,,,,,,,,,,,,
372,598,DSPC,1,1,6.12,111,0,8,36,0,4,1,80,500,1.099
,,,,,,,,,,,,,,,
373,599,DSPC,1,1,6.12,111,0,8,36,0,8,1,80,500,1.609
,,,,,,,,,,,,,,,
374,600,DSPC,1,1,6.12,111,0,8,36,0,12,1,80,500,1.099
,,,,,,,,,,,,,,,
375,601,DSPC,1,1,6.12,111,0,8,36,0,4,200,20,100,2.303
,,,,,,,,,,,,,,,
376,602,DSPC,1,1,6.12,111,0,8,36,0,8,200,20,100,1.946
,,,,,,,,,,,,,,,
377,603,DSPC,1,1,6.12,111,0,8,36,0,12,200,20,100,1.386
,,,,,,,,,,,,,,,
378,604,DSPC,1,1,6.12,111,0,8,36,0,4,200,40,100,2.079
,,,,,,,,,,,,,,,
379,605,DSPC,1,1,6.12,111,0,8,36,0,8,200,40,100,1.386
,,,,,,,,,,,,,,,
380,606,DSPC,1,1,6.12,111,0,8,36,0,12,200,40,100,1
,,,,,,,,,,,,,,,
381,607,DSPC,1,1,6.12,111,0,8,36,0,4,200,60,100,1.099
,,,,,,,,,,,,,,,
382,608,DSPC,1,1,6.12,111,0,8,36,0,8,200,60,100,1.099
,,,,,,,,,,,,,,,
383,613,DSPC,1,1,6.12,111,0,8,36,0,4,100,20,100,2.079
,,,,,,,,,,,,,,,
384,614,DSPC,1,1,6.12,111,0,8,36,0,8,100,20,100,1.609
,,,,,,,,,,,,,,,
385,615,DSPC,1,1,6.12,111,0,8,36,0,12,100,20,100,1
,,,,,,,,,,,,,,,
386,616,DSPC,1,1,6.12,111,0,8,36,0,4,100,40,100,2.197
,,,,,,,,,,,,,,,
387,617,DSPC,1,1,6.12,111,0,8,36,0,8,100,40,100,1.386
,,,,,,,,,,,,,,,
388,618,DSPC,1,1,6.12,111,0,8,36,0,12,100,40,100,2.197
,,,,,,,,,,,,,,,
389,619,DSPC,1,1,6.12,111,0,8,36,0,4,100,60,100,0.693
,,,,,,,,,,,,,,,
390,620,DSPC,1,1,6.12,111,0,8,36,0,8,100,60,100,1.609
,,,,,,,,,,,,,,,
391,625,DSPC,1,1,6.12,111,0,8,36,0,4,50,20,100,1.386
,,,,,,,,,,,,,,,
392,626,DSPC,1,1,6.12,111,0,8,36,0,8,50,20,100,0.693
,,,,,,,,,,,,,,,
393,627,DSPC,1,1,6.12,111,0,8,36,0,12,50,20,100,0.693
,,,,,,,,,,,,,,,
394,628,DSPC,1,1,6.12,111,0,8,36,0,4,50,40,100,2.833
,,,,,,,,,,,,,,,
395,629,DSPC,1,1,6.12,111,0,8,36,0,8,50,40,100,1
,,,,,,,,,,,,,,,
396,630,DSPC,1,1,6.12,111,0,8,36,0,12,50,40,100,0.693
,,,,,,,,,,,,,,,
397,631,DSPC,1,1,6.12,111,0,8,36,0,4,50,60,100,2.079
,,,,,,,,,,,,,,,
398,632,DSPC,1,1,6.12,111,0,8,36,0,8,50,60,100,2.303
,,,,,,,,,,,,,,,
399,637,DSPC,1,1,6.12,111,0,8,36,0,4,10,20,100,3.314
,,,,,,,,,,,,,,,
400,638,DSPC,1,1,6.12,111,0,8,36,0,8,10,20,100,2.773
,,,,,,,,,,,,,,,
401,639,DSPC,1,1,6.12,111,0,8,36,0,12,10,20,100,2.079
,,,,,,,,,,,,,,,
402,640,DSPC,1,1,6.12,111,0,8,36,0,4,10,40,100,5.549
,,,,,,,,,,,,,,,
403,641,DSPC,1,1,6.12,111,0,8,36,0,8,10,40,100,4.585
,,,,,,,,,,,,,,,
404,642,DSPC,1,1,6.12,111,0,8,36,0,12,10,40,100,4.22
,,,,,,,,,,,,,,,
405,643,DSPC,1,1,6.12,111,0,8,36,0,4,10,60,100,5.874
,,,,,,,,,,,,,,,
406,644,DSPC,1,1,6.12,111,0,8,36,0,8,10,60,100,3.676
,,,,,,,,,,,,,,,
407,649,DSPC,1,1,6.12,111,0,8,36,0,4,1,20,100,1.792
,,,,,,,,,,,,,,,
408,650,DSPC,1,1,6.12,111,0,8,36,0,8,1,20,100,1.253
,,,,,,,,,,,,,,,
409,651,DSPC,1,1,6.12,111,0,8,36,0,12,1,20,100,0.693
,,,,,,,,,,,,,,,
410,652,DSPC,1,1,6.12,111,0,8,36,0,4,1,40,100,2.485
,,,,,,,,,,,,,,,
411,653,DSPC,1,1,6.12,111,0,8,36,0,8,1,40,100,3.784
,,,,,,,,,,,,,,,
412,654,DSPC,1,1,6.12,111,0,8,36,0,12,1,40,100,5.139
,,,,,,,,,,,,,,,
413,655,DSPC,1,1,6.12,111,0,8,36,0,4,1,60,100,0.916
,,,,,,,,,,,,,,,
414,656,DSPC,1,1,6.12,111,0,8,36,0,8,1,60,100,1.386
,,,,,,,,,,,,,,,
415,901,DDAB,1,0,12.73,0,0,0,36,0,4,200,20,500,1.792
,,,,,,,,,,,,,,,
416,902,DDAB,1,0,12.73,0,0,0,36,0,8,200,20,500,2.303
,,,,,,,,,,,,,,,
417,903,DDAB,1,0,12.73,0,0,0,36,0,12,200,20,500,3.135
,,,,,,,,,,,,,,,
418,904,DDAB,1,0,12.73,0,0,0,36,0,4,200,40,500,1.386
,,,,,,,,,,,,,,,
419,905,DDAB,1,0,12.73,0,0,0,36,0,8,200,40,500,1.099
,,,,,,,,,,,,,,,
420,906,DDAB,1,0,12.73,0,0,0,36,0,12,200,40,500,4.682
,,,,,,,,,,,,,,,
421,907,DDAB,1,0,12.73,0,0,0,36,0,4,200,60,500,2.079
,,,,,,,,,,,,,,,
422,908,DDAB,1,0,12.73,0,0,0,36,0,8,200,60,500,1.609
,,,,,,,,,,,,,,,
423,909,DDAB,1,0,12.73,0,0,0,36,0,12,200,60,500,4.828
,,,,,,,,,,,,,,,
424,911,DDAB,1,0,12.73,0,0,0,36,0,8,200,80,500,3.761
,,,,,,,,,,,,,,,
425,912,DDAB,1,0,12.73,0,0,0,36,0,12,200,80,500,5.525
,,,,,,,,,,,,,,,
426,913,DDAB,1,0,12.73,0,0,0,36,0,4,100,20,500,0.693
,,,,,,,,,,,,,,,
427,914,DDAB,1,0,12.73,0,0,0,36,0,8,100,20,500,2.398
,,,,,,,,,,,,,,,
428,915,DDAB,1,0,12.73,0,0,0,36,0,12,100,20,500,3.714
,,,,,,,,,,,,,,,
429,916,DDAB,1,0,12.73,0,0,0,36,0,4,100,40,500,1.099
,,,,,,,,,,,,,,,
430,917,DDAB,1,0,12.73,0,0,0,36,0,8,100,40,500,0.693
,,,,,,,,,,,,,,,
431,918,DDAB,1,0,12.73,0,0,0,36,0,12,100,40,500,2.833
,,,,,,,,,,,,,,,
432,919,DDAB,1,0,12.73,0,0,0,36,0,4,100,60,500,1.386
,,,,,,,,,,,,,,,
433,920,DDAB,1,0,12.73,0,0,0,36,0,8,100,60,500,4.466
,,,,,,,,,,,,,,,
434,921,DDAB,1,0,12.73,0,0,0,36,0,12,100,60,500,5.505
,,,,,,,,,,,,,,,
435,923,DDAB,1,0,12.73,0,0,0,36,0,8,100,80,500,2.944
,,,,,,,,,,,,,,,
436,924,DDAB,1,0,12.73,0,0,0,36,0,12,100,80,500,4.883
,,,,,,,,,,,,,,,
437,925,DDAB,1,0,12.73,0,0,0,36,0,4,50,20,500,2.565
,,,,,,,,,,,,,,,
438,926,DDAB,1,0,12.73,0,0,0,36,0,8,50,20,500,1.099
,,,,,,,,,,,,,,,
439,927,DDAB,1,0,12.73,0,0,0,36,0,12,50,20,500,3.466
,,,,,,,,,,,,,,,
440,928,DDAB,1,0,12.73,0,0,0,36,0,4,50,40,500,0.693
,,,,,,,,,,,,,,,
441,929,DDAB,1,0,12.73,0,0,0,36,0,8,50,40,500,1.099
,,,,,,,,,,,,,,,
442,930,DDAB,1,0,12.73,0,0,0,36,0,12,50,40,500,2.197
,,,,,,,,,,,,,,,
443,931,DDAB,1,0,12.73,0,0,0,36,0,4,50,60,500,1.386
,,,,,,,,,,,,,,,
444,932,DDAB,1,0,12.73,0,0,0,36,0,8,50,60,500,1.099
,,,,,,,,,,,,,,,
445,933,DDAB,1,0,12.73,0,0,0,36,0,12,50,60,500,5.165
,,,,,,,,,,,,,,,
446,935,DDAB,1,0,12.73,0,0,0,36,0,8,50,80,500,2.833
,,,,,,,,,,,,,,,
447,936,DDAB,1,0,12.73,0,0,0,36,0,12,50,80,500,6.05
,,,,,,,,,,,,,,,
448,937,DDAB,1,0,12.73,0,0,0,36,0,4,10,20,500,2.639
,,,,,,,,,,,,,,,
449,938,DDAB,1,0,12.73,0,0,0,36,0,8,10,20,500,3.664
,,,,,,,,,,,,,,,
450,939,DDAB,1,0,12.73,0,0,0,36,0,12,10,20,500,1.386
,,,,,,,,,,,,,,,
451,940,DDAB,1,0,12.73,0,0,0,36,0,4,10,40,500,1.946
,,,,,,,,,,,,,,,
452,941,DDAB,1,0,12.73,0,0,0,36,0,8,10,40,500,2.639
,,,,,,,,,,,,,,,
453,942,DDAB,1,0,12.73,0,0,0,36,0,12,10,40,500,3.807
,,,,,,,,,,,,,,,
454,943,DDAB,1,0,12.73,0,0,0,36,0,4,10,60,500,2.773
,,,,,,,,,,,,,,,
455,944,DDAB,1,0,12.73,0,0,0,36,0,8,10,60,500,4.06
,,,,,,,,,,,,,,,
456,945,DDAB,1,0,12.73,0,0,0,36,0,12,10,60,500,5.565
,,,,,,,,,,,,,,,
457,947,DDAB,1,0,12.73,0,0,0,36,0,8,10,80,500,5.991
,,,,,,,,,,,,,,,
458,948,DDAB,1,0,12.73,0,0,0,36,0,12,10,80,500,6.834
,,,,,,,,,,,,,,,
459,949,DDAB,1,0,12.73,0,0,0,36,0,4,1,20,500,5.945
,,,,,,,,,,,,,,,
460,950,DDAB,1,0,12.73,0,0,0,36,0,8,1,20,500,2.485
,,,,,,,,,,,,,,,
461,951,DDAB,1,0,12.73,0,0,0,36,0,12,1,20,500,1.099
,,,,,,,,,,,,,,,
462,952,DDAB,1,0,12.73,0,0,0,36,0,4,1,40,500,5.545
,,,,,,,,,,,,,,,
463,953,DDAB,1,0,12.73,0,0,0,36,0,8,1,40,500,3.892
,,,,,,,,,,,,,,,
464,954,DDAB,1,0,12.73,0,0,0,36,0,12,1,40,500,1.946
,,,,,,,,,,,,,,,
465,955,DDAB,1,0,12.73,0,0,0,36,0,4,1,60,500,5.328
,,,,,,,,,,,,,,,
466,956,DDAB,1,0,12.73,0,0,0,36,0,8,1,60,500,4.585
,,,,,,,,,,,,,,,
467,957,DDAB,1,0,12.73,0,0,0,36,0,12,1,60,500,2.197
,,,,,,,,,,,,,,,
468,959,DDAB,1,0,12.73,0,0,0,36,0,8,1,80,500,6.138
,,,,,,,,,,,,,,,
469,960,DDAB,1,0,12.73,0,0,0,36,0,12,1,80,500,5.79
,,,,,,,,,,,,,,,
470,966,DDAB,1,0,12.73,0,0,0,36,0,12,200,40,100,4.595
,,,,,,,,,,,,,,,
471,967,DDAB,1,0,12.73,0,0,0,36,0,4,200,60,100,0.693
,,,,,,,,,,,,,,,
472,968,DDAB,1,0,12.73,0,0,0,36,0,8,200,60,100,2.996
,,,,,,,,,,,,,,,
473,969,DDAB,1,0,12.73,0,0,0,36,0,12,200,60,100,4.836
,,,,,,,,,,,,,,,
474,970,DDAB,1,0,12.73,0,0,0,36,0,4,200,80,100,5.257
,,,,,,,,,,,,,,,
475,971,DDAB,1,0,12.73,0,0,0,36,0,8,200,80,100,5.922
,,,,,,,,,,,,,,,
476,972,DDAB,1,0,12.73,0,0,0,36,0,12,200,80,100,4.787
,,,,,,,,,,,,,,,
477,978,DDAB,1,0,12.73,0,0,0,36,0,12,100,40,100,1.792
,,,,,,,,,,,,,,,
478,979,DDAB,1,0,12.73,0,0,0,36,0,4,100,60,100,2.996
,,,,,,,,,,,,,,,
479,980,DDAB,1,0,12.73,0,0,0,36,0,8,100,60,100,3.784
,,,,,,,,,,,,,,,
480,981,DDAB,1,0,12.73,0,0,0,36,0,12,100,60,100,3.219
,,,,,,,,,,,,,,,
481,982,DDAB,1,0,12.73,0,0,0,36,0,4,100,80,100,3.045
,,,,,,,,,,,,,,,
482,983,DDAB,1,0,12.73,0,0,0,36,0,8,100,80,100,1.099
,,,,,,,,,,,,,,,
483,984,DDAB,1,0,12.73,0,0,0,36,0,12,100,80,100,4.143
,,,,,,,,,,,,,,,
484,990,DDAB,1,0,12.73,0,0,0,36,0,12,50,40,100,4.796
,,,,,,,,,,,,,,,
485,991,DDAB,1,0,12.73,0,0,0,36,0,4,50,60,100,5.71
