,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta
127,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,192.9,0.356666667
128,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,260.3666667,0.331
129,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,230.6333333,0.313333333
130,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,237.4,0.258666667
131,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,208.8333333,0.286
132,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,129.5333333,0.231666667
133,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,247.0333333,0.714
134,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,1955.333333,0.704333333
135,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,181.4666667,0.334
136,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,144.4,0.396
137,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,123.8,0.366333333
138,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,253.1333333,0.477333333
139,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,212.9666667,0.330666667
140,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,219.6333333,0.313
141,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,243.4333333,0.302666667
142,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,226.2666667,0.251333333
143,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,262.2333333,0.095333333
144,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,135.9333333,0.257333333
145,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,967.0333333,1.0
146,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,1599.666667,0.223666667
147,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,113.75,0.3625
148,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,142.2666667,0.315
149,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,142.3333333,0.393333333
150,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,256.9666667,0.289333333
151,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,205.9333333,0.315
152,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,184.7,0.339666667
153,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,244.4333333,0.245
154,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,247.3666667,0.241333333
155,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,250.6333333,0.152666667
156,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,636.7,1.0
157,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,691.7,0.956666667
158,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,1708.333333,0.6
159,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,111.6666667,0.341
160,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,148.1333333,0.512
161,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,118.0,0.328666667
162,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,233.5,0.391333333
163,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,264.6666667,0.407666667
164,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,220.9,0.306
165,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,256.1,0.264333333
166,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,278.3,0.217333333
167,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,265.9,0.18
168,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,675.8333333,0.61
169,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,682.8333333,0.205
170,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,464.0,0.574666667
171,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,163.5666667,0.133666667
172,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,459.9666667,0.154666667
173,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,753.9666667,0.546333333
174,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,194.8666667,0.121
175,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,934.6333333,0.794
176,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,1021.5,0.392
177,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,201.0,0.139666667
178,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,456.4,0.434666667
179,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,398.5,0.280666667
181,1,1,9.784,134.0,2,9,36,2,8,200,20,500,533.7,-3.523333333
183,1,1,9.784,134.0,2,9,36,2,4,200,40,500,237.1333333,-4.23
184,1,1,9.784,134.0,2,9,36,2,8,200,40,500,185.1333333,-1.803333333
186,1,1,9.784,134.0,2,9,36,2,4,200,60,500,206.6,-5.31
187,1,1,9.784,134.0,2,9,36,2,8,200,60,500,173.1333333,0.721666667
188,1,1,9.784,134.0,2,9,36,2,12,200,60,500,183.6666667,-0.501666667
189,1,1,9.784,134.0,2,9,36,2,4,200,80,500,166.6333333,-24.63333333
190,1,1,9.784,134.0,2,9,36,2,8,200,80,500,137.6333333,-6.11
191,1,1,9.784,134.0,2,9,36,2,12,200,80,500,158.8,-0.955
192,1,1,9.784,134.0,2,9,36,2,4,100,20,500,577.6666667,-11.77666667
193,1,1,9.784,134.0,2,9,36,2,8,100,20,500,562.7666667,-3.553333333
194,1,1,9.784,134.0,2,9,36,2,12,100,20,500,288.1666667,-1.593
195,1,1,9.784,134.0,2,9,36,2,4,100,40,500,240.3,-3.686666667
196,1,1,9.784,134.0,2,9,36,2,8,100,40,500,191.7333333,0.269333333
197,1,1,9.784,134.0,2,9,36,2,12,100,40,500,189.9666667,-2.24
198,1,1,9.784,134.0,2,9,36,2,4,100,60,500,192.8,-3.663333333
199,1,1,9.784,134.0,2,9,36,2,8,100,60,500,170.3,0.073
200,1,1,9.784,134.0,2,9,36,2,12,100,60,500,181.6333333,-1.161666667
201,1,1,9.784,134.0,2,9,36,2,4,100,80,500,172.9333333,-26.66666667
202,1,1,9.784,134.0,2,9,36,2,8,100,80,500,148.0,-6.033333333
203,1,1,9.784,134.0,2,9,36,2,12,100,80,500,162.5333333,-0.325333333
206,1,1,9.784,134.0,2,9,36,2,12,50,20,500,475.3333333,-3.116666667
207,1,1,9.784,134.0,2,9,36,2,4,50,40,500,191.8,-0.756333333
208,1,1,9.784,134.0,2,9,36,2,8,50,40,500,170.0,0.3774
210,1,1,9.784,134.0,2,9,36,2,4,50,60,500,189.0333333,-2.12
211,1,1,9.784,134.0,2,9,36,2,8,50,60,500,155.4333333,1.195666667
212,1,1,9.784,134.0,2,9,36,2,12,50,60,500,256.8,0.16
213,1,1,9.784,134.0,2,9,36,2,4,50,80,500,202.3,-29.4
214,1,1,9.784,134.0,2,9,36,2,8,50,80,500,135.8666667,-10.41
215,1,1,9.784,134.0,2,9,36,2,12,50,80,500,163.5333333,-0.4925
216,1,1,9.784,134.0,2,9,36,2,4,10,20,500,431.8,-9.42
217,1,1,9.784,134.0,2,9,36,2,8,10,20,500,465.9333333,-1.686666667
219,1,1,9.784,134.0,2,9,36,2,4,10,40,500,197.5666667,-2.53
220,1,1,9.784,134.0,2,9,36,2,8,10,40,500,199.4,2.476666667
221,1,1,9.784,134.0,2,9,36,2,12,10,40,500,208.5,1.541666667
222,1,1,9.784,134.0,2,9,36,2,4,10,60,500,193.9,-1.64
223,1,1,9.784,134.0,2,9,36,2,8,10,60,500,159.3,2.77
224,1,1,9.784,134.0,2,9,36,2,12,10,60,500,190.9666667,2.354
225,1,1,9.784,134.0,2,9,36,2,4,10,80,500,166.8666667,-26.83333333
226,1,1,9.784,134.0,2,9,36,2,8,10,80,500,146.8666667,5.42
227,1,1,9.784,134.0,2,9,36,2,12,10,80,500,167.8,7.203333333
228,1,1,9.784,134.0,2,9,36,2,4,1,20,500,287.7333333,2.916666667
230,1,1,9.784,134.0,2,9,36,2,12,1,20,500,473.2,5.006666667
231,1,1,9.784,134.0,2,9,36,2,4,1,40,500,261.7,4.206666667
232,1,1,9.784,134.0,2,9,36,2,8,1,40,500,205.1,4.25
233,1,1,9.784,134.0,2,9,36,2,12,1,40,500,177.9333333,2.72
234,1,1,9.784,134.0,2,9,36,2,4,1,60,500,224.5,4.343333333
235,1,1,9.784,134.0,2,9,36,2,8,1,60,500,195.0333333,5.876666667
236,1,1,9.784,134.0,2,9,36,2,12,1,60,500,179.0333333,6.29
237,1,1,9.784,134.0,2,9,36,2,4,1,80,500,237.6333333,6.303333333
238,1,1,9.784,134.0,2,9,36,2,8,1,80,500,164.9666667,11.93333333
239,1,1,9.784,134.0,2,9,36,2,12,1,80,500,171.5333333,8.72
240,1,1,9.784,134.0,2,9,36,2,4,200,20,100,177.0333333,-4.186666667
242,1,1,9.784,134.0,2,9,36,2,12,200,20,100,169.1333333,-2.373333333
243,1,1,9.784,134.0,2,9,36,2,4,200,40,100,193.5,-1.616666667
244,1,1,9.784,134.0,2,9,36,2,8,200,40,100,139.0,-1.976666667
245,1,1,9.784,134.0,2,9,36,2,12,200,40,100,159.2333333,-2.136666667
246,1,1,9.784,134.0,2,9,36,2,4,200,60,100,171.7,-0.094333333
247,1,1,9.784,134.0,2,9,36,2,8,200,60,100,150.1333333,-1.95
248,1,1,9.784,134.0,2,9,36,2,12,200,60,100,177.5333333,-2.43
249,1,1,9.784,134.0,2,9,36,2,4,200,80,100,219.6333333,-15.26666667
250,1,1,9.784,134.0,2,9,36,2,8,200,80,100,141.4666667,-3.21
251,1,1,9.784,134.0,2,9,36,2,12,200,80,100,160.0333333,-4.51
252,1,1,9.784,134.0,2,9,36,2,4,100,20,100,176.9333333,-4.66
253,1,1,9.784,134.0,2,9,36,2,8,100,20,100,263.8333333,-6.34
255,1,1,9.784,134.0,2,9,36,2,4,100,40,100,174.6666667,-3.043333333
256,1,1,9.784,134.0,2,9,36,2,8,100,40,100,148.9333333,-0.049066667
257,1,1,9.784,134.0,2,9,36,2,12,100,40,100,152.4666667,-1.993333333
258,1,1,9.784,134.0,2,9,36,2,4,100,60,100,164.2,-2.476666667
259,1,1,9.784,134.0,2,9,36,2,8,100,60,100,150.2666667,1.32
260,1,1,9.784,134.0,2,9,36,2,12,100,60,100,191.8,-1.426666667
261,1,1,9.784,134.0,2,9,36,2,4,100,80,100,241.5333333,-15.93333333
262,1,1,9.784,134.0,2,9,36,2,8,100,80,100,148.0333333,-3.53
263,1,1,9.784,134.0,2,9,36,2,12,100,80,100,155.5666667,-3.316666667
264,1,1,9.784,134.0,2,9,36,2,4,50,20,100,153.8666667,-3.213333333
266,1,1,9.784,134.0,2,9,36,2,12,50,20,100,263.9333333,-1.060666667
267,1,1,9.784,134.0,2,9,36,2,4,50,40,100,170.0666667,-3.176666667
268,1,1,9.784,134.0,2,9,36,2,8,50,40,100,158.3666667,-1.57
269,1,1,9.784,134.0,2,9,36,2,12,50,40,100,130.9333333,0.963666667
270,1,1,9.784,134.0,2,9,36,2,4,50,60,100,160.7333333,-3.816666667
271,1,1,9.784,134.0,2,9,36,2,8,50,60,100,138.7333333,0.242266667
272,1,1,9.784,134.0,2,9,36,2,12,50,60,100,152.2333333,-1.88
273,1,1,9.784,134.0,2,9,36,2,4,50,80,100,189.0,-15.9
274,1,1,9.784,134.0,2,9,36,2,8,50,80,100,147.2,-5.523333333
275,1,1,9.784,134.0,2,9,36,2,12,50,80,100,148.5333333,-2.94
278,1,1,9.784,134.0,2,9,36,2,12,10,20,100,168.1666667,-0.284166667
279,1,1,9.784,134.0,2,9,36,2,4,10,40,100,164.0666667,-0.60825
281,1,1,9.784,134.0,2,9,36,2,12,10,40,100,161.1333333,0.813333333
282,1,1,9.784,134.0,2,9,36,2,4,10,60,100,179.6666667,1.84
283,1,1,9.784,134.0,2,9,36,2,8,10,60,100,153.8,-0.397333333
284,1,1,9.784,134.0,2,9,36,2,12,10,60,100,150.7333333,-0.254666667
285,1,1,9.784,134.0,2,9,36,2,4,10,80,100,222.5666667,-12.13333333
286,1,1,9.784,134.0,2,9,36,2,8,10,80,100,166.1666667,-6.06
287,1,1,9.784,134.0,2,9,36,2,12,10,80,100,198.6666667,-0.9158
288,1,1,9.784,134.0,2,9,36,2,4,1,20,100,236.7666667,-3.646666667
289,1,1,9.784,134.0,2,9,36,2,8,1,20,100,211.3666667,1.916666667
290,1,1,9.784,134.0,2,9,36,2,12,1,20,100,182.6,0.651
291,1,1,9.784,134.0,2,9,36,2,4,1,40,100,179.9,-1.32
