group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.1846,0.9972,-5.8535,3.4844,False
DT,MLP,6.266,0.0011,1.597,10.935,True
DT,MLR,6.4154,0.0007,1.7464,11.0843,True
DT,PLS,6.478,0.0006,1.809,11.147,True
DT,RF,0.0106,1.0,-4.6584,4.6795,False
DT,XGB,-0.2913,1.0,-4.9603,4.3777,False
DT,kNN,4.8827,0.0324,0.2138,9.5517,True
DT,lasso,6.8499,0.0002,2.181,11.5189,True
LGBM,MLP,7.4506,0.0,2.7816,12.1195,True
LGBM,MLR,7.6,0.0,2.931,12.2689,True
LGBM,PLS,7.6626,0.0,2.9936,12.3315,True
LGBM,RF,1.1951,0.997,-3.4738,5.8641,False
LGBM,XGB,0.8933,0.9996,-3.7757,5.5622,False
LGBM,kNN,6.0673,0.0019,1.3983,10.7363,True
LGBM,lasso,8.0345,0.0,3.3655,12.7035,True
MLP,MLR,0.1494,1.0,-4.5196,4.8184,False
MLP,PLS,0.212,1.0,-4.457,4.881,False
MLP,RF,-6.2554,0.0011,-10.9244,-1.5864,True
MLP,XGB,-6.5573,0.0005,-11.2263,-1.8883,True
MLP,kNN,-1.3832,0.9918,-6.0522,3.2857,False
MLP,lasso,0.584,1.0,-4.085,5.2529,False
MLR,PLS,0.0626,1.0,-4.6064,4.7316,False
MLR,RF,-6.4048,0.0007,-11.0738,-1.7358,True
MLR,XGB,-6.7067,0.0003,-11.3757,-2.0377,True
MLR,kNN,-1.5326,0.9839,-6.2016,3.1363,False
MLR,lasso,0.4346,1.0,-4.2344,5.1035,False
PLS,RF,-6.4674,0.0006,-11.1364,-1.7985,True
PLS,XGB,-6.7693,0.0003,-11.4383,-2.1003,True
PLS,kNN,-1.5953,0.9793,-6.2642,3.0737,False
PLS,lasso,0.3719,1.0,-4.297,5.0409,False
RF,XGB,-0.3019,1.0,-4.9708,4.3671,False
RF,kNN,4.8722,0.0331,0.2032,9.5411,True
RF,lasso,6.8394,0.0002,2.1704,11.5083,True
XGB,kNN,5.174,0.0172,0.5051,9.843,True
XGB,lasso,7.1412,0.0001,2.4723,11.8102,True
kNN,lasso,1.9672,0.9285,-2.7018,6.6362,False
