Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_B16
24,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,285.2666667,0.270666667,-8.583333333,12,0.199600798,80,0.99009901,1.504
25,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,431.4,0.301666667,-6.4,4,0.199600798,20,1.960784314,2.251
26,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,265.1333333,0.512666667,-3.806666667,8,0.199600798,20,1.960784314,2.442
27,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1283.4,0.621666667,-1.361666667,12,0.199600798,20,1.960784314,2.079
28,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,281.9333333,0.463333333,-5.183333333,4,0.199600798,40,1.960784314,2.442
29,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,247.4666667,0.442333333,-2.506666667,8,0.199600798,40,1.960784314,1.705
30,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,230.4,0.252,-2.166666667,12,0.199600798,40,1.960784314,2.526
31,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,215.5666667,0.283333333,0.091,4,0.199600798,60,1.960784314,1.5
32,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,221.9666667,0.240333333,-0.125666667,8,0.199600798,60,1.960784314,1.5
33,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,234.9333333,0.281333333,0.407333333,12,0.199600798,60,1.960784314,1.705
34,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,172.3666667,0.537333333,-25.33333333,4,0.199600798,80,1.960784314,1.609
35,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,163.9833333,0.436166667,-6.63,8,0.199600798,80,1.960784314,1.5
36,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,247.1,0.323,-11.83333333,12,0.199600798,80,1.960784314,1.5
37,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,303.8,0.320333333,-4.81,4,0.199600798,20,9.090909091,1.946
38,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,462.6666667,0.568333333,-3.45,8,0.199600798,20,9.090909091,1.705
39,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,947.7666667,0.293,-0.677333333,12,0.199600798,20,9.090909091,1.872
40,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,242.8,0.251,1.363333333,4,0.199600798,40,9.090909091,1.946
41,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,182.1,0.263,-1.420666667,8,0.199600798,40,9.090909091,1.504
42,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,252.6333333,0.273666667,-2.366666667,12,0.199600798,40,9.090909091,1.5
43,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,242.8,0.252666667,-1.566666667,4,0.199600798,60,9.090909091,1.5
44,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,202.9666667,0.257333333,-2.063333333,8,0.199600798,60,9.090909091,1.5
45,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,142.2666667,0.268333333,-0.186,12,0.199600798,60,9.090909091,1.5
46,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,154.0833333,0.3755,-22.66666667,4,0.199600798,80,9.090909091,1.5
47,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,172.25,0.288833333,-0.437,8,0.199600798,80,9.090909091,1.5
48,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,175.9333333,0.234333333,-2.24,12,0.199600798,80,9.090909091,1.5
49,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1859.333333,0.579,-19.73333333,4,0.199600798,20,50.0,1.5
50,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,487.5,0.492333333,-3.413333333,8,0.199600798,20,50.0,1.5
51,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1049.966667,0.215333333,-2.423333333,12,0.199600798,20,50.0,1.5
52,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,370.2333333,0.760333333,-25.56666667,4,0.199600798,40,50.0,1.5
53,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1164.833333,0.693666667,-15.7,8,0.199600798,40,50.0,1.5
54,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1153.333333,0.461,-4.87,12,0.199600798,40,50.0,1.5
55,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1720.666667,0.716333333,-28.26666667,4,0.199600798,60,50.0,1.504
56,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,214.1666667,0.147333333,-17.83333333,8,0.199600798,60,50.0,1.5
57,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1034.266667,0.683333333,-5.81,12,0.199600798,60,50.0,1.5
58,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,476.1166667,0.131333333,-6.776666667,4,0.199600798,80,50.0,1.5
59,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,418.8333333,0.151833333,-5.44,8,0.199600798,80,50.0,1.5
60,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,268.4333333,0.102,-4.47,12,0.199600798,80,50.0,1.5
61,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,514.5666667,0.964,-1.836666667,4,0.99009901,20,0.497512438,3.178
62,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,209.0,0.518,-1.497333333,8,0.99009901,20,0.497512438,2.862
63,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,296.5333333,0.349333333,-1.007333333,12,0.99009901,20,0.497512438,1.705
64,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,75.20666667,0.609333333,-1.843333333,4,0.99009901,40,0.497512438,2.303
65,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,210.5666667,0.548,-0.593366667,8,0.99009901,40,0.497512438,2.89
66,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,184.1666667,0.46,-7.61,12,0.99009901,40,0.497512438,2.14
67,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,133.6666667,0.504666667,-4.72,4,0.99009901,60,0.497512438,2.251
