,XGB,RF,LGBM,DT,kNN,lasso,PLS,MLR
0,0.008309703812095282,0.015697768217262653,0.00035319299070968313,0.07589405754235001,0.060810120361808995,0.042208384846122826,0.0539272848776324,0.07657904485123593
1,0.0614959484837202,0.05928340951868788,0.06656368880722863,0.026378058617908068,0.09477766043612523,0.005561214052172053,0.025151951463989852,0.049125991089292886
2,0.057919680030476095,0.014563054584565804,0.03675029870304497,0.0563547548624182,0.011194936776583342,0.10475363886220046,0.10152282725465528,0.11596947189829293
3,0.11230471109183571,0.08672223716052702,0.10075855704464592,0.07134534373039345,0.023926196083985662,0.05054579118325453,0.09492302475954886,0.10939796675413202
4,0.034819826487733185,0.018465985479967695,0.037507793932966216,0.07883839741866086,0.04777272806362831,0.013672157655810646,0.01692008449350918,0.030786167520073127
5,0.017308247108618446,0.007055660123689189,0.02399959346878114,0.0023527830061845223,0.00229822207367808,0.06495181060044197,0.0549225001699552,0.027381055641940932
6,0.1510364383130537,0.06190239311642906,0.15770959241315174,0.0909742762391324,0.15517438215112234,0.09813831713970922,0.03757818266655233,0.0318846391076075
7,0.010657842071442936,0.03987496638881444,0.03295913680513107,0.004974455498789998,0.07928468630563038,0.04389914649251936,0.07436338073073501,0.09656761925651916
8,0.017078501205669894,0.020775746168324893,0.006455528974678104,0.20996907770906145,0.06678860596141628,0.042808473267603675,0.036177487687362286,0.012285377102728645
9,0.046081269442890926,0.08124764721699401,0.07146914468321514,0.015931702070449028,0.006914602367612432,0.0682708070775554,0.08160507547486301,0.10828042631036389
10,0.016293353765489682,0.05133100295778448,0.03614605536380383,0.08073406829792962,0.10546339881554578,0.0414634917069443,0.08579451894209345,0.09753273636230936
11,0.009196877479553223,0.019518687819306255,0.021941220770744205,0.008671685937079857,0.03777295865508799,0.3182676425404418,0.2601558920705086,0.2685837695104459
12,0.00782686471939087,0.017178004840010752,0.006861184155132039,0.0,0.18200874335375644,0.3482513333973189,0.339732163349786,0.31674145593942643
13,0.0068995622528851275,0.021964237698305522,0.018329859796847647,0.03152729228287182,0.23863330583092068,0.284678797357524,0.35046336413038437,0.3460575671393807
14,0.21309692785444362,0.23285291745092762,0.2242749753353453,0.21144796988437753,0.23212572556955569,0.046648913906448014,0.014241333461712746,0.000214621108280761
15,0.05725458963932162,0.06131755848346321,0.06970599437757113,0.08118221744196463,0.031884291786960284,0.062002922090091644,0.1012517845219724,0.11576669302039885
16,0.08215484609684653,0.05739983866630824,0.08739227061246088,0.07953366880497825,0.07995634561031006,0.1523315657634272,0.20484447099223718,0.2178931838936085
17,0.061513819163061645,0.026000268889486533,0.10479994516984739,0.00806668459263249,0.0032552277692003972,0.10656726521137991,0.12297431632438718,0.14798275685284276
18,0.023349565014335272,0.004165098144662677,0.001938864400912954,0.018575782020256365,0.06864711900362733,0.06101063629857614,0.06280732567537864,0.09118353310697752
19,0.11134537823676549,0.09191852648561466,0.1674932238114037,0.04994622210271582,0.07178147280770325,0.18177052040335848,0.2116183229465252,0.22529311604668678
20,0.13751643255020407,0.11111858026351164,0.12698580241525634,0.09550954557676787,0.16962728708874944,0.1882515576570208,0.20381851286385114,0.23053876711733182
