,LGBM,XGB,RF,kNN,DT,lasso,MLR,PLS
0,0.11588139223300803,0.0653617750949369,0.1439602947196072,0.13149901870999509,0.3415882112157184,0.15644151192902922,0.17973692142963388,0.16957684226331693
1,0.23719219461101193,0.17459046682079848,0.13859325965343106,0.2520652445336149,0.06620957838722885,0.23304817736995637,0.30225608670109305,0.2917363974487456
2,0.6261869091062039,0.5768793225288391,0.581904761904761,0.44239618876789844,0.7314776913630783,0.49310549741401155,0.5084117575519828,0.5141409315070565
3,0.03582896220155318,0.06188770985925385,0.0384977486696686,0.18961307332319505,0.047891936144085046,0.22708701888170785,0.25520089871235524,0.24700205387902646
4,0.08347218080125096,0.026486273212994904,0.10493894119252334,0.330952142024079,0.2644289807613589,0.20872178843839262,0.2336695929624143,0.22691784132394477
5,0.18222669791205076,0.2534393195826843,0.18739800791376726,0.17132382959650316,0.011410151453131512,0.21260770509191446,0.31126205388832107,0.3028120976956834
6,0.13642941208345305,0.020264934454108596,0.0328424750989218,0.11920306413851678,0.011768317642243065,0.16534850799464712,0.16562318953403582,0.15766630426042938
7,0.21616706962773935,0.15035861657381155,0.1932906945012961,0.19307126699438348,0.1686451084731887,0.3178328018745679,0.3180531547630225,0.31050482213670283
8,0.33330619070554013,0.3260823043213483,0.31436962750716413,0.26504734118800377,0.13804748260335653,0.38492799677204803,0.44824229974237245,0.4402784863295012
9,0.05145246565891404,0.021874269073340336,0.008905375903943413,0.015406137907164719,0.07674989766680307,0.25755045212660493,0.207175571367045,0.21223022339943692
10,0.11591900368617258,0.12428559634317593,0.10832787556283208,0.19473874951883496,0.07623823168235777,0.24474685676942937,0.3051922629541108,0.2987028444357363
11,0.05153074340832353,0.002680194997611851,0.053372219948151445,0.07807560285942283,0.02916496111338529,0.15236107712412478,0.18461520335046955,0.18082051276905076
12,0.03897300622124289,0.041989417042929356,0.055230590803655666,0.03826312457523662,0.005730659025787954,0.16120278758610807,0.25264418434644786,0.24467940248062742
13,0.026604449292244925,0.020164994128746727,0.0970166462000277,0.09543106906519583,0.09598853868194834,0.2490046523510271,0.2964876760224994,0.2910490625470938
14,0.0242545744256617,0.0338559776020011,0.10567642243143716,0.2623668390443623,0.12525583299222265,0.23657470774326717,0.16140594942617204,0.15615385789206937
15,0.04370556722490454,0.038571764163389366,0.0556972301814711,0.35983097136683273,0.04656160458452724,0.2568906919693314,0.25603341640771055,0.26361546104586603
16,0.04023574551794684,0.017125646098441805,0.07926627097830519,0.2201134100514865,0.0017908309455587634,0.32892939523750825,0.25328430365222154,0.2634363631065372
17,0.03348761200132952,0.08644914825919997,0.1947441670077774,0.11306720953994465,0.060427752762996334,0.26732321289478356,0.2169844534378076,0.224382370999831
18,0.10450766056509492,0.06899694711079724,0.036061195251739675,0.03788623266558555,0.09588620548505944,0.012318407420469357,0.029020693267226783,0.022041306479919476
19,0.10880390188048494,0.15797716719519644,0.1290254468549608,0.0784602621671866,0.14991813344248872,0.017983047291184107,0.0011349641692138812,0.004524680017641058
20,0.3943300725512323,0.4474682678368264,0.4062989493791785,0.32524204147094476,0.4530290626279165,0.41773012185533964,0.47755756627592855,0.48320168898348675
21,0.05315610114688088,0.007601807998722787,0.12603083640332952,0.18923400951308206,0.0028141629144494695,0.3307164418256132,0.2452215681205001,0.2500480482790406
22,0.10999694512331326,0.19310335764326725,0.11468481375358208,0.11583383453871743,0.4246827670896439,0.10510951950210423,0.10848348164776811,0.10195920854296453
23,0.06454300327289292,0.03898078120247622,0.020978987583571196,0.06283325282577562,0.0023536635284485685,0.030397344894970424,0.05106762964253381,0.0577249244196148
24,0.13721241835394699,0.21476836245761666,0.15302258152544723,0.14666484950368708,0.5973188702415064,0.09763163176510581,0.002727008336659842,0.008833542806850225
25,0.0584759827208815,0.10592275398020568,0.11413016782644414,0.07657340917644129,0.42836676217765046,0.10405036976323773,0.10093759874932279,0.09468893718780241
26,0.06519995267014245,0.15260463095423732,0.11149167689998624,0.07314515905000168,0.12668849774866975,0.1583459193919819,0.13115221768423302,0.13901742280647478
27,0.027180295116822184,0.049242684112139834,0.025595579205894725,0.07019847902981902,0.5291649611133851,0.024512643411648383,0.07052320825215419,0.07588972377893566
28,0.023646647594886328,0.08592258241886103,0.033970186928639734,0.05708244361356474,0.23352435530085958,0.20152707259106,0.2313003007327476,0.2385699615846914
29,0.10535935255458101,0.0915980863366222,0.07835448219402374,0.016598778300569716,0.2514326647564469,0.10042052826678577,0.13033300177589563,0.1335598975214045
30,0.27546332102729015,0.22366186678775546,0.2661938872970396,0.3739632686925839,0.5260949652067131,0.4684623437737191,0.4608763243723103,0.4690447811977142
