,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI
0,0,1,9.3028,149.0,3,10,1,4,200,20,500,440.1666667,-7.193333333,0.292666667
1,0,1,9.3028,149.0,3,10,1,8,200,20,500,320.9666667,-5.036666667,0.187666667
3,0,1,9.3028,149.0,3,10,1,4,200,40,500,236.0666667,-4.42,0.359666667
4,0,1,9.3028,149.0,3,10,1,8,200,40,500,188.6,-3.686666667,0.308666667
5,0,1,9.3028,149.0,3,10,1,12,200,40,500,248.3,-2.553333333,0.374333333
6,0,1,9.3028,149.0,3,10,1,4,200,60,500,221.0666667,-1.06,0.257
7,0,1,9.3028,149.0,3,10,1,8,200,60,500,206.6333333,1.177333333,0.367333333
8,0,1,9.3028,149.0,3,10,1,12,200,60,500,239.3,-0.068333333,0.301
12,0,1,9.3028,149.0,3,10,1,4,100,20,500,395.5333333,-9.85,0.062333333
13,0,1,9.3028,149.0,3,10,1,8,100,20,500,412.0666667,-4.376666667,0.177666667
15,0,1,9.3028,149.0,3,10,1,4,100,40,500,218.7666667,-4.306666667,0.298
16,0,1,9.3028,149.0,3,10,1,8,100,40,500,221.7666667,-1.85,0.319666667
17,0,1,9.3028,149.0,3,10,1,12,100,40,500,491.3333333,-4.253333333,0.671
18,0,1,9.3028,149.0,3,10,1,4,100,60,500,227.4,0.728366667,0.285666667
19,0,1,9.3028,149.0,3,10,1,8,100,60,500,217.1,-0.417,0.286333333
20,0,1,9.3028,149.0,3,10,1,12,100,60,500,241.5666667,-2.663333333,0.296333333
24,0,1,9.3028,149.0,3,10,1,4,50,20,500,431.4,-6.4,0.301666667
25,0,1,9.3028,149.0,3,10,1,8,50,20,500,265.1333333,-3.806666667,0.512666667
27,0,1,9.3028,149.0,3,10,1,4,50,40,500,281.9333333,-5.183333333,0.463333333
28,0,1,9.3028,149.0,3,10,1,8,50,40,500,247.4666667,-2.506666667,0.442333333
29,0,1,9.3028,149.0,3,10,1,12,50,40,500,230.4,-2.166666667,0.252
