,RF,LGBM,XGB,kNN,DT,PLS,MLR,lasso
0,0.30029271280734543,0.2643346409978255,0.025010228157043457,0.055530509741370665,0.347843137254902,0.03421870130758212,0.030878970629178375,0.1276406015548902
1,0.3308830853174608,0.28129156678532435,0.18806010484695435,0.2012704265555003,0.0126470588235294,0.3241251472833725,0.32108984061621093,0.16343761094471285
2,0.025642088001867406,0.0008722263788106402,0.08520969748497009,0.05479560439928484,0.09931372549019613,0.1213166573972741,0.12228264519626755,0.06336949001931448
3,0.03334349673202612,0.038167578610438256,0.06007090210914612,0.0,0.17803921568627457,0.050475467072210733,0.04935789072242161,0.09903888456829585
4,0.13668372938064124,0.10915136947557541,0.22640594840049744,0.1305894182657711,0.008921568627450971,0.056915530023229355,0.05613904032649983,0.11070204528389582
5,0.19570958702925612,0.20483620615273962,0.008008778095245361,0.0,0.0,0.06983594823560144,0.0698833614266885,0.11144575706236093
6,0.2325575871459695,0.23522432812528762,0.03751066327095032,0.0,0.0,0.05074750706443959,0.05100452221889714,0.177100146380659
7,0.07848605956271393,0.03907485946373841,0.02828112244606018,0.05912229631337296,0.0,0.004928360896179429,0.0046194685013945785,0.1264549029038985
8,0.10499356734360407,0.04704784720232394,0.06880408436644303,0.12727272516589308,0.0,0.006922849095093775,0.005163060201727645,0.10588963804732582
9,0.006083839869281041,0.0462165181776835,0.031178385019302368,0.05136861460109994,0.22098039215686271,0.05006828304722685,0.05259713465921448,0.0877291468199759
10,0.005774566993464049,0.03577795612515836,0.019252389669418335,0.0,0.0,0.007622092894621485,0.0056210014784089215,0.10099588572388873
11,0.019722630718954248,0.01965314051384453,0.0009535253047943115,0.024539908532826647,0.0,0.013055025810921717,0.015095297068824542,0.04199538439546524
12,0.2678555450513538,0.23964269135175784,0.013770073652267456,0.0,0.0,0.01634175837827051,0.018518018491054257,0.10353349274993873
13,0.3192886472922502,0.3064663829461977,0.07190433144569397,0.016323933378290842,0.0,0.039479675773674144,0.04036062552404528,0.14585330516551892
14,0.2962387394957983,0.2673861234728927,0.256876334512935,0.347782480016067,0.12509803921568619,0.0010469274093079795,0.00037515455455331196,0.1201458382035781
15,0.007242487161531276,0.005970988345205265,0.05473537611026402,0.2562220149519563,0.0,0.008447703154856212,0.00799170400328933,0.09646824497702394
16,0.0035616258169934604,0.038134637598302136,0.11043699545018826,0.25419709566065046,0.0,0.000133072603718698,0.0022650364420272458,0.1491555253476437
17,0.016606217320261442,0.03555724842499969,0.1412886555288353,0.010297793634005403,0.0,0.08842968205851656,0.0875091460422886,0.23048387270975398
18,0.18013376984126978,0.15439311238189046,0.08942873206793078,0.22162311626515857,0.0,0.01365875405709771,0.013261368673718521,0.12677596193014345
19,0.007081091269841267,0.020836321829556314,0.26331348807204014,0.07812092580392355,0.0,0.20807091522215826,0.20767328759596004,0.08085325207299576
20,0.012994535286336744,0.0024601097460178736,0.27406917527610186,0.12364371908684968,0.0,0.08333138950122293,0.08464957388936045,0.11894678958125725
21,0.08792857570806087,0.04768787004369258,0.3389187193851846,0.6265648448191388,0.06313725490196076,0.11693729947767681,0.11859526477122957,0.11476436777306205
22,0.06197516573295986,0.05571922806617135,0.4442933824249342,0.17411967923000582,0.0,0.18721730175452067,0.18797549919948653,0.013676880852925538
23,0.030731400949268597,0.014495756848635433,0.2542619901544909,0.027459372654034087,0.3327450980392158,0.23883143048526112,0.23956139798217574,0.41459050709259493
24,0.031992581699346406,0.055304816903053736,0.3604129740771127,0.13198935628221575,0.29333333333333333,0.2695156169218948,0.2713722547836675,0.1896258663294154
25,0.1567528075396818,0.0072522509299424165,0.04345060278387636,0.3446953752104129,0.06117647058823539,0.2860441686825263,0.2878781417592383,0.30373836653219
26,0.11469427209772809,0.0995537753925092,0.13979684633367206,0.12136711404470302,0.020588235294117574,0.08927477381668136,0.08765001104212494,0.05897785535104705
27,0.18267117296918767,0.13029479766225852,0.11636301875114441,0.18617184961843247,0.3108823529411766,0.19378085644906906,0.19443543803729385,0.11586675316718213
28,0.2813191790453554,0.18206512293163413,0.4057723376330208,0.0024316139936799985,0.1893137254901961,0.471381168082168,0.47032080482033933,0.2993324808049722
29,0.2990622482705201,0.3099975802836571,0.42184028029441833,0.5396829007271381,0.04117647058823537,0.5659821733965902,0.5646869252354005,0.33146311340323353
30,0.13690141143578627,0.18500276773839702,0.5322353839874268,0.2619804908597663,0.18431372549019598,0.4901673905462336,0.4925670108533455,0.14208522824132908
31,0.029227556605975646,0.021574392525590735,0.23129889107217982,0.07873362558621676,0.2919607843137254,0.1697083476373069,0.17007462478382002,0.09426304585753742
32,0.21991232065048216,0.3319550724126411,0.14708750498061085,0.07620657951850568,0.6131372549019609,0.0033676006710496864,0.004225630333342945,0.44485366594440023
33,0.07428271981014589,0.19526771517076646,0.37489051122291417,0.45580001006257387,0.21862745098039216,0.2187267697176184,0.21680359081426112,0.225672308670818
34,0.31195243327886635,0.292841609910926,0.18165105754253918,0.02599034112779819,0.3036274509803922,0.24240068417416483,0.24173094710706272,0.6890849710767065
35,0.1376313836367882,0.11369657530053759,0.03879983864578551,0.03728587598835931,0.5100000000000001,0.3756168349649728,0.37670346549317296,0.2547539508019532
36,0.345517150638033,0.34190104296176854,0.00021072570015401304,0.05841307014070696,0.432156862745098,0.08453689383847085,0.08461021597453,0.30579246165888824
37,0.28373785286336733,0.38761404706682856,0.07700363322800285,0.13952464313160517,0.04980392156862745,0.2588613887084524,0.25686457882014285,0.4530582674070074
