,LGBM,RF,XGB,DT,kNN,MLR,PLS,lasso
527,0.0054087826012115285,0.16319151234277174,0.1327180164039221,0.0,0.503898875819765,0.7692701106194637,0.7668017711010204,0.08453982973415503
528,0.0015998103701472997,0.3781962095665116,0.29668698387254167,0.0,0.2769995383805547,0.6448297296679868,0.6437197405392026,0.586094171688266
529,0.0104457561587052,0.14427007780561796,0.15279145584593168,0.09455360675194514,0.19461544360069327,0.20265760174143366,0.19879457530075695,0.2158640487443751
530,0.012994083600327366,0.01773715328146292,0.049830108880996704,0.0,0.015149912888202036,0.08531280912293579,0.0823011019316628,0.032752650030421826
531,0.007218576542234766,0.0008985010330124404,0.0003196299076080322,0.0,0.016290753680766025,0.13262980663170446,0.13314086704468725,0.07287689278703041
532,0.006810720738900219,0.001744252494615148,0.0065048933029174805,0.1001912171963603,0.015664187292030566,0.1317213682519069,0.1298717345269196,0.008486671080199043
533,0.007455075011307933,0.0049158204756253035,0.012794733047485352,0.0,0.008714435938930665,0.1621113706655383,0.1604972197269428,0.06679035448090465
534,0.0018689366361454378,0.0037858806980526644,0.0038647055625915527,0.0,0.023311503404793776,0.12390070856916278,0.12525340745984953,0.021988621734024494
535,0.002181303263216691,0.24119279968350263,0.24590996469794868,0.0,0.03348758220059532,0.18845653646389582,0.18251732853291913,0.18784222829192318
536,0.004571421030521773,0.011277418787639017,0.019199073314666748,0.010945536067519454,0.18812378213720524,0.2172139407949341,0.215954635231346,0.08234623996845804
537,0.009631256217523589,0.0008501472592201857,0.0018071234226226807,0.0,0.1305708294690383,0.10456055096308398,0.10398083993456442,0.04681943839932409
538,0.00703704078590259,0.028868257945404197,0.03474909067153931,0.0,0.3070727614930651,0.20339029995282518,0.19782607374847627,0.07672972660136984
539,0.004950149560163043,0.0005134291617213946,0.00015607476234436035,0.0,0.6086400979918425,0.6849101940209698,0.682894807376475,0.09210281254512986
540,0.049863975698665894,0.0024320849268099714,0.014764994382858276,0.08037715943557963,0.34556392756189414,0.6125810927201875,0.6104799643713792,0.08677322777599206
541,0.012503643331734596,0.002226823157061849,0.002253502607345581,0.09455360675194514,0.2742459743458723,0.6155350640921858,0.6176513488844072,0.04906801396567961
542,0.015437067955867332,0.0023935118027166033,0.002801746129989624,0.0,0.043427744304569665,0.04348759114957082,0.043383011184726,0.03591660306451086
543,0.0030369363874297546,0.003411116972174603,0.016804516315460205,0.0,0.0,0.0329041476531193,0.04247420749132354,0.031102373544382084
544,0.0030369363874297546,0.0306223570266825,0.031691670417785645,0.0,0.0,0.04801778315652877,0.044847186706123796,0.0069956390740052166
545,0.0030369363874297546,0.0033377919280596323,0.006258130073547363,0.0,0.0,0.03642052068138832,0.045035795777860516,0.019056922338889865
546,0.0027216515480299767,0.014625697832871775,0.03683927655220032,0.0,0.014477140127511662,0.02484204966870343,0.024776499468833826,0.00522778984776448
547,0.0016654907702893247,0.016719984551911232,0.05375674366950989,0.0,0.1734456840259953,0.13786701042187466,0.13677358890955324,0.08000272177787916
548,0.0015839503930573158,0.008360653215525959,0.0009898841381072998,0.0,0.11184946168530577,0.11692854102224638,0.11349324141912405,0.08492768310845526
549,0.0030369363874297546,0.0,0.0023761391639709473,0.0,0.0,0.06824900680348395,0.07136136153139519,0.0596004642990024
550,0.003291232247306951,0.002769352499010946,0.003187716007232666,0.0,0.0,0.09137742488094813,0.09477808573376224,0.062222648357567356
551,0.001614902741589407,0.0013864345685524642,0.0007430911064147949,0.0,0.0,0.019293493147400587,0.019826561353654487,0.04110632033775177
552,0.004377905872288391,0.0010385071871291047,0.003554701805114746,0.0,0.009700994281280318,0.009753446053831355,0.009383761383743167,0.00030926130772976346
553,0.001614902741589407,0.025535678177376717,0.06341692805290222,0.0,0.07217094736994875,0.051685354979817494,0.04888074440417689,0.07784243162071602
554,0.0015333623643573981,0.008740516066640294,0.012604117393493652,0.0,0.05303438805850938,0.05228669553072908,0.0483690915267661,0.08549266057362646
555,0.003291232247306951,0.005243527188008263,0.006024062633514404,0.0,0.0,0.05384636080580632,0.05679653456261101,0.11465293666372997
556,0.001614902741589407,0.01147408677304497,0.0048656165599823,0.0,0.0,0.03892933794070619,0.04279504082390299,0.022063806058469915
557,0.004377905872288391,0.010004857356367313,0.010949820280075073,0.0,0.0,0.07013609436375515,0.06515546371311108,0.017405106996637804
558,0.0049828593280621366,0.002110092751329729,0.0020444393157958984,0.0,0.07917476630505575,0.08315551576177282,0.08589278751417787,0.027905522580448677
559,0.00155365179674566,0.007459888346740518,0.005149662494659424,0.0,0.0,0.10276660770083529,0.10658728779354137,0.018426905408673783
560,0.004571421030521773,0.013228823244977806,0.021773338317871094,0.0,0.0,0.050222904508508914,0.05055963594041306,0.047016216395619925
561,0.004380568860886068,0.1323182745866381,0.12272702305074523,0.0,0.0,0.008927706129048835,0.0068557646670226735,0.15960442287435164
562,0.009020268767062562,0.04233093762363183,0.03783184289932251,0.0,0.0,0.014920472267756252,0.016067133075474443,0.04333066301325417
563,0.007891406062007627,0.014371356982724523,0.015093117952346802,0.0,0.0,0.00903118339898032,0.011344195290196521,0.0494165070202755
564,0.009274564626939761,0.004302167128225419,0.0006769895553588867,0.09307002505604645,0.0,0.0008776963230344159,0.0011325992210275831,0.082969171034748
565,0.06866919732918178,0.007390192975515408,0.007421553134918213,0.07319003033100363,0.0,0.06252369930063911,0.06440728175250654,0.019995534577118446
566,0.011361455852679316,0.013287814849004353,0.0186518132686615,0.0,0.0,0.047088637532848504,0.04957158712600508,0.005215688684237885
567,0.12237931755296973,0.3191320937184053,0.3228841708177441,0.0421007516813926,0.0,0.019904421316644744,0.016256148881094765,0.29830477973648417
568,0.004950149560163043,0.006087234603718845,0.00526002049446106,0.0,0.07701437425820917,0.04186349159390257,0.04272084733269474,0.06081423187811161
569,0.0037171016583762762,0.011137500549474702,0.013651162385940552,0.0,0.0,0.07998571781584245,0.08209527228050276,0.05933113215333988
570,0.011959408030791025,0.0055048133983911385,0.0005860626697540283,0.0,0.0,0.08198419840880151,0.08508586687860185,0.0718094133205183
571,0.003721272611875624,0.0037151083564112715,0.0041269659996032715,0.1001912171963603,0.12019882851220036,0.10558596608817433,0.10009800148000307,0.05375672380542848
572,0.0030369363874297546,0.0,0.0014109611511230469,0.0,0.023397634724658032,0.07730681131543643,0.07458187552201888,0.016007260856295502
