,HEK293,HepG2,N2a,ARPE19,B16,PC3
,,,,,,
RF,0.770453458,0.865099401,0.878018795,0.861675034,0.8794867,0.857409901
,,,,,,
MLR,0.51589954,0.524201557,0.521911401,0.305323951,0.549084875,0.693511503
,,,,,,
lasso,0.600671923,0.524866821,0.535048896,0.29554145,0.553326252,0.696622054
,,,,,,
PLS,[0.6123829908702921],[0.5223283099002989],[0.5219114014235392],[0.30535259339881987],[0.5483993228872773],[0.693511582576541]
,,,,,,
kNN,0.72679692,0.666112743,0.835919065,0.826211101,0.81038965,0.847289321
,,,,,,
LGBM,0.859571063,0.878792631,0.893135579,0.859016526,0.925011812,0.873862912
,,,,,,
XGB,0.78971753,0.872776385,0.895710136,0.869442654,0.93159245,0.885556128
,,,,,,
DT,0.774595863,0.793382485,0.830517317,0.747798824,0.842106612,0.8378089
