,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_PC3
0,1,18PG,0,1,9.3028,3,10,36,1,4,200,20,500,440.1666667,0.292666667,-7.193333333,2.079
1,2,18PG,0,1,9.3028,3,10,36,1,8,200,20,500,320.9666667,0.187666667,-5.036666667,2.251
2,3,18PG,0,1,9.3028,3,10,36,1,12,200,20,500,205.6333333,0.408666667,-0.522666667,1.609
3,4,18PG,0,1,9.3028,3,10,36,1,4,200,40,500,236.0666667,0.359666667,-4.42,2.14
4,5,18PG,0,1,9.3028,3,10,36,1,8,200,40,500,188.6,0.308666667,-3.686666667,1.705
5,6,18PG,0,1,9.3028,3,10,36,1,12,200,40,500,248.3,0.374333333,-2.553333333,2.197
6,7,18PG,0,1,9.3028,3,10,36,1,4,200,60,500,221.0666667,0.257,-1.06,2.526
7,8,18PG,0,1,9.3028,3,10,36,1,8,200,60,500,206.6333333,0.367333333,1.177333333,1.253
8,9,18PG,0,1,9.3028,3,10,36,1,12,200,60,500,239.3,0.301,-0.068333333,1.504
9,10,18PG,0,1,9.3028,3,10,36,1,4,200,80,500,228.7,0.5935,-24.26666667,1.609
10,11,18PG,0,1,9.3028,3,10,36,1,8,200,80,500,195.4666667,0.445,-14.43333333,1.792
11,12,18PG,0,1,9.3028,3,10,36,1,12,200,80,500,211.95,0.466166667,-1.853333333,1.253
12,13,18PG,0,1,9.3028,3,10,36,1,4,100,20,500,395.5333333,0.062333333,-9.85,1.609
13,14,18PG,0,1,9.3028,3,10,36,1,8,100,20,500,412.0666667,0.177666667,-4.376666667,1.0
14,15,18PG,0,1,9.3028,3,10,36,1,12,100,20,500,288.7666667,0.699333333,-1.413,1.099
15,16,18PG,0,1,9.3028,3,10,36,1,4,100,40,500,218.7666667,0.298,-4.306666667,1.504
16,17,18PG,0,1,9.3028,3,10,36,1,8,100,40,500,221.7666667,0.319666667,-1.85,1.504
17,18,18PG,0,1,9.3028,3,10,36,1,12,100,40,500,491.3333333,0.671,-4.253333333,1.386
18,19,18PG,0,1,9.3028,3,10,36,1,4,100,60,500,227.4,0.285666667,0.728366667,1.386
19,20,18PG,0,1,9.3028,3,10,36,1,8,100,60,500,217.1,0.286333333,-0.417,1.504
20,21,18PG,0,1,9.3028,3,10,36,1,12,100,60,500,241.5666667,0.296333333,-2.663333333,1.504
21,22,18PG,0,1,9.3028,3,10,36,1,4,100,80,500,188.8333333,0.565833333,-25.4,1.099
22,23,18PG,0,1,9.3028,3,10,36,1,8,100,80,500,184.6,0.429666667,-17.4,1.386
23,24,18PG,0,1,9.3028,3,10,36,1,12,100,80,500,285.2666667,0.270666667,-8.583333333,1.099
24,25,18PG,0,1,9.3028,3,10,36,1,4,50,20,500,431.4,0.301666667,-6.4,1.0
25,26,18PG,0,1,9.3028,3,10,36,1,8,50,20,500,265.1333333,0.512666667,-3.806666667,1.253
26,27,18PG,0,1,9.3028,3,10,36,1,12,50,20,500,1283.4,0.621666667,-1.361666667,1.0
27,28,18PG,0,1,9.3028,3,10,36,1,4,50,40,500,281.9333333,0.463333333,-5.183333333,1.705
28,29,18PG,0,1,9.3028,3,10,36,1,8,50,40,500,247.4666667,0.442333333,-2.506666667,1.253
29,30,18PG,0,1,9.3028,3,10,36,1,12,50,40,500,230.4,0.252,-2.166666667,1.0
30,31,18PG,0,1,9.3028,3,10,36,1,4,50,60,500,215.5666667,0.283333333,0.091,1.253
31,32,18PG,0,1,9.3028,3,10,36,1,8,50,60,500,221.9666667,0.240333333,-0.125666667,1.253
32,33,18PG,0,1,9.3028,3,10,36,1,12,50,60,500,234.9333333,0.281333333,0.407333333,1.099
33,34,18PG,0,1,9.3028,3,10,36,1,4,50,80,500,172.3666667,0.537333333,-25.33333333,1.253
34,35,18PG,0,1,9.3028,3,10,36,1,8,50,80,500,163.9833333,0.436166667,-6.63,1.0
35,36,18PG,0,1,9.3028,3,10,36,1,12,50,80,500,247.1,0.323,-11.83333333,1.253
36,37,18PG,0,1,9.3028,3,10,36,1,4,10,20,500,303.8,0.320333333,-4.81,1.099
37,38,18PG,0,1,9.3028,3,10,36,1,8,10,20,500,462.6666667,0.568333333,-3.45,1.386
38,39,18PG,0,1,9.3028,3,10,36,1,12,10,20,500,947.7666667,0.293,-0.677333333,1.386
39,40,18PG,0,1,9.3028,3,10,36,1,4,10,40,500,242.8,0.251,1.363333333,1.386
40,41,18PG,0,1,9.3028,3,10,36,1,8,10,40,500,182.1,0.263,-1.420666667,1.386
41,42,18PG,0,1,9.3028,3,10,36,1,12,10,40,500,252.6333333,0.273666667,-2.366666667,1.0
42,43,18PG,0,1,9.3028,3,10,36,1,4,10,60,500,242.8,0.252666667,-1.566666667,1.253
43,44,18PG,0,1,9.3028,3,10,36,1,8,10,60,500,202.9666667,0.257333333,-2.063333333,1.099
44,45,18PG,0,1,9.3028,3,10,36,1,12,10,60,500,142.2666667,0.268333333,-0.186,1.504
45,46,18PG,0,1,9.3028,3,10,36,1,4,10,80,500,154.0833333,0.3755,-22.66666667,1.504
46,47,18PG,0,1,9.3028,3,10,36,1,8,10,80,500,172.25,0.288833333,-0.437,1.099
