,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta
234,1,1,9.784,2,36,2,4,1,60,500,224.5,4.343333333
235,1,1,9.784,2,36,2,8,1,60,500,195.0333333,5.876666667
236,1,1,9.784,2,36,2,12,1,60,500,179.0333333,6.29
237,1,1,9.784,2,36,2,4,1,80,500,237.6333333,6.303333333
238,1,1,9.784,2,36,2,8,1,80,500,164.9666667,11.93333333
239,1,1,9.784,2,36,2,12,1,80,500,171.5333333,8.72
240,1,1,9.784,2,36,2,4,200,20,100,177.0333333,-4.186666667
241,1,1,9.784,2,36,2,8,200,20,100,223.4,-2.646666667
242,1,1,9.784,2,36,2,12,200,20,100,169.1333333,-2.373333333
243,1,1,9.784,2,36,2,4,200,40,100,193.5,-1.616666667
244,1,1,9.784,2,36,2,8,200,40,100,139.0,-1.976666667
245,1,1,9.784,2,36,2,12,200,40,100,159.2333333,-2.136666667
246,1,1,9.784,2,36,2,4,200,60,100,171.7,-0.094333333
247,1,1,9.784,2,36,2,8,200,60,100,150.1333333,-1.95
248,1,1,9.784,2,36,2,12,200,60,100,177.5333333,-2.43
249,1,1,9.784,2,36,2,4,200,80,100,219.6333333,-15.26666667
250,1,1,9.784,2,36,2,8,200,80,100,141.4666667,-3.21
251,1,1,9.784,2,36,2,12,200,80,100,160.0333333,-4.51
252,1,1,9.784,2,36,2,4,100,20,100,176.9333333,-4.66
253,1,1,9.784,2,36,2,8,100,20,100,263.8333333,-6.34
254,1,1,9.784,2,36,2,12,100,20,100,303.3666667,-2.326666667
255,1,1,9.784,2,36,2,4,100,40,100,174.6666667,-3.043333333
256,1,1,9.784,2,36,2,8,100,40,100,148.9333333,-0.049066667
257,1,1,9.784,2,36,2,12,100,40,100,152.4666667,-1.993333333
258,1,1,9.784,2,36,2,4,100,60,100,164.2,-2.476666667
259,1,1,9.784,2,36,2,8,100,60,100,150.2666667,1.32
260,1,1,9.784,2,36,2,12,100,60,100,191.8,-1.426666667
261,1,1,9.784,2,36,2,4,100,80,100,241.5333333,-15.93333333
262,1,1,9.784,2,36,2,8,100,80,100,148.0333333,-3.53
263,1,1,9.784,2,36,2,12,100,80,100,155.5666667,-3.316666667
264,1,1,9.784,2,36,2,4,50,20,100,153.8666667,-3.213333333
265,1,1,9.784,2,36,2,8,50,20,100,203.9333333,-2.766666667
266,1,1,9.784,2,36,2,12,50,20,100,263.9333333,-1.060666667
267,1,1,9.784,2,36,2,4,50,40,100,170.0666667,-3.176666667
268,1,1,9.784,2,36,2,8,50,40,100,158.3666667,-1.57
269,1,1,9.784,2,36,2,12,50,40,100,130.9333333,0.963666667
270,1,1,9.784,2,36,2,4,50,60,100,160.7333333,-3.816666667
271,1,1,9.784,2,36,2,8,50,60,100,138.7333333,0.242266667
272,1,1,9.784,2,36,2,12,50,60,100,152.2333333,-1.88
273,1,1,9.784,2,36,2,4,50,80,100,189.0,-15.9
274,1,1,9.784,2,36,2,8,50,80,100,147.2,-5.523333333
275,1,1,9.784,2,36,2,12,50,80,100,148.5333333,-2.94
276,1,1,9.784,2,36,2,4,10,20,100,154.9,-5.373333333
277,1,1,9.784,2,36,2,8,10,20,100,230.9333333,-2.173333333
278,1,1,9.784,2,36,2,12,10,20,100,168.1666667,-0.284166667
279,1,1,9.784,2,36,2,4,10,40,100,164.0666667,-0.60825
280,1,1,9.784,2,36,2,8,10,40,100,478.0,-3.73
281,1,1,9.784,2,36,2,12,10,40,100,161.1333333,0.813333333
282,1,1,9.784,2,36,2,4,10,60,100,179.6666667,1.84
283,1,1,9.784,2,36,2,8,10,60,100,153.8,-0.397333333
284,1,1,9.784,2,36,2,12,10,60,100,150.7333333,-0.254666667
285,1,1,9.784,2,36,2,4,10,80,100,222.5666667,-12.13333333
286,1,1,9.784,2,36,2,8,10,80,100,166.1666667,-6.06
287,1,1,9.784,2,36,2,12,10,80,100,198.6666667,-0.9158
288,1,1,9.784,2,36,2,4,1,20,100,236.7666667,-3.646666667
289,1,1,9.784,2,36,2,8,1,20,100,211.3666667,1.916666667
290,1,1,9.784,2,36,2,12,1,20,100,182.6,0.651
291,1,1,9.784,2,36,2,4,1,40,100,179.9,-1.32
292,1,1,9.784,2,36,2,8,1,40,100,196.2,2.876666667
293,1,1,9.784,2,36,2,12,1,40,100,180.0,-3.013333333
294,1,1,9.784,2,36,2,4,1,60,100,197.7,0.54
295,1,1,9.784,2,36,2,8,1,60,100,148.4666667,4.106666667
296,1,1,9.784,2,36,2,12,1,60,100,171.6333333,1.651
297,1,1,9.784,2,36,2,4,1,80,100,253.0666667,-0.074666667
298,1,1,9.784,2,36,2,8,1,80,100,186.6333333,-5.6
299,1,1,9.784,2,36,2,12,1,80,100,150.0333333,6.683333333
300,1,1,9.784,2,36,2,4,200,20,10,274.6,-9.106666667
301,1,1,9.784,2,36,2,8,200,20,10,236.6,-4.033333333
302,1,1,9.784,2,36,2,12,200,20,10,405.4,-5.893333333
303,1,1,9.784,2,36,2,4,200,40,10,170.1333333,-5.413333333
304,1,1,9.784,2,36,2,8,200,40,10,176.6666667,-1.593333333
305,1,1,9.784,2,36,2,12,200,40,10,260.6666667,-1.943333333
306,1,1,9.784,2,36,2,4,200,60,10,153.6333333,-3.223333333
307,1,1,9.784,2,36,2,8,200,60,10,153.0333333,-1.48
308,1,1,9.784,2,36,2,12,200,60,10,149.9,-2.086666667
309,1,1,9.784,2,36,2,4,200,80,10,133.1,-3.64
310,1,1,9.784,2,36,2,8,200,80,10,138.3666667,-33.9
311,1,1,9.784,2,36,2,12,200,80,10,136.2333333,-2.783333333
312,1,1,9.784,2,36,2,4,100,20,10,196.5,-6.903333333
313,1,1,9.784,2,36,2,8,100,20,10,197.3,-2.48
314,1,1,9.784,2,36,2,12,100,20,10,213.9333333,-1.81
315,1,1,9.784,2,36,2,4,100,40,10,137.9333333,-6.893333333
316,1,1,9.784,2,36,2,8,100,40,10,470.4333333,-3.68
317,1,1,9.784,2,36,2,12,100,40,10,165.9666667,-2.296666667
318,1,1,9.784,2,36,2,4,100,60,10,137.5666667,-3.093333333
319,1,1,9.784,2,36,2,8,100,60,10,115.6333333,-2.686666667
320,1,1,9.784,2,36,2,12,100,60,10,207.0666667,-1.29
321,1,1,9.784,2,36,2,4,100,80,10,145.4,-3.763333333
322,1,1,9.784,2,36,2,8,100,80,10,135.8666667,-36.3
323,1,1,9.784,2,36,2,12,100,80,10,120.9333333,-1.66
324,1,1,9.784,2,36,2,4,50,20,10,278.8333333,-8.986666667
325,1,1,9.784,2,36,2,8,50,20,10,415.8,-6.63
326,1,1,9.784,2,36,2,12,50,20,10,496.8333333,-6.54
327,1,1,9.784,2,36,2,4,50,40,10,93.06666667,-2.723333333
328,1,1,9.784,2,36,2,8,50,40,10,207.5666667,-2.203333333
329,1,1,9.784,2,36,2,12,50,40,10,201.6333333,-2.146666667
330,1,1,9.784,2,36,2,4,50,60,10,136.1666667,-2.57
331,1,1,9.784,2,36,2,8,50,60,10,129.5,-1.666333333
332,1,1,9.784,2,36,2,12,50,60,10,202.5,-2.12
333,1,1,9.784,2,36,2,4,50,80,10,143.0333333,-3.51
334,1,1,9.784,2,36,2,8,50,80,10,134.7,-36.66666667
335,1,1,9.784,2,36,2,12,50,80,10,135.2333333,-2.383333333
336,1,1,9.784,2,36,2,4,10,20,10,235.4666667,-9.563333333
337,1,1,9.784,2,36,2,8,10,20,10,378.9333333,-5.376666667
338,1,1,9.784,2,36,2,12,10,20,10,476.3333333,-7.476666667
339,1,1,9.784,2,36,2,4,10,40,10,132.7666667,-5.483333333
340,1,1,9.784,2,36,2,8,10,40,10,279.9666667,-2.596666667
341,1,1,9.784,2,36,2,12,10,40,10,153.0,-1.983333333
342,1,1,9.784,2,36,2,4,10,60,10,156.7333333,-3.656666667
343,1,1,9.784,2,36,2,8,10,60,10,134.0666667,-1.370333333
344,1,1,9.784,2,36,2,12,10,60,10,167.5,-2.37
345,1,1,9.784,2,36,2,4,10,80,10,144.4333333,-4.92
346,1,1,9.784,2,36,2,8,10,80,10,161.1333333,-31.9
347,1,1,9.784,2,36,2,12,10,80,10,118.1666667,-2.056666667
348,1,1,9.784,2,36,2,4,1,20,10,302.6666667,-8.333333333
349,1,1,9.784,2,36,2,8,1,20,10,270.0333333,-7.673333333
350,1,1,9.784,2,36,2,12,1,20,10,180.3,-9.613333333
351,1,1,9.784,2,36,2,4,1,40,10,157.5,-3.126666667
352,1,1,9.784,2,36,2,8,1,40,10,140.4666667,-1.383333333
353,1,1,9.784,2,36,2,12,1,40,10,228.2,-1.873333333
354,1,1,9.784,2,36,2,4,1,60,10,153.2,-2.37
355,1,1,9.784,2,36,2,8,1,60,10,129.7666667,-1.059
356,1,1,9.784,2,36,2,12,1,60,10,145.7333333,-1.533333333
357,1,1,9.784,2,36,2,4,1,80,10,165.1666667,-3.313333333
358,1,1,9.784,2,36,2,8,1,80,10,157.6666667,15.6
359,1,1,9.784,2,36,2,12,1,80,10,140.5666667,-1.012333333
360,1,0,12.515,0,36,2,4,200,20,500,157.3333333,5.9
361,1,0,12.515,0,36,2,8,200,20,500,138.8333333,5.12
362,1,0,12.515,0,36,2,12,200,20,500,235.9333333,9.113333333
363,1,0,12.515,0,36,2,4,200,40,500,175.8333333,12.9
