Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_HEK293
37,18PG,0,1,9.3028,3,10,36,1,303.8,0.320333333,-4.81,4,500,20,10,7.14
38,18PG,0,1,9.3028,3,10,36,1,462.6666667,0.568333333,-3.45,8,500,20,10,9.996
39,18PG,0,1,9.3028,3,10,36,1,947.7666667,0.293,-0.677333333,12,500,20,10,9.706
40,18PG,0,1,9.3028,3,10,36,1,242.8,0.251,1.363333333,4,500,40,10,9.851
41,18PG,0,1,9.3028,3,10,36,1,182.1,0.263,-1.420666667,8,500,40,10,9.137
42,18PG,0,1,9.3028,3,10,36,1,252.6333333,0.273666667,-2.366666667,12,500,40,10,8.643
43,18PG,0,1,9.3028,3,10,36,1,242.8,0.252666667,-1.566666667,4,500,60,10,8.954
44,18PG,0,1,9.3028,3,10,36,1,202.9666667,0.257333333,-2.063333333,8,500,60,10,10.867
45,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.268333333,-0.186,12,500,60,10,10.993
46,18PG,0,1,9.3028,3,10,36,1,154.0833333,0.3755,-22.66666667,4,500,80,10,11.769
47,18PG,0,1,9.3028,3,10,36,1,172.25,0.288833333,-0.437,8,500,80,10,11.956
48,18PG,0,1,9.3028,3,10,36,1,175.9333333,0.234333333,-2.24,12,500,80,10,3.912
49,18PG,0,1,9.3028,3,10,36,1,1859.333333,0.579,-19.73333333,4,500,20,1,4.543
50,18PG,0,1,9.3028,3,10,36,1,487.5,0.492333333,-3.413333333,8,500,20,1,4.094
51,18PG,0,1,9.3028,3,10,36,1,1049.966667,0.215333333,-2.423333333,12,500,20,1,3.367
52,18PG,0,1,9.3028,3,10,36,1,370.2333333,0.760333333,-25.56666667,4,500,40,1,6.029
53,18PG,0,1,9.3028,3,10,36,1,1164.833333,0.693666667,-15.7,8,500,40,1,4.6
54,18PG,0,1,9.3028,3,10,36,1,1153.333333,0.461,-4.87,12,500,40,1,2.639
55,18PG,0,1,9.3028,3,10,36,1,1720.666667,0.716333333,-28.26666667,4,500,60,1,3.367
56,18PG,0,1,9.3028,3,10,36,1,214.1666667,0.147333333,-17.83333333,8,500,60,1,3.85
57,18PG,0,1,9.3028,3,10,36,1,1034.266667,0.683333333,-5.81,12,500,60,1,3.861
58,18PG,0,1,9.3028,3,10,36,1,476.1166667,0.131333333,-6.776666667,4,500,80,1,3.97
59,18PG,0,1,9.3028,3,10,36,1,418.8333333,0.151833333,-5.44,8,500,80,1,4.06
60,18PG,0,1,9.3028,3,10,36,1,268.4333333,0.102,-4.47,12,500,80,1,4.234
61,18PG,0,1,9.3028,3,10,36,1,514.5666667,0.964,-1.836666667,4,100,20,200,9.118
62,18PG,0,1,9.3028,3,10,36,1,209.0,0.518,-1.497333333,8,100,20,200,7.03
63,18PG,0,1,9.3028,3,10,36,1,296.5333333,0.349333333,-1.007333333,12,100,20,200,8.172
64,18PG,0,1,9.3028,3,10,36,1,75.20666667,0.609333333,-1.843333333,4,100,40,200,8.92
65,18PG,0,1,9.3028,3,10,36,1,210.5666667,0.548,-0.593366667,8,100,40,200,9.759
66,18PG,0,1,9.3028,3,10,36,1,184.1666667,0.46,-7.61,12,100,40,200,9.91
67,18PG,0,1,9.3028,3,10,36,1,133.6666667,0.504666667,-4.72,4,100,60,200,9.788
68,18PG,0,1,9.3028,3,10,36,1,145.6666667,0.482666667,-3.62,8,100,60,200,10.054
69,18PG,0,1,9.3028,3,10,36,1,164.5333333,0.325666667,-4.233333333,12,100,60,200,11.208
70,18PG,0,1,9.3028,3,10,36,1,415.6,0.144666667,-2.0,4,100,80,200,8.416
71,18PG,0,1,9.3028,3,10,36,1,420.6,0.213666667,-2.613333333,8,100,80,200,10.519
72,18PG,0,1,9.3028,3,10,36,1,725.6666667,0.112,-0.015666667,12,100,80,200,12.319
73,18PG,0,1,9.3028,3,10,36,1,613.1333333,0.699333333,-2.063333333,4,100,20,100,8.725
74,18PG,0,1,9.3028,3,10,36,1,187.7333333,0.447,-1.543333333,8,100,20,100,7.148
75,18PG,0,1,9.3028,3,10,36,1,99.15666667,0.669666667,-1.906666667,12,100,20,100,8.766
76,18PG,0,1,9.3028,3,10,36,1,118.2,0.441,-1.441,4,100,40,100,9.07
77,18PG,0,1,9.3028,3,10,36,1,170.9666667,0.641666667,-1.497333333,8,100,40,100,9.798
78,18PG,0,1,9.3028,3,10,36,1,215.6333333,0.624,-4.113333333,12,100,40,100,10.032
79,18PG,0,1,9.3028,3,10,36,1,182.2,0.565,-3.46,4,100,60,100,10.357
80,18PG,0,1,9.3028,3,10,36,1,207.7333333,0.412333333,-5.52,8,100,60,100,10.134
81,18PG,0,1,9.3028,3,10,36,1,348.7,0.722666667,-2.886666667,12,100,60,100,11.444
82,18PG,0,1,9.3028,3,10,36,1,379.2666667,0.080666667,-2.153333333,4,100,80,100,8.579
83,18PG,0,1,9.3028,3,10,36,1,430.7333333,0.114666667,-1.356666667,8,100,80,100,6.127
84,18PG,0,1,9.3028,3,10,36,1,255.0166667,0.3485,0.867666667,12,100,80,100,12.586
85,18PG,0,1,9.3028,3,10,36,1,738.2666667,0.887666667,-1.916666667,4,100,20,50,8.454
86,18PG,0,1,9.3028,3,10,36,1,190.2,0.453,-0.810333333,8,100,20,50,7.951
87,18PG,0,1,9.3028,3,10,36,1,210.8,0.686333333,-2.876666667,12,100,20,50,8.79
88,18PG,0,1,9.3028,3,10,36,1,263.4666667,0.627666667,-2.14,4,100,40,50,9.014
89,18PG,0,1,9.3028,3,10,36,1,162.0,0.536333333,-0.342,8,100,40,50,9.952
90,18PG,0,1,9.3028,3,10,36,1,203.3333333,0.343333333,-2.2,12,100,40,50,10.517
91,18PG,0,1,9.3028,3,10,36,1,194.0,0.484333333,-3.503333333,4,100,60,50,10.551
92,18PG,0,1,9.3028,3,10,36,1,235.7333333,0.341333333,-2.013333333,8,100,60,50,11.074
93,18PG,0,1,9.3028,3,10,36,1,183.1666667,0.295666667,-3.336666667,12,100,60,50,11.66
94,18PG,0,1,9.3028,3,10,36,1,264.4666667,0.139,-6.496666667,4,100,80,50,10.835
95,18PG,0,1,9.3028,3,10,36,1,410.2,0.146666667,0.9383,8,100,80,50,11.636
96,18PG,0,1,9.3028,3,10,36,1,363.8,0.148333333,0.4627,12,100,80,50,12.662
97,18PG,0,1,9.3028,3,10,36,1,457.7666667,0.88,-20.96666667,4,100,20,10,5.745
98,18PG,0,1,9.3028,3,10,36,1,170.4666667,0.436333333,-1.013333333,8,100,20,10,8.332
99,18PG,0,1,9.3028,3,10,36,1,205.1333333,0.81,-0.812553333,12,100,20,10,8.183
100,18PG,0,1,9.3028,3,10,36,1,153.8666667,0.343666667,-1.636666667,4,100,40,10,8.525
101,18PG,0,1,9.3028,3,10,36,1,202.0333333,0.364666667,-0.022666667,8,100,40,10,8.45
102,18PG,0,1,9.3028,3,10,36,1,192.2666667,0.267,-3.43,12,100,40,10,9.234
103,18PG,0,1,9.3028,3,10,36,1,176.8,0.353333333,-13.4,4,100,60,10,11.024
104,18PG,0,1,9.3028,3,10,36,1,293.4666667,0.390666667,-1.985333333,8,100,60,10,8.867
105,18PG,0,1,9.3028,3,10,36,1,281.8333333,0.217333333,-3.243333333,12,100,60,10,10.038
106,18PG,0,1,9.3028,3,10,36,1,496.8666667,0.153666667,-1.304,4,100,80,10,5.541
107,18PG,0,1,9.3028,3,10,36,1,526.7333333,0.369,-0.888,8,100,80,10,10.398
108,18PG,0,1,9.3028,3,10,36,1,501.1333333,0.277,-0.417666667,12,100,80,10,10.646
109,18PG,0,1,9.3028,3,10,36,1,237.7333333,0.221,-6.72,4,100,20,1,3.773
110,18PG,0,1,9.3028,3,10,36,1,154.0666667,0.200333333,-5.936666667,8,100,20,1,4.828
111,18PG,0,1,9.3028,3,10,36,1,185.1,0.109,-3.736666667,12,100,20,1,2.14
112,18PG,0,1,9.3028,3,10,36,1,196.1666667,0.203333333,-7.57,4,100,40,1,3.178
113,18PG,0,1,9.3028,3,10,36,1,298.0333333,0.1,-4.593333333,8,100,40,1,2.565
114,18PG,0,1,9.3028,3,10,36,1,189.2333333,0.111,-1.266666667,12,100,40,1,2.674
115,18PG,0,1,9.3028,3,10,36,1,241.5,0.106333333,-16.4,4,100,60,1,8.939
116,18PG,0,1,9.3028,3,10,36,1,249.8,0.209,-1.483333333,8,100,60,1,4.078
117,18PG,0,1,9.3028,3,10,36,1,346.5,0.061666667,-0.622,12,100,60,1,2.741
118,18PG,0,1,9.3028,3,10,36,1,364.1333333,0.201,-8.473333333,4,100,80,1,2.0
119,18PG,0,1,9.3028,3,10,36,1,812.3666667,0.132666667,-5.833333333,8,100,80,1,2.803
120,18PG,0,1,9.3028,3,10,36,1,409.6,0.290333333,-6.46,12,100,80,1,2.674
121,18PG,0,1,9.3028,3,10,36,1,113.3,0.238333333,-1.485333333,4,10,20,200,3.97
122,18PG,0,1,9.3028,3,10,36,1,179.0666667,0.428333333,-0.415666667,8,10,20,200,4.543
123,18PG,0,1,9.3028,3,10,36,1,1512.333333,0.599333333,-2.8,12,10,20,200,3.676
124,18PG,0,1,9.3028,3,10,36,1,108.3166667,0.307333333,-1.42,4,10,40,200,4.585
125,18PG,0,1,9.3028,3,10,36,1,153.9,0.435666667,-0.845333333,8,10,40,200,7.272
126,18PG,0,1,9.3028,3,10,36,1,120.1,0.400666667,-1.69,12,10,40,200,7.583
127,18PG,0,1,9.3028,3,10,36,1,166.4,0.504,-3.313333333,4,10,60,200,4.212
128,18PG,0,1,9.3028,3,10,36,1,192.9,0.356666667,-1.398,8,10,60,200,7.668
129,18PG,0,1,9.3028,3,10,36,1,260.3666667,0.331,-0.940666667,12,10,60,200,6.919
130,18PG,0,1,9.3028,3,10,36,1,230.6333333,0.313333333,8.696666667,4,10,80,200,4.758
131,18PG,0,1,9.3028,3,10,36,1,237.4,0.258666667,-0.939,8,10,80,200,6.624
132,18PG,0,1,9.3028,3,10,36,1,208.8333333,0.286,-0.976,12,10,80,200,3.738
133,18PG,0,1,9.3028,3,10,36,1,129.5333333,0.231666667,-1.733333333,4,10,20,100,3.664
134,18PG,0,1,9.3028,3,10,36,1,247.0333333,0.714,-1.54,8,10,20,100,3.98
135,18PG,0,1,9.3028,3,10,36,1,1955.333333,0.704333333,-1.195666667,12,10,20,100,3.902
136,18PG,0,1,9.3028,3,10,36,1,181.4666667,0.334,-1.7,4,10,40,100,4.407
137,18PG,0,1,9.3028,3,10,36,1,144.4,0.396,-0.988333333,8,10,40,100,7.049
138,18PG,0,1,9.3028,3,10,36,1,123.8,0.366333333,-2.643333333,12,10,40,100,5.715
139,18PG,0,1,9.3028,3,10,36,1,253.1333333,0.477333333,-0.603333333,4,10,60,100,4.723
140,18PG,0,1,9.3028,3,10,36,1,212.9666667,0.330666667,-0.511666667,8,10,60,100,8.706
141,18PG,0,1,9.3028,3,10,36,1,219.6333333,0.313,-1.116666667,12,10,60,100,9.002
142,18PG,0,1,9.3028,3,10,36,1,243.4333333,0.302666667,2.933333333,4,10,80,100,6.114
143,18PG,0,1,9.3028,3,10,36,1,226.2666667,0.251333333,0.520333333,8,10,80,100,7.602
144,18PG,0,1,9.3028,3,10,36,1,262.2333333,0.095333333,-2.67,12,10,80,100,8.837
145,18PG,0,1,9.3028,3,10,36,1,135.9333333,0.257333333,-1.596666667,4,10,20,50,4.241
146,18PG,0,1,9.3028,3,10,36,1,967.0333333,1.0,-1.566666667,8,10,20,50,4.454
147,18PG,0,1,9.3028,3,10,36,1,1599.666667,0.223666667,-2.373333333,12,10,20,50,4.714
148,18PG,0,1,9.3028,3,10,36,1,113.75,0.3625,-1.247666667,4,10,40,50,6.707
149,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.315,-1.014,8,10,40,50,6.335
150,18PG,0,1,9.3028,3,10,36,1,142.3333333,0.393333333,-3.99,12,10,40,50,6.452
151,18PG,0,1,9.3028,3,10,36,1,256.9666667,0.289333333,-10.79333333,4,10,60,50,5.034
152,18PG,0,1,9.3028,3,10,36,1,205.9333333,0.315,-1.503333333,8,10,60,50,8.742
153,18PG,0,1,9.3028,3,10,36,1,184.7,0.339666667,-1.180333333,12,10,60,50,8.485
154,18PG,0,1,9.3028,3,10,36,1,244.4333333,0.245,1.269666667,4,10,80,50,6.387
155,18PG,0,1,9.3028,3,10,36,1,247.3666667,0.241333333,-1.149666667,8,10,80,50,7.715
156,18PG,0,1,9.3028,3,10,36,1,250.6333333,0.152666667,-1.219666667,12,10,80,50,8.171
157,18PG,0,1,9.3028,3,10,36,1,636.7,1.0,-2.273333333,4,10,20,10,3.701
158,18PG,0,1,9.3028,3,10,36,1,691.7,0.956666667,-1.220666667,8,10,20,10,3.871
159,18PG,0,1,9.3028,3,10,36,1,1708.333333,0.6,-1.876666667,12,10,20,10,5.617
160,18PG,0,1,9.3028,3,10,36,1,111.6666667,0.341,-1.019766667,4,10,40,10,4.736
161,18PG,0,1,9.3028,3,10,36,1,148.1333333,0.512,-1.61,8,10,40,10,6.261
162,18PG,0,1,9.3028,3,10,36,1,118.0,0.328666667,-1.693333333,12,10,40,10,6.118
163,18PG,0,1,9.3028,3,10,36,1,233.5,0.391333333,-0.879,4,10,60,10,5.781
164,18PG,0,1,9.3028,3,10,36,1,264.6666667,0.407666667,-0.790333333,8,10,60,10,8.81
165,18PG,0,1,9.3028,3,10,36,1,220.9,0.306,-1.506666667,12,10,60,10,7.845
166,18PG,0,1,9.3028,3,10,36,1,256.1,0.264333333,0.606333333,4,10,80,10,8.0
167,18PG,0,1,9.3028,3,10,36,1,278.3,0.217333333,-1.317,8,10,80,10,9.616
168,18PG,0,1,9.3028,3,10,36,1,265.9,0.18,-0.951333333,12,10,80,10,9.782
169,18PG,0,1,9.3028,3,10,36,1,675.8333333,0.61,-3.106666667,4,10,20,1,2.442
170,18PG,0,1,9.3028,3,10,36,1,682.8333333,0.205,-31.73333333,8,10,20,1,4.902
171,18PG,0,1,9.3028,3,10,36,1,464.0,0.574666667,-2.386666667,12,10,20,1,2.079
172,18PG,0,1,9.3028,3,10,36,1,163.5666667,0.133666667,-1.746666667,4,10,40,1,3.676
173,18PG,0,1,9.3028,3,10,36,1,459.9666667,0.154666667,-1.683333333,8,10,40,1,5.46
174,18PG,0,1,9.3028,3,10,36,1,753.9666667,0.546333333,-1.856666667,12,10,40,1,6.318
175,18PG,0,1,9.3028,3,10,36,1,194.8666667,0.121,-1.74,4,10,60,1,6.304
176,18PG,0,1,9.3028,3,10,36,1,934.6333333,0.794,-1.833333333,8,10,60,1,7.738
177,18PG,0,1,9.3028,3,10,36,1,1021.5,0.392,-1.422666667,12,10,60,1,4.771
178,18PG,0,1,9.3028,3,10,36,1,201.0,0.139666667,-1.713333333,4,10,80,1,3.418
179,18PG,0,1,9.3028,3,10,36,1,456.4,0.434666667,-2.203333333,8,10,80,1,6.364
180,18PG,0,1,9.3028,3,10,36,1,398.5,0.280666667,-1.184333333,12,10,80,1,3.951
181,DOPE,1,1,9.784,2,9,36,2,288.9666667,0.464333333,-7.436666667,4,500,20,200,6.382
182,DOPE,1,1,9.784,2,9,36,2,533.7,0.403333333,-3.523333333,8,500,20,200,7.404
183,DOPE,1,1,9.784,2,9,36,2,342.3333333,0.496333333,-3.396666667,12,500,20,200,9.651
184,DOPE,1,1,9.784,2,9,36,2,237.1333333,0.211,-4.23,4,500,40,200,2.442
185,DOPE,1,1,9.784,2,9,36,2,185.1333333,0.237333333,-1.803333333,8,500,40,200,6.968
186,DOPE,1,1,9.784,2,9,36,2,267.7333333,0.806666667,-2.356666667,12,500,40,200,8.02
187,DOPE,1,1,9.784,2,9,36,2,206.6,0.246666667,-5.31,4,500,60,200,3.829
188,DOPE,1,1,9.784,2,9,36,2,173.1333333,0.215,0.721666667,8,500,60,200,6.341
189,DOPE,1,1,9.784,2,9,36,2,183.6666667,0.260333333,-0.501666667,12,500,60,200,10.645
190,DOPE,1,1,9.784,2,9,36,2,166.6333333,0.219666667,-24.63333333,4,500,80,200,3.314
191,DOPE,1,1,9.784,2,9,36,2,137.6333333,0.164666667,-6.11,8,500,80,200,5.816
192,DOPE,1,1,9.784,2,9,36,2,158.8,0.225333333,-0.955,12,500,80,200,5.981
193,DOPE,1,1,9.784,2,9,36,2,577.6666667,0.252,-11.77666667,4,500,20,100,8.361
194,DOPE,1,1,9.784,2,9,36,2,562.7666667,0.344333333,-3.553333333,8,500,20,100,8.831
195,DOPE,1,1,9.784,2,9,36,2,288.1666667,0.316,-1.593,12,500,20,100,8.008
196,DOPE,1,1,9.784,2,9,36,2,240.3,0.260333333,-3.686666667,4,500,40,100,2.197
197,DOPE,1,1,9.784,2,9,36,2,191.7333333,0.264,0.269333333,8,500,40,100,7.994
198,DOPE,1,1,9.784,2,9,36,2,189.9666667,0.325666667,-2.24,12,500,40,100,10.284
199,DOPE,1,1,9.784,2,9,36,2,192.8,0.182,-3.663333333,4,500,60,100,8.146
200,DOPE,1,1,9.784,2,9,36,2,170.3,0.242,0.073,8,500,60,100,6.336
201,DOPE,1,1,9.784,2,9,36,2,181.6333333,0.328333333,-1.161666667,12,500,60,100,10.81
202,DOPE,1,1,9.784,2,9,36,2,172.9333333,0.206666667,-26.66666667,4,500,80,100,4.388
203,DOPE,1,1,9.784,2,9,36,2,148.0,0.187666667,-6.033333333,8,500,80,100,7.105
204,DOPE,1,1,9.784,2,9,36,2,162.5333333,0.193666667,-0.325333333,12,500,80,100,8.201
205,DOPE,1,1,9.784,2,9,36,2,650.7333333,0.484666667,-11.36666667,4,500,20,50,8.28
206,DOPE,1,1,9.784,2,9,36,2,403.2666667,0.629666667,-4.096666667,8,500,20,50,8.337
207,DOPE,1,1,9.784,2,9,36,2,475.3333333,0.162,-3.116666667,12,500,20,50,9.564
208,DOPE,1,1,9.784,2,9,36,2,191.8,0.206,-0.756333333,4,500,40,50,2.398
209,DOPE,1,1,9.784,2,9,36,2,170.0,0.294,0.3774,8,500,40,50,8.257
210,DOPE,1,1,9.784,2,9,36,2,307.4666667,0.557666667,-3.04,12,500,40,50,10.436
211,DOPE,1,1,9.784,2,9,36,2,189.0333333,0.220333333,-2.12,4,500,60,50,6.433
212,DOPE,1,1,9.784,2,9,36,2,155.4333333,0.233333333,1.195666667,8,500,60,50,6.296
213,DOPE,1,1,9.784,2,9,36,2,256.8,0.427666667,0.16,12,500,60,50,10.999
214,DOPE,1,1,9.784,2,9,36,2,202.3,0.256333333,-29.4,4,500,80,50,3.761
215,DOPE,1,1,9.784,2,9,36,2,135.8666667,0.173666667,-10.41,8,500,80,50,7.61
216,DOPE,1,1,9.784,2,9,36,2,163.5333333,0.229333333,-0.4925,12,500,80,50,11.412
217,DOPE,1,1,9.784,2,9,36,2,431.8,0.420666667,-9.42,4,500,20,10,8.692
218,DOPE,1,1,9.784,2,9,36,2,465.9333333,0.358,-1.686666667,8,500,20,10,9.601
219,DOPE,1,1,9.784,2,9,36,2,599.5333333,0.522,-0.166206667,12,500,20,10,9.45
220,DOPE,1,1,9.784,2,9,36,2,197.5666667,0.262666667,-2.53,4,500,40,10,4.311
221,DOPE,1,1,9.784,2,9,36,2,199.4,0.327666667,2.476666667,8,500,40,10,9.355
222,DOPE,1,1,9.784,2,9,36,2,208.5,0.330666667,1.541666667,12,500,40,10,9.103
223,DOPE,1,1,9.784,2,9,36,2,193.9,0.197333333,-1.64,4,500,60,10,10.343
224,DOPE,1,1,9.784,2,9,36,2,159.3,0.201,2.77,8,500,60,10,11.127
225,DOPE,1,1,9.784,2,9,36,2,190.9666667,0.275,2.354,12,500,60,10,11.116
226,DOPE,1,1,9.784,2,9,36,2,166.8666667,0.266,-26.83333333,4,500,80,10,5.938
227,DOPE,1,1,9.784,2,9,36,2,146.8666667,0.208666667,5.42,8,500,80,10,8.322
228,DOPE,1,1,9.784,2,9,36,2,167.8,0.237,7.203333333,12,500,80,10,11.211
229,DOPE,1,1,9.784,2,9,36,2,287.7333333,0.327,2.916666667,4,500,20,1,10.31
230,DOPE,1,1,9.784,2,9,36,2,306.5333333,0.569,3.96,8,500,20,1,10.555
231,DOPE,1,1,9.784,2,9,36,2,473.2,0.17,5.006666667,12,500,20,1,9.917
232,DOPE,1,1,9.784,2,9,36,2,261.7,0.330333333,4.206666667,4,500,40,1,4.135
233,DOPE,1,1,9.784,2,9,36,2,205.1,0.196,4.25,8,500,40,1,11.156
234,DOPE,1,1,9.784,2,9,36,2,177.9333333,0.268,2.72,12,500,40,1,10.878
235,DOPE,1,1,9.784,2,9,36,2,224.5,0.256333333,4.343333333,4,500,60,1,12.159
236,DOPE,1,1,9.784,2,9,36,2,195.0333333,0.254,5.876666667,8,500,60,1,11.252
237,DOPE,1,1,9.784,2,9,36,2,179.0333333,0.261666667,6.29,12,500,60,1,11.954
238,DOPE,1,1,9.784,2,9,36,2,237.6333333,0.301,6.303333333,4,500,80,1,11.362
239,DOPE,1,1,9.784,2,9,36,2,164.9666667,0.183666667,11.93333333,8,500,80,1,11.657
240,DOPE,1,1,9.784,2,9,36,2,171.5333333,0.187333333,8.72,12,500,80,1,10.701
241,DOPE,1,1,9.784,2,9,36,2,177.0333333,0.31,-4.186666667,4,100,20,200,8.327
242,DOPE,1,1,9.784,2,9,36,2,223.4,0.485666667,-2.646666667,8,100,20,200,8.342
243,DOPE,1,1,9.784,2,9,36,2,169.1333333,0.368333333,-2.373333333,12,100,20,200,8.745
244,DOPE,1,1,9.784,2,9,36,2,193.5,0.275333333,-1.616666667,4,100,40,200,2.565
245,DOPE,1,1,9.784,2,9,36,2,139.0,0.236666667,-1.976666667,8,100,40,200,7.671
246,DOPE,1,1,9.784,2,9,36,2,159.2333333,0.303666667,-2.136666667,12,100,40,200,9.016
247,DOPE,1,1,9.784,2,9,36,2,171.7,0.236333333,-0.094333333,4,100,60,200,10.272
248,DOPE,1,1,9.784,2,9,36,2,150.1333333,0.232,-1.95,8,100,60,200,9.371
249,DOPE,1,1,9.784,2,9,36,2,177.5333333,0.260666667,-2.43,12,100,60,200,10.169
250,DOPE,1,1,9.784,2,9,36,2,219.6333333,0.307666667,-15.26666667,4,100,80,200,7.535
251,DOPE,1,1,9.784,2,9,36,2,141.4666667,0.245666667,-3.21,8,100,80,200,8.034
252,DOPE,1,1,9.784,2,9,36,2,160.0333333,0.184333333,-4.51,12,100,80,200,10.437
253,DOPE,1,1,9.784,2,9,36,2,176.9333333,0.24,-4.66,4,100,20,100,8.611
254,DOPE,1,1,9.784,2,9,36,2,263.8333333,0.433333333,-6.34,8,100,20,100,8.749
255,DOPE,1,1,9.784,2,9,36,2,303.3666667,0.674666667,-2.326666667,12,100,20,100,8.481
256,DOPE,1,1,9.784,2,9,36,2,174.6666667,0.246333333,-3.043333333,4,100,40,100,8.733
257,DOPE,1,1,9.784,2,9,36,2,148.9333333,0.217333333,-0.049066667,8,100,40,100,8.276
258,DOPE,1,1,9.784,2,9,36,2,152.4666667,0.288333333,-1.993333333,12,100,40,100,8.518
259,DOPE,1,1,9.784,2,9,36,2,164.2,0.201666667,-2.476666667,4,100,60,100,10.306
260,DOPE,1,1,9.784,2,9,36,2,150.2666667,0.204333333,1.32,8,100,60,100,9.555
261,DOPE,1,1,9.784,2,9,36,2,191.8,0.244333333,-1.426666667,12,100,60,100,10.889
262,DOPE,1,1,9.784,2,9,36,2,241.5333333,0.267,-15.93333333,4,100,80,100,7.253
263,DOPE,1,1,9.784,2,9,36,2,148.0333333,0.21,-3.53,8,100,80,100,9.418
264,DOPE,1,1,9.784,2,9,36,2,155.5666667,0.167333333,-3.316666667,12,100,80,100,10.485
