,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta,RLU_HepG2
0,0.0,1.0,1.0,4.0,200.0,20.0,500.0,-7.193333333,0.041385256502371015
1,0.0,1.0,1.0,8.0,200.0,20.0,500.0,-5.036666667,0.14154332519040091
2,0.0,1.0,1.0,12.0,200.0,20.0,500.0,-0.522666667,0.0
3,0.0,1.0,1.0,4.0,200.0,40.0,500.0,-4.42,0.07903434401494464
4,0.0,1.0,1.0,8.0,200.0,40.0,500.0,-3.686666667,0.1132346601523207
5,0.0,1.0,1.0,12.0,200.0,40.0,500.0,-2.553333333,0.14154332519040091
6,0.0,1.0,1.0,4.0,200.0,60.0,500.0,-1.06,0.0896680557551372
7,0.0,1.0,1.0,8.0,200.0,60.0,500.0,1.177333333,0.125736456387412
8,0.0,1.0,1.0,12.0,200.0,60.0,500.0,-0.068333333,0.02615318292858171
10,0.0,1.0,1.0,8.0,200.0,80.0,500.0,-14.43333333,0.14154332519040091
12,0.0,1.0,1.0,4.0,100.0,20.0,500.0,-9.85,0.033912918522776225
13,0.0,1.0,1.0,8.0,100.0,20.0,500.0,-4.376666667,0.048282799252766184
15,0.0,1.0,1.0,4.0,100.0,40.0,500.0,-4.306666667,0.14154332519040091
16,0.0,1.0,1.0,8.0,100.0,40.0,500.0,-1.85,0.033912918522776225
18,0.0,1.0,1.0,4.0,100.0,60.0,500.0,0.728366667,0.14154332519040091
19,0.0,1.0,1.0,8.0,100.0,60.0,500.0,-0.417,0.14154332519040091
20,0.0,1.0,1.0,12.0,100.0,60.0,500.0,-2.663333333,0.14154332519040091
22,0.0,1.0,1.0,8.0,100.0,80.0,500.0,-17.4,0.14154332519040091
23,0.0,1.0,1.0,12.0,100.0,80.0,500.0,-8.583333333,0.033912918522776225
24,0.0,1.0,1.0,4.0,50.0,20.0,500.0,-6.4,0.22546342865354224
28,0.0,1.0,1.0,8.0,50.0,40.0,500.0,-2.506666667,0.17013938784308086
29,0.0,1.0,1.0,12.0,50.0,40.0,500.0,-2.166666667,0.10892369593332374
30,0.0,1.0,1.0,4.0,50.0,60.0,500.0,0.091,0.048282799252766184
31,0.0,1.0,1.0,8.0,50.0,60.0,500.0,-0.125666667,0.0946975140106337
32,0.0,1.0,1.0,12.0,50.0,60.0,500.0,0.407333333,0.14154332519040091
