,RLU_HepG2
0,0.041385256502371015
1,0.14154332519040091
2,0.0
3,0.07903434401494464
4,0.1132346601523207
5,0.14154332519040091
6,0.0896680557551372
7,0.125736456387412
8,0.02615318292858171
9,0.14154332519040091
10,0.14154332519040091
11,0.033912918522776225
12,0.033912918522776225
13,0.048282799252766184
14,0.14154332519040091
15,0.14154332519040091
16,0.033912918522776225
17,0.14154332519040091
18,0.14154332519040091
19,0.14154332519040091
20,0.14154332519040091
21,0.033912918522776225
22,0.14154332519040091
23,0.033912918522776225
24,0.22546342865354224
25,0.1132346601523207
26,0.14154332519040091
27,0.14154332519040091
28,0.17013938784308086
29,0.10892369593332374
30,0.048282799252766184
31,0.0946975140106337
32,0.14154332519040091
33,0.2621066245150165
34,0.21712889783014794
35,0.0
36,0.17861761747377497
37,0.14154332519040091
38,0.14154332519040091
39,0.14154332519040091
40,0.14154332519040091
41,0.14154332519040091
42,0.041385256502371015
43,0.2234516453513436
44,0.14154332519040091
45,0.06753843943095267
46,0.08449489869234089
47,0.14154332519040091
48,0.13723236097140395
49,0.0896680557551372
50,0.14154332519040091
51,0.14154332519040091
52,0.1409685299612013
53,0.14154332519040091
54,0.05503664319586149
55,0.009196723667193596
56,0.009196723667193596
57,0.14154332519040091
58,0.14154332519040091
59,0.048282799252766184
60,0.033912918522776225
61,0.25420319011352205
62,0.06135939071705704
63,0.041385256502371015
64,0.16094266417588732
65,0.14154332519040091
66,0.11754562437131771
67,0.14154332519040091
68,0.14154332519040091
69,0.14154332519040091
70,0.14154332519040091
71,0.14154332519040091
72,0.14154332519040091
73,0.14154332519040091
74,0.4397183503376922
75,0.14154332519040091
76,0.14154332519040091
77,0.14154332519040091
78,0.14154332519040091
79,0.14154332519040091
80,0.14154332519040091
81,0.14154332519040091
82,0.14154332519040091
83,0.0946975140106337
84,0.017962350912487435
85,0.02615318292858171
86,0.0
87,0.14154332519040091
88,0.14154332519040091
89,0.14154332519040091
90,0.14154332519040091
91,0.14154332519040091
92,0.14154332519040091
93,0.14154332519040091
94,0.14154332519040091
95,0.0896680557551372
96,0.14154332519040091
97,0.14154332519040091
98,0.017962350912487435
99,0.14154332519040091
100,0.14154332519040091
101,0.14154332519040091
102,0.14154332519040091
103,0.14154332519040091
104,0.14154332519040091
105,0.05503664319586149
106,0.041385256502371015
107,0.14154332519040091
108,0.0
109,0.033912918522776225
110,0.14154332519040091
111,0.14154332519040091
112,0.14154332519040091
113,0.05503664319586149
114,0.14154332519040091
115,0.14154332519040091
116,0.14154332519040091
117,0.041385256502371015
118,0.14154332519040091
119,0.14154332519040091
120,0.14154332519040091
121,0.14154332519040091
122,0.14154332519040091
123,0.14154332519040091
124,0.14154332519040091
125,0.14154332519040091
126,0.14154332519040091
127,0.14154332519040091
128,0.14154332519040091
129,0.14154332519040091
130,0.14154332519040091
131,0.14154332519040091
132,0.14154332519040091
133,0.14154332519040091
134,0.14154332519040091
135,0.14154332519040091
136,0.05503664319586149
137,0.14154332519040091
138,0.14154332519040091
139,0.14154332519040091
140,0.14154332519040091
141,0.14154332519040091
142,0.14154332519040091
143,0.14154332519040091
144,0.14154332519040091
145,0.14154332519040091
146,0.14154332519040091
147,0.14154332519040091
148,0.14154332519040091
149,0.14154332519040091
150,0.14154332519040091
151,0.14154332519040091
152,0.14154332519040091
153,0.14154332519040091
154,0.14154332519040091
155,0.33654260669636443
156,0.104325334099727
157,0.14154332519040091
158,0.14154332519040091
159,0.14154332519040091
160,0.14154332519040091
161,0.14154332519040091
162,0.14154332519040091
163,0.14154332519040091
164,0.14154332519040091
165,0.14154332519040091
166,0.27115964937491016
167,0.2386837189251329
168,0.02615318292858171
169,0.14154332519040091
170,0.22546342865354224
171,0.19916654691766056
172,0.3102457249604829
173,0.30809024285098435
174,0.5449058772812188
175,0.6045408823106768
176,0.6743785026584279
177,0.6335680413852567
178,0.14154332519040091
179,0.14154332519040091
180,0.14154332519040091
181,0.14154332519040091
182,0.14154332519040091
183,0.14154332519040091
184,0.14154332519040091
185,0.14154332519040091
186,0.14154332519040091
187,0.14154332519040091
188,0.4614168702399771
189,0.14154332519040091
190,0.14154332519040091
191,0.14154332519040091
192,0.14154332519040091
193,0.14154332519040091
194,0.14154332519040091
195,0.14154332519040091
196,0.14154332519040091
197,0.14154332519040091
198,0.14154332519040091
199,0.28366144561000145
200,0.14154332519040091
201,0.14154332519040091
202,0.0
203,0.14154332519040091
