,0,1,2,3,4,5,6,7,8,9
5,0.04698260530366108,0.04704728881379406,0.04294818992294243,0.04504602156448754,0.04478152714538964,0.044054964283052125,0.04551115372402352,0.0454127085376483,0.04557816014123487,0.04349458160921509
11,0.03859741852167709,0.037651596167254456,0.03653196085116005,0.039358006543735925,0.03724058502167149,0.0375375858094522,0.038970690979720245,0.03801496784930252,0.03697749528223644,0.038080078879534345
17,0.030620177347912704,0.03031201694843738,0.028893563974073833,0.030598060372326714,0.029018838634759507,0.029484954475403058,0.030122068568452936,0.028550842892726767,0.029150777053930866,0.02984633473130574
23,0.026150238497033258,0.026586651161805357,0.02628535498623802,0.026609427997455203,0.024929857671514795,0.026241279248611332,0.026206185565189576,0.025718547155731186,0.02454647413872192,0.025642606187111942
28,0.024441799028592746,0.02452110717629159,0.02485179065867252,0.02402522474322021,0.023696541021443054,0.024569820155891545,0.0235704875531272,0.023985867832383823,0.02413738455342414,0.02362083773218727
34,0.023147443067806937,0.022711169556297314,0.022695801106831354,0.023041221816004466,0.022545169393605312,0.022695618490328286,0.02290104508011389,0.022424921208156475,0.02276178579491558,0.02288695290585307
40,0.021909415782614197,0.021662437243667114,0.021549957034097324,0.021012088543194994,0.021434170977680293,0.021640450619975375,0.021677997255306964,0.021874062358889595,0.020947753445483767,0.021616604640827593
46,0.021856456567391887,0.021893272794771313,0.021806895488195706,0.0216103559822588,0.021977331234119706,0.02270749744387775,0.022380418789180113,0.022415304410214814,0.021784721520851376,0.021785802587952874
51,0.022241297184597657,0.022581180020629955,0.02251476520006022,0.022508776875527766,0.0217958221923998,0.02244342896932063,0.02267927269125887,0.022165330272585382,0.02233322396940538,0.02224755453278352
57,0.021597416161284713,0.0220142104593553,0.021706025292766003,0.021643989464876386,0.021830345283419032,0.0223571829694841,0.02213044736279605,0.02231557178499245,0.02208184121131346,0.021491307122954183
63,0.02127557150402285,0.021452194850902467,0.020986028390737814,0.021495575272513744,0.02116376166187884,0.02138013088256655,0.02143097588333967,0.02125836589372957,0.02135396038144101,0.021708738491973946
69,0.02080047823763674,0.021358891439725417,0.020784373153274607,0.020689266507833225,0.021013214006740652,0.021107805720138366,0.02135268906612653,0.021339346996658067,0.02093495206900396,0.02142337711640064
74,0.020903916930404477,0.02085056090649003,0.020314077512738817,0.020143866354409144,0.020984397085188435,0.021011244356041243,0.021063170203124378,0.02116754273974982,0.02058702810725325,0.021033302347482477
80,0.0207436369990862,0.020875769512134358,0.020690556917597587,0.020727221820455676,0.02070382806606754,0.020821326786322484,0.020981018365316344,0.021041597889303355,0.02035896612703799,0.02080961867903916
86,0.02086147145715063,0.021130445589990138,0.02051517906749912,0.02059708306658449,0.020668598299936433,0.020860875799580035,0.0208470637779078,0.021246374079769943,0.021089618055865716,0.021225269163531225
92,0.02077125507435456,0.021432929844675364,0.021052477193019125,0.021057575976986608,0.020800783405271604,0.02129342530824647,0.021167458771481212,0.02106251189991501,0.021310819230968225,0.02143387168453722
97,0.021507859703957896,0.02146068107517276,0.02129563184300736,0.021444294378084573,0.021522609045201424,0.021575856311834788,0.021690211042388264,0.021774494560394916,0.021973689909220374,0.021638871594148717
103,0.021455705595040696,0.02200868001348659,0.021516952518247028,0.021507326095964206,0.021781426624930454,0.021809570342706856,0.02184516771413079,0.021636996057276793,0.021884551838385433,0.021878588518323222
109,0.021419139212586202,0.022294407341251873,0.021937549909503928,0.02189545448271448,0.021571037381844363,0.02136651380013698,0.021758420526829553,0.021904394836601882,0.021836653422754017,0.021587758407328985
115,0.0218625784665961,0.022104740957946057,0.02199853574516148,0.021605583286275817,0.021968204249644685,0.021317810920287533,0.022102880371218707,0.0217520371595951,0.021872670642046805,0.021641926781392484
120,0.021438008971197568,0.02175056818379424,0.02146257051972317,0.021366697787285373,0.021382216760097692,0.02117279456992403,0.021654258722043424,0.021365853204122858,0.021937923897733753,0.02146396690895052
126,0.0208976604459299,0.021312398796562614,0.021008204449829586,0.021020908004377174,0.02085923084885564,0.020889041395662,0.020977562961465003,0.02092319085619894,0.021144126959488075,0.020928615597161238
132,0.02067272270685152,0.02074160042817662,0.020783603899848707,0.02049929872154957,0.02058198391103046,0.02022425422601991,0.020501317679673527,0.020744035524037283,0.02073333132020394,0.020685748627611848
138,0.02057494221794373,0.020840919263477354,0.02061047502142994,0.020562927571238915,0.02060073259024729,0.020713948325929255,0.020639923246536136,0.020382080695760675,0.020774631614253566,0.020757671031859104
144,0.020514109289190466,0.020712132205166496,0.02077171323328341,0.02055245779958039,0.020516848253530808,0.02046885486759088,0.020447875494134744,0.02052310230439683,0.020585318746178062,0.020405609046297124
149,0.02023725265976336,0.020451973847584515,0.020529007623343594,0.020352013685193095,0.020456481226132563,0.020227676857518622,0.020317712429184294,0.02039483441312651,0.020685767031097372,0.02034813080718083
155,0.020305883167895656,0.020206553995566857,0.020547533608861666,0.020579876268747948,0.020437678267275113,0.020316362401954884,0.020221512418902198,0.020202830863643353,0.020308838645436297,0.020319760455510493
161,0.02012263076808965,0.02005676038669315,0.020492382621135556,0.01994481610734555,0.02011699502993871,0.019923480652634957,0.01988106948880885,0.0201659575768052,0.020079819909286017,0.020138523775011703
167,0.019848902571882293,0.019780592460916062,0.01997617869232861,0.0198304318595807,0.0196700100240065,0.019761262163435385,0.019531523970195176,0.019892191610263253,0.020172634885325204,0.0199084959745503
172,0.019590321957477563,0.01978395557177611,0.019880748333265776,0.01952982699476908,0.01972386911250583,0.01936783001535381,0.01957905142507587,0.019736269970607838,0.01991852008981847,0.019750138756897618
178,0.019604460289635934,0.01976206226677061,0.019950353071417327,0.019514487550220016,0.019475977984865753,0.019421584260946083,0.019449402215195442,0.019742830567151107,0.01960208836649695,0.019725646730387063
