,Feature,HepG2_Norm_Feature_Value
0,P_charged_centers,0.0
1,cLogP,1.0
2,Hbond_D,1.0
3,Double_bonds,1.0
4,wt_Helper,0.8678878597865605
5,wt_Chol,0.031506485705609634
6,wt_DMG,0.08933192465013233
7,wt_pDNA,0.2594037880949934
