,LGBM,XGB,RF,DT,kNN,PLS,MLR,lasso
0,0.06902545285128128,0.005476996707782705,0.10120200723538322,0.05211810012836973,0.009610677119654853,0.2632714933973649,0.2587750236462192,0.053969873190833156
1,0.013297854340346416,0.016230187883231273,0.007885400863577932,0.009219278795658772,0.0012370624438362982,0.08207827162955753,0.07824555287221133,0.059885413436004564
2,0.007773688434333147,0.19724036334609607,0.010291749328976509,0.04630645349515696,0.12379082706534905,0.08326785942957182,0.08676268266020268,0.0026055930513073366
3,0.016209622811356975,0.013048887924046765,0.021855525732290805,0.018701131987396417,0.09690541730168381,0.13704775309659592,0.13887045749449675,0.035372826281480224
4,0.06594051338319074,0.014190773049790932,0.08251487921577771,0.11399229781771503,0.17317230388076593,0.17600167479497691,0.1806550522498493,0.07055098437792298
5,0.06315524648747782,0.09187104055032605,0.07761815847823542,0.07149025557241218,0.2805060939408018,0.20375752831729332,0.2067387869394357,0.09105554930239593
6,0.04096702365609031,0.0160567085646125,0.03131287198039437,0.17123740615396585,0.05201109870272394,0.1330450220491556,0.13475000442292148,0.1279792420796128
7,0.12331069368795888,0.04207199360848807,0.1431958221496087,0.17534134671490248,0.28515030376707856,0.07037180638758186,0.06557813861200723,0.11051886322565901
8,0.08017423220387623,0.13836474111330865,0.18016104562959465,0.252946668222663,0.28478091956955554,0.034989368642495106,0.03811091758533969,0.1850991610251383
9,0.3275058653110937,0.03394429894308321,0.3607579647566807,0.3631112148442058,0.004339556284314761,0.1090896020026168,0.11489163761712184,0.030306291788954297
10,0.060106276308840134,0.009057745742664297,0.08492647916909785,0.09108414050647679,0.014985688942444439,0.13518161881279578,0.13105170203102073,0.059810819860998926
11,0.028779363249072043,0.03140308130008642,0.08102870813397145,0.022231298868012506,0.04863532472411897,0.2123429201903647,0.20720463556965923,0.00824319668930603
12,0.14955785888239503,0.010486321332282465,0.10915509394328382,0.16833936281946565,0.03377570641481517,0.34740187483321,0.34560782787796457,0.02076864502285871
13,0.1414995565310947,0.0008015579104159176,0.10278970708367352,0.2734858209826118,0.3691531629237731,0.4608567927354608,0.45805437794128495,0.06613650894620116
14,0.061176515646609975,0.08025509119033813,0.049172598903022724,0.2403430972108765,0.039493435215245565,0.3999582154414091,0.3988279194799632,0.10825146710353775
15,0.010788526895479739,0.0258938264980354,0.022645582915159335,0.015900338429221603,0.024407661772825717,0.0688807515035976,0.06955551738176574,0.007817145696347783
16,0.05014065712204809,0.01519317222609795,0.0577815381024623,0.030166880616174584,0.09999785236514383,0.1079523827902836,0.10963551650738221,0.07063782043956976
17,0.03699517757635997,0.34680389518400573,0.044823199906640236,0.03725638931030458,0.30362514934516766,0.14278444869049195,0.14395401779910205,0.23773839852838918
18,0.02705864547167358,0.09653947841385194,0.07388843505659938,0.12411016454662155,0.03281975792313466,0.00622298393329887,0.008400920880839408,0.06666734585054715
19,0.08746145164793952,0.179039055716965,0.0834519780604505,0.16492589567043997,0.01748580008116725,0.08092590650179146,0.08010422262900277,0.08852877271134924
20,0.10907957431282461,0.15030517666046894,0.16821099311471588,0.17310946434823204,0.04058693822898944,0.18738545902128828,0.18987926172680697,0.11935557488424725
