,XGB,LGBM,RF,DT,kNN,lasso,PLS,MLR
0,0.0793586630888371,0.09928302136684991,0.09780936574222748,0.0017935539136951784,0.13554859780258494,0.09592378784597633,0.11497075680142044,0.1149707568014196
1,0.17191684590071193,0.1093199033248402,0.18356711996288022,0.01820323375093691,0.06071931685776777,0.05416342806441521,0.04934178990206167,0.04934178990206084
2,0.04693050819286282,0.0020194691717320135,0.03317271656494247,0.10150979762287188,0.0033917484216365867,0.02914313580751976,0.009207257396705248,0.009207257396706026
3,0.005462154288123022,0.02572238066273691,0.004263482885391634,0.07811328836063819,0.040232725117232526,0.004372229863322974,0.0004395011563398943,0.0004395011563390061
4,0.04327894587220138,0.008084609415413335,0.023415426348288082,0.14155691187493308,0.09486187971208748,0.1481066222621723,0.1759079580869531,0.17590795808695392
5,0.04348671965086437,0.0435987935576127,0.028441838883534798,0.1647214191383803,0.07325932273294455,0.2617162164371375,0.2647600356887502,0.264760035688751
6,0.05491298700389924,0.047501586085844705,0.08155120105650132,0.08352071956312246,0.0431283172739928,0.03217595121528505,0.014952214892370863,0.01495221489237164
7,0.08282940015188817,0.04176117974261667,0.07281614733911534,0.014053967234179288,0.1002933123231205,0.06100003370248064,0.06827658180523799,0.06827658180523866
8,0.03306100827772718,0.007277123795382923,0.0018810008209306783,0.050647820965842194,0.13842088640245964,0.04772238084885605,0.10362505264257915,0.10362505264257982
9,0.051493599833762005,0.10650857267851654,0.0537691401648992,0.02264696434307739,0.03348402212047086,0.1008329922633544,0.1072206309107413,0.10722063091074197
10,0.005559018514998515,0.0011084105627898189,0.0004299175500588337,0.04952350358710783,0.026299933475471715,0.10811428576372917,0.13837053152891376,0.13837053152891443
11,0.04929811664867839,0.050326665992254216,0.051319377520790965,0.007495449191562198,0.09791119830933048,0.12364057337482237,0.12913930256683892,0.12913930256683948
12,0.000318425117053156,0.00019362467175820797,0.005070314451940061,0.09548666880822354,0.0056408961654561,0.07356079523877523,0.009749609440828033,0.009749609440827367
13,0.03662004867423618,0.03686536791840134,0.034983224470857,0.038146482492772305,0.0509387464258626,0.06007235606222061,0.09823711583162931,0.09823711583162997
14,0.06241951556223113,0.032947029182788856,0.0938032266124143,0.057586465360316974,0.09575049521044643,0.1155386800797813,0.12894592327602195,0.1289459232760225
15,0.0060490982022424755,0.032457146378479795,0.021860656030266767,0.009565620873041358,0.08580645707923573,0.27486171673289006,0.2598750625131573,0.25987506251315673
16,0.025876522226958576,0.006916581666132626,0.008916372202591172,0.002971410215226511,0.0675357229265866,0.39639507148179254,0.33367120302646447,0.3336712030264638
17,0.1779937764404545,0.20771235117304204,0.15891904914873178,0.017908769675554048,0.13745313826138378,0.07162480682465905,0.08096211840221346,0.08096211840221285
18,0.05551472587393469,0.01791480976926485,0.047099082699789574,0.0024627904486561603,0.08480568905342017,0.008934251564250428,0.005833746303596843,0.005833746303596343
19,0.028588204025035147,0.08527691932045633,0.018181461255667664,0.02090159545989939,0.05094759845038732,0.043640970622279174,0.009782844799160695,0.00978284479916014
20,0.003920454312116295,0.02968403954638449,0.01212745832887241,0.014733911553699519,0.11634530068345417,0.04706746168127901,0.06272436900449668,0.06272436900449618
21,0.1414948300154233,0.1847021606781557,0.1759788699718029,0.01801049362886814,0.02334132910362019,0.04074986879124792,0.007780652423499845,0.007780652423499346
22,0.0882422834242268,0.13848020501891556,0.09965146161259253,0.024226362565585136,0.06115552840366634,0.016108467219031475,0.02432016701361145,0.02432016701361195
23,0.13500523465082315,0.10257844800571958,0.26639540279116225,0.12271121105043364,0.020776014188831793,0.12661280387177803,0.15869311078415566,0.15869311078415616
24,0.08524178429785445,0.0675736931294606,0.1524192454581147,0.08319948602634114,0.10715005329633576,0.02970259144388604,0.03569608362566612,0.035696083625665675
