Cell_Type,Model,Test Score
B16,LGBM,0.05881132463677491
N2a,XGB,0.06429390541615146
PC3,XGB,0.07012971738540402
HepG2,RF,0.07247583468035503
HEK293,LGBM,0.08853397463682461
ARPE19,LGBM,0.10813003279404075
