,RF,XGB,LGBM,DT,kNN,MLR,PLS,lasso
0,0.06538120339782422,0.015400554559089175,0.017428295619052625,0.08066684592632428,0.046975148766326635,0.23539914831356945,0.2359130211417382,0.05322059109049487
1,0.08909029871808027,0.08561552609445966,0.09436424626018847,0.095612619879896,0.0898041122238944,0.14774185550676305,0.14772084524381196,0.017066246220870884
2,0.16706530013188348,0.06892985115130768,0.053718692480822616,0.03914582773146902,0.014684104758161842,0.09419636214976018,0.094444163085535,0.1113530620167959
3,0.016429842021121632,0.038413553476397744,0.025602455644252287,0.026216724926055368,0.01534383520732674,0.10595903495108475,0.1065904614632811,0.13801321543812423
4,0.08136249743914775,0.08629550012922893,0.1089965882746286,0.07246571659048123,0.05598821238945287,0.08555033146463156,0.08589119982091994,0.18174648955537237
5,0.02655901083880717,0.022100162525335976,0.029278080791649785,0.06940037644528096,0.177748938922007,0.009310451237746542,0.00979725487293831,0.12408883405617394
6,0.0643137734419833,0.05023765422125348,0.029270367623032867,0.364860625616205,0.29299087327030005,0.015195373359748493,0.014935760120035002,0.08170931226690431
7,0.016401070542943486,0.045451777953876005,0.03290019322032822,0.22555986632351244,0.15678715876507496,0.10066915927569875,0.10010510337447426,0.10017633806059179
8,0.07385888103560856,0.023698047384455467,0.04344362306485683,0.015960511658279886,0.11378384312204182,0.19299843037127373,0.19235121277890285,0.12489185419176752
9,0.04898214125661038,0.02440973790450124,0.043426033932724,0.053950754811201096,0.25637686777935353,0.1968031122036212,0.19427178599950778,0.39076052250861776
10,0.029756174988369445,0.005185388959944248,0.011605435761420686,0.04231168132754576,0.14130610772486432,0.13330359917305543,0.13288993601825552,0.4229001456342215
11,0.04385325516331834,0.05482631918162095,0.09694868324189784,0.001306034648330956,0.2604621029496341,0.19200392107228875,0.191866064738914,0.22108014278087104
12,0.021037013384721095,0.12892480593241806,0.14372656073204232,0.0013705894655074544,0.03961827549373047,0.028904349784628126,0.02863997344501723,0.15628553860091887
13,0.0003218831227032356,0.019414665177464485,0.004101846694351004,0.060258133906964134,0.03982021514580612,0.20658540227648864,0.20634006985561398,0.03239650926468263
14,0.005530050000640214,0.002023930661380291,0.002455871794064414,0.013982253293896199,0.10510928830555344,0.07347949350943801,0.07274746319686859,0.1349094861815467
15,0.08333578988420676,0.032304278586653856,0.030361992402262256,0.1438782826924801,0.08593640898677529,0.10672408710966093,0.10621662565165524,0.04233753950585831
16,0.042885134972919015,0.008896593935787678,0.007456168195128564,0.03000358519315227,0.02599584638583638,0.0697174391283794,0.06933474010706653,0.1864026631949575
17,0.012521911958966653,0.0021475711837410927,0.008439552109675228,0.07239849421887604,0.08834188092031085,0.11948838437235826,0.11952057640806071,0.22628743105156215
18,0.027412749362988004,0.014740003272891045,0.015116088447778852,0.1960876579725732,0.1319330368101857,0.126869873002872,0.12628463084666458,0.22616260928069834
19,0.029241842085045898,0.12894174217793153,0.10876356603452031,0.18479429954288792,0.1044011927912058,0.13281572502682887,0.1324381546508706,0.07776084702894814
20,0.02754724252231143,0.012951386161148548,0.05963525061641713,0.07324624301634251,0.07461683248184997,0.11831143546427347,0.11916379250987208,0.23651735551396796
21,0.0003984794139488823,0.007425501545964885,0.02375094757946078,0.2597211018493621,0.26109169131486953,0.08626497111290007,0.08566645263749689,0.11274357172784807
22,0.021912041127287164,0.01435765964621405,0.022269000490959923,0.0012100026888948623,0.10405063425416734,0.1750777909463267,0.17541592326370342,0.059953358559741154
23,0.049802392236136306,0.029915243876047715,0.03222522554942919,0.03505646679214844,0.01125285028761167,0.13531932498589355,0.13589471547573206,0.002590680874075879
24,0.0879094992146719,0.009111860485030654,0.007219194452570132,0.032842930127146286,0.07175430804031468,0.010608073239170956,0.01047670608057577,0.08168612154197291
25,0.016618602137457916,0.02706260336891042,0.05890265605759171,0.21609111512311296,0.05651217907593531,0.23475201067040385,0.2329640985891392,0.015819283271825135
26,0.10348795412446585,0.005544975049379008,0.06044686445759087,0.0024200053777896913,0.0014733240778089796,0.06429626195794996,0.06390510323604492,0.2061602679208253
27,0.07584067017503426,0.032602051600040594,0.09100016642899666,0.03203146006991131,0.046987134912002515,0.11514385979761632,0.11507522711774087,0.11126530898742282
28,0.016529079677716607,0.1097982844243161,0.07302663061021716,0.07561172358160792,0.004951752190798353,0.08186907800549453,0.08154129128350729,0.30821296748632804
29,0.049206680383231616,0.0721124284856901,0.09295474407642312,0.03249721507317632,0.008851825598335583,0.20545692251555114,0.20533985358397938,0.10069073336459106
30,0.08884924116079179,0.027242335930374506,0.015228420902796996,0.06917182038182312,0.01031463911619862,0.1590344184643266,0.15896817902880578,0.17737953682164537
31,0.0057309352552531445,0.030886467200641032,0.020416438503154805,0.2280518956708792,0.11659736560367942,0.10154913742401794,0.09928888711114048,0.17927252094231114
32,0.390394309626244,0.17203092303013856,0.14053935844182852,0.00682307071793492,0.11752409430145161,0.1383751696611225,0.1384536473947171,0.2596234835280909
33,0.019213355950314814,0.13921657437020396,0.2337808366010642,0.04070314600699115,0.19613579306477535,0.08236857964836408,0.08222945754979288,0.2538026435520356
34,0.13658097374806344,0.02400532759912366,0.033868737893657797,0.010621134713632574,0.05034634473277899,0.17067186535461637,0.17278214495490507,0.06815482981419535
35,0.07839902439531876,0.11761035928645425,0.060265611830816856,0.100587075378686,0.13140996170604702,0.019699863046881427,0.01938082245668593,0.05960795104105371
36,0.013461415959231338,0.07363105228140199,0.07670591889680167,0.002016671148158178,0.14932483271223618,0.3800845427792676,0.3795875825413937,0.12398580116248353
37,0.038377319171820606,0.04575428341819121,0.0747857775217424,0.028233396074213407,0.06779327189205753,0.0026057521075542878,0.0030071276319321993,0.08492653171356007
38,0.18063534677674065,0.06976661877017976,0.0521391432534839,0.0033419121883762615,0.04822622510313637,0.020568621078507543,0.020501326711996004,0.24530771990396216
39,0.1527056684464591,0.01701557532085085,0.05111927605256189,0.05826835170744818,0.06314232373345585,0.02193690216536892,0.022435073939642947,0.102654887598158
40,0.06113813343747443,0.23358454344316848,0.19732224506495344,0.24363308108938653,0.15998940989485264,0.22205755292776824,0.22224873501839193,0.522699005384047
41,0.002517385652612003,0.05885639835602818,0.02866520423771135,0.010531504884825682,0.06354453900073592,0.17463127313033222,0.17486770209110525,0.4968144284533761
42,0.0024130977455963376,0.1461556378825115,0.012572348051209992,0.01751142780317283,0.0026319219661850024,0.04965859295514791,0.049856757023673426,0.597983311138106
43,0.003029592381677937,0.0016345307230949402,0.01921410930610909,0.4409339428161692,0.336429959724615,0.24218630885582182,0.24217341927076858,0.03740524308216597
44,0.3161075879385996,0.005844088736921549,4.474087741936788e-05,0.010621134713632685,0.3589787862510653,0.029545918209831212,0.029896573359020184,0.037491483578399154
45,0.19293214701852818,0.011158257246049574,0.013678656751620638,0.11646275880613066,0.03399199106364659,0.2826017386497048,0.2824386529200279,0.09272315283520893
46,0.0709082861321697,0.007219660095870495,0.01302014436894193,0.07239849421887612,0.08663688977715578,0.3798707975327168,0.3793057054082769,0.1402614798689055
47,0.19440925087747973,0.0008247795631177723,0.009112214881322736,0.05263511696692669,0.22033722092739227,0.41931545810099463,0.4185911290715171,0.19141412039653238
