P_charged_centers,cLogP,Double_bonds,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,9.3028,1,-0.125666667,8,0.199600798,60,1.960784314
0,9.3028,1,0.407333333,12,0.199600798,60,1.960784314
0,9.3028,1,-25.33333333,4,0.199600798,80,1.960784314
0,9.3028,1,-6.63,8,0.199600798,80,1.960784314
0,9.3028,1,-11.83333333,12,0.199600798,80,1.960784314
0,9.3028,1,-4.81,4,0.199600798,20,9.090909091
0,9.3028,1,-3.45,8,0.199600798,20,9.090909091
0,9.3028,1,-0.677333333,12,0.199600798,20,9.090909091
0,9.3028,1,1.363333333,4,0.199600798,40,9.090909091
0,9.3028,1,-1.420666667,8,0.199600798,40,9.090909091
0,9.3028,1,-2.366666667,12,0.199600798,40,9.090909091
0,9.3028,1,-1.566666667,4,0.199600798,60,9.090909091
0,9.3028,1,-2.063333333,8,0.199600798,60,9.090909091
0,9.3028,1,-0.186,12,0.199600798,60,9.090909091
0,9.3028,1,-22.66666667,4,0.199600798,80,9.090909091
0,9.3028,1,-0.437,8,0.199600798,80,9.090909091
0,9.3028,1,-2.24,12,0.199600798,80,9.090909091
0,9.3028,1,-19.73333333,4,0.199600798,20,50.0
0,9.3028,1,-3.413333333,8,0.199600798,20,50.0
0,9.3028,1,-2.423333333,12,0.199600798,20,50.0
0,9.3028,1,-25.56666667,4,0.199600798,40,50.0
0,9.3028,1,-15.7,8,0.199600798,40,50.0
0,9.3028,1,-4.87,12,0.199600798,40,50.0
0,9.3028,1,-28.26666667,4,0.199600798,60,50.0
0,9.3028,1,-17.83333333,8,0.199600798,60,50.0
0,9.3028,1,-5.81,12,0.199600798,60,50.0
0,9.3028,1,-6.776666667,4,0.199600798,80,50.0
0,9.3028,1,-5.44,8,0.199600798,80,50.0
0,9.3028,1,-4.47,12,0.199600798,80,50.0
0,9.3028,1,-1.836666667,4,0.99009901,20,0.497512438
0,9.3028,1,-1.497333333,8,0.99009901,20,0.497512438
0,9.3028,1,-1.007333333,12,0.99009901,20,0.497512438
0,9.3028,1,-1.843333333,4,0.99009901,40,0.497512438
0,9.3028,1,-0.593366667,8,0.99009901,40,0.497512438
0,9.3028,1,-7.61,12,0.99009901,40,0.497512438
0,9.3028,1,-4.72,4,0.99009901,60,0.497512438
0,9.3028,1,-3.62,8,0.99009901,60,0.497512438
0,9.3028,1,-4.233333333,12,0.99009901,60,0.497512438
0,9.3028,1,-2.0,4,0.99009901,80,0.497512438
0,9.3028,1,-2.613333333,8,0.99009901,80,0.497512438
0,9.3028,1,-0.015666667,12,0.99009901,80,0.497512438
0,9.3028,1,-2.063333333,4,0.99009901,20,0.99009901
0,9.3028,1,-1.543333333,8,0.99009901,20,0.99009901
0,9.3028,1,-1.906666667,12,0.99009901,20,0.99009901
0,9.3028,1,-1.441,4,0.99009901,40,0.99009901
0,9.3028,1,-1.497333333,8,0.99009901,40,0.99009901
0,9.3028,1,-4.113333333,12,0.99009901,40,0.99009901
0,9.3028,1,-3.46,4,0.99009901,60,0.99009901
0,9.3028,1,-5.52,8,0.99009901,60,0.99009901
0,9.3028,1,-2.886666667,12,0.99009901,60,0.99009901
0,9.3028,1,-2.153333333,4,0.99009901,80,0.99009901
0,9.3028,1,-1.356666667,8,0.99009901,80,0.99009901
0,9.3028,1,0.867666667,12,0.99009901,80,0.99009901
0,9.3028,1,-1.916666667,4,0.99009901,20,1.960784314
0,9.3028,1,-0.810333333,8,0.99009901,20,1.960784314
0,9.3028,1,-2.876666667,12,0.99009901,20,1.960784314
0,9.3028,1,-2.14,4,0.99009901,40,1.960784314
0,9.3028,1,-0.342,8,0.99009901,40,1.960784314
0,9.3028,1,-2.2,12,0.99009901,40,1.960784314
0,9.3028,1,-3.503333333,4,0.99009901,60,1.960784314
0,9.3028,1,-2.013333333,8,0.99009901,60,1.960784314
0,9.3028,1,-3.336666667,12,0.99009901,60,1.960784314
0,9.3028,1,-6.496666667,4,0.99009901,80,1.960784314
0,9.3028,1,0.9383,8,0.99009901,80,1.960784314
0,9.3028,1,0.4627,12,0.99009901,80,1.960784314
0,9.3028,1,-20.96666667,4,0.99009901,20,9.090909091
0,9.3028,1,-1.013333333,8,0.99009901,20,9.090909091
0,9.3028,1,-0.812553333,12,0.99009901,20,9.090909091
0,9.3028,1,-1.636666667,4,0.99009901,40,9.090909091
0,9.3028,1,-0.022666667,8,0.99009901,40,9.090909091
0,9.3028,1,-3.43,12,0.99009901,40,9.090909091
0,9.3028,1,-13.4,4,0.99009901,60,9.090909091
0,9.3028,1,-1.985333333,8,0.99009901,60,9.090909091
0,9.3028,1,-3.243333333,12,0.99009901,60,9.090909091
0,9.3028,1,-1.304,4,0.99009901,80,9.090909091
0,9.3028,1,-0.888,8,0.99009901,80,9.090909091
0,9.3028,1,-0.417666667,12,0.99009901,80,9.090909091
0,9.3028,1,-6.72,4,0.99009901,20,50.0
0,9.3028,1,-5.936666667,8,0.99009901,20,50.0
0,9.3028,1,-3.736666667,12,0.99009901,20,50.0
0,9.3028,1,-7.57,4,0.99009901,40,50.0
0,9.3028,1,-4.593333333,8,0.99009901,40,50.0
0,9.3028,1,-1.266666667,12,0.99009901,40,50.0
0,9.3028,1,-16.4,4,0.99009901,60,50.0
0,9.3028,1,-1.483333333,8,0.99009901,60,50.0
0,9.3028,1,-0.622,12,0.99009901,60,50.0
0,9.3028,1,-8.473333333,4,0.99009901,80,50.0
0,9.3028,1,-5.833333333,8,0.99009901,80,50.0
0,9.3028,1,-6.46,12,0.99009901,80,50.0
0,9.3028,1,-1.485333333,4,9.090909091,20,0.497512438
0,9.3028,1,-0.415666667,8,9.090909091,20,0.497512438
0,9.3028,1,-2.8,12,9.090909091,20,0.497512438
0,9.3028,1,-1.42,4,9.090909091,40,0.497512438
0,9.3028,1,-0.845333333,8,9.090909091,40,0.497512438
0,9.3028,1,-1.69,12,9.090909091,40,0.497512438
0,9.3028,1,-3.313333333,4,9.090909091,60,0.497512438
0,9.3028,1,-1.398,8,9.090909091,60,0.497512438
0,9.3028,1,-0.940666667,12,9.090909091,60,0.497512438
0,9.3028,1,8.696666667,4,9.090909091,80,0.497512438
0,9.3028,1,-0.939,8,9.090909091,80,0.497512438
0,9.3028,1,-0.976,12,9.090909091,80,0.497512438
0,9.3028,1,-1.733333333,4,9.090909091,20,0.99009901
0,9.3028,1,-1.54,8,9.090909091,20,0.99009901
0,9.3028,1,-1.195666667,12,9.090909091,20,0.99009901
0,9.3028,1,-1.7,4,9.090909091,40,0.99009901
0,9.3028,1,-0.988333333,8,9.090909091,40,0.99009901
0,9.3028,1,-2.643333333,12,9.090909091,40,0.99009901
0,9.3028,1,-0.603333333,4,9.090909091,60,0.99009901
0,9.3028,1,-0.511666667,8,9.090909091,60,0.99009901
0,9.3028,1,-1.116666667,12,9.090909091,60,0.99009901
0,9.3028,1,2.933333333,4,9.090909091,80,0.99009901
0,9.3028,1,0.520333333,8,9.090909091,80,0.99009901
0,9.3028,1,-2.67,12,9.090909091,80,0.99009901
0,9.3028,1,-1.596666667,4,9.090909091,20,1.960784314
0,9.3028,1,-1.566666667,8,9.090909091,20,1.960784314
0,9.3028,1,-2.373333333,12,9.090909091,20,1.960784314
0,9.3028,1,-1.247666667,4,9.090909091,40,1.960784314
0,9.3028,1,-1.014,8,9.090909091,40,1.960784314
0,9.3028,1,-3.99,12,9.090909091,40,1.960784314
0,9.3028,1,-10.79333333,4,9.090909091,60,1.960784314
0,9.3028,1,-1.503333333,8,9.090909091,60,1.960784314
0,9.3028,1,-1.180333333,12,9.090909091,60,1.960784314
0,9.3028,1,1.269666667,4,9.090909091,80,1.960784314
0,9.3028,1,-1.149666667,8,9.090909091,80,1.960784314
0,9.3028,1,-1.219666667,12,9.090909091,80,1.960784314
0,9.3028,1,-2.273333333,4,9.090909091,20,9.090909091
0,9.3028,1,-1.220666667,8,9.090909091,20,9.090909091
0,9.3028,1,-1.876666667,12,9.090909091,20,9.090909091
0,9.3028,1,-1.019766667,4,9.090909091,40,9.090909091
0,9.3028,1,-1.61,8,9.090909091,40,9.090909091
0,9.3028,1,-1.693333333,12,9.090909091,40,9.090909091
0,9.3028,1,-0.879,4,9.090909091,60,9.090909091
0,9.3028,1,-0.790333333,8,9.090909091,60,9.090909091
0,9.3028,1,-1.506666667,12,9.090909091,60,9.090909091
0,9.3028,1,0.606333333,4,9.090909091,80,9.090909091
0,9.3028,1,-1.317,8,9.090909091,80,9.090909091
0,9.3028,1,-0.951333333,12,9.090909091,80,9.090909091
0,9.3028,1,-3.106666667,4,9.090909091,20,50.0
0,9.3028,1,-31.73333333,8,9.090909091,20,50.0
0,9.3028,1,-2.386666667,12,9.090909091,20,50.0
0,9.3028,1,-1.746666667,4,9.090909091,40,50.0
0,9.3028,1,-1.683333333,8,9.090909091,40,50.0
0,9.3028,1,-1.856666667,12,9.090909091,40,50.0
0,9.3028,1,-1.74,4,9.090909091,60,50.0
0,9.3028,1,-1.833333333,8,9.090909091,60,50.0
0,9.3028,1,-1.422666667,12,9.090909091,60,50.0
0,9.3028,1,-1.713333333,4,9.090909091,80,50.0
0,9.3028,1,-2.203333333,8,9.090909091,80,50.0
0,9.3028,1,-1.184333333,12,9.090909091,80,50.0
1,9.784,2,-7.436666667,4,0.199600798,20,0.497512438
1,9.784,2,-3.523333333,8,0.199600798,20,0.497512438
1,9.784,2,-3.396666667,12,0.199600798,20,0.497512438
1,9.784,2,-4.23,4,0.199600798,40,0.497512438
1,9.784,2,-1.803333333,8,0.199600798,40,0.497512438
1,9.784,2,-2.356666667,12,0.199600798,40,0.497512438
1,9.784,2,-5.31,4,0.199600798,60,0.497512438
1,9.784,2,0.721666667,8,0.199600798,60,0.497512438
1,9.784,2,-0.501666667,12,0.199600798,60,0.497512438
1,9.784,2,-24.63333333,4,0.199600798,80,0.497512438
1,9.784,2,-6.11,8,0.199600798,80,0.497512438
1,9.784,2,-0.955,12,0.199600798,80,0.497512438
1,9.784,2,-11.77666667,4,0.199600798,20,0.99009901
1,9.784,2,-3.553333333,8,0.199600798,20,0.99009901
1,9.784,2,-1.593,12,0.199600798,20,0.99009901
1,9.784,2,-3.686666667,4,0.199600798,40,0.99009901
1,9.784,2,0.269333333,8,0.199600798,40,0.99009901
1,9.784,2,-2.24,12,0.199600798,40,0.99009901
1,9.784,2,-3.663333333,4,0.199600798,60,0.99009901
1,9.784,2,0.073,8,0.199600798,60,0.99009901
1,9.784,2,-1.161666667,12,0.199600798,60,0.99009901
1,9.784,2,-26.66666667,4,0.199600798,80,0.99009901
1,9.784,2,-6.033333333,8,0.199600798,80,0.99009901
1,9.784,2,-0.325333333,12,0.199600798,80,0.99009901
1,9.784,2,-11.36666667,4,0.199600798,20,1.960784314
1,9.784,2,-4.096666667,8,0.199600798,20,1.960784314
1,9.784,2,-3.116666667,12,0.199600798,20,1.960784314
1,9.784,2,-0.756333333,4,0.199600798,40,1.960784314
1,9.784,2,0.3774,8,0.199600798,40,1.960784314
1,9.784,2,-3.04,12,0.199600798,40,1.960784314
1,9.784,2,-2.12,4,0.199600798,60,1.960784314
1,9.784,2,1.195666667,8,0.199600798,60,1.960784314
1,9.784,2,0.16,12,0.199600798,60,1.960784314
1,9.784,2,-29.4,4,0.199600798,80,1.960784314
1,9.784,2,-10.41,8,0.199600798,80,1.960784314
1,9.784,2,-0.4925,12,0.199600798,80,1.960784314
1,9.784,2,-9.42,4,0.199600798,20,9.090909091
1,9.784,2,-1.686666667,8,0.199600798,20,9.090909091
1,9.784,2,-0.166206667,12,0.199600798,20,9.090909091
1,9.784,2,-2.53,4,0.199600798,40,9.090909091
1,9.784,2,2.476666667,8,0.199600798,40,9.090909091
1,9.784,2,1.541666667,12,0.199600798,40,9.090909091
1,9.784,2,-1.64,4,0.199600798,60,9.090909091
1,9.784,2,2.77,8,0.199600798,60,9.090909091
1,9.784,2,2.354,12,0.199600798,60,9.090909091
1,9.784,2,-26.83333333,4,0.199600798,80,9.090909091
1,9.784,2,5.42,8,0.199600798,80,9.090909091
1,9.784,2,7.203333333,12,0.199600798,80,9.090909091
1,9.784,2,2.916666667,4,0.199600798,20,50.0
1,9.784,2,3.96,8,0.199600798,20,50.0
1,9.784,2,5.006666667,12,0.199600798,20,50.0
1,9.784,2,4.206666667,4,0.199600798,40,50.0
1,9.784,2,4.25,8,0.199600798,40,50.0
1,9.784,2,2.72,12,0.199600798,40,50.0
1,9.784,2,4.343333333,4,0.199600798,60,50.0
1,9.784,2,5.876666667,8,0.199600798,60,50.0
1,9.784,2,6.29,12,0.199600798,60,50.0
1,9.784,2,6.303333333,4,0.199600798,80,50.0
1,9.784,2,11.93333333,8,0.199600798,80,50.0
1,9.784,2,8.72,12,0.199600798,80,50.0
1,9.784,2,-4.186666667,4,0.99009901,20,0.497512438
1,9.784,2,-2.646666667,8,0.99009901,20,0.497512438
1,9.784,2,-2.373333333,12,0.99009901,20,0.497512438
1,9.784,2,-1.616666667,4,0.99009901,40,0.497512438
1,9.784,2,-1.976666667,8,0.99009901,40,0.497512438
1,9.784,2,-2.136666667,12,0.99009901,40,0.497512438
1,9.784,2,-0.094333333,4,0.99009901,60,0.497512438
1,9.784,2,-1.95,8,0.99009901,60,0.497512438
1,9.784,2,-2.43,12,0.99009901,60,0.497512438
1,9.784,2,-15.26666667,4,0.99009901,80,0.497512438
1,9.784,2,-3.21,8,0.99009901,80,0.497512438
1,9.784,2,-4.51,12,0.99009901,80,0.497512438
1,9.784,2,-4.66,4,0.99009901,20,0.99009901
1,9.784,2,-6.34,8,0.99009901,20,0.99009901
1,9.784,2,-2.326666667,12,0.99009901,20,0.99009901
1,9.784,2,-3.043333333,4,0.99009901,40,0.99009901
1,9.784,2,-0.049066667,8,0.99009901,40,0.99009901
1,9.784,2,-1.993333333,12,0.99009901,40,0.99009901
1,9.784,2,-2.476666667,4,0.99009901,60,0.99009901
1,9.784,2,1.32,8,0.99009901,60,0.99009901
1,9.784,2,-1.426666667,12,0.99009901,60,0.99009901
1,9.784,2,-15.93333333,4,0.99009901,80,0.99009901
1,9.784,2,-3.53,8,0.99009901,80,0.99009901
1,9.784,2,-3.316666667,12,0.99009901,80,0.99009901
