,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
62,63,18PG,0,1,9.3028,3,10,36,1,12,200,20,100,296.5333333,-1.007333333,3.951
63,64,18PG,0,1,9.3028,3,10,36,1,4,200,40,100,75.20666667,-1.843333333,5.308
64,65,18PG,0,1,9.3028,3,10,36,1,8,200,40,100,210.5666667,-0.593366667,3.178
65,66,18PG,0,1,9.3028,3,10,36,1,12,200,40,100,184.1666667,-7.61,4.344
66,67,18PG,0,1,9.3028,3,10,36,1,4,200,60,100,133.6666667,-4.72,5.313
67,68,18PG,0,1,9.3028,3,10,36,1,8,200,60,100,145.6666667,-3.62,4.554
68,69,18PG,0,1,9.3028,3,10,36,1,12,200,60,100,164.5333333,-4.233333333,5.278
69,70,18PG,0,1,9.3028,3,10,36,1,4,200,80,100,415.6,-2.0,4.682
70,71,18PG,0,1,9.3028,3,10,36,1,8,200,80,100,420.6,-2.613333333,3.497
71,72,18PG,0,1,9.3028,3,10,36,1,12,200,80,100,725.6666667,-0.015666667,5.136
72,73,18PG,0,1,9.3028,3,10,36,1,4,100,20,100,613.1333333,-2.063333333,5.908
73,74,18PG,0,1,9.3028,3,10,36,1,8,100,20,100,187.7333333,-1.543333333,5.13
74,75,18PG,0,1,9.3028,3,10,36,1,12,100,20,100,99.15666667,-1.906666667,4.443
75,76,18PG,0,1,9.3028,3,10,36,1,4,100,40,100,118.2,-1.441,5.407
76,77,18PG,0,1,9.3028,3,10,36,1,8,100,40,100,170.9666667,-1.497333333,4.625
77,78,18PG,0,1,9.3028,3,10,36,1,12,100,40,100,215.6333333,-4.113333333,4.654
78,79,18PG,0,1,9.3028,3,10,36,1,4,100,60,100,182.2,-3.46,4.575
79,80,18PG,0,1,9.3028,3,10,36,1,8,100,60,100,207.7333333,-5.52,4.736
80,81,18PG,0,1,9.3028,3,10,36,1,12,100,60,100,348.7,-2.886666667,5.13
81,82,18PG,0,1,9.3028,3,10,36,1,4,100,80,100,379.2666667,-2.153333333,5.056
82,83,18PG,0,1,9.3028,3,10,36,1,8,100,80,100,430.7333333,-1.356666667,4.205
83,84,18PG,0,1,9.3028,3,10,36,1,12,100,80,100,255.0166667,0.867666667,5.165
84,85,18PG,0,1,9.3028,3,10,36,1,4,50,20,100,738.2666667,-1.916666667,6.014
85,86,18PG,0,1,9.3028,3,10,36,1,8,50,20,100,190.2,-0.810333333,5.198
86,87,18PG,0,1,9.3028,3,10,36,1,12,50,20,100,210.8,-2.876666667,4.511
87,88,18PG,0,1,9.3028,3,10,36,1,4,50,40,100,263.4666667,-2.14,5.714
88,89,18PG,0,1,9.3028,3,10,36,1,8,50,40,100,162.0,-0.342,5.17
89,90,18PG,0,1,9.3028,3,10,36,1,12,50,40,100,203.3333333,-2.2,4.927
90,91,18PG,0,1,9.3028,3,10,36,1,4,50,60,100,194.0,-3.503333333,4.883
91,92,18PG,0,1,9.3028,3,10,36,1,8,50,60,100,235.7333333,-2.013333333,5.236
92,93,18PG,0,1,9.3028,3,10,36,1,12,50,60,100,183.1666667,-3.336666667,5.075
93,94,18PG,0,1,9.3028,3,10,36,1,4,50,80,100,2155.333333,-6.496666667,5.576
94,95,18PG,0,1,9.3028,3,10,36,1,8,50,80,100,410.2,0.9383,4.86
95,96,18PG,0,1,9.3028,3,10,36,1,12,50,80,100,363.8,0.4627,5.165
96,97,18PG,0,1,9.3028,3,10,36,1,4,10,20,100,457.7666667,-20.96666667,5.136
97,98,18PG,0,1,9.3028,3,10,36,1,8,10,20,100,170.4666667,-1.013333333,3.738
98,99,18PG,0,1,9.3028,3,10,36,1,12,10,20,100,205.1333333,-0.812553333,3.466
99,100,18PG,0,1,9.3028,3,10,36,1,4,10,40,100,153.8666667,-1.636666667,5.389
100,101,18PG,0,1,9.3028,3,10,36,1,8,10,40,100,202.0333333,-0.022666667,4.043
101,102,18PG,0,1,9.3028,3,10,36,1,12,10,40,100,192.2666667,-3.43,4.111
102,103,18PG,0,1,9.3028,3,10,36,1,4,10,60,100,176.8,-13.4,5.82
103,104,18PG,0,1,9.3028,3,10,36,1,8,10,60,100,293.4666667,-1.985333333,5.635
104,105,18PG,0,1,9.3028,3,10,36,1,12,10,60,100,281.8333333,-3.243333333,3.135
105,106,18PG,0,1,9.3028,3,10,36,1,4,10,80,100,496.8666667,-1.304,6.109
106,107,18PG,0,1,9.3028,3,10,36,1,8,10,80,100,526.7333333,-0.888,4.868
107,108,18PG,0,1,9.3028,3,10,36,1,12,10,80,100,501.1333333,-0.417666667,4.736
108,109,18PG,0,1,9.3028,3,10,36,1,4,1,20,100,237.7333333,-6.72,3.0
109,110,18PG,0,1,9.3028,3,10,36,1,8,1,20,100,154.0666667,-5.936666667,3.0
110,111,18PG,0,1,9.3028,3,10,36,1,12,1,20,100,185.1,-3.736666667,3.0
111,112,18PG,0,1,9.3028,3,10,36,1,4,1,40,100,196.1666667,-7.57,3.0
112,113,18PG,0,1,9.3028,3,10,36,1,8,1,40,100,298.0333333,-4.593333333,3.0
113,114,18PG,0,1,9.3028,3,10,36,1,12,1,40,100,189.2333333,-1.266666667,3.0
114,115,18PG,0,1,9.3028,3,10,36,1,4,1,60,100,241.5,-16.4,3.0
115,116,18PG,0,1,9.3028,3,10,36,1,8,1,60,100,249.8,-1.483333333,3.0
116,117,18PG,0,1,9.3028,3,10,36,1,12,1,60,100,346.5,-0.622,3.0
117,118,18PG,0,1,9.3028,3,10,36,1,4,1,80,100,364.1333333,-8.473333333,3.0
118,119,18PG,0,1,9.3028,3,10,36,1,8,1,80,100,812.3666667,-5.833333333,3.0
119,120,18PG,0,1,9.3028,3,10,36,1,12,1,80,100,409.6,-6.46,3.0
120,121,18PG,0,1,9.3028,3,10,36,1,4,200,20,10,113.3,-1.485333333,2.079
121,122,18PG,0,1,9.3028,3,10,36,1,8,200,20,10,179.0666667,-0.415666667,3.0
122,123,18PG,0,1,9.3028,3,10,36,1,12,200,20,10,1512.333333,-2.8,3.0
123,124,18PG,0,1,9.3028,3,10,36,1,4,200,40,10,108.3166667,-1.42,2.197
124,125,18PG,0,1,9.3028,3,10,36,1,8,200,40,10,153.9,-0.845333333,3.219
125,126,18PG,0,1,9.3028,3,10,36,1,12,200,40,10,120.1,-1.69,3.497
126,127,18PG,0,1,9.3028,3,10,36,1,4,200,60,10,166.4,-3.313333333,2.639
127,128,18PG,0,1,9.3028,3,10,36,1,8,200,60,10,192.9,-1.398,3.892
128,129,18PG,0,1,9.3028,3,10,36,1,12,200,60,10,260.3666667,-0.940666667,4.007
129,130,18PG,0,1,9.3028,3,10,36,1,4,200,80,10,230.6333333,8.696666667,3.178
130,131,18PG,0,1,9.3028,3,10,36,1,8,200,80,10,237.4,-0.939,3.296
131,132,18PG,0,1,9.3028,3,10,36,1,12,200,80,10,208.8333333,-0.976,4.635
132,133,18PG,0,1,9.3028,3,10,36,1,4,100,20,10,129.5333333,-1.733333333,2.079
133,134,18PG,0,1,9.3028,3,10,36,1,8,100,20,10,247.0333333,-1.54,3.0
134,135,18PG,0,1,9.3028,3,10,36,1,12,100,20,10,1955.333333,-1.195666667,3.0
135,136,18PG,0,1,9.3028,3,10,36,1,4,100,40,10,181.4666667,-1.7,3.0
136,137,18PG,0,1,9.3028,3,10,36,1,8,100,40,10,144.4,-0.988333333,2.996
137,138,18PG,0,1,9.3028,3,10,36,1,12,100,40,10,123.8,-2.643333333,3.0
138,139,18PG,0,1,9.3028,3,10,36,1,4,100,60,10,253.1333333,-0.603333333,2.89
139,140,18PG,0,1,9.3028,3,10,36,1,8,100,60,10,212.9666667,-0.511666667,3.97
140,141,18PG,0,1,9.3028,3,10,36,1,12,100,60,10,219.6333333,-1.116666667,2.773
141,142,18PG,0,1,9.3028,3,10,36,1,4,100,80,10,243.4333333,2.933333333,3.296
142,143,18PG,0,1,9.3028,3,10,36,1,8,100,80,10,226.2666667,0.520333333,4.06
143,144,18PG,0,1,9.3028,3,10,36,1,12,100,80,10,262.2333333,-2.67,4.317
144,145,18PG,0,1,9.3028,3,10,36,1,4,50,20,10,135.9333333,-1.596666667,2.079
145,146,18PG,0,1,9.3028,3,10,36,1,8,50,20,10,967.0333333,-1.566666667,2.079
146,147,18PG,0,1,9.3028,3,10,36,1,12,50,20,10,1599.666667,-2.373333333,3.0
147,148,18PG,0,1,9.3028,3,10,36,1,4,50,40,10,113.75,-1.247666667,3.0
148,149,18PG,0,1,9.3028,3,10,36,1,8,50,40,10,142.2666667,-1.014,2.996
149,150,18PG,0,1,9.3028,3,10,36,1,12,50,40,10,142.3333333,-3.99,3.0
150,151,18PG,0,1,9.3028,3,10,36,1,4,50,60,10,256.9666667,-10.79333333,2.639
151,152,18PG,0,1,9.3028,3,10,36,1,8,50,60,10,205.9333333,-1.503333333,3.932
152,153,18PG,0,1,9.3028,3,10,36,1,12,50,60,10,184.7,-1.180333333,2.773
153,154,18PG,0,1,9.3028,3,10,36,1,4,50,80,10,244.4333333,1.269666667,3.664
154,155,18PG,0,1,9.3028,3,10,36,1,8,50,80,10,247.3666667,-1.149666667,4.143
155,156,18PG,0,1,9.3028,3,10,36,1,12,50,80,10,250.6333333,-1.219666667,4.543
156,157,18PG,0,1,9.3028,3,10,36,1,4,10,20,10,636.7,-2.273333333,2.485
157,158,18PG,0,1,9.3028,3,10,36,1,8,10,20,10,691.7,-1.220666667,2.197
158,159,18PG,0,1,9.3028,3,10,36,1,12,10,20,10,1708.333333,-1.876666667,3.0
159,160,18PG,0,1,9.3028,3,10,36,1,4,10,40,10,111.6666667,-1.019766667,2.565
160,161,18PG,0,1,9.3028,3,10,36,1,8,10,40,10,148.1333333,-1.61,3.045
161,162,18PG,0,1,9.3028,3,10,36,1,12,10,40,10,118.0,-1.693333333,2.485
162,163,18PG,0,1,9.3028,3,10,36,1,4,10,60,10,233.5,-0.879,4.043
163,164,18PG,0,1,9.3028,3,10,36,1,8,10,60,10,264.6666667,-0.790333333,4.043
164,165,18PG,0,1,9.3028,3,10,36,1,12,10,60,10,220.9,-1.506666667,2.89
165,166,18PG,0,1,9.3028,3,10,36,1,4,10,80,10,256.1,0.606333333,4.997
166,167,18PG,0,1,9.3028,3,10,36,1,8,10,80,10,278.3,-1.317,4.913
167,168,18PG,0,1,9.3028,3,10,36,1,12,10,80,10,265.9,-0.951333333,4.111
168,169,18PG,0,1,9.3028,3,10,36,1,4,1,20,10,675.8333333,-3.106666667,3.555
169,170,18PG,0,1,9.3028,3,10,36,1,8,1,20,10,682.8333333,-31.73333333,4.942
170,171,18PG,0,1,9.3028,3,10,36,1,12,1,20,10,464.0,-2.386666667,3.367
