,HEK293,HepG2,N2a,ARPE19,B16,PC3
RF,0.852488883,0.778310823,0.88279191,0.850051133,0.904583133,0.678375656
MLR,0.446843658,0.255390247,0.545631386,0.49717589,0.657209083,0.579785611
lasso,0.343219853,0.458685313,0.564326243,0.371696089,0.669712162,0.598325721
PLS,0.445582031,0.461292405,0.571576704,0.49676375,0.657081039,0.512700925
kNN,0.709308318,0.661013401,0.816274364,0.814810416,0.83604242,0.635109203
LGBM,0.85943646,0.727287498,0.894454973,0.861731066,0.897036864,0.652602944
XGB,0.839311172,0.732555359,0.88642872,0.858618905,0.898141879,0.730220894
DT,0.801051365,0.710168897,0.8403208,0.819620791,0.893079659,0.679088942
