,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3,Exp_PC3
56,57,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,500,2.525670504695033,12.499273275960652
57,58,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,500,2.4848821211989405,11.999705660541164
58,59,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,500,2.602751143451792,13.500829708595866
59,60,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,500,2.6741246303783845,14.499651727984507
60,61,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,100,2.525670504695033,12.499273275960652
61,62,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,100,2.5650388426503046,13.001163359504929
62,63,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,100,2.525670504695033,12.499273275960652
63,64,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,100,2.602751143451792,13.500829708595866
64,65,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,100,2.602751143451792,13.500829708595866
65,66,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,100,2.5650388426503046,13.001163359504929
66,67,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,100,2.602751143451792,13.500829708595866
67,68,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,100,2.6389732352794555,13.998822728800372
68,69,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,100,2.5650388426503046,13.001163359504929
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,2.525670504695033,12.499273275960652
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,2.525670504695033,12.499273275960652
71,72,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,100,2.5650388426503046,13.001163359504929
72,73,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,100,2.4422863813608107,11.499302500056768
73,74,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,100,2.6389732352794555,13.998822728800372
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,2.740929417814061,15.501385667211498
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,2.5650388426503046,13.001163359504929
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,2.6389732352794555,13.998822728800372
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,2.5650388426503046,13.001163359504929
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,2.525670504695033,12.499273275960652
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,2.525670504695033,12.499273275960652
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,2.740929417814061,15.501385667211498
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,2.5650388426503046,13.001163359504929
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,2.5650388426503046,13.001163359504929
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,2.4848821211989405,11.999705660541164
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,2.602751143451792,13.500829708595866
85,86,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,100,2.6389732352794555,13.998822728800372
86,87,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,100,2.602751143451792,13.500829708595866
87,88,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,100,2.707904251597284,14.997810917177775
88,89,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,100,2.4848821211989405,11.999705660541164
89,90,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,100,2.5650388426503046,13.001163359504929
90,91,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,100,2.5650388426503046,13.001163359504929
91,92,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,100,2.525670504695033,12.499273275960652
92,93,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,100,2.6389732352794555,13.998822728800372
93,94,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,100,2.525670504695033,12.499273275960652
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,2.525670504695033,12.499273275960652
95,96,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,100,2.5650388426503046,13.001163359504929
96,97,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,100,2.890175541218196,17.99646844628277
97,98,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,100,2.8034383158897356,16.501285977333474
98,99,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,100,2.8034383158897356,16.501285977333474
99,100,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,100,2.833250342481756,17.000628984869827
100,101,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,100,2.7726789280592854,16.001443358210743
101,102,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,100,2.6389732352794555,13.998822728800372
102,103,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,100,2.833250342481756,17.000628984869827
103,104,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,100,2.707904251597284,14.997810917177775
104,105,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,100,2.602751143451792,13.500829708595866
105,106,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,100,2.6389732352794555,13.998822728800372
106,107,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,100,2.6741246303783845,14.499651727984507
107,108,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,100,2.5650388426503046,13.001163359504929
108,109,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,100,2.602751143451792,13.500829708595866
109,110,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,100,2.862242444705852,17.500727381202964
110,111,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,100,2.707904251597284,14.997810917177775
111,112,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,100,2.707904251597284,14.997810917177775
112,113,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,100,2.8034383158897356,16.501285977333474
113,114,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,100,2.6741246303783845,14.499651727984507
114,115,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,100,2.602751143451792,13.500829708595866
115,116,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,100,2.6389732352794555,13.998822728800372
116,117,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,100,2.740929417814061,15.501385667211498
117,118,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,100,2.6389732352794555,13.998822728800372
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,2.525670504695033,12.499273275960652
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,2.602751143451792,13.500829708595866
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,2.707904251597284,14.997810917177775
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,2.6741246303783845,14.499651727984507
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,2.602751143451792,13.500829708595866
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,2.6741246303783845,14.499651727984507
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,2.525670504695033,12.499273275960652
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,2.5650388426503046,13.001163359504929
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,2.6389732352794555,13.998822728800372
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,2.6389732352794555,13.998822728800372
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,2.5650388426503046,13.001163359504929
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,2.602751143451792,13.500829708595866
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,2.6741246303783845,14.499651727984507
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,2.602751143451792,13.500829708595866
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,2.602751143451792,13.500829708595866
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,2.944332606715115,18.997979030914447
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,3.1136660714629696,22.50339240640038
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,2.6741246303783845,14.499651727984507
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,2.6389732352794555,13.998822728800372
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,2.6389732352794555,13.998822728800372
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,2.8034383158897356,16.501285977333474
