,HepG2,HEK293,B16,PC3,N2a,ARPE19
RF,0.044950937122968375,0.1031051824183988,0.05994501931866491,0.05134726168021557,0.06905594581876848,0.12424111746550473
MLR,0.09370100754381695,0.16126782343093435,0.10001527135267105,0.11100689519879535,0.1474966361473398,0.2110999210912115
lasso,0.09356576906558073,0.16773752400778272,0.13267914131844127,0.13211964997902684,0.1463934028548528,0.2179876876952118
PLS,0.09242890017035803,0.16177150625421952,0.10008923825219992,0.1112817829880661,0.14604153550891874,0.2113475028949947
kNN,0.06667447311762618,0.13229614946523166,0.08852414781807244,0.06779977737943954,0.12218746007410314,0.16020127924266875
LGBM,0.04037384553432792,0.09435577730440095,0.05737002013190971,0.046984867104264916,0.07443905359436903,0.12694029982031696
XGB,0.045890584391505264,0.09928440150658584,0.05748196001947316,0.04980924147549488,0.06655094998653467,0.11802243917957764
DT,0.04030297417794743,0.14322904822546656,0.056158903029314186,0.0522561847980914,0.07609921470754355,0.15123774509803922
