,HepG2,HEK293,B16,PC3,N2a,ARPE19
,,,,,,
RF,0.607,0.798,0.779,0.582,0.909,0.809
,,,,,,
MLR,0.502,0.364,0.626,0.542,0.595,0.540
,,,,,,
lasso,0.430,0.232,0.233,0.426,0.575,0.528
,,,,,,
PLS,0.494,0.362,0.626,0.554,0.589,0.539
,,,,,,
kNN,0.499,0.611,0.662,0.547,0.700,0.690
,,,,,,
LGBM,0.621,0.809,0.795,0.603,0.878,0.798
,,,,,,
XGB,0.594,0.793,0.793,0.603,0.903,0.793
,,,,,,
DT,0.660,0.595,0.767,0.657,0.890,0.720
