,P_charged_centers,N_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_ARPE19
92,0.0,1.0,9.3028,3.0,12.0,50.0,60.0,100.0,183.1666667,-3.336666667,0.15296462381664172
94,0.0,1.0,9.3028,3.0,8.0,50.0,80.0,100.0,410.2,0.9383,0.31722305264906164
95,0.0,1.0,9.3028,3.0,12.0,50.0,80.0,100.0,363.8,0.4627,0.25892708852350105
97,0.0,1.0,9.3028,3.0,8.0,10.0,20.0,100.0,170.4666667,-1.013333333,0.12522836738083376
99,0.0,1.0,9.3028,3.0,4.0,10.0,40.0,100.0,153.8666667,-1.636666667,0.15296462381664172
100,0.0,1.0,9.3028,3.0,8.0,10.0,40.0,100.0,202.0333333,-0.022666667,0.15296462381664172
101,0.0,1.0,9.3028,3.0,12.0,10.0,40.0,100.0,192.2666667,-3.43,0.019598073409732575
102,0.0,1.0,9.3028,3.0,4.0,10.0,60.0,100.0,176.8,-13.4,0.15296462381664172
103,0.0,1.0,9.3028,3.0,8.0,10.0,60.0,100.0,293.4666667,-1.985333333,0.15296462381664172
104,0.0,1.0,9.3028,3.0,12.0,10.0,60.0,100.0,281.8333333,-3.243333333,0.15296462381664172
105,0.0,1.0,9.3028,3.0,4.0,10.0,80.0,100.0,496.8666667,-1.304,0.15296462381664172
106,0.0,1.0,9.3028,3.0,8.0,10.0,80.0,100.0,526.7333333,-0.888,0.15296462381664172
107,0.0,1.0,9.3028,3.0,12.0,10.0,80.0,100.0,501.1333333,-0.417666667,0.15296462381664172
108,0.0,1.0,9.3028,3.0,4.0,1.0,20.0,100.0,237.7333333,-6.72,0.15296462381664172
109,0.0,1.0,9.3028,3.0,8.0,1.0,20.0,100.0,154.0666667,-5.936666667,0.19581464872944693
110,0.0,1.0,9.3028,3.0,12.0,1.0,20.0,100.0,185.1,-3.736666667,0.15296462381664172
111,0.0,1.0,9.3028,3.0,4.0,1.0,40.0,100.0,196.1666667,-7.57,0.0
112,0.0,1.0,9.3028,3.0,8.0,1.0,40.0,100.0,298.0333333,-4.593333333,0.15296462381664172
113,0.0,1.0,9.3028,3.0,12.0,1.0,40.0,100.0,189.2333333,-1.266666667,0.06743065935891046
114,0.0,1.0,9.3028,3.0,4.0,1.0,60.0,100.0,241.5,-16.4,0.019598073409732575
115,0.0,1.0,9.3028,3.0,8.0,1.0,60.0,100.0,249.8,-1.483333333,0.0
116,0.0,1.0,9.3028,3.0,12.0,1.0,60.0,100.0,346.5,-0.622,0.22504567347616683
117,0.0,1.0,9.3028,3.0,4.0,1.0,80.0,100.0,364.1333333,-8.473333333,0.240325527321043
118,0.0,1.0,9.3028,3.0,8.0,1.0,80.0,100.0,812.3666667,-5.833333333,0.314067430659359
119,0.0,1.0,9.3028,3.0,12.0,1.0,80.0,100.0,409.6,-6.46,0.15296462381664172
120,0.0,1.0,9.3028,3.0,4.0,200.0,20.0,10.0,113.3,-1.485333333,0.15296462381664172
121,0.0,1.0,9.3028,3.0,8.0,200.0,20.0,10.0,179.0666667,-0.415666667,0.15296462381664172
123,0.0,1.0,9.3028,3.0,4.0,200.0,40.0,10.0,108.3166667,-1.42,0.15296462381664172
124,0.0,1.0,9.3028,3.0,8.0,200.0,40.0,10.0,153.9,-0.845333333,0.15296462381664172
125,0.0,1.0,9.3028,3.0,12.0,200.0,40.0,10.0,120.1,-1.69,0.15296462381664172
127,0.0,1.0,9.3028,3.0,8.0,200.0,60.0,10.0,192.9,-1.398,0.48131539611360247
128,0.0,1.0,9.3028,3.0,12.0,200.0,60.0,10.0,260.3666667,-0.940666667,0.6852682278691247
129,0.0,1.0,9.3028,3.0,4.0,200.0,80.0,10.0,230.6333333,8.696666667,0.5563859823949511
130,0.0,1.0,9.3028,3.0,8.0,200.0,80.0,10.0,237.4,-0.939,0.19581464872944693
131,0.0,1.0,9.3028,3.0,12.0,200.0,80.0,10.0,208.8333333,-0.976,0.5105464208603221
132,0.0,1.0,9.3028,3.0,4.0,100.0,20.0,10.0,129.5333333,-1.733333333,0.15296462381664172
135,0.0,1.0,9.3028,3.0,4.0,100.0,40.0,10.0,181.4666667,-1.7,0.7342634113934563
136,0.0,1.0,9.3028,3.0,8.0,100.0,40.0,10.0,144.4,-0.988333333,0.7661518020262414
137,0.0,1.0,9.3028,3.0,12.0,100.0,40.0,10.0,123.8,-2.643333333,0.7566849360571333
139,0.0,1.0,9.3028,3.0,8.0,100.0,60.0,10.0,212.9666667,-0.511666667,0.5716658362398273
140,0.0,1.0,9.3028,3.0,12.0,100.0,60.0,10.0,219.6333333,-1.116666667,0.6841056302939712
141,0.0,1.0,9.3028,3.0,4.0,100.0,80.0,10.0,243.4333333,2.933333333,0.3579139677794387
142,0.0,1.0,9.3028,3.0,8.0,100.0,80.0,10.0,226.2666667,0.520333333,0.329015113768477
143,0.0,1.0,9.3028,3.0,12.0,100.0,80.0,10.0,262.2333333,-2.67,0.537950506560372
144,0.0,1.0,9.3028,3.0,4.0,50.0,20.0,10.0,135.9333333,-1.596666667,0.12522836738083376
146,0.0,1.0,9.3028,3.0,12.0,50.0,20.0,10.0,1599.666667,-2.373333333,0.240325527321043
147,0.0,1.0,9.3028,3.0,4.0,50.0,40.0,10.0,113.75,-1.247666667,0.6997176548746056
148,0.0,1.0,9.3028,3.0,8.0,50.0,40.0,10.0,142.2666667,-1.014,0.3506062115927588
149,0.0,1.0,9.3028,3.0,12.0,50.0,40.0,10.0,142.3333333,-3.99,0.3926258096661684
150,0.0,1.0,9.3028,3.0,4.0,50.0,60.0,10.0,256.9666667,-10.79333333,0.09300780601229025
151,0.0,1.0,9.3028,3.0,8.0,50.0,60.0,10.0,205.9333333,-1.503333333,0.1825278192991197
152,0.0,1.0,9.3028,3.0,12.0,50.0,60.0,10.0,184.7,-1.180333333,0.32320212589270897
153,0.0,1.0,9.3028,3.0,4.0,50.0,80.0,10.0,244.4333333,1.269666667,0.052981232353429664
154,0.0,1.0,9.3028,3.0,8.0,50.0,80.0,10.0,247.3666667,-1.149666667,0.0
155,0.0,1.0,9.3028,3.0,12.0,50.0,80.0,10.0,250.6333333,-1.219666667,0.20810496595249955
159,0.0,1.0,9.3028,3.0,4.0,10.0,40.0,10.0,111.6666667,-1.019766667,0.3906327852516193
161,0.0,1.0,9.3028,3.0,12.0,10.0,40.0,10.0,118.0,-1.693333333,0.23036040524829765
162,0.0,1.0,9.3028,3.0,4.0,10.0,60.0,10.0,233.5,-0.879,0.22504567347616683
163,0.0,1.0,9.3028,3.0,8.0,10.0,60.0,10.0,264.6666667,-0.790333333,0.3044344793223717
164,0.0,1.0,9.3028,3.0,12.0,10.0,60.0,10.0,220.9,-1.506666667,0.340142833416376
165,0.0,1.0,9.3028,3.0,4.0,10.0,80.0,10.0,256.1,0.606333333,0.4552399933565853
166,0.0,1.0,9.3028,3.0,8.0,10.0,80.0,10.0,278.3,-1.317,0.5635276532137519
167,0.0,1.0,9.3028,3.0,12.0,10.0,80.0,10.0,265.9,-0.951333333,0.9674472678956985
169,0.0,1.0,9.3028,3.0,8.0,1.0,20.0,10.0,682.8333333,-31.73333333,0.8028566683275205
171,0.0,1.0,9.3028,3.0,4.0,1.0,40.0,10.0,163.5666667,-1.746666667,0.598737751204119
172,0.0,1.0,9.3028,3.0,8.0,1.0,40.0,10.0,459.9666667,-1.683333333,0.3506062115927588
174,0.0,1.0,9.3028,3.0,4.0,1.0,60.0,10.0,194.8666667,-1.74,0.8981896694901179
176,0.0,1.0,9.3028,3.0,12.0,1.0,60.0,10.0,1021.5,-1.422666667,0.8845706693240325
177,0.0,1.0,9.3028,3.0,4.0,1.0,80.0,10.0,201.0,-1.713333333,0.9526656701544596
178,0.0,1.0,9.3028,3.0,8.0,1.0,80.0,10.0,456.4,-2.203333333,0.9104799867131705
179,0.0,1.0,9.3028,3.0,12.0,1.0,80.0,10.0,398.5,-1.184333333,0.6455738249460223
181,1.0,1.0,9.784,2.0,8.0,200.0,20.0,500.0,533.7,-3.523333333,0.955821292144162
183,1.0,1.0,9.784,2.0,4.0,200.0,40.0,500.0,237.1333333,-4.23,1.0
184,1.0,1.0,9.784,2.0,8.0,200.0,40.0,500.0,185.1333333,-1.803333333,0.8858993522670653
186,1.0,1.0,9.784,2.0,4.0,200.0,60.0,500.0,206.6,-5.31,0.45391131041355265
187,1.0,1.0,9.784,2.0,8.0,200.0,60.0,500.0,173.1333333,0.721666667,0.4002657365886066
188,1.0,1.0,9.784,2.0,12.0,200.0,60.0,500.0,183.6666667,-0.501666667,0.5226706527154958
189,1.0,1.0,9.784,2.0,4.0,200.0,80.0,500.0,166.6333333,-24.63333333,0.7400763992692243
190,1.0,1.0,9.784,2.0,8.0,200.0,80.0,500.0,137.6333333,-6.11,0.5749875435974092
191,1.0,1.0,9.784,2.0,12.0,200.0,80.0,500.0,158.8,-0.955,0.5450921773791728
192,1.0,1.0,9.784,2.0,4.0,100.0,20.0,500.0,577.6666667,-11.77666667,0.5952499584786581
193,1.0,1.0,9.784,2.0,8.0,100.0,20.0,500.0,562.7666667,-3.553333333,0.8023584122238832
194,1.0,1.0,9.784,2.0,12.0,100.0,20.0,500.0,288.1666667,-1.593,0.42451420029895365
195,1.0,1.0,9.784,2.0,4.0,100.0,40.0,500.0,240.3,-3.686666667,0.42451420029895365
196,1.0,1.0,9.784,2.0,8.0,100.0,40.0,500.0,191.7333333,0.269333333,0.49759176216575324
197,1.0,1.0,9.784,2.0,12.0,100.0,40.0,500.0,189.9666667,-2.24,0.10446769639594755
198,1.0,1.0,9.784,2.0,4.0,100.0,60.0,500.0,192.8,-3.663333333,0.0
199,1.0,1.0,9.784,2.0,8.0,100.0,60.0,500.0,170.3,0.073,0.11526324530808835
200,1.0,1.0,9.784,2.0,12.0,100.0,60.0,500.0,181.6333333,-1.161666667,0.27553562531141
201,1.0,1.0,9.784,2.0,4.0,100.0,80.0,500.0,172.9333333,-26.66666667,0.06743065935891046
202,1.0,1.0,9.784,2.0,8.0,100.0,80.0,500.0,148.0,-6.033333333,0.13469523334994188
203,1.0,1.0,9.784,2.0,12.0,100.0,80.0,500.0,162.5333333,-0.325333333,0.37618335824613863
206,1.0,1.0,9.784,2.0,12.0,50.0,20.0,500.0,475.3333333,-3.116666667,0.13469523334994188
207,1.0,1.0,9.784,2.0,4.0,50.0,40.0,500.0,191.8,-0.756333333,0.21391795382826778
208,1.0,1.0,9.784,2.0,8.0,50.0,40.0,500.0,170.0,0.3774,0.3579139677794387
210,1.0,1.0,9.784,2.0,4.0,50.0,60.0,500.0,189.0333333,-2.12,0.5621989702707193
211,1.0,1.0,9.784,2.0,8.0,50.0,60.0,500.0,155.4333333,1.195666667,0.5296462381664175
212,1.0,1.0,9.784,2.0,12.0,50.0,60.0,500.0,256.8,0.16,0.7249626307922272
213,1.0,1.0,9.784,2.0,4.0,50.0,80.0,500.0,202.3,-29.4,0.8081714000996512
214,1.0,1.0,9.784,2.0,8.0,50.0,80.0,500.0,135.8666667,-10.41,0.829928583291812
215,1.0,1.0,9.784,2.0,12.0,50.0,80.0,500.0,163.5333333,-0.4925,0.687593423019432
216,1.0,1.0,9.784,2.0,4.0,10.0,20.0,500.0,431.8,-9.42,0.5710014947683111
217,1.0,1.0,9.784,2.0,8.0,10.0,20.0,500.0,465.9333333,-1.686666667,0.7953828267729615
219,1.0,1.0,9.784,2.0,4.0,10.0,40.0,500.0,197.5666667,-2.53,0.58578309250955
220,1.0,1.0,9.784,2.0,8.0,10.0,40.0,500.0,199.4,2.476666667,0.9616342800199302
221,1.0,1.0,9.784,2.0,12.0,10.0,40.0,500.0,208.5,1.541666667,0.8156452416542104
222,1.0,1.0,9.784,2.0,4.0,10.0,60.0,500.0,193.9,-1.64,0.6834412888224548
223,1.0,1.0,9.784,2.0,8.0,10.0,60.0,500.0,159.3,2.77,0.6704866301278856
224,1.0,1.0,9.784,2.0,12.0,10.0,60.0,500.0,190.9666667,2.354,0.6369373858163097
225,1.0,1.0,9.784,2.0,4.0,10.0,80.0,500.0,166.8666667,-26.83333333,0.6975585450921773
226,1.0,1.0,9.784,2.0,8.0,10.0,80.0,500.0,146.8666667,5.42,0.5269888722803522
227,1.0,1.0,9.784,2.0,12.0,10.0,80.0,500.0,167.8,7.203333333,0.7115097159940209
228,1.0,1.0,9.784,2.0,4.0,1.0,20.0,500.0,287.7333333,2.916666667,0.8181365221723966
230,1.0,1.0,9.784,2.0,12.0,1.0,20.0,500.0,473.2,5.006666667,0.7352599236007309
231,1.0,1.0,9.784,2.0,4.0,1.0,40.0,500.0,261.7,4.206666667,0.15296462381664172
232,1.0,1.0,9.784,2.0,8.0,1.0,40.0,500.0,205.1,4.25,0.15296462381664172
233,1.0,1.0,9.784,2.0,12.0,1.0,40.0,500.0,177.9333333,2.72,0.15296462381664172
234,1.0,1.0,9.784,2.0,4.0,1.0,60.0,500.0,224.5,4.343333333,0.15296462381664172
235,1.0,1.0,9.784,2.0,8.0,1.0,60.0,500.0,195.0333333,5.876666667,0.15296462381664172
236,1.0,1.0,9.784,2.0,12.0,1.0,60.0,500.0,179.0333333,6.29,0.15296462381664172
237,1.0,1.0,9.784,2.0,4.0,1.0,80.0,500.0,237.6333333,6.303333333,0.15296462381664172
238,1.0,1.0,9.784,2.0,8.0,1.0,80.0,500.0,164.9666667,11.93333333,0.019598073409732575
239,1.0,1.0,9.784,2.0,12.0,1.0,80.0,500.0,171.5333333,8.72,0.15296462381664172
240,1.0,1.0,9.784,2.0,4.0,200.0,20.0,100.0,177.0333333,-4.186666667,0.15296462381664172
242,1.0,1.0,9.784,2.0,12.0,200.0,20.0,100.0,169.1333333,-2.373333333,0.15296462381664172
243,1.0,1.0,9.784,2.0,4.0,200.0,40.0,100.0,193.5,-1.616666667,0.052981232353429664
244,1.0,1.0,9.784,2.0,8.0,200.0,40.0,100.0,139.0,-1.976666667,0.15296462381664172
245,1.0,1.0,9.784,2.0,12.0,200.0,40.0,100.0,159.2333333,-2.136666667,0.15296462381664172
246,1.0,1.0,9.784,2.0,4.0,200.0,60.0,100.0,171.7,-0.094333333,0.15296462381664172
247,1.0,1.0,9.784,2.0,8.0,200.0,60.0,100.0,150.1333333,-1.95,0.15296462381664172
248,1.0,1.0,9.784,2.0,12.0,200.0,60.0,100.0,177.5333333,-2.43,0.15296462381664172
249,1.0,1.0,9.784,2.0,4.0,200.0,80.0,100.0,219.6333333,-15.26666667,0.15296462381664172
250,1.0,1.0,9.784,2.0,8.0,200.0,80.0,100.0,141.4666667,-3.21,0.13469523334994188
251,1.0,1.0,9.784,2.0,12.0,200.0,80.0,100.0,160.0333333,-4.51,0.15296462381664172
252,1.0,1.0,9.784,2.0,4.0,100.0,20.0,100.0,176.9333333,-4.66,0.15296462381664172
253,1.0,1.0,9.784,2.0,8.0,100.0,20.0,100.0,263.8333333,-6.34,0.15296462381664172
255,1.0,1.0,9.784,2.0,4.0,100.0,40.0,100.0,174.6666667,-3.043333333,0.15296462381664172
256,1.0,1.0,9.784,2.0,8.0,100.0,40.0,100.0,148.9333333,-0.049066667,0.15296462381664172
257,1.0,1.0,9.784,2.0,12.0,100.0,40.0,100.0,152.4666667,-1.993333333,0.0
258,1.0,1.0,9.784,2.0,4.0,100.0,60.0,100.0,164.2,-2.476666667,0.419531639262581
259,1.0,1.0,9.784,2.0,8.0,100.0,60.0,100.0,150.2666667,1.32,0.10446769639594755
260,1.0,1.0,9.784,2.0,12.0,100.0,60.0,100.0,191.8,-1.426666667,0.18933731938216242
261,1.0,1.0,9.784,2.0,4.0,100.0,80.0,100.0,241.5333333,-15.93333333,0.15296462381664172
262,1.0,1.0,9.784,2.0,8.0,100.0,80.0,100.0,148.0333333,-3.53,0.15296462381664172
263,1.0,1.0,9.784,2.0,12.0,100.0,80.0,100.0,155.5666667,-3.316666667,0.15296462381664172
264,1.0,1.0,9.784,2.0,4.0,50.0,20.0,100.0,153.8666667,-3.213333333,0.0
266,1.0,1.0,9.784,2.0,12.0,50.0,20.0,100.0,263.9333333,-1.060666667,0.5027404085700049
267,1.0,1.0,9.784,2.0,4.0,50.0,40.0,100.0,170.0666667,-3.176666667,0.12522836738083376
268,1.0,1.0,9.784,2.0,8.0,50.0,40.0,100.0,158.3666667,-1.57,0.5235010795548911
269,1.0,1.0,9.784,2.0,12.0,50.0,40.0,100.0,130.9333333,0.963666667,0.4643746885899353
270,1.0,1.0,9.784,2.0,4.0,50.0,60.0,100.0,160.7333333,-3.816666667,0.593423019431988
271,1.0,1.0,9.784,2.0,8.0,50.0,60.0,100.0,138.7333333,0.242266667,0.4730111277196479
272,1.0,1.0,9.784,2.0,12.0,50.0,60.0,100.0,152.2333333,-1.88,0.4922770303936224
273,1.0,1.0,9.784,2.0,4.0,50.0,80.0,100.0,189.0,-15.9,0.2544427835907657
274,1.0,1.0,9.784,2.0,8.0,50.0,80.0,100.0,147.2,-5.523333333,0.41620993190499916
275,1.0,1.0,9.784,2.0,12.0,50.0,80.0,100.0,148.5333333,-2.94,0.5851187510380336
278,1.0,1.0,9.784,2.0,12.0,10.0,20.0,100.0,168.1666667,-0.284166667,0.13469523334994188
279,1.0,1.0,9.784,2.0,4.0,10.0,40.0,100.0,164.0666667,-0.60825,0.6910812157448929
281,1.0,1.0,9.784,2.0,12.0,10.0,40.0,100.0,161.1333333,0.813333333,0.11526324530808835
282,1.0,1.0,9.784,2.0,4.0,10.0,60.0,100.0,179.6666667,1.84,0.369539943530975
283,1.0,1.0,9.784,2.0,8.0,10.0,60.0,100.0,153.8,-0.397333333,0.5578807507058627
284,1.0,1.0,9.784,2.0,12.0,10.0,60.0,100.0,150.7333333,-0.254666667,0.28699551569506726
285,1.0,1.0,9.784,2.0,4.0,10.0,80.0,100.0,222.5666667,-12.13333333,0.11526324530808835
286,1.0,1.0,9.784,2.0,8.0,10.0,80.0,100.0,166.1666667,-6.06,0.5346287992027903
287,1.0,1.0,9.784,2.0,12.0,10.0,80.0,100.0,198.6666667,-0.9158,0.40209267563527656
288,1.0,1.0,9.784,2.0,4.0,1.0,20.0,100.0,236.7666667,-3.646666667,0.08071748878923762
289,1.0,1.0,9.784,2.0,8.0,1.0,20.0,100.0,211.3666667,1.916666667,0.2906493937884073
290,1.0,1.0,9.784,2.0,12.0,1.0,20.0,100.0,182.6,0.651,0.297624979239329
291,1.0,1.0,9.784,2.0,4.0,1.0,40.0,100.0,179.9,-1.32,0.6085367879089854
292,1.0,1.0,9.784,2.0,8.0,1.0,40.0,100.0,196.2,2.876666667,0.3428001993024415
294,1.0,1.0,9.784,2.0,4.0,1.0,60.0,100.0,197.7,0.54,0.58578309250955
295,1.0,1.0,9.784,2.0,8.0,1.0,60.0,100.0,148.4666667,4.106666667,0.3506062115927588
296,1.0,1.0,9.784,2.0,12.0,1.0,60.0,100.0,171.6333333,1.651,0.34545756518850684
297,1.0,1.0,9.784,2.0,4.0,1.0,80.0,100.0,253.0666667,-0.074666667,0.30111277196478986
298,1.0,1.0,9.784,2.0,8.0,1.0,80.0,100.0,186.6333333,-5.6,0.2831755522338482
299,1.0,1.0,9.784,2.0,12.0,1.0,80.0,100.0,150.0333333,6.683333333,0.18933731938216242
303,1.0,1.0,9.784,2.0,4.0,200.0,40.0,10.0,170.1333333,-5.413333333,0.4632120910147817
304,1.0,1.0,9.784,2.0,8.0,200.0,40.0,10.0,176.6666667,-1.593333333,0.4338149809001827
306,1.0,1.0,9.784,2.0,4.0,200.0,60.0,10.0,153.6333333,-3.223333333,0.5077229696063776
307,1.0,1.0,9.784,2.0,8.0,200.0,60.0,10.0,153.0333333,-1.48,0.4412888224547417
308,1.0,1.0,9.784,2.0,12.0,200.0,60.0,10.0,149.9,-2.086666667,0.44427835907656527
309,1.0,1.0,9.784,2.0,4.0,200.0,80.0,10.0,133.1,-3.64,0.4869622986214915
310,1.0,1.0,9.784,2.0,8.0,200.0,80.0,10.0,138.3666667,-33.9,0.4427835907656536
311,1.0,1.0,9.784,2.0,12.0,200.0,80.0,10.0,136.2333333,-2.783333333,0.6364391297126724
315,1.0,1.0,9.784,2.0,4.0,100.0,40.0,10.0,137.9333333,-6.893333333,0.7626640093007806
318,1.0,1.0,9.784,2.0,4.0,100.0,60.0,10.0,137.5666667,-3.093333333,0.5940873609035044
319,1.0,1.0,9.784,2.0,8.0,100.0,60.0,10.0,115.6333333,-2.686666667,0.5057299451918287
320,1.0,1.0,9.784,2.0,12.0,100.0,60.0,10.0,207.0666667,-1.29,0.6811160936721474
321,1.0,1.0,9.784,2.0,4.0,100.0,80.0,10.0,145.4,-3.763333333,0.6980568011958146
322,1.0,1.0,9.784,2.0,8.0,100.0,80.0,10.0,135.8666667,-36.3,0.4427835907656536
323,1.0,1.0,9.784,2.0,12.0,100.0,80.0,10.0,120.9333333,-1.66,0.019598073409732575
326,1.0,1.0,9.784,2.0,12.0,50.0,20.0,10.0,496.8333333,-6.54,0.1825278192991197
327,1.0,1.0,9.784,2.0,4.0,50.0,40.0,10.0,93.06666667,-2.723333333,0.8018601561202459
