,# of Features,Feature names,Removed Feature Names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",Hbond_A,0.05849999999999999,0.006207253821135398,0.627526764877013,0.038923408205582335,0.8805905602499116,0.026086223420604956,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",PDI,0.058439999999999985,0.006174657885259718,0.627145871088572,0.03851924746506946,0.8806581433351064,0.025985409297410975,0.005
2,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",Size,0.0555,0.0056471231613982,0.6350548122249674,0.041761571730396026,0.8926752775718287,0.022528330731156215,0.01
3,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",Double_bonds,0.05514,0.0062386216426387016,0.6387413757372524,0.03791033421252789,0.8936531418349237,0.02189681422199444,0.015
4,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",Zeta,0.05516,0.006165581886569994,0.6371673263363611,0.03863288393812322,0.8930536439558605,0.022198947899240564,0.02
5,8,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",N_charged_centers,0.05052,0.005173934672954424,0.6672202584832826,0.035166883095389546,0.9111867395966949,0.017516183087451474,0.025
