,RLU_PC3
0,0.009204240941395797
1,0.029243854130257485
2,0.0
3,0.01631131306070141
4,0.0
5,0.02295234766398696
6,0.06128393335663518
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.009204240941395797
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.001747640685075158
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.02295234766398696
134,0.06128393335663518
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.056507048817429795
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.02295234766398696
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.009204240941395797
181,0.0
182,0.10369334731445884
183,0.0
184,0.009204240941395797
185,0.0
186,0.0
187,0.20785273214493766
188,0.0
189,0.0
190,0.0
191,0.0
192,0.1845508563439357
193,0.3553536059652802
194,0.0744494931842013
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.27309798438774324
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0658277991378306
217,0.009204240941395797
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.03530234183851799
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.15926832109984856
233,0.02295234766398696
234,0.0
235,0.0
236,0.009204240941395797
237,0.0
238,0.08248864033554704
239,0.0
240,0.009204240941395797
241,0.0
242,0.09705231271117326
243,0.0
244,0.0
245,0.009204240941395797
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.009204240941395797
252,0.0
253,0.09006174997087268
254,0.02295234766398696
255,0.0
256,0.0
257,0.18117208435279042
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0658277991378306
275,0.0
276,0.23802866130723527
277,0.0
278,0.03530234183851799
279,0.0
280,0.0744494931842013
281,0.0
282,0.0
283,0.0
284,0.16707444949318423
285,0.03530234183851799
286,0.0
287,0.28323430036117914
288,0.0
289,0.0
290,0.14656879878830248
291,0.03530234183851799
292,0.009204240941395797
293,0.15519049283467318
294,0.046370732843993956
295,0.31247815449143657
296,0.5383898403821509
297,0.3418385180006991
298,0.5176511709192589
299,0.669346382383782
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.09006174997087268
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.009204240941395797
320,0.03530234183851799
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.056507048817429795
330,0.0
331,0.0
332,0.08248864033554704
333,0.0
334,0.0
335,0.009204240941395797
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.08248864033554704
345,0.0
346,0.0
347,0.02295234766398696
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.14202493300710706
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.21053244786205288
360,0.009204240941395797
361,0.009204240941395797
362,0.0
363,0.10369334731445884
364,0.13724804846790167
365,0.0
366,0.0
367,0.0
368,0.0
369,0.09705231271117326
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.046370732843993956
376,0.02295234766398696
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.056507048817429795
383,0.0
384,0.0
385,0.03530234183851799
386,0.03530234183851799
387,0.09006174997087268
388,0.2359314924851451
389,0.02295234766398696
390,0.0
391,0.0658277991378306
392,0.0
393,0.0
394,0.009204240941395797
395,0.0
396,0.0
397,0.0
398,0.3228474892228824
399,0.10369334731445884
400,0.35302341838518003
401,0.45077478737038335
402,0.21554235115926834
403,0.39321915414190844
404,0.6085284865431667
405,0.4338809274146569
406,0.42048234882908075
407,0.3367121053244786
408,0.7457765350110683
409,0.6637539321915414
410,0.423045555167191
411,0.9847372713503437
412,0.48153326342770597
413,0.3035069323080508
414,1.0
415,0.575206804147734
416,0.33845974600955375
417,0.8734708144005592
418,0.5898869859023651
419,0.3304205988582082
420,0.02295234766398696
421,0.0
422,0.0
423,0.11604334148898987
424,0.0
425,0.046370732843993956
426,0.0744494931842013
427,0.0
428,0.0658277991378306
429,0.03530234183851799
430,0.0658277991378306
431,0.3157404171035768
432,0.046370732843993956
433,0.0
434,0.0
435,0.009204240941395797
436,0.0
437,0.009204240941395797
438,0.0
439,0.0
440,0.0744494931842013
441,0.0
442,0.046370732843993956
443,0.3597809623674706
444,0.0
445,0.0
446,0.0
447,0.056507048817429795
448,0.0
449,0.02295234766398696
450,0.0
451,0.08248864033554704
452,0.15519049283467318
453,0.03530234183851799
454,0.0658277991378306
455,0.009204240941395797
456,0.12175230106023532
457,0.20785273214493766
458,0.3618781311895608
459,0.32855644879412793
460,0.446813468484213
461,0.6080624490271467
462,0.6785506233251777
463,0.7498543632762438
464,0.7095421181405103
465,0.505883723639753
466,0.6514039380170104
467,0.6172666899685425
468,0.5924501922404753
469,0.82418734708144
470,0.7371548409646976
471,0.9495514388908308
472,0.8198765000582549
473,0.5176511709192589
474,0.9053943842479322
475,0.7083770243504602
476,0.5741582197366888
477,0.9194920191075382
478,0.7817779331236165
479,0.5507398345566819
480,0.0
481,0.17080274962134456
482,0.0
483,0.009204240941395797
484,0.046370732843993956
485,0.0
486,0.0
487,0.0
488,0.08248864033554704
489,0.0
490,0.08248864033554704
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.046370732843993956
501,0.0
502,0.009204240941395797
503,0.2912734475125247
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.009204240941395797
510,0.0
511,0.0
512,0.03530234183851799
513,0.0
514,0.0
515,0.24595129907957586
516,0.0
517,0.0
518,0.0
519,0.0
520,0.11604334148898987
521,0.3660724688337411
522,0.3597809623674706
523,0.5006408015845275
524,0.6950949551438891
525,0.3358965396714435
526,0.43271583362460686
527,0.4401724338809274
528,0.4310847023185367
529,0.19678434113946175
530,0.16707444949318423
531,0.8319934754747758
532,0.8788302458347896
533,0.6970756145869742
534,0.8984038215076313
535,0.9090061749970872
536,0.869276476756379
537,0.8791797739718046
538,0.8875684492601654
539,0.5354771059070256
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.2439706396364908
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.09006174997087268
561,0.0
562,0.0
563,0.0658277991378306
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.27309798438774324
573,0.0
574,0.13724804846790167
575,0.0744494931842013
576,0.0
577,0.0
578,0.0
579,0.0
580,0.09705231271117326
581,0.0658277991378306
582,0.0
583,0.33496446463940344
584,0.26680647792147266
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.009204240941395797
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0744494931842013
609,0.0
610,0.0
611,0.09705231271117326
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.03530234183851799
618,0.0
619,0.0
620,0.009204240941395797
621,0.0
622,0.0
623,0.15519049283467318
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.03530234183851799
632,0.29383665385063495
633,0.0
634,0.15519049283467318
635,0.0744494931842013
636,0.03530234183851799
637,0.03530234183851799
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.02295234766398696
656,0.0
657,0.0
658,0.02295234766398696
659,0.03530234183851799
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.056507048817429795
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.03530234183851799
681,0.0
682,0.0
683,0.009204240941395797
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.03530234183851799
692,0.09705231271117326
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0658277991378306
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.1845508563439357
715,0.0
716,0.0
717,0.0
718,0.0
719,0.046370732843993956
720,0.009204240941395797
721,0.3000116509379005
722,0.09006174997087268
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.11604334148898987
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.18117208435279042
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.2359314924851451
757,0.2619130840032623
758,0.0658277991378306
759,0.0
760,0.0
761,0.046370732843993956
762,0.0
763,0.0
764,0.0658277991378306
765,0.0
766,0.0
767,0.0
768,0.009204240941395797
769,0.0
770,0.0
771,0.0
772,0.40253990446230925
773,0.0744494931842013
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.02295234766398696
782,0.009204240941395797
783,0.0
784,0.0744494931842013
785,0.0
786,0.0
787,0.03530234183851799
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0744494931842013
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.02295234766398696
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.09006174997087268
806,0.0
807,0.0
808,0.046370732843993956
809,0.056507048817429795
810,0.0
811,0.02295234766398696
812,0.0
813,0.0
814,0.0
815,0.0
816,0.09006174997087268
817,0.10369334731445884
818,0.11604334148898987
819,0.0
820,0.09705231271117326
821,0.0
822,0.0
823,0.02295234766398696
824,0.0
825,0.0
826,0.0
827,0.0
828,0.16322963998601886
829,0.0
830,0.0
831,0.305837119888151
832,0.0
833,0.0
834,0.0
835,0.046370732843993956
836,0.0
837,0.009204240941395797
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.009204240941395797
848,0.046370732843993956
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
