,HEK293,B16,HepG2,PC3,N2a,ARPE19
HEK293,1.0,0.7094118882397947,0.5524859739172757,0.3707182564021129,0.4843247787844038,0.3808047871473037
B16,0.7094118882397946,1.0,0.6662934156899362,0.48397330265969557,0.5136275837778983,0.43011513423326586
HepG2,0.5524859739172757,0.666293415689936,1.0,0.49827515154794627,0.6463588633066892,0.4376161523916096
PC3,0.3707182564021129,0.48397330265969557,0.4982751515479463,1.0,0.36844646380145607,0.35574118088589224
N2a,0.4843247787844038,0.5136275837778983,0.6463588633066893,0.36844646380145607,1.0,0.7594408496367483
ARPE19,0.3808047871473037,0.4301151342332658,0.43761615239160967,0.3557411808858922,0.7594408496367482,1.0
