,HEK293,B16,HepG2,PC3,N2a,ARPE19
HEK293,1.0,0.465025446759034,0.08012348005150996,0.4078840722053059,,
B16,0.46502544675903407,1.0,0.13470654509276192,0.44951916831240807,,
HepG2,0.08012348005150996,0.13470654509276192,1.0,0.0680662550877856,,
PC3,0.4078840722053059,0.44951916831240807,0.06806625508778562,1.0,,
N2a,,,,,1.0,
ARPE19,,,,,,1.0
