,HEK293,B16,HepG2,PC3,N2a,ARPE19
HEK293,1.0,0.49576779515523944,0.35050204734304913,0.6519062322924347,0.424152709734652,0.2958027817767004
B16,0.4957677951552395,1.0,0.7108041960482083,0.6007039181501436,0.6794915655320776,0.4516147495544228
HepG2,0.3505020473430492,0.7108041960482082,1.0,0.7091722773297567,0.7045187955863804,0.3384196764735124
PC3,0.6519062322924349,0.6007039181501435,0.7091722773297567,1.0,0.6127150637915965,0.26179143156761703
N2a,0.424152709734652,0.6794915655320777,0.7045187955863803,0.6127150637915965,1.0,0.5608632115616603
ARPE19,0.29580278177670033,0.4516147495544228,0.3384196764735124,0.26179143156761703,0.5608632115616603,1.0
