,P_charged_centers,N_charged_centers,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
194,1,1,2,12,100,20,500
195,1,1,2,4,100,40,500
196,1,1,2,8,100,40,500
197,1,1,2,12,100,40,500
198,1,1,2,4,100,60,500
199,1,1,2,8,100,60,500
200,1,1,2,12,100,60,500
201,1,1,2,4,100,80,500
202,1,1,2,8,100,80,500
203,1,1,2,12,100,80,500
204,1,1,2,4,50,20,500
205,1,1,2,8,50,20,500
206,1,1,2,12,50,20,500
207,1,1,2,4,50,40,500
208,1,1,2,8,50,40,500
209,1,1,2,12,50,40,500
210,1,1,2,4,50,60,500
211,1,1,2,8,50,60,500
212,1,1,2,12,50,60,500
213,1,1,2,4,50,80,500
214,1,1,2,8,50,80,500
215,1,1,2,12,50,80,500
216,1,1,2,4,10,20,500
217,1,1,2,8,10,20,500
218,1,1,2,12,10,20,500
219,1,1,2,4,10,40,500
220,1,1,2,8,10,40,500
221,1,1,2,12,10,40,500
222,1,1,2,4,10,60,500
223,1,1,2,8,10,60,500
224,1,1,2,12,10,60,500
225,1,1,2,4,10,80,500
226,1,1,2,8,10,80,500
227,1,1,2,12,10,80,500
228,1,1,2,4,1,20,500
229,1,1,2,8,1,20,500
230,1,1,2,12,1,20,500
231,1,1,2,4,1,40,500
232,1,1,2,8,1,40,500
233,1,1,2,12,1,40,500
234,1,1,2,4,1,60,500
235,1,1,2,8,1,60,500
236,1,1,2,12,1,60,500
237,1,1,2,4,1,80,500
238,1,1,2,8,1,80,500
239,1,1,2,12,1,80,500
240,1,1,2,4,200,20,100
241,1,1,2,8,200,20,100
242,1,1,2,12,200,20,100
243,1,1,2,4,200,40,100
244,1,1,2,8,200,40,100
245,1,1,2,12,200,40,100
246,1,1,2,4,200,60,100
247,1,1,2,8,200,60,100
248,1,1,2,12,200,60,100
249,1,1,2,4,200,80,100
250,1,1,2,8,200,80,100
251,1,1,2,12,200,80,100
252,1,1,2,4,100,20,100
253,1,1,2,8,100,20,100
254,1,1,2,12,100,20,100
255,1,1,2,4,100,40,100
256,1,1,2,8,100,40,100
257,1,1,2,12,100,40,100
258,1,1,2,4,100,60,100
259,1,1,2,8,100,60,100
260,1,1,2,12,100,60,100
261,1,1,2,4,100,80,100
262,1,1,2,8,100,80,100
263,1,1,2,12,100,80,100
264,1,1,2,4,50,20,100
265,1,1,2,8,50,20,100
266,1,1,2,12,50,20,100
267,1,1,2,4,50,40,100
268,1,1,2,8,50,40,100
269,1,1,2,12,50,40,100
270,1,1,2,4,50,60,100
271,1,1,2,8,50,60,100
272,1,1,2,12,50,60,100
273,1,1,2,4,50,80,100
274,1,1,2,8,50,80,100
275,1,1,2,12,50,80,100
276,1,1,2,4,10,20,100
277,1,1,2,8,10,20,100
278,1,1,2,12,10,20,100
279,1,1,2,4,10,40,100
280,1,1,2,8,10,40,100
281,1,1,2,12,10,40,100
282,1,1,2,4,10,60,100
283,1,1,2,8,10,60,100
284,1,1,2,12,10,60,100
285,1,1,2,4,10,80,100
286,1,1,2,8,10,80,100
287,1,1,2,12,10,80,100
288,1,1,2,4,1,20,100
289,1,1,2,8,1,20,100
290,1,1,2,12,1,20,100
291,1,1,2,4,1,40,100
292,1,1,2,8,1,40,100
293,1,1,2,12,1,40,100
294,1,1,2,4,1,60,100
295,1,1,2,8,1,60,100
296,1,1,2,12,1,60,100
297,1,1,2,4,1,80,100
298,1,1,2,8,1,80,100
299,1,1,2,12,1,80,100
300,1,1,2,4,200,20,10
301,1,1,2,8,200,20,10
302,1,1,2,12,200,20,10
303,1,1,2,4,200,40,10
304,1,1,2,8,200,40,10
305,1,1,2,12,200,40,10
306,1,1,2,4,200,60,10
307,1,1,2,8,200,60,10
308,1,1,2,12,200,60,10
309,1,1,2,4,200,80,10
310,1,1,2,8,200,80,10
311,1,1,2,12,200,80,10
312,1,1,2,4,100,20,10
313,1,1,2,8,100,20,10
314,1,1,2,12,100,20,10
315,1,1,2,4,100,40,10
316,1,1,2,8,100,40,10
317,1,1,2,12,100,40,10
318,1,1,2,4,100,60,10
319,1,1,2,8,100,60,10
320,1,1,2,12,100,60,10
321,1,1,2,4,100,80,10
322,1,1,2,8,100,80,10
323,1,1,2,12,100,80,10
324,1,1,2,4,50,20,10
325,1,1,2,8,50,20,10
326,1,1,2,12,50,20,10
327,1,1,2,4,50,40,10
328,1,1,2,8,50,40,10
329,1,1,2,12,50,40,10
330,1,1,2,4,50,60,10
331,1,1,2,8,50,60,10
332,1,1,2,12,50,60,10
333,1,1,2,4,50,80,10
334,1,1,2,8,50,80,10
335,1,1,2,12,50,80,10
336,1,1,2,4,10,20,10
337,1,1,2,8,10,20,10
338,1,1,2,12,10,20,10
339,1,1,2,4,10,40,10
340,1,1,2,8,10,40,10
341,1,1,2,12,10,40,10
342,1,1,2,4,10,60,10
343,1,1,2,8,10,60,10
344,1,1,2,12,10,60,10
345,1,1,2,4,10,80,10
346,1,1,2,8,10,80,10
347,1,1,2,12,10,80,10
348,1,1,2,4,1,20,10
349,1,1,2,8,1,20,10
350,1,1,2,12,1,20,10
351,1,1,2,4,1,40,10
352,1,1,2,8,1,40,10
353,1,1,2,12,1,40,10
354,1,1,2,4,1,60,10
355,1,1,2,8,1,60,10
356,1,1,2,12,1,60,10
357,1,1,2,4,1,80,10
358,1,1,2,8,1,80,10
359,1,1,2,12,1,80,10
360,1,0,0,4,200,20,500
361,1,0,0,8,200,20,500
362,1,0,0,12,200,20,500
363,1,0,0,4,200,40,500
364,1,0,0,8,200,40,500
365,1,0,0,12,200,40,500
366,1,0,0,4,200,60,500
367,1,0,0,8,200,60,500
368,1,0,0,12,200,60,500
369,1,0,0,4,200,80,500
370,1,0,0,8,200,80,500
371,1,0,0,12,200,80,500
372,1,0,0,4,100,20,500
373,1,0,0,8,100,20,500
374,1,0,0,12,100,20,500
375,1,0,0,4,100,40,500
376,1,0,0,8,100,40,500
377,1,0,0,12,100,40,500
378,1,0,0,4,100,60,500
379,1,0,0,8,100,60,500
380,1,0,0,12,100,60,500
381,1,0,0,4,100,80,500
382,1,0,0,8,100,80,500
383,1,0,0,12,100,80,500
384,1,0,0,4,50,20,500
385,1,0,0,8,50,20,500
386,1,0,0,12,50,20,500
387,1,0,0,4,50,40,500
388,1,0,0,8,50,40,500
389,1,0,0,12,50,40,500
390,1,0,0,4,50,60,500
391,1,0,0,8,50,60,500
392,1,0,0,12,50,60,500
393,1,0,0,4,50,80,500
394,1,0,0,8,50,80,500
395,1,0,0,12,50,80,500
396,1,0,0,4,10,20,500
397,1,0,0,8,10,20,500
398,1,0,0,12,10,20,500
399,1,0,0,4,10,40,500
400,1,0,0,8,10,40,500
401,1,0,0,12,10,40,500
402,1,0,0,4,10,60,500
403,1,0,0,8,10,60,500
404,1,0,0,12,10,60,500
405,1,0,0,4,10,80,500
406,1,0,0,8,10,80,500
407,1,0,0,12,10,80,500
408,1,0,0,4,1,20,500
409,1,0,0,8,1,20,500
410,1,0,0,12,1,20,500
411,1,0,0,4,1,40,500
412,1,0,0,8,1,40,500
413,1,0,0,12,1,40,500
414,1,0,0,4,1,60,500
415,1,0,0,8,1,60,500
416,1,0,0,12,1,60,500
417,1,0,0,4,1,80,500
418,1,0,0,8,1,80,500
419,1,0,0,12,1,80,500
420,1,0,0,4,200,20,100
421,1,0,0,8,200,20,100
422,1,0,0,12,200,20,100
423,1,0,0,4,200,40,100
424,1,0,0,8,200,40,100
425,1,0,0,12,200,40,100
426,1,0,0,4,200,60,100
427,1,0,0,8,200,60,100
428,1,0,0,12,200,60,100
429,1,0,0,4,200,80,100
430,1,0,0,8,200,80,100
431,1,0,0,12,200,80,100
432,1,0,0,4,100,20,100
433,1,0,0,8,100,20,100
434,1,0,0,12,100,20,100
435,1,0,0,4,100,40,100
436,1,0,0,8,100,40,100
437,1,0,0,12,100,40,100
438,1,0,0,4,100,60,100
439,1,0,0,8,100,60,100
440,1,0,0,12,100,60,100
441,1,0,0,4,100,80,100
442,1,0,0,8,100,80,100
443,1,0,0,12,100,80,100
444,1,0,0,4,50,20,100
445,1,0,0,8,50,20,100
446,1,0,0,12,50,20,100
447,1,0,0,4,50,40,100
448,1,0,0,8,50,40,100
449,1,0,0,12,50,40,100
450,1,0,0,4,50,60,100
451,1,0,0,8,50,60,100
452,1,0,0,12,50,60,100
453,1,0,0,4,50,80,100
454,1,0,0,8,50,80,100
455,1,0,0,12,50,80,100
456,1,0,0,4,10,20,100
457,1,0,0,8,10,20,100
458,1,0,0,12,10,20,100
459,1,0,0,4,10,40,100
460,1,0,0,8,10,40,100
461,1,0,0,12,10,40,100
462,1,0,0,4,10,60,100
463,1,0,0,8,10,60,100
464,1,0,0,12,10,60,100
465,1,0,0,4,10,80,100
466,1,0,0,8,10,80,100
467,1,0,0,12,10,80,100
468,1,0,0,4,1,20,100
469,1,0,0,8,1,20,100
470,1,0,0,12,1,20,100
471,1,0,0,4,1,40,100
472,1,0,0,8,1,40,100
473,1,0,0,12,1,40,100
474,1,0,0,4,1,60,100
475,1,0,0,8,1,60,100
476,1,0,0,12,1,60,100
477,1,0,0,4,1,80,100
478,1,0,0,8,1,80,100
479,1,0,0,12,1,80,100
480,1,0,0,4,200,20,10
481,1,0,0,8,200,20,10
482,1,0,0,12,200,20,10
483,1,0,0,4,200,40,10
484,1,0,0,8,200,40,10
485,1,0,0,12,200,40,10
486,1,0,0,4,200,60,10
487,1,0,0,8,200,60,10
488,1,0,0,12,200,60,10
489,1,0,0,4,200,80,10
490,1,0,0,8,200,80,10
491,1,0,0,12,200,80,10
492,1,0,0,4,100,20,10
493,1,0,0,8,100,20,10
494,1,0,0,12,100,20,10
495,1,0,0,4,100,40,10
496,1,0,0,8,100,40,10
497,1,0,0,12,100,40,10
498,1,0,0,4,100,60,10
499,1,0,0,8,100,60,10
500,1,0,0,12,100,60,10
501,1,0,0,4,100,80,10
502,1,0,0,8,100,80,10
503,1,0,0,12,100,80,10
504,1,0,0,4,50,20,10
505,1,0,0,8,50,20,10
506,1,0,0,12,50,20,10
507,1,0,0,4,50,40,10
508,1,0,0,8,50,40,10
509,1,0,0,12,50,40,10
