,RLU_ARPE19
0,0.4073239436619718
1,0.3953521126760563
2,0.22042253521126762
3,0.2738028169014085
4,0.28802816901408446
5,0.2738028169014085
6,0.22042253521126762
7,0.19690140845070428
8,0.08577464788732395
9,0.0
10,0.11154929577464792
11,0.08577464788732395
12,0.6333802816901408
13,0.6333802816901408
14,0.5766197183098593
15,0.31253521126760564
16,0.4309859154929577
17,0.4470422535211268
18,0.19690140845070428
19,0.1835211267605634
20,0.1332394366197183
21,0.2581690140845071
22,0.1332394366197183
23,0.05436619718309857
24,0.6263380281690141
25,0.642394366197183
26,0.5391549295774648
27,0.5005633802816902
28,0.5571830985915494
29,0.543661971830986
30,0.1332394366197183
31,0.20915492957746476
32,0.08577464788732395
33,0.11154929577464792
34,0.1332394366197183
35,0.15197183098591552
36,0.4404225352112676
37,0.35577464788732394
38,0.28802816901408446
39,0.20915492957746476
40,0.28802816901408446
41,0.1835211267605634
42,0.11154929577464792
43,0.05436619718309857
44,0.11154929577464792
45,0.11154929577464792
46,0.08577464788732395
47,0.16859154929577466
48,0.0
49,0.013943661971830973
50,0.15197183098591552
51,0.08577464788732395
52,0.05436619718309857
53,0.013943661971830973
54,0.08577464788732395
55,0.05436619718309857
56,0.013943661971830973
57,0.05436619718309857
58,0.05436619718309857
59,0.08577464788732395
60,0.5974647887323944
61,0.5774647887323943
62,0.3888732394366198
63,0.543661971830986
64,0.6122535211267606
65,0.36394366197183103
66,0.2661971830985915
67,0.35169014084507044
68,0.11154929577464792
69,0.1332394366197183
70,0.08577464788732395
71,0.1332394366197183
72,0.6109859154929578
73,0.5704225352112676
74,0.3787323943661972
75,0.5173239436619719
76,0.3428169014084508
77,0.36394366197183103
78,0.08577464788732395
79,0.2661971830985915
80,0.1332394366197183
81,0.08577464788732395
82,0.05436619718309857
83,0.11154929577464792
84,0.5712676056338029
85,0.6188732394366198
86,0.4073239436619718
87,0.6507042253521127
88,0.5676056338028169
89,0.3180281690140845
90,0.3180281690140845
91,0.31253521126760564
92,0.2405633802816902
93,0.16859154929577466
94,0.15197183098591552
95,0.11154929577464792
96,0.4514084507042253
97,0.3984507042253521
98,0.4514084507042253
