,RF,LGBM,XGB,DT,kNN,lasso,MLR,PLS
0,0.020827112931136316,0.03760584348449021,0.05386880253335302,0.0009432108469247386,0.0321968377223682,0.09705600296166123,0.1018902608707604,0.009740360483202426
1,0.07215923256837473,0.023360201837387934,0.011944031166079255,0.019748477107486714,0.026653006959071912,0.043897023566839874,0.04467584492787294,0.02729712459321077
2,0.005535815513242365,0.026641989448572156,0.015003805803301545,0.012576144625663171,0.020853677626347156,0.01815307458422058,0.018839276668495497,0.054745592458591896
3,0.0070093867636115414,0.01622122179499369,0.0139859372844722,0.012576144625663171,0.09010054668858461,0.0010544128102578654,0.0022222023767752147,0.038024569062035316
4,0.02807475766139058,0.017629825677213953,0.03344967858241804,0.019257221458046758,0.010896113855688908,0.03028392022907339,0.02572752015024868,0.08952498125434236
5,0.022687184831245544,0.0287302168346878,0.0040472509421072556,0.006425623894674798,0.04149268393118763,0.009882151308437392,0.009099265129851042,0.01879965958478269
6,0.004684122889148462,0.00016716373162679876,0.011428940282118188,0.0036189166175410875,0.006518663247466083,0.011463976843390372,0.014548036805311193,0.04044854842213805
7,0.016744676244332388,0.003281780026676631,0.021047729239714014,0.018765965808606788,0.08027753218219946,0.003010602278084168,0.0017383530258527763,0.037317582158193474
8,0.008536605197565134,0.06848075385300445,0.08105647186207898,0.04342699941049322,0.003092863662630202,0.10529595883838924,0.10847263807706825,0.06877476385334982
9,0.04874811759767055,0.029932061585069808,0.03958773509906538,0.010178817056396158,0.04521271263019627,0.07405128731252036,0.07335776855664952,0.04052866801353066
10,0.023644792297867534,0.027041858391686102,0.0338917960350395,0.012576144625663171,0.027292686214303863,0.09979523629513962,0.09919433681602696,0.04011884336298033
11,0.02100023459288529,0.001670852885385224,0.002510787087213917,0.02053448614659068,0.0655558728620512,0.010705993002529418,0.0058636867546747184,0.07067796835347429
12,0.033394901418530784,0.03981863961132761,0.027345097130561637,0.09859500884260167,0.009787330637267777,0.08998202892050308,0.09518861051894915,0.017818185369008935
13,0.05313584836140838,0.031238844208052292,0.03671628839376049,0.04523482020043229,0.0004654493438928792,0.012750181972645248,0.017678905740816847,0.09448770694364075
14,0.01829107276481516,0.03522936763230545,0.05603063709142284,0.03040872470033404,0.01075790540579162,0.036840813365479876,0.03577415795675152,0.02367481688967081
15,0.02598793825604099,0.0002661266098899495,0.012032865447270946,0.002210650422479865,0.007771628131339421,0.04460480557859628,0.0436307694466261,0.06004455507922684
16,0.025399118909263288,0.018345702480443357,0.01243112106692415,0.07029868343485948,0.012239807156188304,0.035738235872584415,0.04095701192369035,0.04619853433057522
17,0.004404313406548621,0.033826697989448554,0.01891679765199436,0.01430536451169187,0.06175693547223848,0.03170697437372484,0.03296293315352283,0.03538413620904085
18,0.01745989872245031,0.0483611536142641,0.031993331656659296,0.0019158970328158886,0.006789841157776255,0.04497168913009095,0.05009784590443869,0.03693328696559453
19,0.030571291761628733,0.037095784301865824,0.05113953954579906,0.005600314403615664,0.009571059002730503,0.06595895463887069,0.06488823441258906,0.15208252395084126
20,0.005045886686655857,0.020552460697656573,0.03563112623097973,0.08783651011986636,0.0063692627026492865,0.09170290362148997,0.0907248026719665,0.07264212701301934
21,0.011365179720136481,0.03942731936621735,0.00336449367401756,0.014983297307919058,0.035053340811589645,0.09359915614135458,0.09882118404650313,0.03309487970108327
22,0.010621736259017717,0.04596697701663899,0.03556612473055146,0.0013509530359599176,0.004063615168244647,0.03407325337912945,0.03696136690295357,0.014705098281030102
23,0.011884206943722553,0.0016385904802831974,0.012408429189804976,0.02719100019650228,0.02061813644758599,0.04648581244039807,0.051500138206571684,0.0264327596554053
