,RF,XGB,LGBM,DT,kNN,lasso,PLS,MLR
0,0.10028912262698969,0.05405655433239831,0.00948421490627066,0.07759876859928172,0.010324073090252517,0.15518795989387396,0.20358630799297595,0.24429578052523548
1,0.018326321190353878,0.038106038164884504,0.061176003160243575,0.031277578245253956,0.049106626309765256,0.07377065641802588,0.00021703744993933904,0.14155869560134993
2,0.10008465879938633,0.09082319859421029,0.0016392088426746554,0.0934633145202668,6.780052226207367e-06,0.0006049304046857329,0.07124049911147906,0.04679549841105596
3,0.0028860954335583333,0.094506976569598,0.049932010799850324,0.004133988125778587,0.13383772539141836,0.050929785981776,0.05740576545196474,0.017364342093141416
4,0.020235761929194185,0.008734032296106753,0.026917019169631462,0.01973173055779509,0.005685178109483879,0.007317677208045881,0.037529580999710266,0.04657813674890232
5,0.1314856336582878,0.04559248471149968,0.003311764820491614,0.11592758191013719,0.07971086904495311,0.016284169893031608,0.18230746020022048,0.08242340829971095
6,0.16846587993843026,0.0006945163546738242,0.04036976978050494,0.16984350949204718,0.033356286435378524,0.022973362066830483,0.1900651583859022,0.036645955818017883
7,0.059098768599281704,0.06173917349942093,0.003057450334998879,0.05692662904053364,0.007160465674909522,0.010248887977553911,0.14005482815454254,0.04217127284830985
8,0.03911159569009709,0.046394530093137765,0.038768450949119126,0.005233453052847559,0.023594828137466217,0.06230113767662776,0.2659087172980837,0.11976556589323806
9,0.012659312467932005,0.0856729022780095,0.013277905145644198,0.020189840944073834,0.02177153613713706,0.03931499093470875,0.1761047596591892,0.08958026209233444
10,0.06653848127244671,0.10421060428764957,0.006609779325620457,0.09387378142637243,0.08773461065239102,0.36559799480295074,0.2621433589104779,0.3067955490479499
11,0.010476654694716148,0.058240586421378415,0.05009073816079557,0.015987685992816858,0.13200559822405022,0.38140097068802,0.18881654684321128,0.298111676033557
12,0.10048255515648946,0.07986045448121933,0.02261326756295405,0.09247819394561313,0.1272095690399847,0.22557378302571718,0.07607222488454335,0.30767194564631867
13,0.025565931246790963,0.0383190267219979,0.14336334998457384,0.03702997874367814,0.17023081331251771,0.1735471026768204,0.26658644887284727,0.267888689747153
14,0.01725423293996936,0.17858596268894122,0.0872429971097981,0.006439199589533151,0.06270298288580212,0.08012364219738072,0.12537151124421425,0.15099055815143786
15,0.021586198050281613,0.15270695090293884,0.022019096798066684,0.0012108773730117872,0.05959049606244066,0.025634160411849738,0.13521003008549654,0.08930191930692227
16,0.00705207798871349,0.18941263977291034,0.02944723856889231,0.02058491534120066,0.0077056833321680895,0.1868239181146646,0.18662546173557837,0.25530754523780663
17,0.028206003078501796,0.02188746991556334,0.07415225899545819,0.039635710620831155,0.06059764135738016,0.10308866926910276,0.13817419168210104,0.18381572084197595
18,0.043765007696257296,0.06972271607985187,0.04561985753376985,0.031277578245253956,0.01222271775853967,0.15603890015673738,0.12026204696212256,0.21732337022089482
