,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.05950347295839263
1,NP_ratio,8.0,0.013404442226990918
2,NP_ratio,12.0,0.0543650590648314
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.0340583173432414
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.027370633161062325
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.013588142825217598
6,Dlin-MC3_Helper lipid_ratio,10.0,0.055725165299872835
7,Dlin-MC3_Helper lipid_ratio,1.0,0.020998860255272863
8,Dlin-MC3+Helper lipid percentage,20.0,-0.09245446699661843
9,Dlin-MC3+Helper lipid percentage,40.0,-0.017038606297005238
10,Dlin-MC3+Helper lipid percentage,60.0,0.07919470393060977
11,Dlin-MC3+Helper lipid percentage,80.0,-0.010225931200050041
12,Chol_DMG-PEG_ratio,500.0,-0.029409379435103213
13,Chol_DMG-PEG_ratio,100.0,0.0913065747803977
14,Chol_DMG-PEG_ratio,10.0,-0.037654831665359774
