,P_charged_centers,N_charged_centers,Total_Carbon_Tails,PDI
0,0,1,36,0.292666667
1,0,1,36,0.187666667
2,0,1,36,0.408666667
3,0,1,36,0.359666667
4,0,1,36,0.308666667
5,0,1,36,0.374333333
6,0,1,36,0.257
7,0,1,36,0.367333333
8,0,1,36,0.301
9,0,1,36,0.5935
10,0,1,36,0.445
11,0,1,36,0.466166667
12,0,1,36,0.062333333
13,0,1,36,0.177666667
14,0,1,36,0.699333333
15,0,1,36,0.298
16,0,1,36,0.319666667
17,0,1,36,0.671
18,0,1,36,0.285666667
19,0,1,36,0.286333333
20,0,1,36,0.296333333
21,0,1,36,0.565833333
22,0,1,36,0.429666667
23,0,1,36,0.270666667
24,0,1,36,0.301666667
25,0,1,36,0.512666667
26,0,1,36,0.621666667
27,0,1,36,0.463333333
28,0,1,36,0.442333333
29,0,1,36,0.252
30,0,1,36,0.283333333
31,0,1,36,0.240333333
32,0,1,36,0.281333333
33,0,1,36,0.537333333
34,0,1,36,0.436166667
35,0,1,36,0.323
36,0,1,36,0.320333333
37,0,1,36,0.568333333
38,0,1,36,0.293
39,0,1,36,0.251
40,0,1,36,0.263
41,0,1,36,0.273666667
42,0,1,36,0.252666667
43,0,1,36,0.257333333
44,0,1,36,0.268333333
45,0,1,36,0.3755
46,0,1,36,0.288833333
47,0,1,36,0.234333333
48,0,1,36,0.579
49,0,1,36,0.492333333
50,0,1,36,0.215333333
51,0,1,36,0.760333333
52,0,1,36,0.693666667
53,0,1,36,0.461
54,0,1,36,0.716333333
55,0,1,36,0.719666667
56,0,1,36,0.683333333
57,0,1,36,0.131333333
58,0,1,36,0.151833333
59,0,1,36,0.102
60,0,1,36,0.964
61,0,1,36,0.518
62,0,1,36,0.349333333
63,0,1,36,0.609333333
64,0,1,36,0.548
65,0,1,36,0.46
66,0,1,36,0.504666667
67,0,1,36,0.482666667
68,0,1,36,0.325666667
69,0,1,36,0.144666667
70,0,1,36,0.213666667
71,0,1,36,0.112
72,0,1,36,0.699333333
73,0,1,36,0.447
74,0,1,36,0.669666667
75,0,1,36,0.441
76,0,1,36,0.641666667
77,0,1,36,0.624
78,0,1,36,0.565
79,0,1,36,0.412333333
80,0,1,36,0.722666667
81,0,1,36,0.080666667
82,0,1,36,0.114666667
83,0,1,36,0.3485
84,0,1,36,0.887666667
85,0,1,36,0.453
86,0,1,36,0.686333333
87,0,1,36,0.627666667
88,0,1,36,0.536333333
89,0,1,36,0.343333333
90,0,1,36,0.484333333
91,0,1,36,0.341333333
92,0,1,36,0.295666667
93,0,1,36,0.775333333
94,0,1,36,0.146666667
95,0,1,36,0.148333333
96,0,1,36,0.88
97,0,1,36,0.436333333
98,0,1,36,0.81
99,0,1,36,0.343666667
100,0,1,36,0.364666667
101,0,1,36,0.267
102,0,1,36,0.353333333
103,0,1,36,0.390666667
104,0,1,36,0.217333333
105,0,1,36,0.153666667
106,0,1,36,0.369
107,0,1,36,0.277
108,0,1,36,0.221
109,0,1,36,0.200333333
110,0,1,36,0.109
111,0,1,36,0.203333333
112,0,1,36,0.1
113,0,1,36,0.111
114,0,1,36,0.106333333
115,0,1,36,0.209
116,0,1,36,0.061666667
117,0,1,36,0.201
118,0,1,36,0.132666667
119,0,1,36,0.290333333
120,0,1,36,0.238333333
121,0,1,36,0.428333333
122,0,1,36,0.599333333
123,0,1,36,0.307333333
124,0,1,36,0.435666667
125,0,1,36,0.400666667
126,0,1,36,0.504
127,0,1,36,0.356666667
128,0,1,36,0.331
129,0,1,36,0.313333333
130,0,1,36,0.258666667
131,0,1,36,0.286
132,0,1,36,0.231666667
133,0,1,36,0.714
134,0,1,36,0.704333333
135,0,1,36,0.334
136,0,1,36,0.396
137,0,1,36,0.366333333
138,0,1,36,0.477333333
139,0,1,36,0.330666667
140,0,1,36,0.313
141,0,1,36,0.302666667
142,0,1,36,0.251333333
143,0,1,36,0.095333333
144,0,1,36,0.257333333
145,0,1,36,1.0
146,0,1,36,0.223666667
147,0,1,36,0.3625
148,0,1,36,0.315
149,0,1,36,0.393333333
150,0,1,36,0.289333333
151,0,1,36,0.315
152,0,1,36,0.339666667
153,0,1,36,0.245
154,0,1,36,0.241333333
155,0,1,36,0.152666667
156,0,1,36,1.0
157,0,1,36,0.956666667
158,0,1,36,0.6
159,0,1,36,0.341
160,0,1,36,0.512
161,0,1,36,0.328666667
162,0,1,36,0.391333333
163,0,1,36,0.407666667
164,0,1,36,0.306
165,0,1,36,0.264333333
166,0,1,36,0.217333333
167,0,1,36,0.18
168,0,1,36,0.61
169,0,1,36,0.205
170,0,1,36,0.574666667
171,0,1,36,0.133666667
172,0,1,36,0.154666667
173,0,1,36,0.546333333
174,0,1,36,0.121
175,0,1,36,0.794
176,0,1,36,0.392
177,0,1,36,0.139666667
178,0,1,36,0.434666667
179,0,1,36,0.280666667
180,1,1,36,0.464333333
181,1,1,36,0.403333333
182,1,1,36,0.496333333
183,1,1,36,0.211
184,1,1,36,0.237333333
185,1,1,36,0.806666667
186,1,1,36,0.246666667
187,1,1,36,0.215
188,1,1,36,0.260333333
189,1,1,36,0.219666667
190,1,1,36,0.164666667
191,1,1,36,0.225333333
192,1,1,36,0.252
193,1,1,36,0.344333333
194,1,1,36,0.316
195,1,1,36,0.260333333
196,1,1,36,0.264
197,1,1,36,0.325666667
198,1,1,36,0.182
199,1,1,36,0.242
200,1,1,36,0.328333333
201,1,1,36,0.206666667
202,1,1,36,0.187666667
203,1,1,36,0.193666667
204,1,1,36,0.484666667
205,1,1,36,0.629666667
206,1,1,36,0.162
207,1,1,36,0.206
208,1,1,36,0.294
209,1,1,36,0.557666667
210,1,1,36,0.220333333
211,1,1,36,0.233333333
212,1,1,36,0.427666667
213,1,1,36,0.256333333
214,1,1,36,0.173666667
215,1,1,36,0.229333333
216,1,1,36,0.420666667
217,1,1,36,0.358
218,1,1,36,0.522
219,1,1,36,0.262666667
220,1,1,36,0.327666667
221,1,1,36,0.330666667
222,1,1,36,0.197333333
223,1,1,36,0.201
224,1,1,36,0.275
225,1,1,36,0.266
226,1,1,36,0.208666667
227,1,1,36,0.237
228,1,1,36,0.327
229,1,1,36,0.569
230,1,1,36,0.17
231,1,1,36,0.330333333
232,1,1,36,0.196
233,1,1,36,0.268
234,1,1,36,0.256333333
235,1,1,36,0.254
236,1,1,36,0.261666667
237,1,1,36,0.301
238,1,1,36,0.183666667
239,1,1,36,0.187333333
240,1,1,36,0.31
241,1,1,36,0.485666667
242,1,1,36,0.368333333
243,1,1,36,0.275333333
244,1,1,36,0.236666667
245,1,1,36,0.303666667
246,1,1,36,0.236333333
247,1,1,36,0.232
248,1,1,36,0.260666667
249,1,1,36,0.307666667
250,1,1,36,0.245666667
251,1,1,36,0.184333333
252,1,1,36,0.24
253,1,1,36,0.433333333
254,1,1,36,0.674666667
255,1,1,36,0.246333333
256,1,1,36,0.217333333
257,1,1,36,0.288333333
258,1,1,36,0.201666667
259,1,1,36,0.204333333
260,1,1,36,0.244333333
261,1,1,36,0.267
262,1,1,36,0.21
263,1,1,36,0.167333333
264,1,1,36,0.203
265,1,1,36,0.501
266,1,1,36,0.412333333
267,1,1,36,0.220333333
268,1,1,36,0.279
269,1,1,36,0.215
270,1,1,36,0.165333333
271,1,1,36,0.185333333
272,1,1,36,0.245666667
273,1,1,36,0.199
274,1,1,36,0.241333333
275,1,1,36,0.207
276,1,1,36,0.957333333
277,1,1,36,0.481666667
278,1,1,36,0.428
279,1,1,36,0.157333333
280,1,1,36,0.815333333
281,1,1,36,0.330333333
282,1,1,36,0.263333333
283,1,1,36,0.197333333
284,1,1,36,0.228333333
285,1,1,36,0.208
286,1,1,36,0.209333333
287,1,1,36,0.219
288,1,1,36,0.272333333
289,1,1,36,0.439666667
290,1,1,36,0.281
291,1,1,36,0.168333333
292,1,1,36,0.148333333
293,1,1,36,0.512666667
294,1,1,36,0.18
295,1,1,36,0.206666667
296,1,1,36,0.198666667
297,1,1,36,0.335333333
298,1,1,36,0.255
299,1,1,36,0.178
300,1,1,36,0.739666667
301,1,1,36,0.577
302,1,1,36,0.707666667
303,1,1,36,0.409333333
304,1,1,36,0.290333333
305,1,1,36,0.788666667
306,1,1,36,0.193
307,1,1,36,0.370333333
308,1,1,36,0.288333333
309,1,1,36,0.144333333
310,1,1,36,0.247666667
311,1,1,36,0.169
312,1,1,36,0.676666667
313,1,1,36,0.605666667
314,1,1,36,0.647666667
315,1,1,36,0.216666667
316,1,1,36,1.0
317,1,1,36,0.624666667
318,1,1,36,0.191333333
319,1,1,36,0.217
320,1,1,36,0.332333333
321,1,1,36,0.130333333
322,1,1,36,0.231
323,1,1,36,0.173
324,1,1,36,0.789333333
325,1,1,36,0.856666667
326,1,1,36,0.378333333
327,1,1,36,0.211
328,1,1,36,0.603666667
329,1,1,36,0.620333333
330,1,1,36,0.159666667
331,1,1,36,0.283
332,1,1,36,0.512333333
333,1,1,36,0.155333333
334,1,1,36,0.230666667
335,1,1,36,0.219666667
336,1,1,36,0.617
337,1,1,36,0.809333333
338,1,1,36,0.748333333
339,1,1,36,0.226
340,1,1,36,0.880333333
341,1,1,36,0.411666667
342,1,1,36,0.235666667
343,1,1,36,0.204666667
344,1,1,36,0.380333333
345,1,1,36,0.081666667
346,1,1,36,0.24
347,1,1,36,0.198
348,1,1,36,0.693
349,1,1,36,0.633333333
350,1,1,36,0.614
351,1,1,36,0.177
352,1,1,36,0.248666667
353,1,1,36,0.517
354,1,1,36,0.232666667
355,1,1,36,0.194666667
356,1,1,36,0.333666667
357,1,1,36,0.186
358,1,1,36,0.210666667
359,1,1,36,0.184333333
360,1,0,36,0.166
361,1,0,36,0.375666667
362,1,0,36,0.509333333
363,1,0,36,0.266333333
364,1,0,36,0.298333333
365,1,0,36,0.307666667
366,1,0,36,0.28
367,1,0,36,0.289666667
368,1,0,36,0.248666667
369,1,0,36,0.228666667
370,1,0,36,0.215666667
371,1,0,36,0.464333333
372,1,0,36,0.141666667
373,1,0,36,0.266666667
374,1,0,36,0.402666667
375,1,0,36,0.295
376,1,0,36,0.245333333
377,1,0,36,0.354
378,1,0,36,0.195666667
379,1,0,36,0.245666667
380,1,0,36,0.24
381,1,0,36,0.246333333
382,1,0,36,0.256666667
383,1,0,36,0.270666667
384,1,0,36,0.186333333
385,1,0,36,0.496333333
386,1,0,36,0.243
387,1,0,36,0.229666667
388,1,0,36,0.348333333
389,1,0,36,0.331
390,1,0,36,0.257666667
391,1,0,36,0.232666667
392,1,0,36,0.272
393,1,0,36,0.267
394,1,0,36,0.251
395,1,0,36,0.467333333
396,1,0,36,0.192333333
397,1,0,36,0.203666667
398,1,0,36,0.458333333
399,1,0,36,0.278666667
400,1,0,36,0.314333333
401,1,0,36,0.421
402,1,0,36,0.228333333
403,1,0,36,0.194
404,1,0,36,0.264333333
405,1,0,36,0.140333333
406,1,0,36,0.207
407,1,0,36,0.704333333
408,1,0,36,0.147333333
409,1,0,36,0.383333333
410,1,0,36,0.258666667
411,1,0,36,0.282
412,1,0,36,0.248333333
413,1,0,36,0.522333333
414,1,0,36,0.214
415,1,0,36,0.246333333
416,1,0,36,0.231333333
417,1,0,36,0.364
418,1,0,36,0.264333333
419,1,0,36,0.861333333
420,1,0,36,0.388333333
421,1,0,36,0.390666667
422,1,0,36,0.368333333
423,1,0,36,0.253333333
424,1,0,36,0.634666667
425,1,0,36,0.321666667
426,1,0,36,0.252666667
427,1,0,36,0.26
428,1,0,36,0.227
429,1,0,36,0.155
430,1,0,36,0.167666667
431,1,0,36,0.237
432,1,0,36,0.704333333
433,1,0,36,0.283333333
434,1,0,36,0.348666667
435,1,0,36,0.311333333
436,1,0,36,0.314666667
437,1,0,36,0.431
438,1,0,36,0.252
439,1,0,36,0.269
440,1,0,36,0.266666667
441,1,0,36,0.143666667
442,1,0,36,0.154333333
443,1,0,36,0.179
444,1,0,36,0.645666667
445,1,0,36,0.262333333
446,1,0,36,0.539333333
447,1,0,36,0.378
448,1,0,36,0.318
449,1,0,36,0.782666667
450,1,0,36,0.238333333
451,1,0,36,0.284666667
452,1,0,36,0.238333333
453,1,0,36,0.106333333
454,1,0,36,0.235
455,1,0,36,0.214
456,1,0,36,0.536
457,1,0,36,0.473666667
458,1,0,36,0.667333333
459,1,0,36,0.488666667
460,1,0,36,0.331
461,1,0,36,0.267666667
462,1,0,36,0.254333333
463,1,0,36,0.27
464,1,0,36,0.260666667
465,1,0,36,0.172333333
466,1,0,36,0.137
467,1,0,36,0.203
468,1,0,36,0.685333333
469,1,0,36,0.249666667
470,1,0,36,0.549333333
471,1,0,36,0.303
472,1,0,36,0.653
473,1,0,36,0.356333333
474,1,0,36,0.265333333
475,1,0,36,0.281666667
476,1,0,36,0.189333333
477,1,0,36,0.206666667
478,1,0,36,0.192
479,1,0,36,0.301666667
480,1,0,36,0.629333333
481,1,0,36,0.402
482,1,0,36,0.907333333
483,1,0,36,0.181666667
484,1,0,36,0.368666667
485,1,0,36,0.535333333
486,1,0,36,0.896
487,1,0,36,0.258333333
488,1,0,36,0.257
489,1,0,36,0.175
490,1,0,36,0.174666667
491,1,0,36,0.182
492,1,0,36,0.631666667
493,1,0,36,0.532666667
494,1,0,36,0.636333333
495,1,0,36,0.275666667
496,1,0,36,0.367666667
497,1,0,36,0.635333333
498,1,0,36,1.0
499,1,0,36,0.427333333
500,1,0,36,0.248333333
501,1,0,36,0.095333333
502,1,0,36,0.184666667
503,1,0,36,0.175
504,1,0,36,0.455333333
