,HepG2,B16,PC3,HEK293,N2a,ARPE19
XGB,0.6748091570482158,0.8930076821218682,0.6701675161091393,0.8044648269274703,0.8817930276813376,0.846499008963961
PLS,0.3844679424191064,0.6781981274441139,0.6205770697513303,0.5514052787307467,0.5124300424665154,0.7260530063587165
MLR,0.34072826469442075,0.6753806564871478,0.6239503507367262,0.5548502915419331,0.5140800275273163,0.7251955860180389
kNN,0.48216877372683004,0.6269722158358527,0.5656364552373753,0.5664089375573432,0.6724309059346932,0.6711493642087341
MLP,0.5170216143223932,0.8508360409310476,0.6388703065251178,0.7838497912318544,0.8975346481602497,0.792385726345888
lasso,0.38995658367437913,0.6897694218175533,0.6138203523937288,0.49947040513842944,0.4669553096925363,0.7113092085452767
LGBM,0.6962574702665334,0.9024309866975107,0.6916106153585019,0.8451981164630954,0.907506089669309,0.8878276273961762
RF,0.7081186411731286,0.8747149325821157,0.6553628119843511,0.8591023631717427,0.8723461478968104,0.8496843973804449
DT,0.7292146452000998,0.8173514104037238,0.6461427263472809,0.6945795429987277,0.8006909898327194,0.8410436833980562
