,HepG2,HEK293,B16,PC3,N2a,ARPE19
RF,,,,,,
MLR,,,,,,
lasso,,,,,,
PLS,,,,,,
kNN,,,,,,
LGBM,,,,,,
XGB,,,,,,
DT,,,,,,0.813756037319114
