,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,RLU_ARPE19
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,240.3,0.260333333,5.182
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,191.7333333,0.264,5.521
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,189.9666667,0.325666667,6.198
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,192.8,0.182,4.234
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,170.3,0.242,4.06
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,181.6333333,0.328333333,5.318
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,172.9333333,0.206666667,3.0
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,148.0,0.187666667,3.0
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,162.5333333,0.193666667,3.526
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,650.7333333,0.484666667,6.641
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,403.2666667,0.629666667,4.949
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,475.3333333,0.162,6.292
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,191.8,0.206,4.19
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,170.0,0.294,4.443
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,307.4666667,0.557666667,4.357
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,189.0333333,0.220333333,3.0
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,155.4333333,0.233333333,3.178
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,256.8,0.427666667,4.025
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,202.3,0.256333333,3.0
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,135.8666667,0.173666667,3.0
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,163.5333333,0.229333333,3.332
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,431.8,0.420666667,4.419
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,465.9333333,0.358,4.595
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,599.5333333,0.522,4.949
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,197.5666667,0.262666667,4.007
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,199.4,0.327666667,4.431
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,208.5,0.330666667,5.209
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,193.9,0.197333333,3.466
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,159.3,0.201,3.434
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,190.9666667,0.275,3.912
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,166.8666667,0.266,4.127
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,146.8666667,0.208666667,4.82
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,167.8,0.237,5.472
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,287.7333333,0.327,7.904
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,306.5333333,0.569,6.518
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,473.2,0.17,5.832
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,261.7,0.330333333,6.913
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,205.1,0.196,5.781
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,177.9333333,0.268,5.684
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,224.5,0.256333333,4.19
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,195.0333333,0.254,7.149
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,179.0333333,0.261666667,7.487
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,237.6333333,0.301,7.888
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,164.9666667,0.183666667,7.405
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,171.5333333,0.187333333,7.815
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,177.0333333,0.31,7.561
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,223.4,0.485666667,6.252
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,169.1333333,0.368333333,5.966
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,193.5,0.275333333,7.285
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,139.0,0.236666667,7.834
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,159.2333333,0.303666667,7.23
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,171.7,0.236333333,8.1
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,150.1333333,0.232,7.413
248,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,177.5333333,0.260666667,6.436
249,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,219.6333333,0.307666667,4.812
250,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,141.4666667,0.245666667,4.489
251,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,160.0333333,0.184333333,5.226
252,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,176.9333333,0.24,6.535
253,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,263.8333333,0.433333333,5.541
254,255,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,100,303.3666667,0.674666667,5.694
255,256,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,100,174.6666667,0.246333333,5.361
256,257,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,100,148.9333333,0.217333333,5.663
257,258,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,100,152.4666667,0.288333333,6.91
258,259,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,100,164.2,0.201666667,4.635
259,260,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,100,150.2666667,0.204333333,4.635
260,261,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,100,191.8,0.244333333,5.075
261,262,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,100,241.5333333,0.267,3.0
262,263,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,100,148.0333333,0.21,3.0
263,264,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,100,155.5666667,0.167333333,3.0
264,265,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,100,153.8666667,0.203,3.738
265,266,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,100,203.9333333,0.501,3.932
266,267,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,100,263.9333333,0.412333333,3.0
267,268,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,100,170.0666667,0.220333333,3.0
268,269,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,100,158.3666667,0.279,4.344
269,270,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,100,130.9333333,0.215,3.989
270,271,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,100,160.7333333,0.165333333,3.638
271,272,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,100,138.7333333,0.185333333,3.0
272,273,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,100,152.2333333,0.245666667,3.367
273,274,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,100,189.0,0.199,4.234
274,275,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,100,147.2,0.241333333,3.0
275,276,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,100,148.5333333,0.207,5.464
276,277,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,100,154.9,0.957333333,6.133
277,278,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,100,230.9333333,0.481666667,6.047
278,279,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,100,168.1666667,0.428,5.268
279,280,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,100,164.0666667,0.157333333,6.444
280,281,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,100,478.0,0.815333333,6.621
281,282,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,100,161.1333333,0.330333333,6.945
