P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio
0,1,9.3028,3,10,36,1,440.1666667,-7.193333333,4,0.199600798,20,0.497512438,26.6073836
0,1,9.3028,3,10,36,1,320.9666667,-5.036666667,8,0.199600798,20,0.497512438,53.21476721
0,1,9.3028,3,10,36,1,205.6333333,-0.522666667,12,0.199600798,20,0.497512438,79.82215081
0,1,9.3028,3,10,36,1,236.0666667,-4.42,4,0.199600798,40,0.497512438,14.8225851
0,1,9.3028,3,10,36,1,188.6,-3.686666667,8,0.199600798,40,0.497512438,29.6451702
0,1,9.3028,3,10,36,1,248.3,-2.553333333,12,0.199600798,40,0.497512438,44.46775531
0,1,9.3028,3,10,36,1,221.0666667,-1.06,4,0.199600798,60,0.497512438,10.89431893
0,1,9.3028,3,10,36,1,206.6333333,1.177333333,8,0.199600798,60,0.497512438,21.78863787
0,1,9.3028,3,10,36,1,239.3,-0.068333333,12,0.199600798,60,0.497512438,32.6829568
0,1,9.3028,3,10,36,1,228.7,-24.26666667,4,0.199600798,80,0.497512438,8.93018585
0,1,9.3028,3,10,36,1,195.4666667,-14.43333333,8,0.199600798,80,0.497512438,17.8603717
0,1,9.3028,3,10,36,1,211.95,-1.853333333,12,0.199600798,80,0.497512438,26.79055755
0,1,9.3028,3,10,36,1,395.5333333,-9.85,4,0.199600798,20,0.99009901,26.74781895
0,1,9.3028,3,10,36,1,412.0666667,-4.376666667,8,0.199600798,20,0.99009901,53.49563789
0,1,9.3028,3,10,36,1,288.7666667,-1.413,12,0.199600798,20,0.99009901,80.24345684
0,1,9.3028,3,10,36,1,218.7666667,-4.306666667,4,0.199600798,40,0.99009901,14.9043896
0,1,9.3028,3,10,36,1,221.7666667,-1.85,8,0.199600798,40,0.99009901,29.80877921
0,1,9.3028,3,10,36,1,491.3333333,-4.253333333,12,0.199600798,40,0.99009901,44.71316881
