# of Features,Feature names,Removed Feature Names,p_value,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,Predictions,Hold_out_set,linkage distance
20,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', '18PG', '14PA', 'DOPE', 'DSPC', 'DOTAP', 'DDAB', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",None,,0.05232360058935874,0.0011542744413995012,0.9090197476875183,0.003858749336427694,0.9210227627096785,0.0038785703095842324,"[array([0.28, 0.18, 0.19, ..., 0.38, 0.27, 0.37]), array([0.27, 0.03, 0.02, ..., 0.12, 0.05, 0.24]), array([0.25, 0.24, 0.02, ..., 0.22, 0.22, 0.19]), array([0.26, 0.03, 0.07, ..., 0.36, 0.26, 0.33]), array([0.29, 0.28, 0.32, ..., 0.36, 0.21, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.0
19,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', '18PG', 'DOPE', 'DSPC', 'DOTAP', 'DDAB', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",14PA,,0.05232374003878387,0.0011540107621746227,0.9090189879010445,0.003858514628947577,0.9210226075184625,0.0038780422787471395,"[array([0.28, 0.18, 0.19, ..., 0.38, 0.27, 0.37]), array([0.27, 0.03, 0.02, ..., 0.12, 0.05, 0.24]), array([0.25, 0.24, 0.02, ..., 0.22, 0.22, 0.19]), array([0.26, 0.03, 0.07, ..., 0.36, 0.26, 0.33]), array([0.29, 0.28, 0.32, ..., 0.36, 0.21, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.002
18,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', '18PG', 'DOPE', 'DSPC', 'DOTAP', 'DDAB', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",Hbond_A,,0.052309214910929124,0.001063603303085496,0.9091071460689552,0.0030474477769189116,0.9209249647074639,0.0034597100928778868,"[array([0.28, 0.19, 0.2 , ..., 0.38, 0.27, 0.38]), array([0.27, 0.01, 0.02, ..., 0.14, 0.04, 0.22]), array([0.24, 0.23, 0.02, ..., 0.23, 0.24, 0.2 ]), array([0.25, 0.02, 0.08, ..., 0.37, 0.27, 0.33]), array([0.29, 0.27, 0.32, ..., 0.35, 0.22, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.004
17,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'DOTAP', 'DDAB', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",18PG,,0.052309214910929124,0.001063603303085496,0.9091071460689552,0.0030474477769189116,0.9209249647074639,0.0034597100928778868,"[array([0.28, 0.19, 0.2 , ..., 0.38, 0.27, 0.38]), array([0.27, 0.01, 0.02, ..., 0.14, 0.04, 0.22]), array([0.24, 0.23, 0.02, ..., 0.23, 0.24, 0.2 ]), array([0.25, 0.02, 0.08, ..., 0.37, 0.27, 0.33]), array([0.29, 0.27, 0.32, ..., 0.35, 0.22, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.006
16,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'DOTAP', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",DDAB,,0.052309214910929124,0.001063603303085496,0.9091071460689552,0.0030474477769189116,0.9209249647074639,0.0034597100928778868,"[array([0.28, 0.19, 0.2 , ..., 0.38, 0.27, 0.38]), array([0.27, 0.01, 0.02, ..., 0.14, 0.04, 0.22]), array([0.24, 0.23, 0.02, ..., 0.23, 0.24, 0.2 ]), array([0.25, 0.02, 0.08, ..., 0.37, 0.27, 0.33]), array([0.29, 0.27, 0.32, ..., 0.35, 0.22, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.008
15,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",DOTAP,,0.05222566104268721,0.0010716273227538654,0.9091578338616733,0.003369678748694378,0.920849327541687,0.003450556020544936,"[array([0.26, 0.16, 0.19, ..., 0.38, 0.26, 0.39]), array([0.29, 0.01, 0.01, ..., 0.14, 0.07, 0.23]), array([0.24, 0.23, 0.03, ..., 0.24, 0.24, 0.21]), array([0.25, 0.04, 0.08, ..., 0.37, 0.25, 0.32]), array([0.29, 0.26, 0.32, ..., 0.36, 0.23, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.01
14,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",N_charged_centers,,0.052227601229869657,0.0010700915468708585,0.9091485874036433,0.0033617089008722042,0.920849553047068,0.003449037384138598,"[array([0.26, 0.16, 0.19, ..., 0.38, 0.26, 0.39]), array([0.29, 0.01, 0.01, ..., 0.14, 0.07, 0.23]), array([0.24, 0.23, 0.03, ..., 0.24, 0.24, 0.21]), array([0.25, 0.04, 0.08, ..., 0.37, 0.25, 0.32]), array([0.29, 0.26, 0.32, ..., 0.36, 0.23, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.012
13,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'Size', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",PDI,,0.051484204233840994,0.0011005630733054116,0.9107998327807099,0.0031471551178007,0.9236606036510333,0.0029704070338100017,"[array([0.28, 0.18, 0.21, ..., 0.37, 0.27, 0.35]), array([0.27, 0.01, 0.02, ..., 0.14, 0.06, 0.22]), array([0.27, 0.22, 0.03, ..., 0.18, 0.23, 0.23]), array([0.27, 0.01, 0.08, ..., 0.39, 0.2 , 0.35]), array([0.32, 0.29, 0.3 , ..., 0.31, 0.26, 0.24])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.014
12,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'Size', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",Zeta,,0.04913585717346404,0.0007283652291039433,0.918743316262128,0.0024890562705196274,0.9315645898655143,0.0016081055704892484,"[array([0.25, 0.24, 0.23, ..., 0.39, 0.26, 0.35]), array([0.26, 0.01, 0.01, ..., 0.17, 0.04, 0.21]), array([0.29, 0.23, 0.02, ..., 0.21, 0.23, 0.25]), array([0.21, 0.04, 0.08, ..., 0.43, 0.2 , 0.37]), array([0.27, 0.22, 0.24, ..., 0.35, 0.28, 0.21])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.016
11,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",Size,,0.04558070304851068,0.0005403326789909524,0.9264010588641973,0.0012355136640918602,0.941406524480862,0.0010325472452452013,"[array([0.3 , 0.19, 0.22, ..., 0.42, 0.46, 0.5 ]), array([0.28, 0.  , 0.01, ..., 0.17, 0.11, 0.25]), array([0.24, 0.25, 0.01, ..., 0.14, 0.26, 0.22]), array([0.22, 0.03, 0.06, ..., 0.34, 0.16, 0.28]), array([0.28, 0.24, 0.24, ..., 0.4 , 0.2 , 0.18])]","[array([0.27, 0.12, 0.24, ..., 0.36, 0.15, 0.23]), array([0.27, 0.01, 0.04, ..., 0.15, 0.  , 0.14]), array([0.12, 0.24, 0.  , ..., 0.1 , 0.28, 0.18]), array([0.22, 0.  , 0.  , ..., 0.4 , 0.28, 0.23]), array([0.27, 0.22, 0.24, ..., 0.46, 0.32, 0.26])]",0.018
