,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,3.0
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,3.0
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,3.0
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,3.0
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,3.0
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,3.0
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,3.0
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,3.0
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,3.0
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,3.0
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,3.0
85,86,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,100,3.0
86,87,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,100,3.0
87,88,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,100,3.0
88,89,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,100,3.0
89,90,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,100,3.0
90,91,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,100,3.0
91,92,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,100,3.0
92,93,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,100,3.0
93,94,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,100,3.0
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,3.0
95,96,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,100,3.0
96,97,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,100,3.0
97,98,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,100,3.0
98,99,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,100,3.0
99,100,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,100,3.0
100,101,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,100,3.0
101,102,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,100,3.0
102,103,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,100,3.0
103,104,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,100,3.0
104,105,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,100,3.0
105,106,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,100,3.0
106,107,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,100,3.0
107,108,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,100,3.0
108,109,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,100,3.0
109,110,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,100,3.0
110,111,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,100,3.0
111,112,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,100,3.0
112,113,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,100,3.0
113,114,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,100,3.0
114,115,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,100,3.0
115,116,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,100,3.0
116,117,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,100,3.0
117,118,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,100,3.0
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,3.0
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,3.0
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,3.0
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,3.0
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,3.0
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,3.0
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,3.0
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,3.0
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,3.0
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,3.0
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,3.0
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,3.0
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,3.0
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,3.0
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,3.0
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,3.0
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,3.0
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,3.0
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,3.0
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,3.0
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,3.0
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,3.0
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,3.0
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,3.0
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,3.0
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,3.0
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,3.0
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,3.0
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,3.0
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,3.0
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,3.0
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,3.0
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,3.0
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,3.0
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,3.0
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,3.0
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,3.0
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,3.0
