P_charged_centers,N_charged_centers,Hbond_D,Double_bonds,Size,PDI,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,1,3,1,440.1666667,0.292666667,4,0.199600798,20,0.497512438
0,1,3,1,320.9666667,0.187666667,8,0.199600798,20,0.497512438
0,1,3,1,205.6333333,0.408666667,12,0.199600798,20,0.497512438
0,1,3,1,236.0666667,0.359666667,4,0.199600798,40,0.497512438
0,1,3,1,188.6,0.308666667,8,0.199600798,40,0.497512438
0,1,3,1,248.3,0.374333333,12,0.199600798,40,0.497512438
0,1,3,1,221.0666667,0.257,4,0.199600798,60,0.497512438
0,1,3,1,206.6333333,0.367333333,8,0.199600798,60,0.497512438
0,1,3,1,239.3,0.301,12,0.199600798,60,0.497512438
0,1,3,1,228.7,0.5935,4,0.199600798,80,0.497512438
0,1,3,1,195.4666667,0.445,8,0.199600798,80,0.497512438
0,1,3,1,211.95,0.466166667,12,0.199600798,80,0.497512438
0,1,3,1,395.5333333,0.062333333,4,0.199600798,20,0.99009901
0,1,3,1,412.0666667,0.177666667,8,0.199600798,20,0.99009901
0,1,3,1,288.7666667,0.699333333,12,0.199600798,20,0.99009901
0,1,3,1,218.7666667,0.298,4,0.199600798,40,0.99009901
0,1,3,1,221.7666667,0.319666667,8,0.199600798,40,0.99009901
0,1,3,1,491.3333333,0.671,12,0.199600798,40,0.99009901
0,1,3,1,227.4,0.285666667,4,0.199600798,60,0.99009901
0,1,3,1,217.1,0.286333333,8,0.199600798,60,0.99009901
0,1,3,1,241.5666667,0.296333333,12,0.199600798,60,0.99009901
0,1,3,1,188.8333333,0.565833333,4,0.199600798,80,0.99009901
0,1,3,1,184.6,0.429666667,8,0.199600798,80,0.99009901
0,1,3,1,285.2666667,0.270666667,12,0.199600798,80,0.99009901
0,1,3,1,431.4,0.301666667,4,0.199600798,20,1.960784314
0,1,3,1,265.1333333,0.512666667,8,0.199600798,20,1.960784314
0,1,3,1,1283.4,0.621666667,12,0.199600798,20,1.960784314
0,1,3,1,281.9333333,0.463333333,4,0.199600798,40,1.960784314
0,1,3,1,247.4666667,0.442333333,8,0.199600798,40,1.960784314
0,1,3,1,230.4,0.252,12,0.199600798,40,1.960784314
0,1,3,1,215.5666667,0.283333333,4,0.199600798,60,1.960784314
0,1,3,1,221.9666667,0.240333333,8,0.199600798,60,1.960784314
0,1,3,1,234.9333333,0.281333333,12,0.199600798,60,1.960784314
0,1,3,1,172.3666667,0.537333333,4,0.199600798,80,1.960784314
0,1,3,1,163.9833333,0.436166667,8,0.199600798,80,1.960784314
0,1,3,1,247.1,0.323,12,0.199600798,80,1.960784314
0,1,3,1,303.8,0.320333333,4,0.199600798,20,9.090909091
0,1,3,1,462.6666667,0.568333333,8,0.199600798,20,9.090909091
0,1,3,1,947.7666667,0.293,12,0.199600798,20,9.090909091
0,1,3,1,242.8,0.251,4,0.199600798,40,9.090909091
0,1,3,1,182.1,0.263,8,0.199600798,40,9.090909091
0,1,3,1,252.6333333,0.273666667,12,0.199600798,40,9.090909091
0,1,3,1,242.8,0.252666667,4,0.199600798,60,9.090909091
0,1,3,1,202.9666667,0.257333333,8,0.199600798,60,9.090909091
0,1,3,1,142.2666667,0.268333333,12,0.199600798,60,9.090909091
0,1,3,1,154.0833333,0.3755,4,0.199600798,80,9.090909091
0,1,3,1,172.25,0.288833333,8,0.199600798,80,9.090909091
0,1,3,1,175.9333333,0.234333333,12,0.199600798,80,9.090909091
0,1,3,1,1859.333333,0.579,4,0.199600798,20,50.0
0,1,3,1,487.5,0.492333333,8,0.199600798,20,50.0
0,1,3,1,1049.966667,0.215333333,12,0.199600798,20,50.0
0,1,3,1,370.2333333,0.760333333,4,0.199600798,40,50.0
0,1,3,1,1164.833333,0.693666667,8,0.199600798,40,50.0
0,1,3,1,1153.333333,0.461,12,0.199600798,40,50.0
0,1,3,1,1720.666667,0.716333333,4,0.199600798,60,50.0
0,1,3,1,214.1666667,0.147333333,8,0.199600798,60,50.0
0,1,3,1,1034.266667,0.683333333,12,0.199600798,60,50.0
0,1,3,1,476.1166667,0.131333333,4,0.199600798,80,50.0
0,1,3,1,418.8333333,0.151833333,8,0.199600798,80,50.0
0,1,3,1,268.4333333,0.102,12,0.199600798,80,50.0
0,1,3,1,514.5666667,0.964,4,0.99009901,20,0.497512438
0,1,3,1,209.0,0.518,8,0.99009901,20,0.497512438
0,1,3,1,296.5333333,0.349333333,12,0.99009901,20,0.497512438
0,1,3,1,75.20666667,0.609333333,4,0.99009901,40,0.497512438
0,1,3,1,210.5666667,0.548,8,0.99009901,40,0.497512438
0,1,3,1,184.1666667,0.46,12,0.99009901,40,0.497512438
0,1,3,1,133.6666667,0.504666667,4,0.99009901,60,0.497512438
0,1,3,1,145.6666667,0.482666667,8,0.99009901,60,0.497512438
0,1,3,1,164.5333333,0.325666667,12,0.99009901,60,0.497512438
0,1,3,1,415.6,0.144666667,4,0.99009901,80,0.497512438
0,1,3,1,420.6,0.213666667,8,0.99009901,80,0.497512438
0,1,3,1,725.6666667,0.112,12,0.99009901,80,0.497512438
0,1,3,1,613.1333333,0.699333333,4,0.99009901,20,0.99009901
0,1,3,1,187.7333333,0.447,8,0.99009901,20,0.99009901
0,1,3,1,99.15666667,0.669666667,12,0.99009901,20,0.99009901
0,1,3,1,118.2,0.441,4,0.99009901,40,0.99009901
0,1,3,1,170.9666667,0.641666667,8,0.99009901,40,0.99009901
0,1,3,1,215.6333333,0.624,12,0.99009901,40,0.99009901
0,1,3,1,182.2,0.565,4,0.99009901,60,0.99009901
0,1,3,1,207.7333333,0.412333333,8,0.99009901,60,0.99009901
0,1,3,1,348.7,0.722666667,12,0.99009901,60,0.99009901
0,1,3,1,379.2666667,0.080666667,4,0.99009901,80,0.99009901
0,1,3,1,430.7333333,0.114666667,8,0.99009901,80,0.99009901
0,1,3,1,255.0166667,0.3485,12,0.99009901,80,0.99009901
0,1,3,1,738.2666667,0.887666667,4,0.99009901,20,1.960784314
0,1,3,1,190.2,0.453,8,0.99009901,20,1.960784314
0,1,3,1,210.8,0.686333333,12,0.99009901,20,1.960784314
0,1,3,1,263.4666667,0.627666667,4,0.99009901,40,1.960784314
0,1,3,1,162.0,0.536333333,8,0.99009901,40,1.960784314
0,1,3,1,203.3333333,0.343333333,12,0.99009901,40,1.960784314
0,1,3,1,194.0,0.484333333,4,0.99009901,60,1.960784314
0,1,3,1,235.7333333,0.341333333,8,0.99009901,60,1.960784314
0,1,3,1,183.1666667,0.295666667,12,0.99009901,60,1.960784314
0,1,3,1,264.4666667,0.139,4,0.99009901,80,1.960784314
0,1,3,1,410.2,0.146666667,8,0.99009901,80,1.960784314
0,1,3,1,363.8,0.148333333,12,0.99009901,80,1.960784314
0,1,3,1,457.7666667,0.88,4,0.99009901,20,9.090909091
0,1,3,1,170.4666667,0.436333333,8,0.99009901,20,9.090909091
0,1,3,1,205.1333333,0.81,12,0.99009901,20,9.090909091
0,1,3,1,153.8666667,0.343666667,4,0.99009901,40,9.090909091
0,1,3,1,202.0333333,0.364666667,8,0.99009901,40,9.090909091
0,1,3,1,192.2666667,0.267,12,0.99009901,40,9.090909091
0,1,3,1,176.8,0.353333333,4,0.99009901,60,9.090909091
0,1,3,1,293.4666667,0.390666667,8,0.99009901,60,9.090909091
0,1,3,1,281.8333333,0.217333333,12,0.99009901,60,9.090909091
0,1,3,1,496.8666667,0.153666667,4,0.99009901,80,9.090909091
0,1,3,1,526.7333333,0.369,8,0.99009901,80,9.090909091
0,1,3,1,501.1333333,0.277,12,0.99009901,80,9.090909091
0,1,3,1,237.7333333,0.221,4,0.99009901,20,50.0
0,1,3,1,154.0666667,0.200333333,8,0.99009901,20,50.0
0,1,3,1,185.1,0.109,12,0.99009901,20,50.0
0,1,3,1,196.1666667,0.203333333,4,0.99009901,40,50.0
0,1,3,1,298.0333333,0.1,8,0.99009901,40,50.0
0,1,3,1,189.2333333,0.111,12,0.99009901,40,50.0
0,1,3,1,241.5,0.106333333,4,0.99009901,60,50.0
0,1,3,1,249.8,0.209,8,0.99009901,60,50.0
0,1,3,1,346.5,0.061666667,12,0.99009901,60,50.0
0,1,3,1,364.1333333,0.201,4,0.99009901,80,50.0
0,1,3,1,812.3666667,0.132666667,8,0.99009901,80,50.0
0,1,3,1,409.6,0.290333333,12,0.99009901,80,50.0
0,1,3,1,113.3,0.238333333,4,9.090909091,20,0.497512438
0,1,3,1,179.0666667,0.428333333,8,9.090909091,20,0.497512438
0,1,3,1,1512.333333,0.599333333,12,9.090909091,20,0.497512438
0,1,3,1,108.3166667,0.307333333,4,9.090909091,40,0.497512438
0,1,3,1,153.9,0.435666667,8,9.090909091,40,0.497512438
0,1,3,1,120.1,0.400666667,12,9.090909091,40,0.497512438
0,1,3,1,166.4,0.504,4,9.090909091,60,0.497512438
0,1,3,1,192.9,0.356666667,8,9.090909091,60,0.497512438
0,1,3,1,260.3666667,0.331,12,9.090909091,60,0.497512438
0,1,3,1,230.6333333,0.313333333,4,9.090909091,80,0.497512438
0,1,3,1,237.4,0.258666667,8,9.090909091,80,0.497512438
0,1,3,1,208.8333333,0.286,12,9.090909091,80,0.497512438
0,1,3,1,129.5333333,0.231666667,4,9.090909091,20,0.99009901
0,1,3,1,247.0333333,0.714,8,9.090909091,20,0.99009901
0,1,3,1,1955.333333,0.704333333,12,9.090909091,20,0.99009901
0,1,3,1,181.4666667,0.334,4,9.090909091,40,0.99009901
0,1,3,1,144.4,0.396,8,9.090909091,40,0.99009901
0,1,3,1,123.8,0.366333333,12,9.090909091,40,0.99009901
0,1,3,1,253.1333333,0.477333333,4,9.090909091,60,0.99009901
0,1,3,1,212.9666667,0.330666667,8,9.090909091,60,0.99009901
0,1,3,1,219.6333333,0.313,12,9.090909091,60,0.99009901
0,1,3,1,243.4333333,0.302666667,4,9.090909091,80,0.99009901
0,1,3,1,226.2666667,0.251333333,8,9.090909091,80,0.99009901
0,1,3,1,262.2333333,0.095333333,12,9.090909091,80,0.99009901
0,1,3,1,135.9333333,0.257333333,4,9.090909091,20,1.960784314
0,1,3,1,967.0333333,1.0,8,9.090909091,20,1.960784314
0,1,3,1,1599.666667,0.223666667,12,9.090909091,20,1.960784314
0,1,3,1,113.75,0.3625,4,9.090909091,40,1.960784314
0,1,3,1,142.2666667,0.315,8,9.090909091,40,1.960784314
0,1,3,1,142.3333333,0.393333333,12,9.090909091,40,1.960784314
0,1,3,1,256.9666667,0.289333333,4,9.090909091,60,1.960784314
0,1,3,1,205.9333333,0.315,8,9.090909091,60,1.960784314
0,1,3,1,184.7,0.339666667,12,9.090909091,60,1.960784314
0,1,3,1,244.4333333,0.245,4,9.090909091,80,1.960784314
0,1,3,1,247.3666667,0.241333333,8,9.090909091,80,1.960784314
0,1,3,1,250.6333333,0.152666667,12,9.090909091,80,1.960784314
0,1,3,1,636.7,1.0,4,9.090909091,20,9.090909091
0,1,3,1,691.7,0.956666667,8,9.090909091,20,9.090909091
0,1,3,1,1708.333333,0.6,12,9.090909091,20,9.090909091
0,1,3,1,111.6666667,0.341,4,9.090909091,40,9.090909091
0,1,3,1,148.1333333,0.512,8,9.090909091,40,9.090909091
0,1,3,1,118.0,0.328666667,12,9.090909091,40,9.090909091
0,1,3,1,233.5,0.391333333,4,9.090909091,60,9.090909091
0,1,3,1,264.6666667,0.407666667,8,9.090909091,60,9.090909091
0,1,3,1,220.9,0.306,12,9.090909091,60,9.090909091
0,1,3,1,256.1,0.264333333,4,9.090909091,80,9.090909091
0,1,3,1,278.3,0.217333333,8,9.090909091,80,9.090909091
0,1,3,1,265.9,0.18,12,9.090909091,80,9.090909091
0,1,3,1,675.8333333,0.61,4,9.090909091,20,50.0
0,1,3,1,682.8333333,0.205,8,9.090909091,20,50.0
0,1,3,1,464.0,0.574666667,12,9.090909091,20,50.0
0,1,3,1,163.5666667,0.133666667,4,9.090909091,40,50.0
0,1,3,1,459.9666667,0.154666667,8,9.090909091,40,50.0
0,1,3,1,753.9666667,0.546333333,12,9.090909091,40,50.0
0,1,3,1,194.8666667,0.121,4,9.090909091,60,50.0
0,1,3,1,934.6333333,0.794,8,9.090909091,60,50.0
0,1,3,1,1021.5,0.392,12,9.090909091,60,50.0
0,1,3,1,201.0,0.139666667,4,9.090909091,80,50.0
0,1,3,1,456.4,0.434666667,8,9.090909091,80,50.0
0,1,3,1,398.5,0.280666667,12,9.090909091,80,50.0
1,1,2,2,288.9666667,0.464333333,4,0.199600798,20,0.497512438
1,1,2,2,533.7,0.403333333,8,0.199600798,20,0.497512438
1,1,2,2,342.3333333,0.496333333,12,0.199600798,20,0.497512438
1,1,2,2,237.1333333,0.211,4,0.199600798,40,0.497512438
1,1,2,2,185.1333333,0.237333333,8,0.199600798,40,0.497512438
1,1,2,2,267.7333333,0.806666667,12,0.199600798,40,0.497512438
1,1,2,2,206.6,0.246666667,4,0.199600798,60,0.497512438
1,1,2,2,173.1333333,0.215,8,0.199600798,60,0.497512438
1,1,2,2,183.6666667,0.260333333,12,0.199600798,60,0.497512438
1,1,2,2,166.6333333,0.219666667,4,0.199600798,80,0.497512438
1,1,2,2,137.6333333,0.164666667,8,0.199600798,80,0.497512438
1,1,2,2,158.8,0.225333333,12,0.199600798,80,0.497512438
1,1,2,2,577.6666667,0.252,4,0.199600798,20,0.99009901
1,1,2,2,562.7666667,0.344333333,8,0.199600798,20,0.99009901
1,1,2,2,288.1666667,0.316,12,0.199600798,20,0.99009901
1,1,2,2,240.3,0.260333333,4,0.199600798,40,0.99009901
1,1,2,2,191.7333333,0.264,8,0.199600798,40,0.99009901
1,1,2,2,189.9666667,0.325666667,12,0.199600798,40,0.99009901
1,1,2,2,192.8,0.182,4,0.199600798,60,0.99009901
1,1,2,2,170.3,0.242,8,0.199600798,60,0.99009901
1,1,2,2,181.6333333,0.328333333,12,0.199600798,60,0.99009901
1,1,2,2,172.9333333,0.206666667,4,0.199600798,80,0.99009901
1,1,2,2,148.0,0.187666667,8,0.199600798,80,0.99009901
1,1,2,2,162.5333333,0.193666667,12,0.199600798,80,0.99009901
1,1,2,2,650.7333333,0.484666667,4,0.199600798,20,1.960784314
1,1,2,2,403.2666667,0.629666667,8,0.199600798,20,1.960784314
1,1,2,2,475.3333333,0.162,12,0.199600798,20,1.960784314
1,1,2,2,191.8,0.206,4,0.199600798,40,1.960784314
1,1,2,2,170.0,0.294,8,0.199600798,40,1.960784314
1,1,2,2,307.4666667,0.557666667,12,0.199600798,40,1.960784314
