,B16,HepG2,PC3,HEK293,N2a,ARPE19
Model_Name,LGBM,LGBM,RF,LGBM,LGBM,LGBM
Hyper_Params,"{'subsample': 0.4, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 32, 'n_estimators': 100, 'min_child_weight': 1.0, 'min_child_samples': 20, 'max_depth': 26, 'max_bin': 10, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}","{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 128, 'n_estimators': 200, 'min_child_weight': 1.0, 'min_child_samples': 10, 'max_depth': 10, 'max_bin': 10, 'learning_rate': 0.1, 'boosting_type': 'dart'}","{'oob_score': True, 'n_estimators': 100, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 6, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}","{'subsample': 0.6, 'reg_lambda': 0, 'reg_alpha': 0.005, 'num_leaves': 256, 'n_estimators': 600, 'min_child_weight': 0.01, 'min_child_samples': 20, 'max_depth': 30, 'max_bin': 20, 'learning_rate': 0.1, 'boosting_type': 'dart'}","{'subsample': 1.0, 'reg_lambda': 0.005, 'reg_alpha': 0, 'num_leaves': 256, 'n_estimators': 600, 'min_child_weight': 0.01, 'min_child_samples': 2, 'max_depth': 10, 'max_bin': 10, 'learning_rate': 0.01, 'boosting_type': 'goss'}","{'subsample': 1.0, 'reg_lambda': 0.015, 'reg_alpha': 0, 'num_leaves': 32, 'n_estimators': 600, 'min_child_weight': 1.0, 'min_child_samples': 2, 'max_depth': 18, 'max_bin': 20, 'learning_rate': 0.1, 'boosting_type': 'dart'}"
MAE,0.05057559289708213,0.05286764749194267,0.06199948554007417,0.08052343420644599,0.06411569248742215,0.09807093030505305
Spearman,0.911686766885571,0.7500743091302381,0.6190108690930406,0.8873652990819507,0.9089345802961755,0.8852781820313192
Pearson,0.9352901726210713,0.8826131836203257,0.8402792048665727,0.8630396074282045,0.9211911599188264,0.880513201449722
