RF,LGBM,XGB,MLP,kNN,DT,lasso,MLR,PLS
0.024348783441594177,0.052658950413750634,0.04275870323181152,0.036015515973904344,0.03626067178886023,0.09049873389849168,0.030057322394656055,0.014584770094451083,0.015203595573083178
0.011340416162060973,0.0007800011613356018,0.006497414088073361,0.004875041079993647,0.0051466237229870065,0.012000440383133304,0.028210769919279108,0.008987565584849672,0.0068762900419029604
0.2620725531212155,0.09050728534113665,0.12795981764793396,0.2291779084071328,0.03962736616880113,0.39700539469338325,0.17297724392893896,0.20397294017660136,0.20737115278540724
0.030396895298910064,0.09048912866673418,0.05247632173351105,0.030293734336405892,0.002739612091734983,0.032147968732797544,0.16223976204740337,0.1513919232322698,0.15153784931115952
0.21797643950236723,0.14705621593653306,0.18983073963883246,0.31525541745864794,0.3270640396791977,0.3639766596939338,0.025832040794497968,0.018042285872775454,0.020098494777585185
0.05151326654189142,0.08563910748821825,0.07916083931922913,0.1644988848074198,0.08420365985398955,0.040625344049322915,0.1876680974698007,0.22916727545984747,0.23222355198442424
0.008255532313112405,0.052400389699186,0.07380008697509766,0.09282877277724033,0.05877598927284076,0.0,0.17521968751424202,0.14792066199850365,0.1479762699575746
0.003602884509523306,0.010134608283125918,0.040741981243911374,0.08087447391634228,0.017282581803710804,0.012000440383133304,0.05233689088439211,0.06428061440171409,0.0621494310169529
0.2321865022569637,0.14543963555100337,0.11250345811016504,0.06677589196400546,0.15852743277080794,0.13987669272266878,0.4677117922259222,0.45398848343090054,0.45583537894513104
0.010503137729824927,0.02240303477127025,0.0042894494293361785,0.025427403072842802,0.10690508228808555,0.012000440383133304,0.1261416113189049,0.15112881979313428,0.15564738031804087
0.0029659804029505644,0.012196355233039538,0.007569104433059692,0.0006899989778355597,0.013443570795879595,0.012000440383133304,0.005460213232723679,0.002515441521486603,0.00026136227980116944
0.08089452823956844,0.01493325576934194,0.018545836210250854,0.10536887363085556,0.0411711335253567,0.0,0.039653553437358977,0.030434743823547453,0.0211497560569254
0.015048442144665854,0.014034301891070489,0.001953879071268927,0.0486013744818084,0.36870196453506304,0.02212925244963118,0.1636545858185424,0.18461472612525762,0.18701038083119648
0.015487173841241876,0.041546118195676635,0.019883573055267334,0.09288403722486166,0.06420031800832582,0.0,0.14948425549867989,0.17775159857424128,0.178936623026444
0.020133766376747752,0.026962349576233176,0.05335792899131775,0.09149270819659211,0.17788325280011588,0.0,0.12419688694583594,0.14186907753164527,0.14025435288309845
0.12668776835847184,0.03112278100658533,0.05132402208792952,0.08256845679450447,0.21031773219598457,0.1606297478806561,0.15019502403551008,0.1331796826619058,0.13099664511517273
0.025094131894748423,0.08164894130497229,0.12367546558380127,0.05353915521332164,0.02761583026816377,0.049102719365848285,0.0028626289255246073,0.009762345215416602,0.00964290759594344
0.34078718485082016,0.2182649173245921,0.09944291764073179,0.12334465731209635,0.07578435997101907,0.2298799955961687,0.30477672991400917,0.30887025230666554,0.30910662273058975
0.0066007926896399696,0.013669736495231132,0.05193251488191186,0.016111385036051334,0.014225680822675023,0.02014752834966424,0.039058442890197616,0.05415790863587241,0.05434358534638828
