,Model,Cell_Type,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Score_difference
0,DT,PC3,0.07197324066074201,0.07328248696569666,"SpearmanrResult(correlation=0.7175250086783783, pvalue=1.8535442731039133e-35)","PearsonRResult(statistic=0.8766135070399552, pvalue=6.449958681313734e-70)","{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0}",0.0013092463049546449
1,DT,B16,0.05771269909657652,0.05965792539389331,"SpearmanrResult(correlation=0.870665037681864, pvalue=7.1271542712810045e-68)","PearsonRResult(statistic=0.8927688524828721, pvalue=4.772648236415812e-76)","{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None, 'criterion': 'poisson', 'ccp_alpha': 0}",0.0019452262973167905
2,DT,ARPE19,0.10429850985554207,0.1108300019001045,"SpearmanrResult(correlation=0.8273876085267552, pvalue=2.1282919729228616e-37)","PearsonRResult(statistic=0.8153504405220061, pvalue=1.6184544266917058e-35)","{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0}",0.006531492044562437
3,DT,N2a,0.069296644672278,0.07651252326748306,"SpearmanrResult(correlation=0.8327139632707923, pvalue=2.80913710537199e-38)","PearsonRResult(statistic=0.7856015147791784, pvalue=2.09614806333348e-31)","{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0}",0.007215878595205061
4,DT,HepG2,0.07257290565372804,0.06952232165332527,"SpearmanrResult(correlation=0.5829747447294732, pvalue=1.7696466964357625e-14)","PearsonRResult(statistic=0.7893120833805835, pvalue=7.000071011915176e-32)","{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 0}",0.00305058400040277
5,DT,HEK293,0.09761720169253374,0.10029584776199066,"SpearmanrResult(correlation=0.7462735179541665, pvalue=1.0836662857749243e-39)","PearsonRResult(statistic=0.7413142887097488, pvalue=6.384078991980766e-39)","{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 0}",0.002678646069456919
6,XGB,PC3,0.0620033741413452,0.06113658406068585,"SpearmanrResult(correlation=0.756365957055046, pvalue=2.5749676572542536e-41)","PearsonRResult(statistic=0.9060389435784468, pvalue=7.213816648381056e-82)","{'subsample': 0.6, 'reg_lambda': 0.001, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 4, 'learning_rate': 0.01, 'gamma': 0, 'booster': 'gbtree'}",0.0008667900806593465
7,XGB,B16,0.0456440110175547,0.046145067851802356,"SpearmanrResult(correlation=0.9029991790359524, pvalue=1.8407026456209665e-80)","PearsonRResult(statistic=0.9265656845494056, pvalue=7.799847787899542e-93)","{'subsample': 0.9, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 4.0, 'max_depth': 7, 'max_delta_step': 8, 'learning_rate': 0.3, 'gamma': 0, 'booster': 'dart'}",0.0005010568342476568
8,XGB,ARPE19,0.09257628358870135,0.09235447867944778,"SpearmanrResult(correlation=0.8605369052434814, pvalue=1.950473099766758e-43)","PearsonRResult(statistic=0.8597018742565408, pvalue=2.889243461907737e-43)","{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'n_estimators': 400, 'min_child_weight': 1.0, 'max_depth': 9, 'max_delta_step': 10, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'gbtree'}",0.00022180490925356733
9,XGB,N2a,0.05481804329440811,0.054322910954710965,"SpearmanrResult(correlation=0.8923316976878404, pvalue=6.5884126327016e-51)","PearsonRResult(statistic=0.916754668480559, pvalue=1.862014332013913e-58)","{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 1.0, 'max_depth': 9, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'gbtree'}",0.0004951323396971477
10,XGB,HepG2,0.060025769400286144,0.06158306170456561,"SpearmanrResult(correlation=0.796140081950826, pvalue=8.770653169437444e-33)","PearsonRResult(statistic=0.8951047387098167, pvalue=1.1429769083926674e-51)","{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.001, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 7, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'dart'}",0.0015572923042794645
11,XGB,HEK293,0.07433431555320308,0.07431805039742564,"SpearmanrResult(correlation=0.8611351002650824, pvalue=8.396295800611084e-65)","PearsonRResult(statistic=0.8499263256844352, pvalue=1.8037762498470917e-61)","{'subsample': 0.9, 'reg_lambda': 0.001, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 9, 'max_delta_step': 6, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'gbtree'}",1.6265155777434037e-05
12,LGBM,PC3,0.059077200976568614,0.06021681027325813,"SpearmanrResult(correlation=0.7588449545266296, pvalue=9.992230623757841e-42)","PearsonRResult(statistic=0.8992054047707766, pvalue=9.054713821280413e-79)","{'subsample': 0.6, 'reg_lambda': 0.01, 'reg_alpha': 0.005, 'num_leaves': 32, 'n_estimators': 500, 'min_child_weight': 0.1, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'dart'}",0.001139609296689513
13,LGBM,B16,0.0473461543651903,0.0487290212834134,"SpearmanrResult(correlation=0.9182201855360393, pvalue=4.967930380236873e-88)","PearsonRResult(statistic=0.9395218892223203, pvalue=1.5045014313926907e-101)","{'subsample': 0.8, 'reg_lambda': 0.005, 'reg_alpha': 0.005, 'num_leaves': 128, 'n_estimators': 300, 'min_child_weight': 10.0, 'min_child_samples': 20, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.0013828669182230982
14,LGBM,ARPE19,0.09095514051935247,0.08896697224256526,"SpearmanrResult(correlation=0.8651850030093411, pvalue=2.0872935749317183e-44)","PearsonRResult(statistic=0.8723591337023132, pvalue=5.6013865045520186e-46)","{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.015, 'num_leaves': 32, 'n_estimators': 150, 'min_child_weight': 0.001, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.0019881682767872028
15,LGBM,N2a,0.055905750961120625,0.06483907916987541,"SpearmanrResult(correlation=0.8703179362091789, pvalue=1.6027391296267883e-45)","PearsonRResult(statistic=0.8912314616106636, pvalue=1.3027751844998758e-50)","{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.005, 'num_leaves': 64, 'n_estimators': 500, 'min_child_weight': 10.0, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'dart'}",0.008933328208754789
16,LGBM,HepG2,0.06285261905016074,0.06117491545441848,"SpearmanrResult(correlation=0.7887513712507522, pvalue=8.273577052251336e-32)","PearsonRResult(statistic=0.9281603539738914, pvalue=8.015770678932342e-63)","{'subsample': 0.6, 'reg_lambda': 0.015, 'reg_alpha': 0.015, 'num_leaves': 128, 'n_estimators': 300, 'min_child_weight': 10.0, 'min_child_samples': 2, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.0016777035957422567
