Iter,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Formulation_Index,Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.10580553909520143,0.10122393563215504,"SignificanceResult(statistic=0.8262898543481155, pvalue=3.0200942395616327e-47)","PearsonRResult(statistic=0.8025201698333382, pvalue=1.104634897170208e-42)","{'oob_score': True, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 14, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}","[ 670  846  969  947  620  353  649   35  448  703  623 1004  667  361
   16  674  134  926  720  380  867   84  876  901  727  572  441  173
  628  259  254  527  912   63  466  924 1018  127  673  399  171  518
  420  636   99 1002  515  754  893  658  205 1055  619  634 1023  970
  484  122   34  416 1012  289  633  107  574  478  629  839  348  959
  689  512  251  739  167  903  195  798  482  709  755   44  334  915
  836  877  807  743 1046  367  262  684 1031  491  535  260  105  159
  840  648  904  229  191  197  737  271  264  547 1024  495  390 1049
  542  451  546  881  831  907  414   28  958  471  215  832  855  761
  543  748  121  160   14    6  402  863   56  318  210  653 1041  848
  591  243  909  948  577  960  696  817   36  458   59  120  718   43
  514  498   12 1026  479  391  157  373  677  568  272  978  896  147
  517  950  463 1054   74  740   11 1003  698  278  666  712  398  995
   93  170]","[[0.2 ]
 [0.51]
 [0.81]
 [0.54]
 [0.67]
 [0.61]
 [0.18]
 [0.79]
 [0.6 ]
 [0.58]
 [0.51]
 [0.9 ]
 [0.51]
 [0.05]
 [0.73]
 [0.44]
 [0.22]
 [0.33]
 [0.61]
 [0.49]
 [0.44]
 [0.98]
 [0.51]
 [0.14]
 [0.51]
 [0.57]
 [0.76]
 [0.35]
 [0.51]
 [0.78]
 [0.64]
 [0.6 ]
 [0.81]
 [0.59]
 [0.72]
 [0.66]
 [0.63]
 [0.24]
 [0.37]
 [0.51]
 [0.05]
 [0.23]
 [0.81]
 [0.65]
 [0.59]
 [0.81]
 [0.51]
 [0.15]
 [0.42]
 [0.17]
 [0.6 ]
 [0.52]
 [0.65]
 [0.45]
 [0.19]
 [0.66]
 [0.34]
 [0.27]
 [0.72]
 [0.81]
 [0.77]
 [0.65]
 [0.75]
 [0.79]
 [0.23]
 [0.7 ]
 [0.52]
 [0.45]
 [0.79]
 [0.7 ]
 [0.55]
 [0.5 ]
 [0.58]
 [0.47]
 [0.72]
 [0.64]
 [0.58]
 [0.66]
 [0.19]
 [0.  ]
 [0.38]
 [0.83]
 [0.54]
 [0.63]
 [0.55]
 [0.31]
 [0.64]
 [0.26]
 [0.24]
 [0.51]
 [0.51]
 [0.63]
 [0.5 ]
 [0.48]
 [0.55]
 [0.71]
 [0.76]
 [0.37]
 [0.34]
 [0.68]
 [0.33]
 [0.78]
 [0.38]
 [0.58]
 [0.54]
 [0.75]
 [0.8 ]
 [0.5 ]
 [0.33]
 [0.2 ]
 [0.22]
 [0.5 ]
 [0.46]
 [0.72]
 [0.18]
 [0.51]
 [0.4 ]
 [0.71]
 [0.73]
 [0.71]
 [0.62]
 [0.67]
 [0.54]
 [0.68]
 [0.45]
 [0.46]
 [0.37]
 [0.51]
 [0.22]
 [0.29]
 [0.53]
 [0.71]
 [0.56]
 [0.44]
 [0.21]
 [0.56]
 [0.79]
 [0.37]
 [0.61]
 [0.54]
 [0.39]
 [0.64]
 [0.96]
 [0.61]
 [0.48]
 [0.6 ]
 [0.67]
 [0.66]
 [0.15]
 [0.43]
 [0.23]
 [0.1 ]
 [0.23]
 [0.66]
 [0.35]
 [0.36]
 [0.1 ]
 [0.48]
 [0.81]
 [0.42]
 [0.2 ]
 [0.33]
 [0.54]
 [0.24]
 [0.76]
 [0.62]
 [0.48]
 [0.29]
 [0.12]
 [0.58]
 [0.75]
 [0.37]
 [0.5 ]
 [0.52]
 [0.75]
 [1.  ]
 [0.43]
 [0.76]
 [0.48]
 [0.  ]
 [0.37]
 [0.68]
 [0.9 ]
 [0.3 ]]","[0.36 0.53 0.66 0.69 0.57 0.61 0.33 0.67 0.57 0.5  0.5  0.72 0.5  0.34
 0.62 0.33 0.25 0.52 0.47 0.5  0.29 0.68 0.52 0.46 0.56 0.56 0.7  0.4
 0.5  0.63 0.53 0.63 0.58 0.56 0.61 0.54 0.72 0.43 0.34 0.47 0.22 0.32
 0.57 0.54 0.58 0.73 0.6  0.33 0.45 0.31 0.55 0.58 0.6  0.5  0.24 0.65
 0.48 0.35 0.51 0.69 0.73 0.62 0.64 0.62 0.46 0.74 0.56 0.41 0.64 0.69
 0.5  0.49 0.55 0.49 0.54 0.52 0.63 0.62 0.34 0.26 0.36 0.67 0.59 0.51
 0.6  0.35 0.57 0.39 0.26 0.39 0.51 0.58 0.49 0.53 0.47 0.64 0.61 0.22
 0.43 0.65 0.49 0.62 0.53 0.59 0.52 0.62 0.5  0.51 0.46 0.28 0.48 0.55
 0.5  0.53 0.48 0.52 0.51 0.58 0.59 0.58 0.51 0.59 0.52 0.52 0.4  0.58
 0.5  0.51 0.35 0.46 0.55 0.69 0.56 0.46 0.52 0.59 0.62 0.56 0.54 0.54
 0.39 0.63 0.72 0.64 0.39 0.62 0.62 0.56 0.6  0.52 0.36 0.45 0.34 0.63
 0.43 0.51 0.59 0.48 0.75 0.45 0.24 0.37 0.51 0.47 0.68 0.61 0.46 0.22
 0.34 0.61 0.64 0.54 0.58 0.56 0.64 0.76 0.35 0.63 0.5  0.34 0.42 0.67
 0.74 0.23]",0.004581603463046396
4,0.10286251466519891,0.11087501745220998,"SignificanceResult(statistic=0.7207893610921201, pvalue=1.2668498317665515e-30)","PearsonRResult(statistic=0.7466207494694803, pvalue=7.207605014375098e-34)","{'oob_score': True, 'n_estimators': 100, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 18, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}","[ 298  918  676  377  702  401  142  729  746  421  233  225 1058  780
  113  437  474 1066  135  485  438  185  844  805  752  114  339  640
  722   94 1065  764  137  523  735   67   90  266  473  540  130  811
  682  564  383  835  956  731   85  854   61  669  760  662   60  872
  261  533  593  599  429  581  589  601  177  905  245  253  789  449
 1010  153  889  691  900  787 1021  935  494  975  341  505  320  685
  916  590  883  129  821   15  951   86  930  418  470 1035  781  238
  460  452  894 1017  706  799  553  106  812  575  643  556  651  307
  411  963  182  477  415  315  586  532  929 1073   72 1027   81  284
  150  263  627  946  255  212  537  481  791 1038  704  884   41 1034
   71  372  717  480 1061  397  860 1063 1059  140  733  609  285  175
  208  567  753  188  387  164  957  146   18  434  725  305   46  615
  310    2  869  239  693  138  920  551  349  624  697  715  293  571
  849]","[[0.85]
 [0.72]
 [0.53]
 [0.39]
 [0.53]
 [0.5 ]
 [0.41]
 [0.59]
 [0.53]
 [0.4 ]
 [0.86]
 [0.85]
 [0.3 ]
 [0.19]
 [0.09]
 [0.5 ]
 [0.71]
 [0.7 ]
 [0.21]
 [0.33]
 [0.59]
 [0.49]
 [0.51]
 [0.55]
 [0.52]
 [0.1 ]
 [0.18]
 [0.5 ]
 [0.45]
 [0.83]
 [0.75]
 [0.56]
 [0.49]
 [0.59]
 [0.6 ]
 [0.74]
 [0.8 ]
 [0.62]
 [0.81]
 [0.81]
 [0.29]
 [0.77]
 [0.23]
 [0.54]
 [0.64]
 [0.74]
 [0.76]
 [0.2 ]
 [0.62]
 [0.42]
 [0.68]
 [0.63]
 [0.63]
 [0.42]
 [0.24]
 [0.52]
 [0.83]
 [0.67]
 [0.46]
 [0.41]
 [0.73]
 [0.62]
 [0.11]
 [0.53]
 [0.29]
 [0.56]
 [0.55]
 [0.63]
 [0.76]
 [0.59]
 [0.71]
 [0.62]
 [0.1 ]
 [0.49]
 [0.41]
 [0.69]
 [0.27]
 [0.51]
 [0.22]
 [0.53]
 [0.61]
 [0.05]
 [0.67]
 [0.38]
 [0.32]
 [0.38]
 [0.55]
 [0.48]
 [0.7 ]
 [0.6 ]
 [0.62]
 [0.57]
 [0.63]
 [0.86]
 [0.66]
 [0.19]
 [0.54]
 [0.87]
 [0.56]
 [0.79]
 [0.38]
 [0.67]
 [0.46]
 [0.81]
 [0.28]
 [0.36]
 [0.82]
 [0.55]
 [0.72]
 [0.22]
 [0.34]
 [0.65]
 [0.67]
 [0.47]
 [0.52]
 [0.75]
 [0.82]
 [0.25]
 [0.2 ]
 [0.63]
 [0.61]
 [0.64]
 [0.96]
 [0.58]
 [0.88]
 [0.84]
 [0.44]
 [0.7 ]
 [0.44]
 [0.4 ]
 [0.62]
 [0.43]
 [0.7 ]
 [0.14]
 [0.41]
 [0.44]
 [0.73]
 [0.53]
 [0.68]
 [0.29]
 [0.8 ]
 [0.3 ]
 [0.43]
 [0.83]
 [0.58]
 [0.22]
 [0.57]
 [0.75]
 [0.18]
 [0.64]
 [0.44]
 [0.73]
 [0.79]
 [0.43]
 [0.08]
 [0.45]
 [0.57]
 [0.43]
 [0.18]
 [0.65]
 [0.57]
 [0.26]
 [0.73]
 [0.35]
 [0.56]
 [0.47]
 [0.91]
 [0.45]
 [0.45]
 [0.63]
 [0.55]
 [0.9 ]
 [0.7 ]
 [0.37]
 [0.88]
 [0.38]
 [0.44]
 [0.6 ]
 [0.23]
 [0.11]
 [0.9 ]
 [0.53]
 [0.6 ]]","[0.67 0.69 0.39 0.45 0.52 0.59 0.5  0.57 0.51 0.37 0.7  0.78 0.28 0.36
 0.5  0.59 0.55 0.49 0.29 0.43 0.59 0.56 0.45 0.58 0.53 0.58 0.36 0.52
 0.56 0.49 0.62 0.51 0.49 0.46 0.47 0.71 0.69 0.64 0.55 0.66 0.52 0.63
 0.38 0.62 0.61 0.57 0.72 0.34 0.56 0.4  0.52 0.62 0.45 0.37 0.41 0.51
 0.63 0.49 0.36 0.42 0.69 0.52 0.4  0.42 0.44 0.58 0.61 0.57 0.69 0.62
 0.61 0.55 0.26 0.47 0.5  0.61 0.27 0.68 0.26 0.56 0.57 0.26 0.66 0.36
 0.51 0.38 0.45 0.53 0.6  0.54 0.6  0.54 0.62 0.58 0.57 0.28 0.51 0.76
 0.62 0.69 0.46 0.73 0.44 0.65 0.4  0.59 0.69 0.45 0.5  0.44 0.47 0.63
 0.52 0.56 0.62 0.77 0.61 0.39 0.41 0.46 0.49 0.5  0.67 0.45 0.66 0.76
 0.51 0.53 0.5  0.59 0.65 0.72 0.58 0.23 0.35 0.53 0.53 0.53 0.7  0.32
 0.56 0.57 0.55 0.68 0.56 0.4  0.52 0.44 0.27 0.52 0.48 0.66 0.77 0.28
 0.5  0.51 0.6  0.68 0.43 0.55 0.7  0.22 0.61 0.45 0.5  0.58 0.61 0.51
 0.58 0.49 0.52 0.77 0.63 0.52 0.75 0.57 0.4  0.58 0.35 0.27 0.77 0.5
 0.56]",0.008012502787011072
5,0.10526145567615061,0.09299671480515267,"SignificanceResult(statistic=0.7462044036488712, pvalue=8.18819610177851e-34)","PearsonRResult(statistic=0.7212789043952592, pvalue=1.1082662336923914e-30)","{'oob_score': True, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 14, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}","[ 692  763  544  454 1072  630  726  688  522 1011  576  914  600  911
  282 1015  707  400  917  216  803  942  819  304  187  880  793 1032
  758  145  741  314  459  302  166  841  292  492  802  337  169  834
  427 1030  652  136  426  242  588  277 1019   58   83  976  296  501
   52 1075  101  489  316  882  762  467  104  461  595  365  500  594
  690  417    5  641  425 1013 1028  100  661   17  555  769  124  213
  280  719  269  355  716  772  162  317  598  151  115  998  218  678
  949  181  596  953   70  631  810 1052  967  932  605  309  453  562
  853  410  439  635 1042   88  524  614  952  359 1060  419 1022  385
  192  699  257  371  102 1000   31  199  306  431  842  405    1  183
  874   13  288  826  487  502  603   27  476  767 1079  462  822 1043
  455  324  865  892  388  809 1037  110  325  227  939  520  423  565
  687  982  374  346  679  654  845  103  335  794   20  108  613  184
  299]","[[0.64]
 [0.48]
 [0.34]
 [0.79]
 [0.65]
 [0.63]
 [0.56]
 [0.53]
 [0.62]
 [0.65]
 [0.65]
 [0.51]
 [0.48]
 [0.76]
 [0.79]
 [0.75]
 [0.55]
 [0.33]
 [0.61]
 [0.88]
 [0.46]
 [0.72]
 [0.58]
 [0.74]
 [0.21]
 [0.47]
 [0.57]
 [0.54]
 [0.54]
 [0.24]
 [0.62]
 [0.43]
 [0.55]
 [0.42]
 [0.58]
 [0.38]
 [0.89]
 [0.72]
 [0.29]
 [0.55]
 [0.08]
 [0.47]
 [0.57]
 [0.5 ]
 [0.19]
 [0.26]
 [0.55]
 [0.61]
 [0.79]
 [0.69]
 [0.6 ]
 [0.22]
 [0.41]
 [0.61]
 [0.86]
 [0.63]
 [0.4 ]
 [0.56]
 [0.62]
 [0.58]
 [0.7 ]
 [0.47]
 [0.44]
 [0.76]
 [0.65]
 [0.56]
 [0.12]
 [0.37]
 [0.46]
 [0.4 ]
 [0.47]
 [0.77]
 [0.85]
 [0.69]
 [0.5 ]
 [0.71]
 [0.44]
 [0.62]
 [0.28]
 [0.72]
 [0.42]
 [0.69]
 [0.27]
 [0.84]
 [0.79]
 [0.38]
 [0.59]
 [0.65]
 [0.29]
 [0.44]
 [0.41]
 [0.6 ]
 [0.  ]
 [0.31]
 [0.66]
 [0.62]
 [0.72]
 [0.47]
 [0.69]
 [0.43]
 [0.35]
 [0.73]
 [0.61]
 [0.62]
 [0.63]
 [0.53]
 [0.69]
 [0.58]
 [0.58]
 [0.63]
 [0.74]
 [0.06]
 [0.41]
 [0.68]
 [0.59]
 [0.58]
 [0.39]
 [0.67]
 [0.66]
 [0.55]
 [0.78]
 [0.77]
 [0.45]
 [0.84]
 [0.35]
 [0.28]
 [0.4 ]
 [0.39]
 [0.6 ]
 [0.49]
 [0.69]
 [0.85]
 [0.65]
 [0.59]
 [0.37]
 [0.67]
 [0.44]
 [0.81]
 [0.71]
 [0.72]
 [0.37]
 [0.34]
 [0.8 ]
 [0.48]
 [0.37]
 [0.38]
 [0.52]
 [0.56]
 [0.79]
 [0.51]
 [0.69]
 [0.63]
 [0.59]
 [0.53]
 [0.9 ]
 [0.64]
 [0.33]
 [0.35]
 [0.3 ]
 [0.64]
 [0.48]
 [0.3 ]
 [0.5 ]
 [0.61]
 [0.39]
 [0.54]
 [0.42]
 [0.43]
 [0.38]
 [0.66]
 [0.38]
 [0.5 ]
 [0.52]
 [0.52]
 [0.57]
 [0.84]
 [0.43]
 [0.56]
 [0.71]
 [0.81]
 [0.51]
 [0.08]
 [0.82]]","[0.58 0.6  0.39 0.71 0.53 0.62 0.52 0.43 0.56 0.61 0.61 0.46 0.56 0.65
 0.75 0.79 0.61 0.53 0.54 0.62 0.41 0.68 0.6  0.54 0.5  0.51 0.57 0.55
 0.56 0.23 0.54 0.32 0.49 0.34 0.54 0.31 0.56 0.56 0.32 0.23 0.17 0.54
 0.66 0.41 0.4  0.4  0.59 0.61 0.57 0.66 0.66 0.36 0.61 0.66 0.8  0.61
 0.45 0.56 0.74 0.6  0.6  0.56 0.5  0.73 0.75 0.63 0.5  0.43 0.49 0.5
 0.55 0.68 0.63 0.59 0.62 0.75 0.57 0.64 0.3  0.65 0.44 0.52 0.42 0.68
 0.57 0.48 0.6  0.62 0.52 0.53 0.52 0.53 0.31 0.44 0.35 0.53 0.67 0.52
 0.49 0.57 0.64 0.66 0.55 0.64 0.63 0.55 0.69 0.63 0.62 0.63 0.73 0.32
 0.32 0.52 0.7  0.63 0.52 0.68 0.54 0.45 0.59 0.73 0.51 0.69 0.28 0.3
 0.52 0.34 0.67 0.49 0.65 0.76 0.66 0.56 0.55 0.7  0.32 0.63 0.37 0.59
 0.43 0.4  0.66 0.35 0.44 0.42 0.46 0.44 0.68 0.4  0.61 0.6  0.63 0.54
 0.71 0.68 0.3  0.45 0.39 0.63 0.52 0.55 0.33 0.8  0.55 0.49 0.41 0.39
 0.32 0.67 0.37 0.53 0.52 0.54 0.5  0.7  0.61 0.54 0.7  0.78 0.44 0.36
 0.54]",0.012264740870997937
3,0.10005019808961083,0.11437511389525158,"SignificanceResult(statistic=0.7135820353578229, pvalue=6.137431577051174e-30)","PearsonRResult(statistic=0.6721619993447263, pvalue=1.5287645049226013e-25)","{'oob_score': True, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 18, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}","[  23  724   87  941  539   51  198  899  516  804  287  782   68   95
  990  714  734   26   62  328  179  829  503  966   97  156  866   76
  344  541  744  221  898  172  757  464  745  422  475  730  313  513
  247   37  493  871 1074  333  875  945  468  999  955  851  224  910
  321   10  207  931  231   25  228  276  788  638  472  332  987  681
  981  357  974  525   82   48  940  770  193  345  906  342  656  132
 1008  490  240  711  723  775  732   39  608  891  330  800 1071  584
  168  363  529  713  738   79  536  381   65  369  283 1009  617  244
  352  820   32  887  908  180  749  606  816  189  444  265  792 1001
  756  217 1057  622  351  322  488  554  406  705  327  226  126 1069
  991  204  366  281  294  890  827   64   50  141 1062  570  196  279
  650 1048  818 1020  864  538  370    7  750  396  440  209  868  178
  612  300  433  234   21  435   33  223  384  237  579  329  813  833
  878  657]","[[0.75]
 [0.5 ]
 [0.65]
 [0.53]
 [0.68]
 [0.17]
 [0.78]
 [0.34]
 [0.68]
 [0.01]
 [0.82]
 [0.52]
 [0.76]
 [0.9 ]
 [0.69]
 [0.43]
 [0.52]
 [0.55]
 [0.49]
 [0.66]
 [0.43]
 [0.55]
 [0.5 ]
 [0.85]
 [0.38]
 [0.59]
 [0.43]
 [0.67]
 [0.66]
 [0.35]
 [0.31]
 [0.7 ]
 [0.37]
 [0.19]
 [0.61]
 [0.67]
 [0.45]
 [0.34]
 [0.7 ]
 [0.28]
 [0.52]
 [0.6 ]
 [0.78]
 [0.5 ]
 [0.06]
 [0.49]
 [0.68]
 [0.63]
 [0.58]
 [0.75]
 [0.77]
 [0.65]
 [0.78]
 [0.24]
 [0.85]
 [0.9 ]
 [0.67]
 [0.25]
 [0.72]
 [0.64]
 [0.75]
 [0.28]
 [0.86]
 [0.16]
 [0.76]
 [0.51]
 [0.84]
 [0.67]
 [0.62]
 [0.63]
 [0.68]
 [0.66]
 [0.32]
 [0.7 ]
 [0.63]
 [0.21]
 [0.47]
 [0.61]
 [0.61]
 [0.67]
 [0.83]
 [0.54]
 [0.44]
 [0.2 ]
 [0.75]
 [0.27]
 [0.82]
 [0.09]
 [0.63]
 [0.5 ]
 [0.25]
 [0.73]
 [0.67]
 [0.14]
 [0.67]
 [0.7 ]
 [0.28]
 [0.72]
 [0.73]
 [0.28]
 [0.49]
 [0.28]
 [0.36]
 [0.79]
 [0.64]
 [0.29]
 [0.73]
 [0.41]
 [0.87]
 [0.74]
 [0.47]
 [0.09]
 [0.57]
 [0.65]
 [0.69]
 [0.37]
 [0.67]
 [0.22]
 [0.37]
 [0.63]
 [0.45]
 [0.81]
 [0.71]
 [0.58]
 [0.43]
 [0.78]
 [0.24]
 [0.64]
 [0.14]
 [0.51]
 [0.06]
 [0.55]
 [0.44]
 [0.37]
 [0.76]
 [0.7 ]
 [0.2 ]
 [0.39]
 [0.54]
 [0.52]
 [0.89]
 [0.59]
 [0.31]
 [0.75]
 [0.86]
 [0.18]
 [0.47]
 [0.66]
 [0.23]
 [0.67]
 [0.69]
 [0.5 ]
 [0.06]
 [0.76]
 [0.3 ]
 [0.4 ]
 [0.59]
 [0.61]
 [0.44]
 [0.53]
 [0.58]
 [0.74]
 [0.52]
 [0.67]
 [0.66]
 [0.6 ]
 [0.54]
 [0.17]
 [0.71]
 [0.81]
 [0.3 ]
 [0.83]
 [0.75]
 [0.39]
 [0.7 ]
 [0.78]
 [0.59]
 [0.93]
 [0.54]
 [0.62]
 [0.81]
 [0.51]
 [0.37]
 [0.45]]","[0.7  0.45 0.6  0.6  0.68 0.54 0.61 0.43 0.64 0.52 0.57 0.57 0.71 0.75
 0.72 0.53 0.53 0.59 0.55 0.61 0.48 0.58 0.58 0.68 0.53 0.58 0.38 0.64
 0.66 0.4  0.48 0.68 0.4  0.42 0.5  0.76 0.47 0.52 0.62 0.29 0.4  0.62
 0.67 0.58 0.18 0.48 0.59 0.62 0.5  0.72 0.76 0.57 0.72 0.51 0.7  0.39
 0.61 0.55 0.6  0.59 0.69 0.61 0.75 0.72 0.72 0.47 0.58 0.61 0.54 0.64
 0.74 0.64 0.53 0.62 0.53 0.68 0.52 0.54 0.52 0.65 0.57 0.61 0.59 0.52
 0.71 0.41 0.8  0.31 0.53 0.4  0.4  0.58 0.62 0.28 0.56 0.74 0.35 0.56
 0.63 0.4  0.23 0.54 0.57 0.69 0.52 0.63 0.66 0.66 0.78 0.61 0.56 0.57
 0.62 0.6  0.65 0.56 0.53 0.53 0.53 0.61 0.53 0.64 0.72 0.59 0.46 0.77
 0.46 0.57 0.25 0.49 0.35 0.5  0.48 0.41 0.62 0.65 0.32 0.39 0.44 0.28
 0.77 0.68 0.41 0.65 0.66 0.27 0.48 0.64 0.56 0.57 0.55 0.45 0.39 0.69
 0.41 0.42 0.56 0.66 0.57 0.57 0.32 0.63 0.54 0.46 0.67 0.58 0.44 0.44
 0.65 0.79 0.41 0.71 0.72 0.49 0.68 0.48 0.43 0.79 0.48 0.56 0.72 0.53
 0.33 0.63]",0.014324915805640756
2,0.10795409275480257,0.08524072007976673,"SignificanceResult(statistic=0.7855514036793326, pvalue=8.637281375754375e-40)","PearsonRResult(statistic=0.7432373380276405, pvalue=1.3462680852212052e-33)","{'oob_score': True, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 14, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}","[ 873  211  886  392 1036  219  386  368 1067 1033  621  879  469  447
  331  521  246  993  154  919  573  996  235  943  354  774  790 1076
 1056  823  430 1050  862  232  611   53  270  504  379    4   89  508
  358  856  796  585  534  202  552  933  672  972  961  964  610  531
  801   57  408  128  509  214   78  144  700  583  675   92  954   40
  456  973  927    8   42  446  343  578  784  686   69  985  155   73
  248  607  312  859  913  736  125  364  499  347  407  786  241  528
  530  545 1039 1040  695 1029  768   98  443  618  797  506 1064 1078
  639   47  997 1044  131  971 1077  637  806   19  683  626  165  549
  258  311  158  888  161  291  267  965  340  133  350  465 1007  597
  728  747  923  220   75  828  938  428  708  979  268  660  861  701
  668 1068  785  645  659  323  445  580  814  511  795  174  928  766
  783  143  338 1047  710 1025  968  123  190  139  837  336  424  604
  582  116]","[[0.61]
 [0.44]
 [0.4 ]
 [0.41]
 [0.46]
 [0.71]
 [0.44]
 [0.32]
 [0.65]
 [0.27]
 [0.73]
 [0.4 ]
 [0.54]
 [0.43]
 [0.67]
 [0.55]
 [0.67]
 [0.84]
 [0.43]
 [0.67]
 [0.61]
 [0.62]
 [0.95]
 [0.57]
 [0.75]
 [0.47]
 [0.14]
 [0.61]
 [0.55]
 [0.68]
 [0.7 ]
 [0.62]
 [0.3 ]
 [0.23]
 [0.46]
 [0.28]
 [0.77]
 [0.65]
 [0.37]
 [0.67]
 [0.75]
 [0.32]
 [0.61]
 [0.48]
 [0.63]
 [0.7 ]
 [0.7 ]
 [0.26]
 [0.63]
 [0.81]
 [0.59]
 [0.65]
 [0.44]
 [0.8 ]
 [0.36]
 [0.54]
 [0.77]
 [0.21]
 [0.8 ]
 [0.55]
 [0.36]
 [0.2 ]
 [0.76]
 [0.65]
 [0.62]
 [0.5 ]
 [0.4 ]
 [0.85]
 [0.67]
 [0.74]
 [0.74]
 [0.61]
 [0.54]
 [0.76]
 [0.63]
 [0.46]
 [0.74]
 [0.53]
 [0.7 ]
 [0.44]
 [0.86]
 [0.51]
 [0.55]
 [0.64]
 [0.7 ]
 [0.61]
 [0.78]
 [0.48]
 [0.32]
 [0.4 ]
 [0.51]
 [0.19]
 [0.48]
 [0.63]
 [0.76]
 [0.6 ]
 [0.61]
 [0.77]
 [0.35]
 [0.39]
 [0.36]
 [0.51]
 [0.5 ]
 [0.63]
 [0.36]
 [0.61]
 [0.76]
 [0.61]
 [0.68]
 [0.22]
 [0.72]
 [0.55]
 [0.49]
 [0.93]
 [0.57]
 [0.52]
 [0.45]
 [0.65]
 [0.65]
 [0.43]
 [0.59]
 [0.66]
 [0.44]
 [0.5 ]
 [0.56]
 [0.6 ]
 [0.62]
 [0.61]
 [0.21]
 [0.45]
 [0.42]
 [0.85]
 [0.67]
 [0.71]
 [0.71]
 [0.19]
 [0.45]
 [0.74]
 [0.74]
 [0.42]
 [0.69]
 [0.54]
 [0.55]
 [0.25]
 [0.64]
 [0.38]
 [0.56]
 [0.75]
 [0.66]
 [0.62]
 [0.62]
 [0.59]
 [0.64]
 [0.58]
 [0.61]
 [0.66]
 [0.62]
 [0.73]
 [0.5 ]
 [0.61]
 [0.35]
 [0.38]
 [0.34]
 [0.39]
 [0.6 ]
 [0.43]
 [0.43]
 [0.27]
 [0.62]
 [0.54]
 [0.46]
 [0.24]
 [0.04]
 [0.45]
 [0.66]
 [0.19]
 [0.16]
 [0.29]
 [0.56]
 [0.67]
 [0.52]
 [0.52]
 [0.54]
 [0.23]]","[0.55 0.58 0.42 0.52 0.47 0.67 0.39 0.49 0.59 0.23 0.63 0.34 0.54 0.45
 0.58 0.55 0.62 0.74 0.51 0.63 0.56 0.7  0.83 0.66 0.58 0.49 0.42 0.52
 0.61 0.69 0.7  0.53 0.4  0.78 0.57 0.45 0.64 0.59 0.49 0.64 0.65 0.51
 0.59 0.46 0.58 0.59 0.5  0.49 0.54 0.71 0.6  0.73 0.47 0.58 0.45 0.3
 0.69 0.47 0.53 0.44 0.53 0.48 0.68 0.46 0.37 0.38 0.32 0.73 0.68 0.61
 0.74 0.5  0.51 0.69 0.64 0.42 0.62 0.47 0.59 0.34 0.71 0.57 0.54 0.59
 0.64 0.58 0.59 0.5  0.45 0.51 0.49 0.37 0.45 0.57 0.67 0.61 0.55 0.69
 0.26 0.39 0.45 0.54 0.48 0.54 0.37 0.58 0.72 0.58 0.62 0.19 0.58 0.6
 0.47 0.66 0.64 0.56 0.48 0.71 0.57 0.45 0.57 0.7  0.51 0.47 0.53 0.54
 0.65 0.54 0.23 0.51 0.46 0.73 0.63 0.61 0.62 0.26 0.28 0.74 0.72 0.49
 0.51 0.55 0.64 0.57 0.6  0.43 0.54 0.67 0.63 0.71 0.57 0.52 0.52 0.53
 0.53 0.55 0.58 0.65 0.48 0.54 0.41 0.47 0.44 0.46 0.6  0.4  0.44 0.35
 0.57 0.53 0.36 0.21 0.23 0.49 0.71 0.29 0.48 0.47 0.54 0.64 0.53 0.46
 0.5  0.63]",0.022713372675035842
