LGBM,XGB,RF,DT,MLP,MLR,PLS,lasso,kNN
0.021013203824777338,0.09670313344798465,0.06263518403639332,0.01845533498759311,0.041099946968014195,0.06755814685959732,0.06757445548276225,0.07271770457884763,0.1031676926673312
0.018881551707611556,0.003701746230944991,0.004959192772952844,2.954035212099756e-05,0.011930392008227236,0.06459024638046187,0.06544567643913923,0.07645580073770394,0.00023857521121490194
0.0594660811054194,0.028579206550239628,0.013901985111662435,0.2393300248138958,0.011040415047095423,0.24822361939181456,0.24715233251696253,0.20316317004029918,0.10331324250274154
0.07124446688276241,0.034874095574538994,0.025464950033058383,0.04712572373862696,0.01600974876348263,0.02956276375417488,0.02936818149176776,0.03561096651295634,0.01656166475974577
0.07304902049582082,0.07513861226286153,0.13789841654761062,0.07759511993382959,0.236916874562299,0.10292298066612529,0.0994502484329772,0.11620191361625212,0.3943078878601245
0.03452090220953541,0.03001819416646423,0.028713843224427382,0.03554073614557479,0.07060764596332036,0.003436877232461222,0.0012135127282533742,0.047163640565881126,0.12622647391156527
0.002014651322965821,0.00740413973107934,0.03279859833699581,0.10698924731182795,0.05044428226131359,0.04110311860248267,0.04129305845457798,0.05605368224236551,0.052496832822793105
0.03771454612186717,0.0377568597385369,0.02193069125654873,0.07777088502894952,0.037902774520083976,0.00909536160409477,0.0033348383014905336,0.006254427127823564,0.08304443241294457
0.051056149220362224,0.03533887145832815,0.020649602674804424,0.0513234077750207,0.10069551617696593,0.05019024625772561,0.05306711352125926,0.0394818275859784,0.02849828940395638
0.0386880547039672,0.0301897544413805,0.05471250775434242,0.010597601323407771,0.007432082821625524,0.16943826271398282,0.1563476431708159,0.16259444508831905,0.08812121167507814
0.056955904795665896,0.02709102071051364,0.053932096931592566,0.07338192721257238,0.017078564933754314,0.04429739229685967,0.048804494422655775,0.05330721604855618,0.029930451243794925
0.0011167805510074106,0.01102684810757637,0.03591578784119104,0.05298800661703887,0.053646577401955275,0.020516111230934733,0.031453946950186024,0.029968025600430326,0.0
0.023271100912489347,0.02949308604001999,0.038535592431761787,0.02887200165425971,0.05948348611200274,0.15001670144315304,0.1411956265653617,0.14739876853310435,0.8269870743579448
0.050339811384002814,0.06623616644525651,0.026665632754343166,0.024607113316790746,0.04060302990252854,0.09156241994101008,0.09383630550204511,0.048860978649279824,0.1336434112066626
0.0026527926219688048,0.003259799711450906,0.031469189412737734,0.02429693961952025,0.005475951629765857,0.3101274974064735,0.32143687073618815,0.2750530476852815,0.2168879531133471
