group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.9837,0.9716,-3.7174,1.75,False
DT,MLP,0.948,0.9774,-1.7857,3.6817,False
DT,MLR,3.9694,0.0002,1.2357,6.7031,True
DT,PLS,3.997,0.0002,1.2633,6.7307,True
DT,RF,-0.4858,0.9998,-3.2195,2.2478,False
DT,XGB,-0.4963,0.9998,-3.23,2.2374,False
DT,kNN,4.2756,0.0,1.5419,7.0093,True
DT,lasso,4.0254,0.0002,1.2917,6.7591,True
LGBM,MLP,1.9317,0.4094,-0.802,4.6653,False
LGBM,MLR,4.9531,0.0,2.2194,7.6868,True
LGBM,PLS,4.9807,0.0,2.247,7.7144,True
LGBM,RF,0.4978,0.9997,-2.2359,3.2315,False
LGBM,XGB,0.4874,0.9998,-2.2463,3.221,False
LGBM,kNN,5.2593,0.0,2.5256,7.993,True
LGBM,lasso,5.009,0.0,2.2754,7.7427,True
MLP,MLR,3.0214,0.0177,0.2877,5.7551,True
MLP,PLS,3.049,0.0159,0.3154,5.7827,True
MLP,RF,-1.4338,0.7886,-4.1675,1.2999,False
MLP,XGB,-1.4443,0.7818,-4.178,1.2894,False
MLP,kNN,3.3276,0.0051,0.594,6.0613,True
MLP,lasso,3.0774,0.0143,0.3437,5.8111,True
MLR,PLS,0.0276,1.0,-2.7061,2.7613,False
MLR,RF,-4.4552,0.0,-7.1889,-1.7216,True
MLR,XGB,-4.4657,0.0,-7.1994,-1.732,True
MLR,kNN,0.3062,1.0,-2.4275,3.0399,False
MLR,lasso,0.056,1.0,-2.6777,2.7897,False
PLS,RF,-4.4829,0.0,-7.2165,-1.7492,True
PLS,XGB,-4.4933,0.0,-7.227,-1.7597,True
PLS,kNN,0.2786,1.0,-2.4551,3.0123,False
PLS,lasso,0.0284,1.0,-2.7053,2.762,False
RF,XGB,-0.0105,1.0,-2.7441,2.7232,False
RF,kNN,4.7615,0.0,2.0278,7.4951,True
RF,lasso,4.5112,0.0,1.7775,7.2449,True
XGB,kNN,4.7719,0.0,2.0382,7.5056,True
XGB,lasso,4.5217,0.0,1.788,7.2554,True
kNN,lasso,-0.2502,1.0,-2.9839,2.4834,False
