,HepG2,HEK293,B16,PC3,N2a,ARPE19
RF,0.8544251747316036,0.7957589807049565,0.8920319237703715,0.8804085723758458,0.8439407479196841,0.8204185846870143
MLR,0.4926044858169807,0.49132257421609316,0.6609218184933697,0.6769059918374607,0.4898080907934481,0.39876569838733
lasso,0.2895087770399544,0.1990006940500024,0.2101474853712369,0.2065722007199623,0.46244017022559153,0.4856214261182886
PLS,[0.4998466829781684],[0.4112442448258067],[0.6792109114891758],[0.6758673984637807],[0.4517377912586083],[0.3991504335590235]
kNN,0.47668760910312946,0.5735353045916243,0.6967159842488573,0.6951781761747519,0.6699867763297866,0.6769188176148994
LGBM,0.8769972111946411,0.7848405377719376,0.9009547549141858,0.8969138373921526,0.866378039577917,0.8344183617696601
XGB,0.8453271149867818,0.7820680197928973,0.8852488656627546,0.8817609664137808,0.8573304673557812,0.8088713084883875
DT,0.7976452984819189,0.7063881376324486,0.8238528233149269,0.849296926175205,0.7668442651789866,0.715882690257269
