Cell_Type,Model,Test Score
HepG2,XGB,0.05526895102526413
B16,XGB,0.05639533195855513
PC3,XGB,0.05743140455561923
N2a,XGB,0.06903270799446384
HEK293,XGB,0.09652316180203184
ARPE19,LGBM,0.11158112231911928
