P_charged_centers,N_charged_centers,cLogP,Hbond_A,Zeta,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio
0,1,9.3028,10,-7.193333333,0.199600798,20,0.497512438,26.6073836
0,1,9.3028,10,-5.036666667,0.199600798,20,0.497512438,53.21476721
0,1,9.3028,10,-0.522666667,0.199600798,20,0.497512438,79.82215081
0,1,9.3028,10,-4.42,0.199600798,40,0.497512438,14.8225851
0,1,9.3028,10,-3.686666667,0.199600798,40,0.497512438,29.6451702
0,1,9.3028,10,-2.553333333,0.199600798,40,0.497512438,44.46775531
0,1,9.3028,10,-1.06,0.199600798,60,0.497512438,10.89431893
0,1,9.3028,10,1.177333333,0.199600798,60,0.497512438,21.78863787
0,1,9.3028,10,-0.068333333,0.199600798,60,0.497512438,32.6829568
0,1,9.3028,10,-24.26666667,0.199600798,80,0.497512438,8.93018585
0,1,9.3028,10,-14.43333333,0.199600798,80,0.497512438,17.8603717
0,1,9.3028,10,-1.853333333,0.199600798,80,0.497512438,26.79055755
0,1,9.3028,10,-9.85,0.199600798,20,0.99009901,26.74781895
0,1,9.3028,10,-4.376666667,0.199600798,20,0.99009901,53.49563789
0,1,9.3028,10,-1.413,0.199600798,20,0.99009901,80.24345684
0,1,9.3028,10,-4.306666667,0.199600798,40,0.99009901,14.9043896
0,1,9.3028,10,-1.85,0.199600798,40,0.99009901,29.80877921
0,1,9.3028,10,-4.253333333,0.199600798,40,0.99009901,44.71316881
0,1,9.3028,10,0.728366667,0.199600798,60,0.99009901,10.95657982
0,1,9.3028,10,-0.417,0.199600798,60,0.99009901,21.91315965
0,1,9.3028,10,-2.663333333,0.199600798,60,0.99009901,32.86973947
0,1,9.3028,10,-25.4,0.199600798,80,0.99009901,8.982674934
0,1,9.3028,10,-17.4,0.199600798,80,0.99009901,17.96534987
0,1,9.3028,10,-8.583333333,0.199600798,80,0.99009901,26.9480248
0,1,9.3028,10,-6.4,0.199600798,20,1.960784314,27.02868963
0,1,9.3028,10,-3.806666667,0.199600798,20,1.960784314,54.05737926
0,1,9.3028,10,-1.361666667,0.199600798,20,1.960784314,81.08606889
0,1,9.3028,10,-5.183333333,0.199600798,40,1.960784314,15.06799861
0,1,9.3028,10,-2.506666667,0.199600798,40,1.960784314,30.13599722
0,1,9.3028,10,-2.166666667,0.199600798,40,1.960784314,45.20399583
0,1,9.3028,10,0.091,0.199600798,60,1.960784314,11.0811016
0,1,9.3028,10,-0.125666667,0.199600798,60,1.960784314,22.16220321
0,1,9.3028,10,0.407333333,0.199600798,60,1.960784314,33.24330481
0,1,9.3028,10,-25.33333333,0.199600798,80,1.960784314,9.087653102
0,1,9.3028,10,-6.63,0.199600798,80,1.960784314,18.1753062
0,1,9.3028,10,-11.83333333,0.199600798,80,1.960784314,27.26295931
0,1,9.3028,10,-4.81,0.199600798,20,9.090909091,29.27565509
0,1,9.3028,10,-3.45,0.199600798,20,9.090909091,58.55131018
0,1,9.3028,10,-0.677333333,0.199600798,20,9.090909091,87.82696527
0,1,9.3028,10,1.363333333,0.199600798,40,9.090909091,16.37687066
0,1,9.3028,10,-1.420666667,0.199600798,40,9.090909091,32.75374132
0,1,9.3028,10,-2.366666667,0.199600798,40,9.090909091,49.13061198
0,1,9.3028,10,-1.566666667,0.199600798,60,9.090909091,12.07727585
0,1,9.3028,10,-2.063333333,0.199600798,60,9.090909091,24.1545517
0,1,9.3028,10,-0.186,0.199600798,60,9.090909091,36.23182754
0,1,9.3028,10,-22.66666667,0.199600798,80,9.090909091,9.927478443
0,1,9.3028,10,-0.437,0.199600798,80,9.090909091,19.85495689
0,1,9.3028,10,-2.24,0.199600798,80,9.090909091,29.78243533
0,1,9.3028,10,-19.73333333,0.199600798,20,50.0,54.55401653
0,1,9.3028,10,-3.413333333,0.199600798,20,50.0,109.1080331
0,1,9.3028,10,-2.423333333,0.199600798,20,50.0,163.6620496
0,1,9.3028,10,-25.56666667,0.199600798,40,50.0,31.1016812
0,1,9.3028,10,-15.7,0.199600798,40,50.0,62.2033624
0,1,9.3028,10,-4.87,0.199600798,40,50.0,93.30504359
0,1,9.3028,10,-28.26666667,0.199600798,60,50.0,23.28423609
0,1,9.3028,10,-17.83333333,0.199600798,60,50.0,46.56847218
0,1,9.3028,10,-5.81,0.199600798,60,50.0,69.85270826
0,1,9.3028,10,-6.776666667,0.199600798,80,50.0,19.37551353
0,1,9.3028,10,-5.44,0.199600798,80,50.0,38.75102707
0,1,9.3028,10,-4.47,0.199600798,80,50.0,58.1265406
0,1,9.3028,10,-1.836666667,0.99009901,20,0.497512438,27.41327923
0,1,9.3028,10,-1.497333333,0.99009901,20,0.497512438,54.82655846
0,1,9.3028,10,-1.007333333,0.99009901,20,0.497512438,82.23983768
0,1,9.3028,10,-1.843333333,0.99009901,40,0.497512438,15.12479596
0,1,9.3028,10,-0.593366667,0.99009901,40,0.497512438,30.24959192
0,1,9.3028,10,-7.61,0.99009901,40,0.497512438,45.37438788
0,1,9.3028,10,-4.72,0.99009901,60,0.497512438,11.02863487
0,1,9.3028,10,-3.62,0.99009901,60,0.497512438,22.05726974
0,1,9.3028,10,-4.233333333,0.99009901,60,0.497512438,33.08590461
0,1,9.3028,10,-2.0,0.99009901,80,0.497512438,8.980554327
0,1,9.3028,10,-2.613333333,0.99009901,80,0.497512438,17.96110865
0,1,9.3028,10,-0.015666667,0.99009901,80,0.497512438,26.94166298
0,1,9.3028,10,-2.063333333,0.99009901,20,0.99009901,27.557724
0,1,9.3028,10,-1.543333333,0.99009901,20,0.99009901,55.115448
0,1,9.3028,10,-1.906666667,0.99009901,20,0.99009901,82.673172
0,1,9.3028,10,-1.441,0.99009901,40,0.99009901,15.208104
0,1,9.3028,10,-1.497333333,0.99009901,40,0.99009901,30.416208
0,1,9.3028,10,-4.113333333,0.99009901,40,0.99009901,45.624312
0,1,9.3028,10,-3.46,0.99009901,60,0.99009901,11.091564
0,1,9.3028,10,-5.52,0.99009901,60,0.99009901,22.183128
0,1,9.3028,10,-2.886666667,0.99009901,60,0.99009901,33.274692
0,1,9.3028,10,-2.153333333,0.99009901,80,0.99009901,9.033294
0,1,9.3028,10,-1.356666667,0.99009901,80,0.99009901,18.066588
0,1,9.3028,10,0.867666667,0.99009901,80,0.99009901,27.099882
0,1,9.3028,10,-1.916666667,0.99009901,20,1.960784314,27.84661354
0,1,9.3028,10,-0.810333333,0.99009901,20,1.960784314,55.69322709
0,1,9.3028,10,-2.876666667,0.99009901,20,1.960784314,83.53984063
0,1,9.3028,10,-2.14,0.99009901,40,1.960784314,15.37472008
0,1,9.3028,10,-0.342,0.99009901,40,1.960784314,30.74944016
0,1,9.3028,10,-2.2,0.99009901,40,1.960784314,46.12416024
0,1,9.3028,10,-3.503333333,0.99009901,60,1.960784314,11.21742226
0,1,9.3028,10,-2.013333333,0.99009901,60,1.960784314,22.43484451
0,1,9.3028,10,-3.336666667,0.99009901,60,1.960784314,33.65226677
0,1,9.3028,10,-6.496666667,0.99009901,80,1.960784314,9.138773347
0,1,9.3028,10,0.9383,0.99009901,80,1.960784314,18.27754669
0,1,9.3028,10,0.4627,0.99009901,80,1.960784314,27.41632004
0,1,9.3028,10,-20.96666667,0.99009901,20,9.090909091,30.1577299
0,1,9.3028,10,-1.013333333,0.99009901,20,9.090909091,60.3154598
0,1,9.3028,10,-0.812553333,0.99009901,20,9.090909091,90.4731897
0,1,9.3028,10,-1.636666667,0.99009901,40,9.090909091,16.70764871
0,1,9.3028,10,-0.022666667,0.99009901,40,9.090909091,33.41529743
0,1,9.3028,10,-3.43,0.99009901,40,9.090909091,50.12294614
0,1,9.3028,10,-13.4,0.99009901,60,9.090909091,12.22428832
0,1,9.3028,10,-1.985333333,0.99009901,60,9.090909091,24.44857663
0,1,9.3028,10,-3.243333333,0.99009901,60,9.090909091,36.67286495
0,1,9.3028,10,-1.304,0.99009901,80,9.090909091,9.982608119
0,1,9.3028,10,-0.888,0.99009901,80,9.090909091,19.96521624
0,1,9.3028,10,-0.417666667,0.99009901,80,9.090909091,29.94782436
0,1,9.3028,10,-6.72,0.99009901,20,50.0,56.15778891
0,1,9.3028,10,-5.936666667,0.99009901,20,50.0,112.3155778
0,1,9.3028,10,-3.736666667,0.99009901,20,50.0,168.4733667
0,1,9.3028,10,-7.57,0.99009901,40,50.0,31.70309584
0,1,9.3028,10,-4.593333333,0.99009901,40,50.0,63.40619168
0,1,9.3028,10,-1.266666667,0.99009901,40,50.0,95.10928752
0,1,9.3028,10,-16.4,0.99009901,60,50.0,23.55153149
0,1,9.3028,10,-1.483333333,0.99009901,60,50.0,47.10306297
0,1,9.3028,10,-0.622,0.99009901,60,50.0,70.65459446
0,1,9.3028,10,-8.473333333,0.99009901,80,50.0,19.47574931
0,1,9.3028,10,-5.833333333,0.99009901,80,50.0,38.95149861
0,1,9.3028,10,-6.46,0.99009901,80,50.0,58.42724792
0,1,9.3028,10,-1.485333333,9.090909091,20,0.497512438,35.67187778
0,1,9.3028,10,-0.415666667,9.090909091,20,0.497512438,71.34375556
0,1,9.3028,10,-2.8,9.090909091,20,0.497512438,107.0156333
0,1,9.3028,10,-1.42,9.090909091,40,0.497512438,18.22177042
0,1,9.3028,10,-0.845333333,9.090909091,40,0.497512438,36.44354084
0,1,9.3028,10,-1.69,9.090909091,40,0.497512438,54.66531125
0,1,9.3028,10,-3.313333333,9.090909091,60,0.497512438,12.40506796
0,1,9.3028,10,-1.398,9.090909091,60,0.497512438,24.81013593
0,1,9.3028,10,-0.940666667,9.090909091,60,0.497512438,37.21520389
0,1,9.3028,10,8.696666667,9.090909091,80,0.497512438,9.496716736
0,1,9.3028,10,-0.939,9.090909091,80,0.497512438,18.99343347
0,1,9.3028,10,-0.976,9.090909091,80,0.497512438,28.49015021
0,1,9.3028,10,-1.733333333,9.090909091,20,0.99009901,35.85741011
0,1,9.3028,10,-1.54,9.090909091,20,0.99009901,71.71482022
0,1,9.3028,10,-1.195666667,9.090909091,20,0.99009901,107.5722303
0,1,9.3028,10,-1.7,9.090909091,40,0.99009901,18.32048629
0,1,9.3028,10,-0.988333333,9.090909091,40,0.99009901,36.64097258
0,1,9.3028,10,-2.643333333,9.090909091,40,0.99009901,54.96145887
0,1,9.3028,10,-0.603333333,9.090909091,60,0.99009901,12.47484502
0,1,9.3028,10,-0.511666667,9.090909091,60,0.99009901,24.94969004
0,1,9.3028,10,-1.116666667,9.090909091,60,0.99009901,37.42453505
0,1,9.3028,10,2.933333333,9.090909091,80,0.99009901,9.552024382
0,1,9.3028,10,0.520333333,9.090909091,80,0.99009901,19.10404876
0,1,9.3028,10,-2.67,9.090909091,80,0.99009901,28.65607315
0,1,9.3028,10,-1.596666667,9.090909091,20,1.960784314,36.22847476
0,1,9.3028,10,-1.566666667,9.090909091,20,1.960784314,72.45694953
0,1,9.3028,10,-2.373333333,9.090909091,20,1.960784314,108.6854243
0,1,9.3028,10,-1.247666667,9.090909091,40,1.960784314,18.51791804
0,1,9.3028,10,-1.014,9.090909091,40,1.960784314,37.03583607
0,1,9.3028,10,-3.99,9.090909091,40,1.960784314,55.55375411
0,1,9.3028,10,-10.79333333,9.090909091,60,1.960784314,12.61439913
0,1,9.3028,10,-1.503333333,9.090909091,60,1.960784314,25.22879825
0,1,9.3028,10,-1.180333333,9.090909091,60,1.960784314,37.84319738
0,1,9.3028,10,1.269666667,9.090909091,80,1.960784314,9.662639673
0,1,9.3028,10,-1.149666667,9.090909091,80,1.960784314,19.32527935
0,1,9.3028,10,-1.219666667,9.090909091,80,1.960784314,28.98791902
0,1,9.3028,10,-2.273333333,9.090909091,20,9.090909091,39.196992
0,1,9.3028,10,-1.220666667,9.090909091,20,9.090909091,78.393984
0,1,9.3028,10,-1.876666667,9.090909091,20,9.090909091,117.590976
0,1,9.3028,10,-1.019766667,9.090909091,40,9.090909091,20.097372
0,1,9.3028,10,-1.61,9.090909091,40,9.090909091,40.194744
0,1,9.3028,10,-1.693333333,9.090909091,40,9.090909091,60.292116
0,1,9.3028,10,-0.879,9.090909091,60,9.090909091,13.730832
0,1,9.3028,10,-0.790333333,9.090909091,60,9.090909091,27.461664
0,1,9.3028,10,-1.506666667,9.090909091,60,9.090909091,41.192496
0,1,9.3028,10,0.606333333,9.090909091,80,9.090909091,10.547562
0,1,9.3028,10,-1.317,9.090909091,80,9.090909091,21.095124
0,1,9.3028,10,-0.951333333,9.090909091,80,9.090909091,31.642686
0,1,9.3028,10,-3.106666667,9.090909091,20,50.0,72.59281091
0,1,9.3028,10,-31.73333333,9.090909091,20,50.0,145.1856218
0,1,9.3028,10,-2.386666667,9.090909091,20,50.0,217.7784327
0,1,9.3028,10,-1.746666667,9.090909091,40,50.0,37.86622909
0,1,9.3028,10,-1.683333333,9.090909091,40,50.0,75.73245818
0,1,9.3028,10,-1.856666667,9.090909091,40,50.0,113.5986873
0,1,9.3028,10,-1.74,9.090909091,60,50.0,26.29070182
0,1,9.3028,10,-1.833333333,9.090909091,60,50.0,52.58140364
0,1,9.3028,10,-1.422666667,9.090909091,60,50.0,78.87210545
0,1,9.3028,10,-1.713333333,9.090909091,80,50.0,20.50293818
0,1,9.3028,10,-2.203333333,9.090909091,80,50.0,41.00587636
0,1,9.3028,10,-1.184333333,9.090909091,80,50.0,61.50881455
1,1,9.784,9,-7.436666667,0.199600798,20,0.497512438,26.47303244
1,1,9.784,9,-3.523333333,0.199600798,20,0.497512438,52.94606489
1,1,9.784,9,-3.396666667,0.199600798,20,0.497512438,79.41909733
1,1,9.784,9,-4.23,0.199600798,40,0.497512438,14.74686478
1,1,9.784,9,-1.803333333,0.199600798,40,0.497512438,29.49372956
