,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_N2a
0,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,6.284
1,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,6.05
2,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,5.537
3,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,5.442
4,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,5.147
5,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,4.369
6,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,5.7
7,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,4.682
8,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,4.533
9,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,3.258
10,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,2.197
11,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,2.639
12,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,6.619
13,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,6.066
14,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,5.549
15,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,5.82
16,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,5.124
17,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,5.394
18,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,5.347
19,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,5.215
20,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,5.215
21,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,5.153
22,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,3.932
23,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,4.635
24,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,6.303
25,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,6.009
26,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,5.389
27,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,5.513
28,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,4.956
29,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,5.017
30,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,5.384
31,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,4.949
32,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,4.804
33,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,5.257
34,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,3.555
35,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,4.025
36,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,6.997
37,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,6.18
38,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,5.505
39,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,6.071
40,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,5.749
41,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,5.231
42,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,6.161
43,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,6.009
44,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,6.001
45,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,7.607
46,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,6.916
47,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,6.551
48,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,6.038
49,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,8.595
50,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,7.874
51,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,8.389
52,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,9.338
53,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,8.956
54,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,9.82
