,Cell_Type,Model,Test Score
5,HepG2,DT,0.04269384648497244
14,PC3,LGBM,0.04940091026792155
15,B16,LGBM,0.05557711594471544
43,N2a,RF,0.07827961013141703
16,HEK293,LGBM,0.10949052770846476
12,ARPE19,LGBM,0.11808853282548304
