,HepG2
RF,0.8517908046835148
MLR,0.5949837054404266
lasso,0.5695600418667259
PLS,[0.5746766857285835]
kNN,0.6705217407006238
LGBM,0.8567368673928233
XGB,0.8766639504537187
DT,0.7895688166035468
